SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL10001,59,867,887,0,1687,0.6,1625,2.4
SAL10002,42,2216,849,550,2684,0.8,2611,3.3
SAL10003,47,3000,1173,550,2988,0.9,2259,2.3
SAL10004,39,1733,1006,393,2533,0.7,2196,2.8
SAL10005,60,758,524,300,1624,0.7,1024,1.8
SAL10006,36,1430,635,305,1532,0.8,1251,2.5
SAL10007,41,1517,716,280,1917,0.7,1424,2.4
SAL10008,37,150,949,210,3083,0.8,2250,2.9
SAL10009,32,1950,874,430,2257,0.8,2145,3
SAL10010,36,1430,676,320,1771,0.9,1451,2.7
SAL10011,36,1560,749,360,2205,0.9,2042,3
SAL10012,42,1150,1100,0,2416,0.8,2374,2.7
SAL10013,52,1571,624,275,1187,0.7,1062,2.1
SAL10014,36,2470,1050,540,2800,0.9,2789,3.2
SAL10015,47,975,894,400,1350,0.6,1174,2
SAL10016,36,2100,930,395,2438,0.8,1873,2.4
SAL10017,39,2201,983,473,2671,0.8,2318,2.8
SAL10018,49,1200,594,213,1448,0.7,1170,2.3
SAL10019,47,625,1097,150,2312,0.8,2250,2.8
SAL10020,63,650,602,0,1374,0.5,762,1.8
SAL10021,39,2600,950,440,2517,0.8,2446,3.1
SAL10022,29,2205,448,220,1111,0.9,940,2.9
SAL10023,43,780,433,240,1042,0.8,788,2.4
SAL10024,52,463,612,0,1625,0.8,1218,2.6
SAL10025,36,2058,806,460,2132,0.8,1936,2.9
SAL10026,41,1820,637,390,1645,0.8,1407,2.5
SAL10027,45,1733,931,277,2359,0.7,1616,2
SAL10028,35,1483,633,350,1445,0.7,1230,2.5
SAL10029,38,1257,762,160,2125,0.7,1803,2.4
SAL10030,34,2743,1627,560,3600,1.1,2638,2
SAL10031,42,2595,955,768,2978,0.8,2965,3.3
SAL10032,42,2600,871,265,2583,0.8,2625,3.1
SAL10033,59,400,333,0,1074,1,1074,3
SAL10034,45,3500,678,600,2562,0.7,2249,2.9
SAL10035,53,2214,866,270,2312,0.6,1562,2.1
SAL10036,43,3467,1002,600,3298,0.9,2893,3
SAL10037,50,2414,1042,300,2750,0.8,1875,2.3
SAL10038,36,2167,765,425,1960,1,1763,2.5
SAL10039,33,0,900,250,2250,0.8,1875,3.2
SAL10040,53,1517,494,150,1375,0.9,1024,2.4
SAL10041,49,1853,612,300,1531,0.8,1213,2.2
SAL10042,65,1200,575,587,1374,0.6,1042,1.9
SAL10043,51,434,762,185,1875,0.8,1792,2.8
SAL10044,49,3033,991,350,2449,0.9,2457,2.8
SAL10045,52,2000,854,310,2272,0.7,2053,2.6
SAL10046,51,1732,673,380,1690,0.7,1309,2.3
SAL10047,42,1907,593,310,1449,0.8,1281,2.6
SAL10048,45,2709,1031,240,2333,0.8,2166,2.7
SAL10049,34,1803,624,350,1611,0.8,1429,2.8
SAL10050,65,667,575,0,1625,0.6,1125,1.9
SAL10051,61,0,2167,0,4249,0.5,3250,1.7
SAL10052,51,964,567,0,1958,1,1125,2.7
SAL10053,35,2167,604,525,2750,0.9,3049,3.4
SAL10054,50,1018,849,163,2583,0.9,2187,2.8
SAL10055,47,1767,700,129,1437,0.8,2083,2.5
SAL10056,48,1477,719,260,1812,0.7,1562,2.5
SAL10057,54,5000,487,50,1375,0.8,850,1.6
SAL10058,63,1083,671,470,1125,0.6,1187,1.9
SAL10059,58,1560,730,545,1812,0.8,1562,2.3
SAL10060,45,2000,765,350,1958,0.9,1875,3
SAL10061,52,1733,612,390,1457,0.7,1191,2.3
SAL10062,39,3467,1437,570,3905,1,2676,2.3
SAL10063,43,3000,900,500,2529,0.8,2662,3.5
SAL10064,33,2507,975,450,2507,0.8,2423,3.2
SAL10065,48,1791,900,480,1874,0.9,1375,2.4
SAL10066,41,2800,669,345,1875,1.2,1812,3.5
SAL10067,43,2600,1542,285,3083,0.9,2312,2.6
SAL10068,46,1300,710,300,1875,0.7,1437,2.5
SAL10069,44,0,900,350,3249,0.6,3125,2.4
SAL10070,59,1733,628,400,1513,0.7,1349,2.2
SAL10071,54,1105,629,225,1525,0.8,1042,2.1
SAL10072,54,0,1125,0,0,0.8,0,4
SAL10073,45,3305,914,485,2736,0.8,2644,3.2
SAL10074,44,1684,755,385,1855,0.8,1546,2.5
SAL10075,58,1300,562,100,1093,0.8,900,2.1
SAL10076,51,2000,696,200,1474,0.7,1328,2.3
SAL10077,56,433,460,150,1042,0.7,788,2
SAL10078,42,1060,941,0,2250,0.8,1999,2.7
SAL10079,40,1517,617,350,1608,0.8,1320,2.3
SAL10080,51,1376,531,250,1196,0.8,1069,2.3
SAL10081,49,0,900,0,2750,1,2750,3.5
SAL10082,50,780,597,160,1432,0.8,1019,2.3
SAL10083,50,2000,612,250,1542,0.8,1593,2.9
SAL10084,41,1517,1125,0,2249,0.9,1625,3.5
SAL10085,45,221,814,100,1875,0.8,1292,2.5
SAL10086,35,1500,737,290,1893,0.7,1431,2.3
SAL10087,34,2318,852,500,2205,1.1,2043,2.7
SAL10088,46,0,1458,530,2250,1.3,2250,1.3
SAL10089,65,651,535,188,930,0.8,770,1.9
SAL10090,46,1625,683,380,1792,0.8,1596,2.7
SAL10091,37,2772,1196,525,3052,1.1,2414,2.5
SAL10092,46,2000,949,0,2416,0.8,2166,2.8
SAL10093,45,4117,1053,25,1906,0.9,1812,2.8
SAL10094,45,2817,884,600,2869,0.9,2568,2.9
SAL10095,61,1300,575,360,1333,0.7,1147,2
SAL10096,54,1300,522,310,1444,0.8,1218,2.4
SAL10097,58,3250,743,0,774,0.7,1125,2.3
SAL10098,32,1950,459,290,1316,1,1084,3.1
SAL10099,36,2214,890,440,2256,1,1886,2.3
SAL10100,54,650,456,180,1046,0.7,851,2.2
SAL10101,34,1257,949,280,2366,0.9,1875,2.7
SAL10102,35,1105,574,220,1253,0.7,991,2.3
SAL10103,39,1950,880,440,2354,0.7,2146,2.8
SAL10104,36,2400,1035,490,2603,1.1,2295,2.7
SAL10105,46,433,512,84,1656,0.9,1399,2.6
SAL10106,43,1268,746,300,1718,0.7,1410,2.5
SAL10107,31,2000,581,410,1440,1.2,1529,3.3
SAL10108,47,1820,774,335,1968,0.8,1812,2.8
SAL10109,41,2678,1080,550,2955,0.8,2592,2.8
SAL10110,31,2535,933,520,2224,0.8,2163,3.1
SAL10111,51,1350,599,260,1625,0.9,1350,2.7
SAL10112,46,3250,992,700,2891,0.8,2486,2.8
SAL10113,50,1571,575,380,1312,0.9,1124,2.4
SAL10114,53,2763,855,330,2416,0.7,2299,2.7
SAL10115,43,2513,933,538,2671,0.8,2379,2.8
SAL10116,0,0,0,0,0,0,0,0
SAL10117,40,1903,727,300,1931,0.8,1527,2.4
SAL10118,47,1733,866,500,2583,0.8,2125,2.7
SAL10119,39,1755,782,300,2178,0.9,1718,2.8
SAL10120,51,1842,794,430,2173,0.6,1825,2.3
