SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5
SAL10002,41,26,67,64,50,114,85,79,163,24,8,31,165,143,310,66,65,131,68,86,158,18,15,38,156,169,323,0,7,7,0,9,8,21,5,21,14,20,29,4,0,4,39,40,76,69,96,164,12,13,20,18,20,33,6,19,24,0,0,0,98,144,243,140,180,321,3,3,9,3,9,12,0,0,0,13,14,22,57,59,119,0,0,3,570,591,1164
SAL10003,49,42,96,117,125,239,45,33,82,23,14,32,183,178,362,51,64,109,67,58,122,33,37,71,150,151,300,0,0,0,3,9,16,15,3,20,21,21,43,0,0,0,38,39,78,42,72,113,14,17,32,5,8,13,29,44,64,0,0,0,92,138,223,129,178,306,0,4,4,9,20,29,0,0,0,9,24,32,109,156,264,3,3,4,636,738,1372
SAL10004,19,18,30,34,32,66,25,15,37,7,4,14,64,50,115,25,21,46,6,25,34,10,16,32,46,68,113,0,0,0,0,3,3,6,6,9,3,5,10,0,0,0,13,13,21,8,13,16,0,3,3,3,0,3,3,8,14,0,0,0,11,24,35,22,36,60,0,0,5,0,0,3,0,0,0,4,4,5,10,7,18,0,0,0,162,181,341
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10006,38,31,64,94,84,173,17,16,34,5,9,16,111,109,225,64,66,129,15,13,29,5,14,21,85,88,176,4,4,11,5,0,9,14,16,31,11,29,37,0,0,0,31,48,82,4,14,14,8,3,8,0,7,6,7,22,25,0,0,0,18,45,60,50,94,139,6,4,3,4,4,9,0,0,0,4,8,17,46,44,92,0,0,0,339,370,706
SAL10007,23,27,47,77,66,138,16,13,25,4,3,7,91,85,173,33,40,66,40,36,79,0,0,0,71,74,147,7,0,11,0,0,8,22,17,35,9,16,22,0,0,0,37,34,73,0,8,8,0,3,3,0,3,5,0,6,8,0,0,0,0,23,28,36,56,95,0,3,3,0,11,8,0,0,0,0,12,13,53,48,99,0,0,0,279,300,583
SAL10008,0,0,0,9,4,11,5,0,5,4,0,3,9,8,18,0,6,6,0,0,3,0,0,3,4,9,13,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,19,20,37
SAL10009,87,105,188,242,229,470,130,128,257,35,19,54,406,377,780,121,135,256,95,99,190,18,18,37,236,246,484,21,14,33,5,16,24,43,32,69,37,71,115,0,0,0,103,139,240,26,60,84,6,41,45,10,16,24,25,54,76,0,0,0,70,160,228,172,297,467,7,3,14,10,19,38,0,0,0,23,23,49,66,76,142,6,8,7,991,1135,2120
SAL10010,36,24,65,105,102,214,14,12,27,9,14,20,134,132,260,58,58,116,5,8,16,8,7,17,76,73,153,6,4,13,3,10,12,12,9,19,10,23,27,0,0,0,35,44,75,4,11,11,4,11,16,3,3,7,3,12,17,0,0,0,16,32,47,46,79,125,6,3,5,9,10,14,0,0,0,14,8,23,54,27,81,0,0,0,361,344,700
SAL10011,0,4,7,12,10,24,0,0,0,0,3,3,13,9,23,10,9,18,0,0,0,5,0,5,16,9,21,0,0,0,0,0,0,6,0,6,0,0,4,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,3,9,13,6,17,4,0,4,0,0,0,0,0,0,4,0,4,4,6,9,0,0,0,44,36,83
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,9,11
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,6
SAL10014,43,43,80,171,134,303,32,26,58,13,7,20,216,165,385,92,90,177,39,41,82,16,17,31,153,149,298,8,5,10,9,6,19,20,3,21,15,18,33,0,0,0,49,37,84,53,57,109,12,9,20,7,3,17,14,28,39,0,0,0,82,102,182,131,135,269,7,3,17,14,10,25,0,0,0,20,20,41,14,12,29,3,5,6,583,529,1107
SAL10015,0,0,0,13,8,18,0,0,0,0,0,0,13,5,17,9,3,15,4,0,6,0,0,0,14,8,20,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,6,7,0,4,4,0,0,0,0,0,0,0,4,5,0,0,0,4,6,12,3,15,15,0,0,0,0,0,4,0,0,0,0,0,4,70,29,97,0,0,0,103,58,154
SAL10016,77,53,135,145,137,277,69,80,151,24,13,40,239,228,474,131,127,259,47,56,103,18,14,29,197,196,392,12,12,18,12,3,15,19,25,42,24,37,65,0,0,0,64,77,139,73,115,190,33,41,72,22,16,41,55,82,133,0,0,0,177,258,436,243,334,584,0,8,13,11,18,28,0,0,0,21,23,38,93,101,186,3,8,9,871,944,1814
SAL10017,94,74,171,261,199,464,77,62,141,16,12,30,357,273,630,135,156,291,50,45,93,20,27,41,202,219,420,6,10,17,4,9,12,23,12,26,13,24,39,0,0,0,49,48,100,64,78,139,24,35,54,9,11,23,31,68,93,0,0,0,130,184,318,173,234,415,4,0,5,15,8,24,0,0,0,22,14,36,38,45,86,0,0,5,896,863,1756
SAL10018,7,4,11,22,23,45,11,4,18,0,0,0,36,27,63,29,18,45,4,7,15,0,0,4,32,31,61,3,0,4,0,0,0,7,4,10,3,4,8,0,0,0,14,6,21,0,5,7,0,0,0,0,0,0,7,5,8,0,0,0,9,17,24,15,29,42,0,0,0,0,3,5,0,0,0,0,3,5,17,26,40,0,0,0,112,122,228
SAL10019,0,0,5,3,0,4,0,0,0,0,0,0,9,0,6,4,0,3,0,0,0,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,32,0,0,0,24,18,45
SAL10020,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
