SAL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SAL10001,0,0,0,0,6,4,0,8,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,16,5,0,28
SAL10002,30,63,0,95,608,26,0,725,3,38,0,39,384,10,0,431,0,3,0,3,153,0,0,160,0,0,0,0,46,0,0,50,565,151,6,721,2697,116,3,3538
SAL10003,38,41,0,82,603,18,0,708,3,84,0,93,612,42,0,748,0,28,0,28,393,43,0,459,0,0,0,0,150,54,0,202,899,189,9,1096,3234,264,4,4605
SAL10004,6,34,0,40,109,3,0,154,0,28,0,28,70,0,0,94,0,3,0,3,52,0,0,55,0,0,0,0,3,0,0,3,222,96,8,325,514,22,0,858
SAL10005,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,17
SAL10006,5,61,0,70,236,11,0,318,0,33,0,35,200,4,0,236,0,8,0,6,116,4,0,126,0,0,0,0,26,3,0,30,428,174,26,625,1310,81,0,2018
SAL10007,3,29,0,26,243,26,0,294,0,26,0,25,188,12,0,224,0,3,0,3,102,10,0,116,0,0,0,0,29,6,0,35,329,101,10,438,1112,105,0,1649
SAL10008,0,0,0,0,5,0,0,14,4,0,0,0,11,0,0,22,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,27,3,0,28,54,5,0,89
SAL10009,22,116,0,137,464,15,0,614,4,67,0,71,336,5,0,414,0,7,0,7,147,9,0,157,0,0,0,0,30,0,0,34,1442,351,55,1841,2843,120,4,4810
SAL10010,12,64,0,78,252,8,0,341,0,29,0,31,168,14,0,213,0,8,0,8,106,3,0,119,0,0,0,0,25,0,0,25,473,159,31,667,1196,65,0,1926
SAL10011,0,3,0,6,37,0,0,39,0,0,0,0,21,0,0,21,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,3,49,15,5,65,172,5,0,248
