SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL10001,0,0,4,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,11,5,14
SAL10002,5,123,125,295,16,317,263,6,267,283,3,288,142,4,148,107,5,109,1105,162,1264
SAL10003,36,666,707,763,86,856,363,23,386,270,10,276,89,8,94,26,0,24,1546,796,2344
SAL10004,6,62,71,118,13,131,75,3,72,71,6,76,30,0,30,11,0,11,314,81,394
SAL10005,0,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,14
SAL10006,13,297,312,283,43,324,143,13,154,135,9,143,52,3,58,37,0,38,665,363,1025
SAL10007,20,263,277,265,41,298,113,5,124,87,9,94,55,0,55,16,0,16,558,313,871
SAL10008,0,3,6,11,0,12,3,0,3,3,0,7,9,0,9,0,0,0,28,5,38
SAL10009,36,264,300,636,59,692,408,19,423,454,17,471,205,10,217,80,0,80,1813,375,2184
SAL10010,15,210,218,240,36,281,146,11,152,144,5,150,73,4,78,45,0,45,653,257,918
SAL10011,0,14,18,20,4,27,31,0,31,18,0,16,7,0,7,6,0,6,83,24,104
SAL10012,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15
SAL10013,0,4,4,3,6,5,4,0,5,0,0,0,0,0,0,0,0,0,8,9,16
SAL10014,11,105,115,237,17,254,260,3,264,322,3,335,121,0,121,49,0,49,1003,130,1133
SAL10015,5,62,69,47,22,67,16,5,13,7,3,10,3,0,5,3,0,3,75,95,175
SAL10016,52,758,806,690,168,856,360,63,418,336,26,359,135,5,141,38,0,38,1602,1013,2617
SAL10017,36,345,387,609,47,656,295,18,317,433,15,445,166,0,164,50,0,48,1584,431,2018
SAL10018,7,126,135,142,20,153,42,8,50,42,0,45,14,0,19,15,0,15,256,154,408
SAL10019,0,8,11,11,5,15,3,3,5,3,0,5,5,0,3,0,0,0,21,18,39
SAL10020,0,10,10,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,7,9,16
SAL10021,6,51,53,99,9,107,44,0,44,56,0,56,32,0,37,26,4,30,255,64,324
SAL10022,9,246,259,201,51,250,187,27,212,152,20,176,90,14,101,87,11,98,726,372,1099
SAL10023,9,17,22,18,4,25,10,0,10,0,0,0,10,0,10,0,0,0,48,26,70
SAL10024,0,9,9,5,3,11,4,0,4,4,3,10,0,0,0,0,0,0,18,14,31
SAL10025,72,752,821,1469,103,1570,843,38,885,912,23,932,386,15,404,179,7,192,3861,938,4802
SAL10026,38,640,673,851,111,958,396,28,425,320,22,341,152,9,167,96,4,100,1855,815,2668
SAL10027,36,887,920,677,129,803,228,33,262,192,17,204,80,6,83,22,0,17,1228,1061,2293
SAL10028,3,54,56,89,15,105,38,0,43,29,0,32,19,0,19,11,0,11,194,73,263
SAL10029,0,13,13,17,5,21,7,0,12,4,0,6,5,0,5,3,0,3,39,25,60
SAL10030,67,1688,1752,1528,425,1952,484,125,606,319,40,361,65,14,77,20,9,24,2482,2297,4777
SAL10031,7,68,73,271,7,282,171,5,176,239,3,240,121,0,123,56,0,55,861,87,950
SAL10032,0,6,6,11,0,11,3,0,6,5,0,5,7,0,7,0,0,0,26,3,29
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL10034,0,3,3,15,0,15,3,0,3,3,0,3,0,0,0,3,0,3,22,3,32
SAL10035,0,17,17,15,3,20,3,0,7,0,0,0,4,0,4,0,0,0,25,26,47
SAL10036,21,449,471,550,33,583,350,9,359,584,5,594,279,5,280,88,0,91,1862,508,2373
SAL10037,0,4,10,13,0,14,7,0,7,0,0,0,0,0,0,0,0,0,22,9,30
SAL10038,18,498,516,563,108,673,414,49,454,280,17,301,108,6,120,43,0,47,1427,682,2115
SAL10039,0,6,6,3,0,3,4,0,4,4,0,4,0,0,0,4,0,4,13,6,20
SAL10040,0,20,17,14,7,25,3,0,3,6,0,6,7,0,7,0,0,0,37,23,61
SAL10041,0,31,38,25,3,24,6,0,7,8,0,8,6,3,11,0,0,0,45,38,84
SAL10042,0,5,5,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,16,6,28
SAL10043,0,0,0,6,0,13,0,0,3,0,0,4,0,0,0,0,0,0,13,5,21
SAL10044,0,10,10,11,4,12,11,0,14,12,0,12,4,0,4,4,0,4,44,10,52
SAL10045,4,21,26,60,16,68,33,0,32,21,0,21,12,0,12,9,0,9,125,33,161
SAL10046,33,809,839,847,84,934,301,18,318,268,15,278,120,3,122,48,7,54,1614,931,2546
SAL10047,0,5,5,14,4,10,10,0,10,4,0,4,0,0,0,0,0,0,24,9,34
SAL10048,0,3,3,4,0,6,0,0,0,0,0,3,0,0,0,0,0,0,12,3,15
SAL10049,26,444,476,689,98,785,452,36,488,363,27,389,179,18,193,150,6,157,1857,636,2491
SAL10050,0,9,9,4,4,10,0,5,5,0,0,0,0,0,0,0,0,0,5,16,24
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10052,0,4,9,5,0,8,5,0,5,0,0,0,4,0,4,0,0,0,11,8,20
SAL10053,0,4,4,3,0,10,3,0,3,3,0,3,0,0,0,3,0,3,19,5,20
SAL10054,0,3,3,3,4,6,0,0,5,5,0,5,0,0,0,4,0,4,11,8,15
SAL10055,0,4,4,5,0,7,4,0,4,4,0,9,0,0,0,0,0,0,17,9,29
SAL10056,0,12,12,20,0,29,13,0,12,7,0,7,4,0,4,0,0,0,42,15,60
SAL10057,0,7,11,8,0,6,0,0,0,5,0,5,0,0,0,0,0,0,10,11,17
SAL10058,0,17,17,15,11,28,3,0,3,6,0,5,0,0,0,0,0,0,18,28,49
SAL10059,0,17,22,35,10,44,8,0,8,6,0,6,5,0,5,3,0,3,60,21,88
SAL10060,0,26,32,21,3,26,22,4,26,19,3,24,9,0,12,12,0,13,84,47,125
SAL10061,17,482,504,690,82,775,197,10,206,172,11,184,80,6,81,45,4,53,1204,605,1803
SAL10062,65,1239,1298,1089,226,1317,535,95,629,531,35,566,135,11,146,31,5,31,2378,1606,3987
SAL10063,8,38,49,107,0,114,56,3,63,77,5,78,62,0,62,49,6,55,363,54,418
SAL10064,14,126,135,233,25,255,190,9,198,206,4,214,124,5,126,71,4,70,833,168,1000
SAL10065,0,4,4,6,0,9,0,0,0,0,0,0,4,0,4,0,0,0,14,8,20
SAL10066,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,13
SAL10067,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4
SAL10068,0,11,11,17,5,22,0,0,5,3,0,4,9,0,6,0,0,0,35,15,48
SAL10069,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7
SAL10070,0,42,43,90,30,118,23,4,28,14,0,14,11,0,9,0,0,0,137,74,214
SAL10071,3,32,36,35,6,36,9,0,9,4,0,10,0,0,0,0,0,0,59,40,97
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,3,58,65,132,11,142,73,3,74,88,0,91,41,0,48,40,0,39,377,76,462
SAL10074,4,121,122,216,19,235,78,3,82,72,0,73,32,0,32,10,0,17,410,143,560
SAL10075,0,11,11,7,5,15,0,0,0,0,0,0,0,0,4,0,0,0,16,16,25
SAL10076,0,15,15,34,6,41,10,0,10,11,0,11,4,0,4,0,0,0,50,20,75
SAL10077,0,92,96,76,15,92,20,4,22,13,0,14,7,0,7,6,0,6,121,110,228
SAL10078,0,0,0,6,0,6,0,0,0,4,0,4,0,0,0,0,0,0,8,0,5
SAL10079,5,171,177,193,38,226,72,3,79,54,5,62,18,6,21,15,0,15,359,219,583
SAL10080,0,26,26,27,4,31,11,0,15,3,0,3,6,0,6,4,0,4,54,33,87
SAL10081,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3
SAL10082,4,58,59,61,10,73,21,0,22,14,0,12,12,0,13,11,0,11,121,70,190
SAL10083,0,0,0,6,0,5,3,0,3,3,0,3,0,0,0,0,0,0,9,4,14
SAL10084,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,7
SAL10085,0,18,21,12,12,27,7,0,7,6,0,6,7,3,8,6,0,6,33,31,68
SAL10086,126,3047,3173,2655,502,3161,1082,170,1250,960,94,1053,414,30,447,274,13,284,5517,3853,9375
SAL10087,40,978,1015,1147,297,1443,651,124,784,534,73,605,256,29,289,235,14,251,2859,1529,4390
SAL10088,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
SAL10089,0,150,154,119,59,177,15,8,20,12,6,13,0,5,0,9,16,22,153,233,387
SAL10090,5,32,39,83,8,94,30,3,37,36,3,32,13,0,13,9,5,12,173,46,221
SAL10091,35,950,979,983,233,1212,674,48,722,611,19,631,158,14,166,54,3,60,2517,1254,3771
SAL10092,0,0,0,6,0,6,0,0,0,5,0,5,3,0,3,0,0,0,13,3,16
SAL10093,0,7,7,6,0,11,0,0,3,4,0,4,0,0,0,0,0,0,9,4,16
SAL10094,15,161,178,305,23,329,193,12,209,258,0,262,102,6,109,33,0,37,919,209,1129
SAL10095,6,37,41,67,10,73,14,0,14,11,0,9,6,0,9,0,0,0,95,50,140
SAL10096,0,25,30,42,7,48,23,4,22,11,0,10,0,0,0,6,0,3,85,40,124
SAL10097,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12
SAL10098,6,291,300,206,45,258,177,21,200,140,23,156,119,9,128,123,14,138,775,399,1172
SAL10099,89,3034,3127,2546,657,3206,1365,208,1575,967,102,1072,344,47,391,188,28,214,5502,4076,9583
SAL10100,9,100,103,90,17,110,28,10,38,11,3,15,12,4,13,16,0,16,169,132,300
SAL10101,3,36,42,25,11,33,21,3,20,16,0,19,7,0,9,5,0,5,79,50,133
SAL10102,26,507,535,423,87,508,188,25,212,143,21,163,84,13,96,46,6,54,901,663,1561
SAL10103,18,251,266,468,31,503,301,12,306,308,6,316,131,3,137,55,0,60,1280,310,1591
SAL10104,26,433,465,615,75,691,498,11,513,406,5,417,132,5,140,59,4,59,1738,541,2275
SAL10105,0,4,4,10,0,10,0,0,0,5,0,3,0,0,0,0,0,0,17,10,27
SAL10106,3,64,62,76,9,85,27,0,27,31,0,31,17,3,19,3,0,3,156,77,228
SAL10107,64,1937,2000,2009,606,2612,1772,472,2243,1751,432,2189,1102,249,1354,1198,172,1368,7904,3863,11765
SAL10108,0,6,6,21,0,21,7,0,9,11,0,11,3,0,3,0,0,0,38,7,46
SAL10109,14,166,179,291,30,318,167,14,181,185,3,193,85,0,85,15,0,20,767,216,981
SAL10110,13,279,293,501,48,547,435,34,467,395,24,417,227,17,245,143,3,150,1712,407,2123
SAL10111,0,9,14,14,0,19,10,0,12,3,0,5,5,0,5,0,0,0,40,18,58
SAL10112,54,701,748,1088,108,1199,537,36,578,649,25,680,347,5,352,124,0,124,2800,878,3675
SAL10113,0,4,4,3,0,3,5,0,5,3,0,3,0,0,0,0,0,0,14,4,20
SAL10114,0,8,10,23,11,37,12,0,14,7,0,7,5,0,5,0,0,3,60,19,78
SAL10115,29,254,279,503,59,561,243,17,256,316,19,330,139,6,141,55,3,64,1277,356,1631
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,14,185,195,215,21,236,118,5,121,91,4,95,38,0,38,13,0,13,486,216,695
SAL10118,3,7,9,22,5,24,9,0,7,8,0,8,3,0,3,0,0,0,47,12,57
SAL10119,0,31,29,40,4,41,28,0,28,17,0,21,16,0,16,8,0,12,106,40,148
SAL10120,0,23,23,35,0,37,15,0,9,13,0,13,4,0,4,0,0,0,58,23,87
SAL10121,6,10,17,26,3,33,5,0,5,4,0,4,3,0,3,0,0,4,48,22,67
SAL10122,3,4,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAL10123,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAL10124,0,0,0,0,4,7,4,0,4,9,0,8,0,0,0,0,0,0,13,8,17
SAL10125,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SAL10126,0,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
