SAL_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SAL10001,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SAL10002,576,5,0,0,0,581,498,5,0,0,0,499,84,4,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,116,8,0,0,0,130,12,0,0,0,0,12,37,3,0,0,0,38,1239,24,0,0,0,1264
SAL10003,326,146,387,0,0,852,206,97,234,0,0,536,60,67,421,5,0,552,27,40,75,0,0,138,3,3,38,0,0,42,18,13,52,3,0,85,6,0,0,0,0,11,0,0,0,0,0,4,108,122,588,14,0,829,7,6,18,0,0,27,21,24,57,0,0,94,665,387,1279,14,0,2344
SAL10004,141,0,0,0,0,140,187,3,0,0,0,188,35,0,0,0,0,40,0,3,0,0,0,3,0,0,0,0,0,0,7,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,45,12,0,0,0,59,4,0,0,0,0,4,5,0,0,0,0,5,381,17,0,0,0,394
SAL10005,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,14,0,0,0,0,14
SAL10006,270,25,0,0,0,295,316,19,0,0,0,340,147,105,12,0,0,261,0,15,0,0,0,11,0,6,0,0,0,5,40,13,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,195,139,12,0,0,347,6,0,0,0,0,6,21,15,0,3,0,40,815,199,14,3,0,1025
SAL10007,272,0,0,37,0,312,297,0,0,0,0,298,66,31,0,0,0,99,17,0,0,0,0,17,0,0,0,0,0,0,58,4,0,0,0,60,7,4,0,0,0,13,0,0,0,0,0,0,157,37,0,0,0,196,15,0,0,0,0,17,35,0,0,4,0,45,778,44,0,43,0,871
SAL10008,18,0,0,0,0,18,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,38,0,0,0,0,38
SAL10009,454,22,3,0,0,473,949,22,0,0,0,970,505,91,3,0,0,603,7,5,0,0,0,14,7,5,0,0,0,10,40,8,0,0,0,45,6,0,0,0,0,11,0,0,0,0,0,0,566,113,8,0,0,682,7,0,0,0,0,8,39,12,0,0,0,52,2009,163,11,0,0,2184
SAL10010,315,0,0,0,0,317,372,6,3,0,0,383,88,17,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,0,54,8,0,0,0,0,8,4,0,0,0,0,4,147,25,4,0,0,170,8,0,0,0,0,6,29,0,0,0,0,30,873,32,7,0,0,918
