SAL_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10002,34,0,0,0,0,34,7,0,0,0,0,7,12,0,0,0,0,12,6,0,0,0,0,6,15,0,0,0,0,11,47,0,0,0,0,47,40,0,0,0,0,40,78,0,0,0,0,78,56,0,0,0,0,56,96,0,0,0,0,96,58,0,0,0,0,58,38,0,0,0,0,39,498,5,0,0,0,499
SAL10003,9,3,16,0,0,31,6,0,3,0,0,11,0,4,0,0,0,3,4,0,5,0,0,12,3,0,0,0,0,11,6,9,19,0,0,28,12,5,18,0,0,33,23,11,25,0,0,54,13,6,35,0,0,59,24,21,44,0,0,95,87,30,48,0,0,170,15,3,15,0,0,34,206,97,234,0,0,536
SAL10004,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,30,0,0,0,0,30,42,0,0,0,0,43,46,0,0,0,0,49,17,0,0,0,0,17,15,0,0,0,0,15,3,0,0,0,0,3,8,0,0,0,0,8,187,3,0,0,0,188
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,12,0,0,0,0,15,7,0,0,0,0,7,7,0,0,0,0,7,8,4,0,0,0,14,26,0,0,0,0,26,80,9,0,0,0,92,86,3,0,0,0,92,49,0,0,0,0,48,15,0,0,0,0,15,7,0,0,0,0,7,3,0,0,0,0,3,23,0,0,0,0,22,316,19,0,0,0,340
SAL10007,8,0,0,0,0,8,8,0,0,0,0,8,3,0,0,0,0,3,8,0,0,0,0,14,15,0,0,0,0,15,70,0,0,0,0,70,70,0,0,0,0,70,50,0,0,0,0,54,17,0,0,0,0,17,10,0,0,0,0,8,9,0,0,0,0,9,21,0,0,0,0,21,297,0,0,0,0,298
SAL10008,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SAL10009,28,0,0,0,0,28,9,0,0,0,0,9,3,0,0,0,0,8,12,0,0,0,0,12,15,0,0,0,0,19,86,8,0,0,0,100,185,12,0,0,0,195,325,0,0,0,0,325,128,0,0,0,0,128,68,0,0,0,0,68,29,0,0,0,0,29,55,0,0,0,0,55,949,22,0,0,0,970
SAL10010,23,0,0,0,0,23,8,0,0,0,0,6,12,0,0,0,0,12,13,0,0,0,0,13,32,0,0,0,0,29,91,3,0,0,0,94,84,0,0,0,0,84,65,0,0,0,0,62,16,0,0,0,0,17,17,0,0,0,0,17,4,0,0,0,0,4,19,0,0,0,0,19,372,6,3,0,0,383
