SAL_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SAL10001,15,9,28,10,6,8,0,0,0,0,0,0,0,0,0,6,3,16,0,3,7,0,0,0,61.5,41.7,52,61.5,41.7,52,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,3,11,10,22,0,0,0,13,8,15,3,4,7
SAL10002,1720,1822,3536,634,478,1110,183,353,533,209,189,397,31,25,58,1055,1043,2095,620,724,1338,3.1,2.4,2.8,61.3,57.3,59.2,59.4,55.9,57.6,59,50,111,11,32,49,269,337,604,158,216,372,381,161,547,12,33,39,50,63,112,436,253,697,1860,1924,3786,137,145,278,1567,1595,3167,357,395,753
SAL10003,2126,2470,4599,929,714,1640,284,496,780,112,159,269,53,46,93,1373,1413,2784,651,908,1564,3.7,3,3.4,64.6,57.1,60.5,62.2,55.4,58.5,252,264,513,51,103,158,520,613,1131,199,289,490,338,148,480,13,25,33,45,77,124,395,250,643,2125,2359,4478,282,312,597,1450,1625,3073,827,943,1766
SAL10004,406,458,858,230,159,392,53,132,179,13,18,29,3,7,16,299,319,613,98,127,230,1.3,2.5,2,73.5,69.1,71.2,72.5,67.3,69.8,16,22,41,9,17,30,54,95,150,33,49,77,144,67,209,4,8,15,6,17,22,157,92,245,443,496,946,66,61,125,294,340,627,195,195,393
SAL10005,11,8,17,5,0,5,0,3,4,0,0,0,0,0,0,5,3,9,5,5,11,0,0,0,45.5,33.3,40,45.5,33.3,40,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,11,8,15,0,0,4,10,8,13,7,0,5
SAL10006,976,1033,2016,374,208,579,136,251,385,34,66,100,53,37,89,594,564,1154,352,440,790,8.6,6.9,7.8,60.7,54.2,57.4,55.5,50.5,52.9,7,10,21,4,12,16,28,67,92,41,99,137,332,227,558,13,34,43,12,20,31,349,281,632,1005,1042,2042,181,174,358,679,686,1362,430,469,898
SAL10007,841,810,1650,381,209,591,80,200,279,47,27,74,24,15,37,530,458,984,268,317,581,4.2,3.5,3.9,62.8,56.1,59.5,60.2,54.1,57.2,5,11,17,5,13,16,19,60,75,20,56,73,292,162,456,15,13,30,9,23,31,311,201,511,865,804,1671,120,140,256,624,568,1193,299,328,628
SAL10008,44,49,89,33,11,47,3,16,17,0,0,0,0,0,0,38,33,69,3,11,15,0,3.1,1.4,86.4,71.1,78.7,86.4,68.9,77.5,0,0,4,0,0,0,3,9,10,6,9,7,12,3,13,0,0,0,0,5,3,12,8,23,48,48,96,5,4,19,38,38,80,11,13,26
SAL10009,2253,2553,4806,1270,789,2056,294,758,1049,89,145,235,77,65,147,1727,1763,3485,486,737,1220,4.6,3.8,4.2,76.5,69,72.5,73,66.3,69.4,46,62,105,19,50,68,158,294,460,181,303,485,821,579,1396,25,62,85,27,56,80,868,695,1560,2409,2648,5057,550,584,1128,1331,1417,2747,1420,1598,3016
SAL10010,982,949,1929,416,192,604,118,275,391,40,56,100,50,29,80,621,550,1174,321,373,691,7.7,5.8,6.8,63.6,58.2,61,58.8,54.9,56.8,3,5,11,8,16,24,29,61,95,38,86,124,372,221,591,13,27,34,13,28,38,392,272,661,1066,1011,2077,152,155,304,733,721,1458,396,380,780
