SAL_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,0,3,0,4,0,13
SAL10002,22,19,26,12,0,0,111,3,10,8,16,9,4,0,0,49,84,178,89,105,78,58,14,5,604,19,58,59,94,92,42,5,0,372,47,68,78,103,158,64,22,9,547,8,3,4,11,17,0,0,0,39,9,9,4,26,42,13,0,0,112,67,84,90,141,216,77,18,9,697,4,4,0,3,11,0,0,3,32,25,19,15,30,36,16,5,0,148,200,389,284,407,461,210,43,11,2015
SAL10003,129,95,100,89,23,5,513,0,22,27,37,26,24,8,0,158,59,233,270,224,156,110,56,20,1131,21,53,92,99,93,89,39,13,490,17,70,82,89,91,64,58,8,480,0,6,3,3,11,9,0,0,33,0,6,11,19,43,32,16,5,124,20,86,94,116,139,105,69,9,643,0,3,5,6,10,11,4,5,48,20,35,36,22,24,71,67,61,339,131,502,657,602,549,508,267,110,3317
SAL10004,10,13,13,0,4,0,41,0,4,11,9,3,7,0,0,30,0,30,34,43,25,16,7,0,150,0,5,21,21,17,10,5,0,77,21,30,43,40,47,18,6,0,209,6,0,0,6,0,3,0,0,15,0,0,0,6,3,4,3,0,22,22,39,47,50,54,26,9,0,245,0,0,4,0,0,0,0,0,11,0,0,3,4,5,0,0,0,24,28,83,127,140,114,62,26,0,579
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,11
SAL10006,3,0,0,0,0,0,21,0,4,0,3,3,0,0,0,16,3,20,21,18,11,12,3,0,92,8,26,33,32,23,15,0,0,137,47,144,94,120,84,42,22,3,558,8,14,6,10,8,0,0,0,43,0,6,4,3,8,3,0,0,31,54,167,108,130,100,50,22,3,632,5,0,0,0,0,8,0,0,13,20,11,17,13,14,12,13,3,100,90,235,186,194,162,89,40,8,1006
SAL10007,4,5,12,0,0,0,17,3,0,5,0,4,4,0,0,16,3,26,12,13,9,8,0,0,75,3,15,12,12,19,10,5,0,73,44,96,99,88,74,28,20,0,456,4,7,4,3,3,6,0,0,30,0,6,3,4,10,4,0,0,31,54,116,108,94,87,37,16,0,511,0,3,0,0,3,0,0,0,5,14,17,11,17,28,20,20,6,128,73,179,146,148,157,86,40,11,828
SAL10008,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,7,0,4,0,0,10,0,0,0,0,0,4,0,0,7,0,6,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,6,8,5,4,4,3,0,23,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,12,11,9,9,7,5,13,5,0,58
SAL10009,30,17,21,4,3,0,105,0,15,7,18,14,11,0,0,68,34,132,149,66,44,27,5,0,460,25,118,140,112,58,25,13,0,485,140,379,342,246,190,73,26,0,1396,21,25,14,16,8,7,0,0,85,3,9,6,22,18,14,3,0,80,164,412,364,285,214,92,29,0,1560,6,4,0,4,4,0,3,4,18,23,34,30,26,25,24,8,5,173,241,744,727,533,378,179,58,14,2869
SAL10010,4,0,3,0,0,0,11,0,0,4,4,4,3,0,0,24,4,24,23,14,12,10,3,0,95,5,25,29,27,26,8,3,0,124,55,129,128,110,105,45,12,0,591,5,6,9,7,3,0,0,0,34,3,0,8,6,8,4,0,0,38,65,140,144,124,117,57,19,0,661,0,4,0,0,0,0,0,0,7,10,17,13,13,17,14,3,0,93,84,210,215,183,175,94,34,0,1006
