SAL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,9,0,0,0,16
SAL10002,0,10,22,12,10,11,0,0,0,63,6,12,14,12,23,29,6,0,0,98,126,233,368,282,443,470,108,3,0,2039
SAL10003,0,4,15,23,26,15,11,0,0,92,3,10,19,25,30,16,10,3,0,117,79,154,463,612,622,488,237,30,0,2687
SAL10004,0,0,6,3,3,0,0,0,0,16,0,5,5,0,0,0,0,0,0,10,54,33,92,132,150,114,23,0,0,600
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,9
SAL10006,5,11,15,9,5,0,0,0,0,47,0,0,11,10,7,5,0,0,0,38,77,103,265,203,230,161,18,0,0,1065
SAL10007,4,11,14,3,8,12,0,0,0,48,0,3,9,0,9,3,0,0,0,31,68,91,191,176,191,175,37,12,0,944
SAL10008,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,5,0,7,10,11,12,15,6,0,67
SAL10009,9,16,46,30,27,12,0,0,0,146,3,17,31,36,19,7,3,0,0,114,246,332,838,823,634,397,62,3,0,3337
SAL10010,6,7,18,4,6,4,0,0,0,40,6,5,12,7,9,6,0,0,0,48,67,104,263,234,218,182,25,3,0,1098
