SAL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SAL10001,4,0,8,0,0,0,0,0,7,16
SAL10002,308,461,256,155,377,202,120,130,31,2039
SAL10003,597,957,191,147,406,214,46,85,46,2687
SAL10004,95,136,83,58,89,56,33,48,0,600
SAL10005,3,0,0,4,0,0,0,0,0,9
SAL10006,68,84,187,206,84,120,138,159,20,1065
SAL10007,71,76,208,105,84,59,177,139,21,944
SAL10008,39,7,4,6,3,4,3,9,0,67
SAL10009,315,490,550,494,421,321,387,312,48,3337
SAL10010,83,98,207,144,123,89,174,161,11,1098
SAL10011,16,13,31,19,17,18,25,21,6,169
SAL10012,10,0,0,0,4,0,0,3,0,19
SAL10013,5,0,0,0,0,0,0,7,0,11
SAL10014,271,557,192,189,344,170,124,114,31,1980
SAL10015,45,30,42,13,15,0,19,34,3,206
SAL10016,396,1064,437,423,450,287,137,242,23,3462
SAL10017,397,926,344,303,352,220,106,164,44,2860
SAL10018,51,49,57,46,44,32,62,61,10,411
SAL10019,22,4,0,0,9,0,3,10,0,41
SAL10020,3,0,0,0,0,0,0,3,0,11
SAL10021,88,75,98,44,70,39,42,38,9,501
SAL10022,49,81,88,121,68,62,101,135,19,722
SAL10023,6,15,5,3,0,6,0,8,0,48
SAL10024,25,4,8,6,0,0,0,0,0,42
SAL10025,606,1048,1187,989,934,672,668,696,102,6900
SAL10026,258,327,495,506,357,269,324,339,51,2937
SAL10027,439,768,301,286,312,209,101,164,45,2621
SAL10028,38,38,38,59,31,32,25,33,3,298
SAL10029,29,11,4,3,9,3,10,3,0,82
SAL10030,1424,2896,451,376,713,403,113,164,99,6637
SAL10031,286,421,212,130,308,120,66,63,19,1619
SAL10032,14,5,7,3,11,6,3,8,0,60
SAL10033,0,0,0,0,0,0,0,0,0,0
SAL10034,4,11,3,0,10,5,0,4,0,35
SAL10035,17,12,3,7,9,0,0,0,0,50
SAL10036,761,1007,390,360,442,306,95,170,46,3579
SAL10037,5,11,4,0,4,3,3,3,0,42
SAL10038,249,692,293,314,337,253,151,308,53,2645
SAL10039,13,6,6,4,0,0,0,3,0,30
SAL10040,4,9,9,10,12,3,3,6,0,67
SAL10041,7,5,14,3,8,9,12,16,3,78
SAL10042,3,5,3,0,3,4,4,0,0,24
SAL10043,14,9,0,0,4,0,0,3,0,30
SAL10044,19,20,14,7,11,8,0,3,0,87
SAL10045,53,52,34,35,18,15,6,16,3,230
SAL10046,314,543,327,370,295,217,95,262,35,2458
SAL10047,12,8,8,0,3,0,4,7,7,43
SAL10048,3,6,0,3,0,3,3,3,0,21
SAL10049,238,325,333,304,349,285,359,326,57,2566
SAL10050,8,3,0,0,0,0,0,0,0,16
SAL10051,6,0,0,0,0,0,0,0,0,3
SAL10052,17,0,0,4,4,0,0,0,0,24
SAL10053,7,0,3,0,4,0,0,3,3,24
SAL10054,15,0,0,0,0,0,0,3,0,29
SAL10055,11,8,5,0,5,0,0,7,0,33
SAL10056,13,12,9,5,7,7,10,18,0,80
SAL10057,0,0,4,5,0,0,0,0,0,16
SAL10058,6,6,4,0,4,0,3,7,0,34
SAL10059,17,20,9,16,4,5,0,6,0,86
SAL10060,32,21,21,10,21,11,16,18,5,164
SAL10061,151,229,319,248,192,168,98,177,29,1615
SAL10062,1121,2372,325,340,559,327,71,112,76,5305
SAL10063,148,129,137,61,122,56,27,58,15,743
SAL10064,188,243,304,164,234,133,153,132,26,1582
SAL10065,10,0,3,0,0,0,0,0,0,26
SAL10066,11,4,6,0,0,0,0,5,0,21
SAL10067,5,4,5,0,0,0,0,0,0,11
SAL10068,14,7,0,12,8,6,5,3,0,50
SAL10069,6,0,0,0,0,0,0,0,0,11
SAL10070,24,44,32,29,20,16,4,12,5,192
SAL10071,19,17,13,9,9,11,4,7,5,93
SAL10072,0,0,0,0,0,0,0,0,0,0
SAL10073,170,190,98,65,81,52,23,54,10,736
SAL10074,66,95,136,95,92,47,51,57,15,650
SAL10075,7,3,4,0,3,0,0,0,3,20
SAL10076,31,16,7,3,13,6,0,5,0,88
SAL10077,53,14,8,19,8,15,18,16,4,155
SAL10078,0,4,4,0,0,0,4,7,0,11
SAL10079,40,66,113,78,57,67,62,83,7,582
SAL10080,20,4,13,15,7,8,7,9,0,80
SAL10081,3,0,0,0,0,0,0,0,0,0
SAL10082,60,27,14,13,10,9,7,22,5,175
SAL10083,10,0,3,0,3,0,0,0,0,27
SAL10084,5,0,0,0,0,0,0,0,0,12
SAL10085,38,10,5,8,8,0,8,6,5,74
SAL10086,1300,2783,1206,1387,1160,866,389,1111,145,10348
