SAL_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,7,16
SAL10002,0,4,8,9,17,49,9,28,0,126,14,56,34,36,40,28,10,12,0,233,43,137,50,23,55,17,14,16,8,368,55,75,33,5,46,21,20,9,5,282,90,93,44,32,98,32,28,22,11,443,81,79,64,32,101,47,32,33,4,470,18,21,13,11,16,6,16,13,0,108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,308,461,256,155,377,202,120,130,31,2039
SAL10003,3,9,5,17,12,24,0,13,3,79,12,47,17,25,26,25,0,5,0,154,63,200,55,23,56,44,4,11,8,463,178,242,35,25,69,31,9,12,17,612,171,200,39,30,98,37,9,20,11,622,119,162,26,19,92,32,10,18,4,488,42,89,19,6,41,11,4,10,4,237,0,4,0,0,3,3,0,3,4,30,0,0,0,0,0,0,0,0,0,0,597,957,191,147,406,214,46,85,46,2687
SAL10004,0,3,9,6,4,16,4,14,0,54,0,7,6,4,6,7,0,4,0,33,13,26,20,10,11,7,4,8,0,92,25,43,14,12,24,9,8,0,0,132,33,41,13,13,25,8,8,8,0,150,22,18,14,12,26,10,10,12,0,114,5,5,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,136,83,58,89,56,33,48,0,600
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,9
SAL10006,0,0,10,16,0,24,3,19,0,77,4,0,28,22,7,14,3,17,3,103,13,20,63,40,27,29,26,39,4,265,10,16,33,51,16,16,27,30,5,203,25,29,22,41,13,17,51,32,7,230,8,15,25,26,19,11,31,19,0,161,0,3,6,8,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,84,187,206,84,120,138,159,20,1065
SAL10007,0,3,20,12,0,18,0,17,0,68,4,0,36,13,5,5,8,18,0,91,18,22,58,15,19,10,28,23,7,191,10,19,41,22,14,9,46,19,0,176,16,6,24,21,18,6,54,29,6,191,16,14,27,20,16,11,32,39,0,175,9,4,3,5,4,0,7,4,0,37,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,71,76,208,105,84,59,177,139,21,944
SAL10008,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,5,0,0,0,0,0,5,0,0,10,7,0,0,0,4,0,0,0,0,11,8,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,39,7,4,6,3,4,3,9,0,67
SAL10009,7,5,23,31,12,91,12,55,3,246,15,38,66,73,33,46,18,31,3,332,60,129,175,128,100,62,106,66,3,838,96,151,135,118,113,40,98,68,14,823,83,95,87,78,98,49,88,49,15,634,49,65,58,56,52,20,58,39,10,397,4,11,3,8,11,5,6,7,0,62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,315,490,550,494,421,321,387,312,48,3337
SAL10010,0,0,13,12,0,17,8,11,0,67,7,6,23,13,4,16,12,15,6,104,20,23,59,40,33,13,33,38,3,263,16,29,49,27,37,18,38,23,0,234,25,18,41,22,25,17,34,35,0,218,15,17,20,27,26,7,41,34,0,182,4,5,4,0,0,0,7,3,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,83,98,207,144,123,89,174,161,11,1098
