SED_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
SED10001,379,1940,211,3,2528,252,1890,194,0,2342,523,4000,399,12,4931,825,3533,370,0,4728,969,3612,367,4,4950,1062,3995,346,3,5403,1007,3592,294,5,4897,482,1985,215,3,2684,78,668,100,0,843,5578,25201,2504,28,33309,426,1866,195,0,2493,293,1878,149,0,2322,631,4081,312,13,5045,1041,3746,327,7,5118,1094,3865,267,0,5228,1153,4203,318,5,5679,1186,3558,275,0,5024,632,2174,301,0,3107,112,1094,144,0,1354,6570,26472,2291,36,35371,807,3807,407,5,5022,545,3771,344,4,4663,1153,8082,717,29,9981,1862,7278,697,7,9848,2062,7476,634,4,10175,2218,8198,666,6,11088,2187,7155,568,5,9916,1112,4159,517,3,5792,189,1761,249,0,2198,12144,51680,4792,66,68682
SED10002,193,2333,253,3,2779,314,4739,655,23,5739,775,12433,1728,39,14973,652,8088,1234,27,10009,456,5320,738,22,6541,403,4800,499,22,5715,251,3092,271,23,3638,71,1435,172,4,1680,9,434,118,0,564,3115,42677,5663,170,51629,238,2173,196,4,2606,493,3872,417,12,4802,826,10795,1040,35,12697,755,6819,670,20,8268,508,5073,424,23,6033,420,4895,385,33,5729,284,3121,233,17,3655,85,1487,139,11,1715,19,618,92,0,728,3635,38846,3591,162,46238,430,4503,448,7,5394,812,8619,1079,38,10537,1603,23229,2765,78,27669,1404,14908,1908,54,18276,963,10399,1158,47,12566,821,9687,884,51,11444,533,6205,508,43,7290,158,2916,309,17,3391,29,1049,208,0,1293,6755,81526,9256,334,97865
SED10003,237,1698,210,0,2146,158,1353,147,20,1674,439,3438,442,32,4354,758,3759,442,8,4972,965,3806,392,16,5174,1006,4186,383,8,5590,1220,3907,358,12,5494,543,1936,192,4,2680,86,701,102,0,896,5412,24784,2675,107,32977,273,1567,153,3,2003,206,1433,178,14,1827,665,3859,449,33,5008,1094,3924,423,11,5447,1298,4228,429,16,5967,1330,4438,395,11,6168,1606,3776,348,11,5733,697,2080,218,4,2998,120,1183,209,3,1517,7281,26480,2798,106,36664,513,3269,367,3,4151,361,2780,320,38,3503,1105,7291,895,66,9361,1853,7684,862,17,10420,2263,8030,822,32,11138,2337,8626,777,20,11756,2827,7680,706,22,11227,1239,4016,413,13,5680,208,1889,311,3,2410,12695,51261,5476,210,69643
SED10004,312,1240,82,0,1638,395,1937,176,12,2520,759,6103,409,40,7319,847,5749,357,20,6974,1000,4434,302,12,5759,694,3336,240,7,4282,588,2351,166,17,3122,215,1135,103,0,1457,29,327,62,0,420,4837,26611,1906,121,33477,341,1162,83,6,1587,526,2200,181,22,2921,1046,6372,451,27,7898,1258,5595,340,18,7204,1325,4457,252,9,6042,902,3516,185,19,4618,796,2749,158,11,3714,279,1344,112,3,1737,27,509,128,0,664,6496,27893,1884,119,36392,651,2396,163,8,3228,918,4133,359,33,5450,1807,12479,860,72,15213,2102,11348,696,34,14175,2326,8891,553,25,11797,1598,6851,422,30,8901,1384,5095,328,33,6835,495,2474,219,9,3195,60,841,187,0,1084,11332,54510,3790,242,69868
SED10005,192,2728,289,6,3215,223,2849,401,8,3476,395,6038,841,18,7294,377,5056,757,15,6203,312,4513,557,8,5393,276,4518,393,12,5204,190,3030,279,15,3516,102,1498,207,3,1803,25,601,127,0,752,2088,30836,3858,79,36860,238,2474,259,7,2972,309,2688,282,0,3286,523,6098,693,8,7322,499,5079,631,6,6211,345,4805,448,16,5608,315,4492,347,22,5173,220,3134,301,19,3673,78,1637,244,5,1966,25,878,273,0,1172,2543,31291,3466,77,37384,430,5204,546,6,6187,528,5540,681,8,6761,923,12138,1535,25,14614,872,10138,1388,20,12421,655,9320,1007,23,11002,589,9016,741,33,10375,413,6166,581,30,7188,178,3138,452,6,3766,52,1479,398,0,1928,4630,62131,7324,160,74246
SED10006,246,1505,350,0,2098,155,1556,297,4,2014,531,3285,653,28,4500,716,2665,591,5,3976,805,3220,665,7,4690,1005,4067,743,3,5824,971,3417,613,6,5012,435,1754,371,0,2557,73,565,140,0,782,4943,22032,4417,60,31447,271,1388,317,0,1983,213,1336,260,10,1814,620,3482,595,19,4715,898,2572,585,0,4060,958,2990,612,5,4559,1159,3760,640,5,5559,1115,2841,540,0,4493,568,1740,419,4,2731,112,906,253,0,1272,5924,21012,4212,37,31182,523,2889,662,3,4079,370,2891,555,17,3827,1150,6761,1253,47,9209,1617,5235,1170,10,8034,1767,6206,1276,9,9250,2166,7828,1377,8,11378,2089,6259,1148,12,9507,1002,3492,787,0,5286,189,1468,391,0,2051,10866,43040,8623,100,62629
SED10007,309,2131,229,0,2672,234,1885,354,0,2479,451,3702,798,9,4962,585,3342,687,7,4622,768,3749,536,6,5055,830,4181,411,9,5417,941,3490,354,4,4792,466,1945,218,0,2629,64,595,51,0,706,4650,25009,3650,36,33346,341,1870,160,0,2378,251,1748,140,4,2144,520,3827,286,4,4642,836,3257,289,4,4397,869,3964,319,9,5155,961,4179,286,3,5431,1080,3340,276,3,4699,530,1996,223,3,2749,80,1052,98,0,1231,5461,25243,2082,29,32819,649,4003,393,0,5049,489,3636,496,9,4625,975,7530,1078,12,9598,1419,6603,986,10,9015,1634,7709,853,13,10217,1788,8360,695,13,10849,2019,6834,633,7,9488,997,3936,444,6,5379,139,1643,155,0,1935,10109,50260,5732,72,66168
SED10008,423,2316,61,4,2801,439,2185,77,3,2700,457,3620,143,20,4237,752,5673,212,5,6655,899,4768,132,13,5808,726,4179,113,19,5033,637,3438,107,30,4216,411,1922,97,10,2434,36,528,79,5,646,4784,28628,1018,108,34536,463,2063,48,3,2571,528,1865,57,4,2450,542,3709,151,3,4412,1047,6067,172,19,7301,1074,4965,138,12,6188,739,4502,131,37,5416,691,3897,134,45,4765,330,2073,135,11,2547,48,739,158,0,947,5455,29875,1127,133,36588,883,4374,113,6,5381,963,4051,130,0,5153,999,7331,295,25,8651,1800,11739,389,25,13954,1977,9729,267,19,11995,1471,8678,244,49,10448,1331,7333,241,75,8976,736,3994,235,24,4983,82,1269,236,7,1591,10240,58504,2146,241,71130
SED10009,246,1518,228,3,1991,145,1140,136,5,1424,347,2520,273,13,3153,532,2567,256,4,3358,731,3332,373,5,4436,1253,4569,453,8,6278,1710,4882,474,6,7069,714,2501,280,4,3497,101,811,144,0,1053,5768,23838,2613,40,32258,233,1307,193,4,1736,139,1062,110,3,1314,421,2614,242,10,3288,814,2589,293,4,3701,961,3516,339,0,4823,1586,5079,423,9,7091,1982,4527,406,6,6926,804,2492,328,3,3624,109,1180,256,0,1548,7050,24371,2593,37,34052,475,2822,429,6,3728,284,2200,248,5,2741,765,5135,520,21,6445,1348,5157,544,10,7059,1689,6854,714,3,9255,2834,9650,873,12,13372,3692,9408,878,11,13993,1515,4994,604,3,7119,210,1986,404,0,2597,12816,48211,5206,80,66316
SED10010,235,2228,187,3,2655,295,3074,285,0,3648,499,6578,681,17,7772,600,6239,484,9,7333,488,4498,344,10,5336,384,4087,306,10,4789,257,3017,208,20,3500,103,1401,151,4,1657,20,444,72,3,532,2875,31563,2719,71,37232,274,1946,177,0,2402,338,2593,240,6,3180,561,6431,584,12,7592,662,5926,499,10,7098,541,4437,336,21,5331,430,4173,253,38,4890,325,3256,233,35,3848,127,1639,162,3,1937,26,772,116,0,911,3284,31187,2596,128,37196,509,4177,366,6,5057,634,5668,529,4,6831,1064,13004,1269,28,15362,1259,12171,985,15,14434,1026,8941,676,28,10667,812,8260,559,50,9676,581,6276,433,53,7347,225,3045,318,8,3593,44,1216,188,3,1449,6159,62751,5314,196,74422
