SED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SED10001,2019,3584,1549,983,2248,693,6,11088,1241,2484,1651,1198,2708,632,5,9916,630,1088,778,692,2069,530,3,5792,249,301,166,133,1095,255,0,2198,13413,18662,8737,6155,16676,4981,66,68682
SED10002,1506,2362,1309,1145,4160,910,51,11444,903,1431,888,732,2763,538,43,7290,445,595,298,243,1476,320,17,3391,137,134,69,44,701,216,0,1293,14616,18225,7857,7379,39851,9597,334,97865
SED10003,2066,4163,1982,993,1749,785,20,11756,1455,3254,2182,1325,2266,733,22,11227,671,1263,892,718,1675,444,13,5680,253,343,164,136,1179,341,3,2410,13921,20512,9613,6114,13640,5616,210,69643
SED10004,1704,3437,1404,512,1367,444,30,8901,1062,2334,1184,489,1398,335,33,6835,436,907,458,216,952,218,9,3195,145,165,71,34,482,188,0,1084,15814,24186,8589,3948,13257,3838,242,69868
SED10005,1230,2073,1160,1083,4002,795,33,10375,824,1292,821,687,2919,619,30,7188,393,572,359,294,1683,464,6,3766,165,194,93,62,998,404,0,1928,10488,12460,6187,6531,30758,7663,160,74246
SED10006,1713,2923,1377,1064,2885,1407,8,11378,1127,1902,1228,1136,2922,1183,12,9507,523,775,575,590,1939,875,0,5286,219,206,107,107,1010,408,0,2051,10081,14329,6749,5635,16922,8816,100,62629
SED10007,1683,3395,1742,1208,2120,702,13,10849,1103,2337,1614,1307,2454,659,7,9488,585,1017,733,626,1942,477,6,5379,213,271,147,84,1058,164,0,1935,11986,17726,8551,6373,15629,5830,72,66168
SED10008,1515,3477,2022,1308,1805,263,49,10448,990,2486,1923,1297,1953,252,75,8976,617,1175,773,620,1519,264,24,4983,169,222,106,69,784,234,7,1591,14105,20128,10779,7427,16196,2255,241,71130
SED10009,2073,4424,2469,1438,2063,887,12,13372,1536,3826,2791,2114,2805,893,11,13993,734,1504,1160,1016,2065,634,3,7119,259,343,230,172,1223,369,0,2597,11171,18791,10424,7228,13379,5239,80,66316
SED10010,1297,2370,1256,1039,3071,591,50,9676,817,1431,950,822,2788,486,53,7347,415,585,340,295,1603,357,8,3593,148,137,76,61,822,201,3,1449,11692,15678,7665,6859,26729,5598,196,74422
