SED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SED10001,200,329,530,95,129,224,109,403,513,106,761,870,426,2066,2490,524,1425,1947,1599,912,2514,1301,1078,2383,1564,1111,2681,1868,756,2620,1398,577,1976,1479,385,1857,3040,615,3659,2103,99,2201,1574,124,1702,912,39,954,1821,220,2047,1436,117,1553,362,605,966,21911,11755,33669
SED10002,580,621,1195,113,121,235,185,327,517,235,742,975,565,1021,1590,596,580,1183,1452,544,1995,1390,701,2088,1861,942,2809,2118,807,2929,1639,773,2411,1643,622,2264,3532,1209,4737,2453,302,2754,1938,351,2290,1339,147,1486,3402,545,3944,1490,365,1852,334,360,696,26857,11094,37951
SED10003,173,323,496,91,154,247,75,296,375,103,623,727,332,1749,2080,392,1395,1786,1266,854,2119,1206,1020,2227,1520,918,2441,1753,690,2444,1249,510,1759,1363,391,1753,2689,674,3363,1889,209,2097,1443,215,1650,891,86,971,2601,457,3053,1460,305,1769,248,511,760,20745,11375,32122
SED10004,186,570,751,80,149,225,67,390,456,69,756,831,198,1162,1365,218,762,983,417,751,1167,467,844,1313,633,1075,1707,719,980,1698,598,950,1553,727,827,1557,1810,1815,3627,1511,218,1725,1604,685,2292,1283,151,1431,9312,1575,10888,909,354,1264,121,297,418,20933,14313,35243
SED10005,463,397,857,116,84,195,181,389,567,214,812,1023,595,1288,1887,663,554,1215,1621,452,2068,1409,527,1940,1692,552,2245,1866,380,2247,1367,313,1683,1341,234,1571,2508,307,2816,1744,70,1810,1240,70,1306,814,33,846,1854,106,1957,1218,99,1317,363,308,673,21264,6963,28229
SED10006,307,390,700,106,144,256,94,407,503,129,824,944,462,2202,2665,488,980,1468,1485,664,2148,1168,979,2143,1323,870,2193,1393,651,2047,931,516,1446,1046,446,1489,2036,723,2758,1417,86,1508,1088,203,1299,657,50,707,1407,323,1727,1553,98,1649,475,832,1303,17566,11384,28949
SED10007,177,355,530,96,155,251,95,360,459,121,746,869,417,1984,2405,408,1119,1527,1435,696,2131,1233,925,2161,1474,875,2347,1650,624,2282,1162,574,1735,1233,396,1627,2598,641,3234,2026,85,2114,1447,129,1577,983,23,1010,2105,238,2346,1478,94,1574,297,491,789,20447,10516,30962
SED10008,264,191,454,135,67,201,84,120,195,67,181,242,251,528,780,259,381,642,684,286,969,709,328,1037,927,349,1276,1190,294,1488,948,321,1268,1084,230,1315,2479,446,2921,2169,55,2219,2138,111,2253,1704,25,1723,7823,204,8027,1153,53,1210,167,122,293,24227,4293,28520
SED10009,239,342,576,148,169,316,105,398,506,137,798,935,502,2268,2771,520,1441,1963,2055,958,3011,1656,1026,2680,1915,982,2896,2214,659,2870,1294,486,1777,1372,356,1727,2464,524,2987,1562,119,1675,1074,154,1229,596,39,636,1245,311,1558,1390,101,1491,317,614,932,20793,11741,32532
SED10010,317,342,657,82,93,176,120,257,381,131,580,708,374,1148,1525,444,505,949,1168,418,1585,1036,604,1637,1300,621,1916,1723,489,2214,1460,379,1835,1465,298,1762,3368,514,3885,2502,116,2619,1984,116,2094,1270,58,1331,2581,159,2737,1197,134,1329,268,283,550,22787,7112,29897
SED10011,136,285,421,70,128,195,76,275,352,76,505,581,275,1532,1808,309,1040,1344,970,703,1672,996,753,1750,1344,767,2113,1561,556,2121,1116,414,1533,1175,369,1544,2563,661,3220,2052,68,2114,1797,134,1928,1168,28,1191,3176,263,3441,994,77,1068,131,264,391,19973,8822,28793
SED10012,470,352,823,107,61,166,171,222,391,220,521,736,515,969,1481,561,391,947,1565,302,1874,1362,408,1762,1555,386,1946,1615,242,1860,1282,157,1439,1223,120,1353,2217,179,2394,1633,39,1675,1281,40,1327,799,9,805,1903,49,1953,1089,57,1138,258,198,455,19827,4699,24525
SED10013,299,292,589,87,71,161,86,152,243,103,311,407,287,840,1127,401,520,920,1151,385,1529,1070,550,1617,1519,641,2163,1816,499,2315,1734,462,2190,1910,382,2294,4882,629,5509,4398,65,4467,3720,132,3848,2622,28,2656,6339,171,6513,1592,75,1666,336,202,537,34337,6408,40746
SED10014,255,293,550,80,72,151,105,253,361,153,569,725,407,1216,1627,522,704,1226,1331,463,1790,1229,657,1883,1486,682,2163,1723,536,2253,1379,391,1768,1452,291,1742,2977,398,3372,2094,58,2147,1546,65,1610,1010,23,1031,1932,91,2023,1177,96,1273,254,310,562,21105,7156,28269
SED10015,449,532,982,105,105,218,126,284,414,159,669,835,452,1272,1721,428,695,1127,1424,540,1958,1104,663,1770,1484,753,2231,1762,657,2422,1320,553,1873,1426,480,1905,2873,757,3632,2309,165,2480,1795,203,1999,1320,52,1366,3588,265,3856,1168,207,1370,291,311,595,23589,9156,32745
SED10016,290,171,470,108,74,182,81,112,193,78,153,233,254,466,718,251,316,565,649,262,910,682,282,966,914,353,1269,1150,290,1442,941,259,1204,1135,223,1352,2849,475,3322,2547,47,2593,2756,115,2877,2187,24,2212,9390,205,9597,1405,54,1457,203,114,321,27864,4010,31870
SED10017,211,272,487,74,105,176,86,237,327,125,540,667,364,1609,1970,505,893,1397,1583,520,2105,1378,715,2100,1485,763,2244,1752,504,2261,1392,397,1786,1445,286,1737,3209,514,3718,2477,64,2540,1913,96,2013,1109,28,1136,2185,157,2342,1492,97,1590,291,376,663,23069,8182,31253
SED10018,167,209,376,67,96,166,71,234,310,80,512,595,290,1628,1910,295,897,1193,1087,503,1589,1040,690,1727,1230,697,1921,1349,525,1876,1027,402,1428,1031,346,1378,2503,601,3103,2120,103,2223,2017,159,2176,1342,54,1393,3459,201,3659,1154,137,1284,193,295,487,20517,8288,28806
SED10019,236,315,552,127,130,263,92,379,468,174,779,950,496,2287,2783,550,1425,1974,2170,843,3014,1733,1040,2770,1967,899,2869,1948,545,2489,1297,406,1701,1332,290,1615,2336,372,2712,1451,76,1526,971,74,1046,509,25,533,1030,156,1191,1433,105,1533,329,608,934,20179,10755,30936
SED10020,171,260,433,104,113,213,101,332,437,113,685,803,399,1776,2185,458,1426,1886,1591,781,2372,1332,875,2209,1637,884,2522,1979,608,2589,1318,433,1749,1364,339,1705,2619,475,3090,1837,95,1931,1319,100,1421,796,37,836,1770,210,1981,1339,148,1481,284,478,760,20524,10073,30603
SED10021,172,360,534,52,137,191,56,266,318,49,495,543,148,842,991,163,646,808,386,580,973,406,660,1061,580,869,1448,714,803,1516,539,838,1381,721,795,1517,1793,1850,3648,1606,323,1930,1734,728,2463,1311,216,1533,8851,1756,10609,1056,453,1515,181,353,534,20526,12978,33508
SED10022,242,332,571,107,145,254,101,362,467,107,801,910,462,2209,2669,481,1095,1576,1775,748,2532,1372,880,2250,1515,866,2378,1692,478,2169,1129,372,1503,1188,250,1438,2228,386,2614,1479,59,1537,1043,104,1152,556,10,572,1242,181,1418,1464,83,1548,409,652,1059,18601,10019,28621
SED10023,186,262,442,91,106,198,63,177,237,64,349,401,197,946,1142,197,627,820,623,497,1124,647,636,1280,852,746,1592,1036,647,1684,800,564,1362,936,428,1365,2181,822,3004,1955,79,2034,1986,233,2216,1511,53,1568,6764,353,7121,1121,89,1210,159,185,339,21371,7779,29146
SED10024,286,185,472,98,84,186,71,142,213,74,202,278,211,451,668,220,395,619,518,356,871,478,373,848,760,402,1164,907,309,1215,703,339,1040,789,231,1023,1826,466,2288,1487,40,1533,1615,146,1758,1206,17,1224,9492,354,9847,1229,43,1279,147,172,323,22138,4710,26846
SED10025,300,439,737,98,128,224,86,226,316,81,454,536,245,900,1147,283,525,809,738,488,1225,658,612,1273,872,721,1598,1115,623,1737,858,605,1464,935,567,1503,2339,1228,3563,1975,132,2110,1992,437,2429,1474,68,1543,7509,823,8330,984,130,1118,193,245,434,22743,9357,32106
SED10026,201,311,512,75,103,184,82,292,370,95,592,695,343,1618,1958,369,870,1243,1280,626,1904,1113,816,1931,1309,814,2119,1533,621,2150,1188,498,1685,1224,423,1641,2830,663,3497,2026,114,2140,1548,139,1687,951,44,997,2245,306,2550,1650,126,1777,352,531,887,20424,9500,29922
SED10027,306,314,616,87,84,172,105,219,330,121,541,660,366,1159,1529,373,505,881,1055,360,1417,927,418,1343,1169,425,1598,1408,330,1745,1069,260,1324,1090,209,1293,2497,329,2828,2119,55,2173,1821,74,1899,1275,25,1303,3690,109,3800,1066,62,1129,251,237,492,20803,5718,26528
SED10028,307,234,538,122,98,222,99,138,238,93,269,361,283,642,928,307,554,861,735,381,1112,758,423,1181,1015,490,1505,1242,361,1606,1006,354,1361,1000,283,1283,2484,537,3022,1954,73,2022,2066,158,2228,1544,31,1574,7528,247,7778,1152,78,1229,184,167,353,23882,5528,29412
SED10029,577,417,998,98,85,181,183,287,471,240,787,1020,586,1237,1827,620,614,1234,1874,375,2251,1654,483,2137,1757,462,2219,1892,348,2236,1381,204,1588,1304,167,1466,2333,204,2531,1654,43,1700,1156,33,1189,779,20,796,1652,65,1717,1127,71,1202,364,274,639,21228,6181,27401
SED10030,204,377,575,103,164,263,87,395,484,110,814,921,362,2060,2423,418,1423,1841,1342,867,2210,1202,981,2183,1429,935,2365,1695,724,2417,1240,627,1866,1265,468,1735,2744,679,3419,1972,107,2085,1637,170,1805,938,30,970,2560,288,2847,1074,128,1205,218,497,716,20586,11739,32329
SED10031,207,321,526,115,141,257,97,309,401,92,602,693,339,1654,1996,376,991,1364,1218,666,1879,1072,845,1919,1287,872,2157,1667,544,2203,1219,480,1698,1313,345,1652,2638,598,3237,2062,80,2144,1700,142,1839,1130,28,1157,3275,385,3662,1448,91,1534,258,451,716,21517,9530,31044
SED10032,460,421,885,97,86,190,173,336,510,170,739,914,513,1258,1771,559,638,1193,1344,564,1907,1240,683,1925,1578,774,2350,1793,657,2447,1490,476,1966,1448,399,1847,3289,722,4012,2231,211,2447,1806,210,2011,1156,91,1245,2837,277,3119,1255,251,1498,371,368,734,23806,9153,32961
SED10033,209,230,450,76,88,166,81,183,259,87,346,433,261,982,1250,275,578,849,870,408,1279,770,528,1296,972,570,1538,1256,487,1737,986,361,1351,1198,299,1501,2663,433,3095,2198,60,2255,1823,101,1930,1303,23,1328,3844,160,4008,1190,67,1261,232,231,461,20300,6141,26439
SED10034,156,217,370,77,91,166,60,163,227,63,313,379,242,857,1095,235,512,747,690,416,1107,745,456,1198,956,536,1486,1220,421,1645,872,386,1257,1014,345,1360,2558,631,3186,2360,53,2419,2211,120,2330,1733,27,1758,5107,217,5323,1074,57,1133,169,160,329,21545,5969,27516
SED10035,479,1237,1716,106,223,326,134,459,590,111,786,903,309,1295,1603,331,832,1159,833,758,1591,797,1053,1850,1012,1458,2474,1342,1511,2851,1097,1491,2586,1306,1410,2718,3516,3291,6803,2878,626,3506,2822,1132,3954,2266,383,2651,8129,1874,10001,1180,762,1940,216,456,667,28867,21036,49900
SED10036,273,239,515,83,64,140,94,163,254,120,368,489,343,793,1138,386,363,745,1108,281,1388,979,372,1352,1223,408,1631,1451,309,1759,1248,272,1523,1290,202,1492,2756,362,3111,2405,40,2444,2013,72,2080,1384,9,1391,3663,82,3746,1175,41,1222,281,190,474,22273,4628,26902
