SED_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SED10001,2103,12245,12286,4134,2307,33074,2284,35359
SED10002,5200,17463,9987,2850,1514,37022,3015,40036
SED10003,1355,11605,12190,3981,2230,31366,2619,33985
SED10004,7217,18002,7775,1283,413,34690,1943,36633
SED10005,3243,10845,8697,3038,1736,27559,2679,30232
SED10006,2105,10570,9428,3635,2201,27942,4154,32092
SED10007,1849,10516,10963,4340,2750,30418,2122,32538
SED10008,778,8785,12538,4034,2161,28292,678,28974
SED10009,1361,12387,12221,3896,1983,31848,2297,34143
SED10010,2847,11522,10114,3228,1629,29345,2193,31540
SED10011,1764,10912,10603,3384,1832,28500,975,29476
SED10012,2432,8227,7618,3492,2265,24032,1536,25569
SED10013,949,10188,18185,6512,4496,40330,1509,41841
SED10014,2477,10725,9598,3266,1746,27802,1869,29668
SED10015,4317,14218,9377,2712,1481,32105,2250,34360
SED10016,741,8670,14091,4869,3261,31628,778,32407
SED10017,1338,9512,12116,4792,3090,30846,1427,32274
SED10018,1662,9749,11666,3525,1920,28525,995,29525
SED10019,1514,11685,11085,3908,2016,30209,2464,32670
SED10020,1648,11486,11200,3631,2015,29974,1880,31859
SED10021,5718,16834,8228,1646,595,33024,1859,34877
SED10022,1660,9704,9890,4079,2553,27878,2304,30181
SED10023,1589,9921,11537,3606,2263,28913,955,29870
SED10024,1064,8800,11549,3441,1811,26651,590,27244
SED10025,3126,14527,10413,2495,1192,31756,1247,33002
SED10026,1539,9907,11189,4143,2497,29279,2775,32055
SED10027,2026,8810,9767,3549,2007,26163,1301,27463
SED10028,1982,11305,11246,3117,1481,29142,789,29927
SED10029,3463,9853,8355,3252,1866,26787,2194,28979
SED10030,3144,13964,10148,2996,1556,31806,1892,33701
SED10031,1266,9432,11435,4968,3427,30531,2091,32621
SED10032,4308,14394,9059,2743,1646,32154,3245,35401
SED10033,935,6615,9591,4471,4533,26149,1205,27346
SED10034,1270,8805,11314,3598,2307,27293,662,27958
SED10035,11752,25876,9164,1689,673,49157,2942,52101
SED10036,1388,7785,10781,4148,2435,26532,1477,28009
SED10037,1915,11101,10632,3260,1991,28895,745,29643
SED10038,2093,10156,11720,3692,2189,29856,1094,30946
SED10039,1102,9283,11864,4072,2704,29018,1240,30260
SED10040,5087,14404,8561,2513,1182,31744,1627,33372
SED10041,1947,12247,11277,3119,1420,30005,794,30801
SED10042,1393,10164,11593,4220,2650,30026,1243,31267
SED10043,3811,11410,8167,2879,1795,28069,2587,30655
SED10044,3641,15410,10862,2720,1400,34040,1192,35231
SED10045,1550,11242,10946,3845,2112,29700,2645,32337
SED10046,3718,10727,8947,3622,2285,29299,2607,31902
SED10047,2821,13527,14095,4366,2661,37478,2945,40419
SED10048,2142,12466,13348,4215,2288,34461,1867,36328
SED10049,1506,10165,13335,4749,2715,32470,1191,33667
SED10050,2646,13705,10895,2621,1303,31170,1057,32226
SED10051,4121,13795,10290,2653,1260,32108,1907,34014
SED10052,1958,10246,11176,3380,2034,28802,1104,29907
SED10053,1188,10239,12324,4829,3264,31844,1883,33728
SED10054,2122,9397,9801,3660,2014,26989,2122,29114
SED10055,569,5906,10897,4862,3802,26041,1035,27079
SED10056,1526,10224,11724,4588,2806,30868,3414,34283
SED10057,1787,12809,10871,3505,1909,30885,2218,33107
SED10058,3257,13948,11771,2983,1385,33342,1717,35058
SED10059,12183,16412,4909,846,334,34681,2463,37148
SED10060,6415,19220,8074,1465,615,35794,1502,37295
SED10061,1939,10838,10302,3822,2243,29144,3489,32638
SED10062,2439,10271,9476,3147,1692,27021,1136,28163
SED10063,1701,10429,11494,4092,2387,30106,2196,32302
SED10064,1481,11629,10871,3856,2196,30035,2487,32528
SED10065,6147,18468,11169,2813,1341,39935,2648,42579
SED10066,2825,12223,10641,3488,2002,31180,1908,33092
SED10067,1182,8640,11227,3671,2329,27051,1022,28071
SED10068,1843,13476,12004,3654,1904,32889,1867,34756
SED10069,1200,10956,11335,3799,2418,29700,1502,31202
SED10070,1866,9771,10082,3528,2028,27287,1516,28806
SED10071,992,12419,15780,4612,2255,36061,1427,37486
SED10072,4936,16414,9347,2531,1429,34653,2292,36947
SED10073,5125,18602,10422,2504,1112,37772,1612,39384
SED10074,2459,11674,10618,3128,1622,29507,1450,30957
SED10075,1829,10705,12460,4393,2723,32109,1412,33519
SED10076,1392,12475,11711,3566,1897,31040,2052,33089
