SED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SED10001,29622,73275,4450,6883,500,766,4950,7648,293,408,84,133,35,48,0,0,7,14,420,611,86,128,105,143,10,22,56,110,256,408,116,212,35359,82159,3702,..,39062,82159
SED10002,14802,52496,747,1553,3638,11475,4382,13026,2682,6342,2189,6036,7324,17133,7892,18478,453,1420,20543,49415,0,0,0,0,3,4,122,364,123,368,179,412,40036,115718,4428,..,44462,115718
SED10003,25141,64813,2969,5676,2600,5289,5567,10968,1338,2272,272,480,88,150,21,39,195,381,1904,3325,439,666,581,842,63,82,117,205,1202,1800,169,290,33985,81192,3764,..,37749,81192
SED10004,7360,19910,4838,11519,7983,19236,12823,30755,2773,4990,3944,6487,5785,10087,3467,6374,76,146,16046,28083,0,0,14,26,4,0,289,589,309,626,86,156,36633,79531,4758,..,41387,79531
SED10005,16429,56554,924,2595,2786,9091,3710,11688,1700,3353,4093,10116,2436,6054,1231,3429,373,1139,9828,24094,0,0,0,0,0,0,177,451,178,455,83,228,30232,93023,2333,..,32564,93023
SED10006,28580,67917,1130,1621,94,149,1221,1775,732,988,0,0,3,0,0,0,4,15,741,1008,484,884,128,224,327,561,70,163,1014,1839,546,1080,32092,73622,6113,..,38213,73622
SED10007,28517,70649,2142,3447,537,928,2680,4371,927,1371,37,46,0,0,5,9,29,56,1001,1479,79,119,31,43,25,32,84,199,220,399,115,224,32538,77120,3879,..,36418,77120
SED10008,23102,73417,495,1063,2440,6877,2934,7942,379,694,444,951,1357,2875,579,1261,110,299,2876,6078,0,0,0,0,0,0,0,0,0,0,66,174,28974,87614,1488,..,30464,87614
SED10009,28268,65790,1707,2611,1178,2059,2890,4674,1683,2614,103,166,42,65,5,6,46,77,1878,2927,325,580,512,849,53,83,53,122,940,1629,167,303,34143,75329,9135,..,43278,75329
SED10010,24203,72627,1105,2746,2847,8464,3947,11208,637,926,27,52,2153,5135,242,620,262,673,3316,7412,0,0,3,5,0,4,25,51,28,62,43,96,31540,91393,1929,..,33468,91393
SED10011,27026,67087,766,1245,561,973,1325,2215,618,863,207,288,32,46,0,0,137,302,990,1502,0,0,5,6,5,7,48,80,58,86,69,112,29476,71009,3458,..,32939,71009
