SED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SED10001,507,22,0,0,0,535,265,19,3,0,0,285,221,34,0,0,0,257,524,60,0,0,0,594,823,61,0,0,0,892,2354,89,4,8,0,2450,2026,36,0,4,0,2062,1579,19,3,0,0,1609,557,6,0,0,0,566,374,6,0,0,0,380,274,0,0,0,0,275,551,14,0,3,0,576,10054,384,16,15,8,10478
SED10002,311,63,172,3,0,558,75,13,33,0,0,126,60,9,38,0,0,112,89,20,75,0,0,178,142,18,106,0,0,270,336,97,335,0,0,778,352,123,649,5,3,1131,717,288,1559,0,0,2568,514,226,1005,0,3,1757,701,223,543,7,5,1480,567,113,274,0,0,957,430,93,295,0,0,822,4301,1298,5083,16,33,10730
SED10003,422,46,12,6,0,490,137,25,8,0,0,175,119,28,7,6,0,159,195,45,10,0,0,251,289,46,12,0,7,350,750,133,37,5,3,928,914,165,51,6,0,1134,1442,203,57,4,3,1712,910,104,20,0,0,1044,893,85,18,0,0,994,772,48,17,0,0,839,504,69,13,4,0,593,7364,992,260,41,12,8665
SED10004,128,202,103,3,0,442,25,31,17,0,0,72,23,25,29,0,0,71,30,33,30,0,0,92,32,71,54,0,0,159,116,159,163,0,4,445,101,160,202,0,0,465,204,343,400,0,0,948,203,288,380,0,0,877,443,704,491,3,0,1644,1343,1743,430,5,3,3520,165,211,136,0,0,511,2809,3972,2433,16,8,9238
SED10005,289,58,86,0,0,436,66,15,35,0,0,112,68,21,29,0,0,119,95,28,49,0,0,179,125,31,86,4,0,241,392,129,257,12,0,786,440,150,474,5,0,1070,840,256,554,10,4,1664,703,192,125,6,0,1026,798,170,102,7,0,1069,501,65,49,0,4,622,417,92,106,9,0,622,4730,1217,1955,45,10,7959
SED10006,634,4,0,4,7,648,403,3,3,0,0,413,425,7,0,3,0,442,772,0,4,3,4,781,790,3,0,6,9,804,1398,5,0,7,3,1416,806,6,0,4,9,817,537,0,4,5,12,559,204,0,0,0,0,203,158,0,0,0,0,161,194,0,0,4,7,211,512,0,4,3,6,523,6843,36,11,48,46,6984
SED10007,395,11,5,0,0,415,184,8,0,0,0,196,194,10,0,0,0,203,350,16,5,0,0,371,555,33,5,0,0,595,1650,53,20,4,0,1728,1850,48,11,4,5,1905,1930,26,5,4,0,1963,796,4,0,3,3,812,581,6,0,0,0,587,349,5,0,3,0,360,498,19,0,0,0,516,9332,237,48,18,18,9661
SED10008,597,38,22,0,0,650,122,8,6,0,0,133,69,13,5,0,0,87,147,10,12,0,0,168,189,25,6,0,0,221,524,55,47,0,0,623,575,74,64,0,3,721,1186,207,239,0,0,1637,1018,202,148,0,5,1372,1991,286,104,0,10,2394,3047,140,53,0,3,3245,748,56,37,0,4,842,10214,1110,739,0,25,12094
SED10009,490,16,19,8,3,528,258,18,7,7,0,291,188,10,3,0,0,207,330,16,16,3,0,361,442,23,25,5,4,504,1303,80,45,0,0,1435,1402,59,17,0,0,1477,1425,30,14,4,7,1484,565,7,9,0,0,575,368,10,7,0,3,389,242,4,3,0,0,251,401,14,10,0,0,431,7419,302,171,26,21,7935
SED10010,375,36,11,0,0,423,92,6,9,0,0,104,111,16,0,0,0,122,163,18,12,0,0,192,211,31,16,0,0,260,715,100,85,0,0,904,941,152,136,0,0,1231,1888,426,169,4,0,2486,1521,277,34,0,4,1842,1121,178,21,0,0,1318,477,77,10,0,0,566,578,114,29,0,0,727,8197,1434,540,4,4,10178
SED10011,517,15,8,0,0,538,200,5,5,0,0,214,152,4,5,0,0,154,307,11,5,0,0,323,381,4,5,0,0,390,1119,18,21,0,0,1160,1499,36,10,0,0,1550,2688,34,8,3,0,2731,1653,15,9,0,0,1677,1268,14,10,0,0,1289,590,8,3,0,3,601,486,11,6,0,0,504,10869,178,89,4,6,11139
SED10012,410,54,39,0,0,505,110,14,20,0,0,139,99,8,16,0,0,124,165,26,23,0,0,215,217,29,29,0,0,276,613,100,109,0,4,826,689,122,109,0,0,911,1183,166,73,0,0,1416,722,63,16,0,0,806,721,32,21,0,0,770,344,22,9,0,0,369,488,48,42,0,0,578,5753,676,501,3,9,6938
SED10013,509,12,5,0,0,531,170,7,0,0,0,180,132,11,0,0,0,146,207,13,0,0,0,222,368,11,0,0,0,376,1122,52,13,0,0,1184,1567,85,9,0,4,1670,4272,187,16,0,11,4485,4806,164,9,3,17,5002,4049,76,10,0,7,4143,1769,24,9,0,3,1805,1177,42,8,0,0,1228,20151,680,89,4,52,20971
SED10014,357,32,18,0,0,404,120,3,7,0,0,132,91,19,8,0,0,121,194,20,16,0,0,231,294,23,16,0,0,334,946,106,91,0,0,1145,1271,160,133,0,0,1564,2368,163,133,0,0,2666,1407,36,40,0,0,1488,894,34,25,0,0,947,417,14,15,0,0,450,594,20,47,0,0,652,8945,636,546,0,0,10125
SED10015,289,64,100,5,0,456,79,12,44,0,0,138,89,10,32,0,0,131,104,21,54,0,0,182,137,25,88,0,0,257,347,78,281,0,0,708,352,87,474,7,0,921,704,198,928,5,0,1843,560,151,477,0,0,1186,950,225,285,0,0,1457,1201,160,121,5,0,1487,444,70,187,5,0,709,5261,1111,3063,31,8,9475
SED10016,528,42,31,0,0,604,123,12,7,0,0,144,92,6,9,0,0,108,132,18,8,0,0,155,214,9,17,0,0,240,616,52,42,0,0,713,753,67,59,0,0,883,1566,147,188,0,0,1905,1773,150,129,0,8,2055,3434,205,100,0,4,3736,3771,138,49,0,4,3960,976,52,29,0,6,1063,13986,897,663,0,16,15567
SED10017,408,15,3,0,3,425,210,10,4,0,0,224,186,0,0,0,0,182,348,13,3,0,0,368,565,22,0,0,4,593,1985,72,13,3,0,2070,2609,45,3,0,4,2662,3016,27,3,0,0,3045,1241,5,0,0,5,1254,787,0,4,0,5,794,403,0,0,0,0,402,695,13,0,4,0,711,12452,218,35,12,20,12737
SED10018,408,31,4,0,0,442,164,15,0,0,0,176,121,10,9,0,0,140,231,16,8,0,0,260,304,11,7,0,0,328,928,109,36,0,0,1071,1285,147,52,0,0,1488,2382,157,52,0,0,2594,1438,60,13,0,0,1518,1077,27,14,0,0,1118,615,13,3,0,0,635,466,44,10,0,0,519,9425,638,212,0,0,10278
SED10019,409,20,3,3,0,434,233,3,7,4,0,241,229,9,6,0,0,248,467,8,5,8,0,489,673,25,4,4,0,705,1873,56,21,20,6,1975,1544,51,9,12,0,1625,1314,30,6,9,4,1360,410,4,3,0,4,425,254,3,6,3,0,267,181,5,3,3,0,188,441,31,6,15,0,489,8024,235,71,91,14,8440
SED10020,381,29,18,3,0,439,165,16,6,0,0,189,132,27,10,0,0,165,286,22,16,3,0,322,359,46,37,3,0,452,1078,112,97,3,0,1293,1454,130,52,4,0,1640,1980,101,51,6,3,2141,842,16,3,0,0,869,522,16,15,0,0,549,260,20,5,4,0,281,468,25,22,0,0,524,7911,573,334,36,8,8863
SED10021,156,133,179,12,0,476,8,20,30,0,0,66,14,11,31,0,0,62,20,24,40,0,0,83,32,35,78,5,0,146,59,76,207,0,0,349,56,92,235,3,0,387,105,158,488,7,0,759,79,133,447,6,0,670,211,278,739,9,0,1234,1091,1193,713,14,4,3014,197,153,224,4,0,582,2036,2311,3413,65,8,7830
SED10022,490,12,0,0,3,511,298,7,0,0,0,310,327,4,0,5,0,333,658,11,3,5,0,681,944,8,5,4,0,958,1754,27,0,9,3,1798,1174,8,3,0,0,1193,815,5,3,0,4,827,249,0,0,0,0,253,200,0,0,4,0,210,174,6,0,0,0,180,456,3,0,3,6,466,7540,101,18,36,17,7713
SED10023,331,54,71,0,0,459,88,15,23,0,0,131,60,11,24,0,0,99,89,14,31,0,0,132,131,29,55,0,0,209,348,72,172,0,0,590,386,67,222,3,0,682,808,165,461,0,3,1439,714,155,331,0,3,1202,1332,264,284,0,3,1883,2500,268,166,0,0,2941,493,78,112,3,0,686,7286,1198,1955,13,9,10452
SED10024,550,24,54,0,0,629,93,3,8,0,0,106,68,5,11,0,0,86,103,4,14,0,0,122,110,4,11,0,0,129,344,12,63,0,0,422,339,24,69,0,5,431,701,29,216,0,0,938,576,26,243,0,0,842,1292,42,230,3,0,1568,4027,106,187,0,0,4318,602,19,65,0,0,686,8804,294,1169,3,4,10274
SED10025,250,58,188,5,0,505,45,6,36,0,0,98,33,11,27,0,0,76,60,19,67,0,0,140,78,26,63,0,0,158,175,50,242,0,0,465,214,58,289,4,0,561,381,109,677,12,0,1184,263,112,676,16,0,1063,610,190,844,14,0,1653,1773,338,672,16,3,2801,343,61,251,0,0,655,4222,1034,4026,69,5,9359
SED10026,377,11,0,6,6,400,186,11,0,3,0,203,193,3,3,0,0,202,404,9,3,7,0,420,667,12,12,0,0,695,1844,46,8,3,0,1903,1992,32,4,5,6,2033,1918,20,0,0,0,1936,722,11,0,0,0,734,472,4,0,0,0,484,331,7,0,0,0,340,570,11,0,0,5,594,9688,180,34,28,20,9937
SED10027,351,108,4,0,0,461,78,35,0,0,0,116,72,13,4,0,0,100,109,39,10,0,0,157,154,78,8,0,0,234,477,175,12,0,0,659,501,253,22,0,0,775,1022,530,33,13,4,1600,932,466,25,0,0,1426,1475,529,21,0,3,2024,969,261,14,0,0,1246,502,200,11,0,0,713,6647,2684,153,16,13,9510
SED10028,574,62,62,0,0,691,104,13,10,0,0,129,86,19,6,0,0,107,111,13,26,0,0,152,135,23,24,0,0,181,389,71,77,0,0,534,416,79,113,0,0,607,845,145,375,0,0,1368,696,140,316,0,3,1158,1271,249,252,0,3,1770,2608,215,106,0,0,2934,550,68,91,0,3,712,7777,1109,1451,6,14,10351
SED10029,339,48,52,0,0,443,88,27,17,0,0,125,83,14,13,0,0,110,114,26,29,0,0,171,162,33,38,0,0,239,570,115,186,0,0,874,558,156,158,3,0,867,977,317,134,4,5,1436,716,173,42,0,0,931,716,121,28,0,0,867,332,51,22,0,0,408,423,91,52,0,3,559,5072,1166,772,8,13,7040
SED10030,342,49,29,0,0,422,140,14,19,0,0,181,123,26,10,0,0,157,178,28,23,0,0,232,248,43,48,0,6,339,732,135,140,4,4,1006,1031,214,194,10,3,1448,1715,247,205,11,3,2177,1200,95,66,3,0,1363,955,34,45,5,0,1041,495,22,26,4,0,545,432,61,44,0,6,532,7582,969,855,28,17,9447
SED10031,468,14,9,4,6,487,180,9,0,0,0,187,170,5,5,0,0,177,320,7,0,3,4,330,449,18,4,0,0,474,1420,51,7,3,4,1478,1679,40,5,7,4,1735,2165,25,4,4,3,2202,1163,7,5,0,8,1179,1032,3,3,0,0,1042,780,6,4,0,0,792,522,13,3,0,0,534,10344,192,45,22,23,10622
SED10032,279,69,89,0,0,442,62,19,23,0,0,93,56,13,19,0,0,87,101,25,42,0,0,166,115,32,75,0,0,224,343,118,316,0,0,781,433,183,579,0,0,1188,792,381,1018,3,0,2192,636,298,297,0,0,1237,798,206,129,7,0,1136,519,101,96,0,0,715,437,127,190,0,0,747,4551,1564,2866,19,15,9006
SED10033,472,23,0,0,0,497,106,6,4,0,0,112,111,13,3,0,0,122,207,12,5,0,0,225,226,24,12,3,0,261,785,68,16,0,0,871,1030,109,24,4,0,1169,1945,138,9,0,5,2093,1556,48,5,0,4,1615,1702,22,6,0,0,1737,1395,9,10,0,5,1409,670,26,5,0,4,702,10206,501,92,10,11,10825
SED10034,339,42,52,0,0,436,93,10,14,0,0,120,96,14,24,0,0,128,144,17,29,0,0,185,204,15,39,0,0,255,584,58,101,0,0,742,723,89,229,0,0,1045,1479,206,534,0,0,2224,1439,194,293,0,5,1927,2298,229,153,0,0,2684,1457,68,64,0,0,1588,497,43,76,0,0,616,9349,979,1617,4,5,11956
SED10035,142,95,294,0,0,525,27,16,58,0,0,103,15,11,35,0,0,65,40,24,85,0,0,150,46,28,126,0,0,202,139,102,537,0,0,775,145,98,602,5,0,850,228,223,1605,6,0,2064,223,198,1491,0,0,1914,405,388,1629,4,3,2430,830,613,907,11,6,2366,181,105,384,0,3,675,2418,1909,7765,23,12,12120
SED10036,441,62,8,0,0,506,125,19,0,0,0,149,104,18,3,0,0,129,168,26,0,0,0,195,237,32,3,0,0,276,708,106,36,0,0,850,949,189,76,0,0,1214,1982,380,93,0,0,2453,1563,232,36,0,4,1832,1763,123,25,0,0,1908,905,40,11,0,0,954,670,78,19,0,0,764,9607,1297,313,0,3,11221
SED10037,482,38,49,0,0,574,120,11,9,0,0,142,89,4,13,0,0,105,141,6,29,0,0,178,200,5,35,0,0,245,557,42,139,0,4,741,666,53,203,0,0,920,1307,102,578,0,0,1987,1116,116,330,5,0,1569,1923,151,175,0,0,2254,2202,71,93,0,0,2371,571,21,82,0,0,678,9381,631,1736,9,5,11758
