SED_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED10001,515,361,344,207,72,6,2077,26,210,305,303,314,228,68,3,1444,368,1899,1995,1418,1080,868,316,64,8014,234,935,1045,1193,1165,859,357,92,5881,1275,2937,2579,2581,2504,1677,703,193,14459,166,185,145,157,150,102,24,3,930,64,94,161,226,281,274,123,37,1260,1508,3216,2882,2969,2939,2055,849,236,16649,19,36,46,37,42,79,57,20,334,783,778,789,778,920,934,853,419,6243,2968,7604,7581,7053,6808,5226,2575,842,40650
SED10002,2568,935,550,236,72,11,9162,73,435,354,230,125,82,16,4,1319,1956,8215,4561,2126,1488,796,292,69,19505,1501,2576,2046,1333,962,510,186,48,9164,779,1768,1360,1112,1021,513,196,81,6830,95,144,130,141,98,58,9,0,675,115,204,242,273,236,155,55,14,1297,987,2115,1740,1525,1351,724,257,95,8794,84,237,168,130,98,66,34,9,821,1577,3021,2079,1316,1040,693,409,243,10379,6361,21195,13521,7597,5619,3115,1264,475,59146
SED10003,796,735,697,601,175,29,3564,14,152,318,392,415,403,83,8,1785,312,2455,2824,2641,2000,1853,625,144,12853,214,1008,1266,1454,1492,1279,550,152,7406,802,1871,2018,2143,2364,1694,668,199,11751,111,113,87,117,160,131,31,7,767,52,141,192,254,340,396,155,49,1576,962,2117,2300,2513,2861,2213,857,259,14091,26,58,61,73,101,115,79,37,546,689,1001,974,947,987,1032,722,490,6837,2242,7310,8533,8750,8554,7487,3100,1116,47089
SED10004,3299,2330,1619,1126,380,53,11795,31,453,622,583,438,361,100,9,2596,1667,6789,5443,3916,2371,1601,548,98,22443,386,1177,1360,1364,981,681,239,53,6236,397,1032,927,900,729,452,221,60,4726,84,83,65,93,81,48,17,0,459,42,97,150,235,216,175,90,17,1014,520,1210,1136,1228,1025,672,331,79,6203,31,100,106,93,58,72,56,9,517,539,921,774,621,520,457,343,249,4422,3334,13465,12740,10135,7019,4970,1993,548,54215
SED10005,1056,472,250,138,39,7,3449,31,201,183,122,97,55,14,3,703,1116,3841,2317,1381,914,544,175,43,10329,521,1491,1490,1208,849,395,150,51,6159,706,1519,1462,1357,1149,643,329,130,7296,105,126,153,142,129,65,18,3,737,103,184,211,261,257,176,50,17,1262,912,1827,1829,1758,1535,888,399,160,9301,47,145,106,105,80,79,28,7,595,1257,1663,1493,1147,952,798,577,470,8350,3972,10563,8470,6195,4675,2899,1382,735,38882
SED10006,226,188,186,112,27,4,1042,14,134,144,168,182,102,17,4,764,274,1382,1035,878,726,516,176,38,5013,104,599,666,801,893,498,185,54,3800,914,2275,1961,2047,2146,1390,502,104,11332,143,173,117,157,166,100,22,4,879,70,97,110,179,284,222,91,19,1067,1119,2543,2191,2382,2595,1712,611,122,13276,18,33,28,37,58,67,30,15,278,1260,1323,1282,1411,1687,1542,1057,511,10069,2809,6294,5570,5858,6327,4546,2102,748,34250
SED10007,382,421,434,330,143,24,2105,20,151,214,254,250,255,73,15,1230,343,1627,1484,1382,1147,948,349,70,7354,206,719,840,1105,1121,784,376,104,5250,1334,2787,2480,2610,2495,1589,679,155,14126,194,169,159,192,173,130,30,12,1060,92,139,155,217,336,328,133,42,1436,1626,3096,2788,3015,3003,2040,842,207,16620,20,22,40,58,72,88,48,21,373,910,1157,1064,1005,911,983,798,338,7167,3144,7131,6820,7246,6937,5424,2634,779,40110
SED10008,3697,2108,1290,717,206,42,9530,37,181,464,452,353,288,110,11,1893,1217,3680,5201,3735,2606,1922,697,126,19178,431,721,1388,1649,1441,1151,524,109,7419,607,901,1022,1392,1294,950,663,149,6980,87,60,55,90,112,91,44,6,549,70,95,154,279,357,385,197,39,1572,762,1058,1241,1755,1768,1426,904,193,9093,22,66,119,115,126,115,78,17,661,239,340,489,371,393,410,399,297,2936,2755,7462,12600,10188,7975,6028,2917,789,50711
SED10009,360,377,583,614,212,41,2442,7,122,226,269,428,456,126,17,1650,163,1012,1162,1294,1670,1750,687,164,7904,88,480,744,1020,1514,1493,574,154,6073,819,2007,1966,2414,2969,2440,947,249,13813,106,125,124,136,207,179,48,16,932,61,88,106,226,409,403,242,52,1579,987,2222,2200,2767,3586,3016,1236,316,16327,10,24,29,39,109,143,76,23,452,712,565,622,879,1222,1348,1024,609,6982,1966,4677,5335,6656,9107,8811,3936,1335,41821
SED10010,2030,702,404,210,58,11,5500,31,256,294,209,140,83,17,0,1028,1057,4139,3624,1871,1414,972,280,50,13407,655,1693,1685,1207,870,475,170,43,6801,932,1877,1946,1751,1478,869,381,120,9354,139,136,173,141,122,73,21,0,808,93,161,246,265,258,189,72,19,1317,1165,2171,2371,2164,1857,1127,480,144,11480,52,136,140,111,77,77,26,5,624,943,1407,1151,847,775,661,511,263,6562,4022,11759,11301,7107,5536,3606,1542,521,45394
