SED_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED10001,6808,5226,2575,842,40650
SED10002,5619,3115,1264,475,59146
SED10003,8554,7487,3100,1116,47089
SED10004,7019,4970,1993,548,54215
SED10005,4675,2899,1382,735,38882
SED10006,6327,4546,2102,748,34250
SED10007,6937,5424,2634,779,40110
SED10008,7975,6028,2917,789,50711
SED10009,9107,8811,3936,1335,41821
SED10010,5536,3606,1542,521,45394
SED10011,8096,7036,3109,967,42138
SED10012,3894,2493,1067,500,28370
SED10013,6605,4001,1695,671,60354
SED10014,5017,3773,1673,408,36579
SED10015,6122,3176,1588,763,46266
SED10016,8016,5179,2261,666,56261
SED10017,5801,4309,1760,549,40071
SED10018,6099,4451,2558,946,39335
SED10019,7210,6456,2954,992,37664
SED10020,7038,6212,2987,1096,40473
SED10021,6421,4199,2309,1261,54177
SED10022,5786,4862,2296,735,32408
SED10023,7379,5263,2451,1011,43726
SED10024,8115,5650,3924,1464,46569
SED10025,7188,5087,2433,1011,49766
SED10026,6198,4308,2278,734,39787
SED10027,5658,3375,1718,933,38090
SED10028,8719,5993,3159,1773,53054
SED10029,4122,2625,1325,597,31052
SED10030,7006,5561,2986,1146,41401
SED10031,7957,6540,3165,934,43144
SED10032,5011,2780,1291,467,49728
SED10033,6480,4221,1956,608,38483
SED10034,6780,4589,2226,889,41914
SED10035,6003,3285,1470,476,78274
SED10036,5824,3158,1438,629,40782
SED10037,8099,5439,2855,840,48500
SED10038,7202,5164,2592,1064,44266
SED10039,7514,6457,3017,1097,42678
SED10040,6443,3943,1964,1118,51152
SED10041,8292,5824,3928,2120,52780
SED10042,6827,6009,3426,1264,40027
SED10043,4702,2598,1261,541,40092
SED10044,7798,5542,3085,1619,56333
SED10045,8260,6553,2508,962,40096
SED10046,5336,2719,1196,341,39051
SED10047,5394,3476,1458,413,52059
SED10048,6712,3991,1430,424,52334
SED10049,6001,4093,1942,605,41823
SED10050,7665,4479,2338,792,50339
SED10051,6908,4416,2263,847,48862
SED10052,6679,4883,2854,1317,43671
SED10053,8366,4968,1998,513,48820
SED10054,5656,3142,1145,591,40408
SED10055,6044,3200,888,184,38696
SED10056,6427,4504,2287,867,37874
SED10057,7478,7285,3872,1398,37570
SED10058,7065,5177,2234,896,46119
SED10059,5622,3219,1365,504,55397
SED10060,7560,5963,3631,1157,54697
SED10061,6860,5254,2787,854,39473
SED10062,6860,4474,2225,1144,42446
SED10063,6213,4591,2331,831,38574
SED10064,8173,7164,3136,985,39053
SED10065,7052,4123,1857,763,65041
SED10066,5560,4069,2078,813,41461
SED10067,8211,6250,3772,1642,43485
SED10068,7871,7727,4265,1554,42561
SED10069,7253,6581,3656,1031,37672
SED10070,5299,3585,1632,685,39682
SED10071,6485,3609,1146,243,64984
SED10072,6105,3727,1985,913,52939
SED10073,7764,5125,2393,1038,61666
SED10074,5894,4213,2286,818,47121
SED10075,6474,4619,2338,801,41465
SED10076,7557,7043,3478,1077,39111
SED10077,6889,4047,1987,949,60710
SED10078,6227,3599,1512,691,49108
SED10079,6475,5389,2980,905,35722
SED10080,7303,4954,2418,869,74545
SED10081,5943,4591,2491,864,37427
SED10082,7569,6344,3585,1398,41993
SED10083,6141,4916,2499,1078,37667
SED10084,7484,6423,3581,1552,42136
SED10085,6580,4531,1962,571,37311
SED10086,6549,5183,2967,1185,51456
SED10087,6160,4288,2058,840,39658
SED10088,7135,4328,2650,1115,46022
SED10089,5821,4391,2447,1207,44002
SED10090,7549,5423,2631,1149,53446
SED10091,6572,5605,3124,1137,41757
SED10092,6595,4551,2381,1005,44551
SED10093,5720,4336,2551,1096,37979
SED19797,12,0,0,0,15
SED20106,6579,4156,1872,479,56137
SED20207,5609,3167,1124,316,54631
SED20302,6982,5680,2751,904,56170
SED20401,4478,3158,1763,910,33765
SED20508,6810,6537,3268,1072,38017
SED20604,6021,4594,2009,571,35428
SED20704,5498,4057,1941,703,34972
SED20804,5332,4581,2447,991,32521
SED20906,5583,3250,1610,727,36867
SED21001,6209,4342,2574,1389,43717
SED21106,6601,4382,2377,1099,37160
SED21203,3207,1628,850,325,29392
SED21303,4603,2601,976,372,47791
SED21401,5649,3995,2787,1082,36870
SED21503,4211,2759,1463,545,31864
SED21608,5033,3879,1622,511,32962
SED21706,6066,3922,1983,966,40192
SED21805,4942,3263,1528,561,34806
SED21906,5384,4638,1991,948,42102
SED22005,4161,2840,1521,902,39286
SED22105,5141,2758,1173,375,56806
SED22201,4569,3250,1839,705,31593
SED22305,3879,2717,1408,520,33595
SED22404,6450,4995,2169,593,33329
SED22501,5651,4355,1782,451,32442
SED22607,5528,3421,1278,464,40718
SED22704,6182,4984,2418,769,33061
SED22802,4458,2982,1547,357,29814
SED22901,4767,3668,1776,756,31918
SED23007,4178,2393,1013,489,44724
SED23101,4884,3711,2491,1045,33861
SED23205,4791,3520,1938,880,32443
SED23308,5252,3820,1850,678,37007
SED23402,5640,3532,1716,555,41813
SED23502,5957,5776,2763,771,31126
SED23602,5418,4661,2012,637,29118
SED23702,5536,3679,1797,516,34518
SED23806,5856,4385,2460,901,41097
SED23901,5807,4075,2119,897,39324
SED24006,6702,4466,2454,1090,37400
SED24105,3649,2659,1337,444,31674
SED24207,4216,2456,910,234,43309
SED24308,4187,2980,1402,535,31103
SED24408,4922,3773,1846,790,27130
SED24504,6546,5009,2182,551,34596
SED24606,5480,4303,2541,1040,37641
SED24703,6150,4012,1761,549,91613
SED24808,4641,3220,1277,307,41770
SED24904,4751,3290,1523,589,29051
SED25003,4407,2350,961,496,33223
SED25102,5380,3875,1505,446,31020
SED25205,5403,3258,1604,681,34770
SED25302,5803,5068,3364,1361,34104
SED25402,5389,3920,1997,827,32453
SED25501,5763,3663,2393,1068,37832
SED25605,4161,3273,2199,1011,32386
SED25704,5005,3728,1879,810,28508
SED25802,6138,4767,2320,652,36711
SED25905,4938,2780,1096,425,31595
SED26005,5038,2336,856,159,37841
SED26102,6918,6797,3809,1286,36649
SED26207,4395,2934,1638,594,30145
SED26303,5159,2679,936,396,40880
SED26406,4903,2855,1361,631,43574
SED26504,5153,4172,2183,799,29487
SED26603,4488,2285,1148,744,42918
SED26708,5991,4675,1951,663,32187
SED26806,5027,3716,2117,872,53954
SED26903,3857,2132,1023,572,36857
SED27003,5090,3360,1485,428,52823
SED27101,4649,3090,1772,658,36229
SED27208,5690,4915,2318,745,31082
SED27305,5017,2554,1172,306,28158
SED27406,6398,4516,2475,950,36741
SED27504,5054,3503,1854,760,33005
SED27608,6390,4831,2507,936,49430
SED27708,5419,4167,1858,742,31647
SED27807,3612,2591,1264,585,32256
SED27907,4542,3071,1365,398,32105
SED28007,4817,2201,798,215,35964
SED28107,4982,2653,829,174,66190
SED28203,3082,1967,917,254,35214
SED28301,5874,3883,2199,733,34022
SED28408,4668,3664,1915,760,31406
SED28507,4433,2737,1147,421,42932
SED28607,5570,2824,1173,535,40355
SED28704,5788,3391,1291,305,48750
SED28803,5538,2482,741,198,56130
SED29797,147,17,0,0,530
SED30001,3599,2111,763,260,30409
SED30002,4148,2746,1572,752,28564
SED30003,3425,2392,1333,453,27202
SED30004,5739,3984,1560,321,31145
