SED_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
SED10001,1268,1772,3946,3816,3829,3588,1305,247,34,19796,20,42,84,129,143,174,145,44,4,788,0,0,0,0,0,0,0,0,0,14,71,70,193,169,204,180,40,3,0,932,0,5,16,13,16,9,3,0,0,55,17,35,114,139,105,106,29,0,0,545,5,18,36,40,49,44,12,0,0,202,413,285,366,327,387,356,81,3,0,2227,496,230,266,212,211,180,42,4,0,1640,5,28,66,75,114,87,37,9,0,413,8,17,24,24,22,17,3,0,0,112,3,22,84,83,84,50,5,0,0,335,3,27,48,46,50,33,17,0,0,231,15,57,175,182,181,131,44,7,0,786,14,35,100,135,151,119,36,0,0,595,13,67,219,315,347,244,46,3,0,1244,55,158,516,649,632,509,124,7,0,2649,90,430,1169,1024,1042,1015,246,9,0,5027,25,28,31,34,38,20,6,0,0,184,28,67,161,134,118,75,23,3,0,616
SED10002,497,2829,8992,6052,3534,2739,746,46,9,25443,0,11,13,9,9,9,0,0,0,51,0,3,3,3,0,0,0,0,0,13,11,74,279,213,179,192,42,0,0,995,0,3,22,27,19,6,0,0,0,86,3,45,212,153,94,55,12,0,0,579,3,57,220,187,114,96,22,0,0,708,155,392,682,362,246,163,33,5,0,2041,153,330,434,226,172,116,13,0,0,1442,9,54,184,144,97,91,25,0,0,603,8,24,110,68,37,16,5,0,0,269,6,145,577,359,192,84,22,0,0,1392,5,28,141,91,68,37,5,0,0,378,12,172,771,368,179,101,30,0,0,1638,13,128,322,179,135,127,23,0,0,918,3,53,250,221,157,101,14,0,0,808,45,218,702,480,308,213,58,6,0,2023,42,749,1793,892,662,510,108,11,0,4770,7,36,89,43,28,13,0,0,0,220,10,39,191,120,89,68,19,0,0,528
SED10003,1103,1188,3268,3902,3970,3453,1396,213,27,18525,4,26,77,53,76,95,74,34,5,444,0,0,3,3,8,4,0,0,0,19,35,51,120,108,121,108,23,0,0,563,0,6,5,13,15,8,0,0,0,44,9,24,62,105,108,70,34,0,0,407,12,11,39,49,51,52,17,3,0,240,413,237,406,377,399,341,127,14,0,2304,439,299,483,320,254,197,67,6,0,2069,5,20,34,37,45,60,22,4,0,235,9,15,35,49,46,45,12,0,0,211,0,19,68,86,82,39,17,4,0,315,6,19,55,66,93,63,30,5,0,331,18,58,322,376,315,231,72,3,0,1386,13,32,132,147,155,140,39,5,0,672,9,16,91,192,237,146,22,4,0,718,27,86,370,594,803,575,141,4,0,2599,51,225,809,958,1131,1169,282,7,0,4633,12,27,69,92,82,62,20,4,0,380,33,56,186,166,163,109,26,3,0,741
SED10004,463,1558,5755,5865,4632,2834,1029,152,8,22288,4,3,9,9,8,12,4,0,0,42,0,0,4,8,9,3,0,0,0,19,9,41,115,153,109,55,15,3,0,499,0,0,21,23,23,16,3,0,0,87,0,33,118,121,91,53,16,0,0,433,7,21,138,155,110,65,12,4,0,513,172,301,409,295,246,152,49,11,0,1636,151,245,319,170,107,62,17,3,0,1075,4,25,89,81,98,47,6,0,0,358,5,64,318,306,240,119,30,0,0,1081,0,78,468,711,551,180,46,5,0,2046,0,34,125,125,109,51,22,0,0,469,10,276,1213,1041,773,398,122,10,0,3834,0,53,212,180,145,84,29,6,0,710,8,39,296,360,324,211,56,5,0,1298,60,187,671,700,665,524,201,18,0,3030,38,299,1050,854,653,630,232,21,0,3792,19,69,172,142,126,87,34,4,0,655,18,56,173,144,141,101,49,3,0,688
SED10005,540,1631,4225,3547,2932,2453,603,61,3,15995,0,0,4,0,3,9,0,0,0,14,0,0,0,0,4,0,0,0,0,3,11,31,109,159,266,212,35,3,0,828,0,0,13,8,13,9,5,0,0,49,7,30,88,73,48,40,11,0,0,293,7,35,86,72,92,72,13,0,0,382,149,282,384,271,248,178,40,4,0,1558,183,129,145,115,121,95,13,0,0,803,12,38,109,118,129,107,21,0,0,534,4,25,36,38,24,12,4,0,0,145,8,109,240,177,148,59,16,0,0,750,10,7,53,41,28,18,3,0,0,156,7,118,306,174,92,67,20,0,0,776,5,43,97,93,103,98,17,0,0,449,11,58,150,148,134,93,18,0,0,610,50,170,489,382,270,192,58,4,0,1621,59,369,797,569,592,435,104,0,0,2923,4,21,33,21,9,14,9,0,0,112,10,58,146,105,103,47,13,0,0,483
SED10006,813,1291,3230,2839,3144,3450,1459,331,60,16610,35,78,212,197,312,394,266,90,14,1596,10,52,100,76,50,48,5,0,0,339,17,17,47,44,41,36,17,0,0,220,3,0,11,19,22,9,0,0,0,75,0,10,50,47,30,47,15,0,0,199,11,11,46,27,38,24,11,0,0,169,243,112,237,218,253,284,93,15,0,1460,212,118,224,203,182,210,65,6,0,1225,13,11,42,47,65,70,26,4,0,279,3,6,16,8,16,14,8,0,0,75,4,20,40,36,40,27,8,0,0,171,8,15,20,34,23,16,14,0,0,131,15,42,121,87,91,82,22,0,0,456,8,32,89,103,114,122,27,6,0,502,10,47,215,198,238,185,35,0,0,925,43,146,569,553,582,456,115,13,0,2481,87,228,803,593,711,817,189,6,0,3436,18,12,32,15,27,20,3,0,0,125,26,45,82,79,67,94,21,10,0,428
SED10007,1207,1696,3590,3376,3745,3339,1266,257,19,18492,9,22,40,70,86,113,125,56,8,531,4,12,33,19,23,6,0,0,0,97,51,55,113,130,153,121,22,6,0,654,0,0,19,26,36,13,3,0,0,101,13,29,79,86,86,83,21,0,0,399,11,18,37,43,42,51,17,0,0,216,307,215,374,300,314,288,67,10,0,1883,394,208,224,174,198,164,50,3,0,1408,5,6,41,62,84,82,30,4,0,316,5,24,33,49,30,22,0,3,0,159,9,29,91,80,83,50,13,0,0,365,6,12,34,39,56,46,12,4,0,211,24,65,182,161,156,128,50,3,0,767,16,46,121,119,168,151,23,0,0,642,11,74,330,340,414,270,48,0,0,1487,72,169,470,567,740,497,119,13,0,2638,143,450,897,772,887,859,200,17,0,4216,40,31,50,41,42,33,17,5,0,253,41,63,144,116,125,89,23,7,0,604
SED10008,919,1914,3488,5829,5003,3702,1292,195,16,22355,0,5,13,9,7,7,3,0,0,42,0,0,0,9,4,3,0,0,0,21,21,33,128,241,249,135,47,3,0,863,0,3,11,45,37,13,4,0,0,107,8,35,115,228,190,116,30,9,0,728,10,33,114,252,226,107,28,0,0,769,309,290,292,384,361,231,75,13,0,1954,270,150,98,116,107,79,18,0,0,844,0,13,49,112,104,75,14,0,0,377,10,40,89,133,72,34,15,0,0,385,6,106,335,702,348,211,47,7,0,1756,11,31,71,133,73,40,13,0,0,383,20,210,468,723,457,252,89,11,0,2219,14,30,89,139,128,99,29,5,0,527,8,32,134,298,309,180,36,0,0,987,123,246,434,642,754,554,163,5,0,2923,97,388,703,1035,1078,840,246,25,0,4419,21,43,35,31,40,16,11,0,0,198,25,62,102,148,139,87,41,5,0,606
SED10009,990,1023,2422,2613,3243,3461,1333,201,26,15311,16,17,34,55,81,94,72,30,3,404,0,0,0,3,0,0,5,0,0,9,35,38,81,81,120,97,16,3,0,468,0,3,11,13,12,8,3,0,0,48,13,15,88,83,95,73,43,7,0,420,11,3,22,24,38,35,15,0,0,153,302,144,284,292,410,410,126,11,0,1986,325,160,244,276,306,312,76,7,0,1696,3,17,21,36,51,79,26,0,6,232,8,25,36,27,20,25,16,0,0,150,0,13,50,55,82,65,5,0,0,271,6,20,34,50,54,50,28,3,0,250,17,29,149,152,183,170,71,6,0,777,3,33,78,99,136,151,37,0,0,547,5,36,140,227,311,245,48,4,0,1020,33,54,267,421,451,487,118,3,0,1839,47,198,623,646,940,1115,233,13,0,3819,12,16,29,42,54,46,20,3,0,220,35,52,95,112,134,93,35,0,0,554
SED10010,706,2186,5517,5595,3766,2792,709,54,6,21332,0,0,13,11,14,8,0,0,0,46,0,0,0,0,8,5,0,0,0,9,10,60,232,237,190,200,28,0,0,954,0,3,25,20,30,14,4,0,0,87,10,38,108,135,98,50,14,0,0,442,6,33,134,156,116,67,11,0,0,524,207,372,516,431,295,214,47,0,0,2096,258,212,205,126,106,84,16,0,0,1003,14,74,175,202,168,120,20,0,0,767,5,22,74,77,26,19,8,0,0,228,3,101,311,356,200,90,18,0,0,1089,0,33,68,67,30,15,5,0,0,217,18,98,354,320,126,66,12,0,0,996,17,85,179,180,121,106,23,0,0,717,3,44,216,268,238,169,43,0,0,988,54,160,469,444,411,259,46,0,0,1849,43,436,1265,1208,924,675,169,10,0,4730,19,27,44,33,12,15,4,0,0,148,16,32,90,102,63,40,19,0,0,366
