SOS_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SOS10,2833437,2910110,5743546,175543,165604,341147,364248,344464,708706,166058,156131,322182,194436,183893,378324,437868,447460,885325,418077,426071,844154,356315,371567,727882,310942,327972,638913,232234,257931,490170,130709,153408,284115,47015,75615,122624,6758,7272,14029,2777223,2855498,5632719,56213,54612,110824,55011,56051,111065,1318,1249,2571,1192,1263,2451,57522,58557,116083,1675175,1691270,3366450,1019856,1082985,2102838,1701708,1711574,3413279,972048,1041980,2014027,2300312,2370909,4671223,52731,49637,102369,342137,324116,666258,133492,131333,264825,88429,90537,178960,111818,158590,270407,1435523,1519934,2955463,125127,113536,238668,378915,384266,763178,103360,109521,212880,76253,88957,165208,28307,37654,65958
SOS11,775688,819486,1595173,46982,44659,91640,101448,97154,198601,46380,43990,90375,43022,42029,85056,94391,98089,192475,87937,92777,180712,90032,96012,186050,96608,106051,202663,93830,101718,195537,56269,65891,122166,18780,31125,49901,1339,937,2281,746211,794335,1540553,29471,25149,54622,58657,60290,118943,934,900,1835,1293,1289,2579,60882,62477,123361,632738,669411,1302147,90190,97296,187484,672430,717474,1389910,47205,51326,98529,685045,732547,1417590,14082,13392,27478,93100,89336,182432,30547,30943,61491,9719,13373,23099,18071,35054,53126,245082,294714,539800,50831,50361,101189,187328,192573,379896,54675,56490,111171,32111,29636,61751,2978,2913,5886
SOS12,76153,76193,152344,3946,3779,7722,9951,9340,19296,4391,4162,8550,3440,3220,6655,7150,7450,14603,7882,8388,16279,9639,10191,19828,11827,12089,23923,11201,10724,21927,5407,5100,10503,1314,1744,3061,143,98,241,73852,74306,148159,2300,1880,4179,5447,5641,11091,118,85,200,119,112,232,5675,5842,11518,62656,62458,125112,7257,7833,15090,67982,68041,136020,2431,2816,5254,68344,68489,136832,1222,1165,2391,9091,8530,17612,2938,2955,5891,751,920,1666,1307,2905,4209,22405,27109,49513,4746,4558,9302,20111,18368,38478,5642,5137,10775,3423,2492,5920,238,161,399
SOS13,297813,281081,578892,14209,13391,27598,39049,35862,74910,19501,17477,36983,14512,12412,26926,25966,25523,51485,30763,31893,62657,41370,42190,83560,48531,46604,95131,41523,35858,77380,18412,15588,33997,3969,4275,8247,490,411,907,289532,277164,566693,8285,3918,12201,13295,12329,25628,284,228,515,287,268,550,13868,12824,26690,242912,227480,470384,29166,30289,59455,258513,245307,503819,13458,14184,27640,264373,250908,515285,4129,4104,8231,35542,32645,68197,13241,12989,26228,3550,4356,7907,4191,9613,13798,93285,111938,205219,17356,15956,33315,76849,61401,138248,20013,14716,34728,11667,7109,18770,901,664,1568
SOS17,31,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,16,0,18,10,0,8,4,0,3,0,0,0,0,0,0,0,3,3,0,0,5,30,4,32,0,0,0,0,0,0,0,0,0,0,0,4,27,4,32,3,0,3,31,4,34,3,0,3,34,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,6,0,8,14,0,14,8,0,3,0,0,0,0,0,0
SOS20,2435206,2521390,4956592,149527,141687,291212,308438,292173,600610,142052,135158,277207,172279,164092,336373,397759,403827,801583,365134,373576,738707,306770,323749,630521,255732,274248,529979,188778,216134,404915,108445,131591,240031,40289,65161,105452,5388,5842,11234,2387270,2471035,4858309,47934,50357,98285,16679,16568,33242,649,577,1229,492,474,962,17815,17617,35435,1476091,1511658,2987756,846261,899121,1745383,1501217,1537395,3038610,809606,862815,1672415,1969829,2046838,4016670,44933,42333,87266,290533,275618,566150,117636,116458,234094,81752,85046,166800,99188,140395,239586,1248203,1358036,2606240,196503,186974,383478,220083,199874,419957,92929,90525,183458,79927,102243,182175,25988,34276,60260
SOS21,481772,511197,992968,30661,29435,60098,65298,61545,126845,28506,26567,55070,26048,24768,50820,60864,64442,125313,58197,62651,120850,57411,62168,119585,58342,64762,123109,54520,60446,114966,31265,36651,67913,10660,17744,28404,588,557,1145,470735,498690,969427,11038,12501,23542,10234,10773,21000,322,308,629,257,285,545,10815,11369,22179,381302,405169,786471,70040,75165,145201,406233,432527,838761,45717,48935,94652,423848,451493,875344,8672,8421,17087,60302,56957,117259,20272,20354,40624,6414,7979,14391,10156,20729,30889,160079,200599,360676,61571,61881,123454,77391,70321,147716,33275,30787,64060,22046,23050,45093,2776,2833,5611
SOS22,48812,49000,97814,2427,2367,4803,6068,5710,11780,2579,2552,5137,2315,2159,4473,4872,5007,9882,5203,5534,10736,6226,6510,12736,7677,7915,15597,7163,6568,13730,3354,3275,6625,930,1392,2320,85,71,155,46487,46532,93019,2327,2470,4793,768,789,1561,36,25,58,20,28,49,824,841,1668,39435,39577,79011,5260,5468,10731,43324,43459,86779,1839,2047,3889,43546,43723,87279,678,682,1359,5562,5225,10785,1736,1819,3557,481,617,1097,757,1715,2472,15564,19679,35244,6509,6119,12629,8444,6709,15155,3820,2839,6661,2176,1867,4045,128,117,241
SOS23,219099,205879,424976,9903,9530,19431,27686,25708,53392,13739,12667,26402,10476,8871,19341,19211,18518,37732,23343,23459,46805,30987,31342,62328,36209,34950,71155,31162,26705,57867,13561,11143,24700,2832,2983,5817,221,166,391,213498,204113,417607,5602,1766,7372,3146,2757,5909,104,64,163,80,71,146,3325,2897,6222,178657,167308,345964,22378,21975,44350,190385,181696,372089,9247,9341,18587,192735,183551,376283,2859,2698,5560,25172,23480,48656,9774,9701,19476,2533,3118,5653,2793,6770,9560,67347,86720,154064,30837,26624,57463,40864,25993,66852,16323,10537,26862,9237,6204,15439,673,522,1192
SOS27,493,72,565,0,0,0,0,0,0,0,0,0,4,0,4,30,17,52,131,14,140,163,18,182,141,24,158,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,493,74,560,6,0,10,0,0,0,0,0,3,3,3,7,122,20,138,28,6,41,141,20,163,13,0,13,148,20,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16,86,36,3,38,47,3,49,5,0,5,4,0,4,0,0,0
