SOS_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS10,6272,6033,12307,162227,152772,314997,6818,6577,13394,175316,165387,340698,6441,5831,12273,169714,160649,330363,7914,7498,15414,184080,173972,358051,6372,6036,12403,166155,157345,323506,7347,6818,14171,179877,170198,350075,6052,5509,11558,153077,144388,297467,6721,6031,12748,165849,155928,321781,5467,5435,10903,179086,169877,348963,9411,8115,17527,193960,183430,377389,4803,4872,9677,198989,198835,397824,11207,10601,21806,214992,214302,429299,3789,3953,7747,206974,217623,424599,10807,10428,21231,221574,232008,453575,3088,3407,6500,207467,213622,421089,10059,9695,19752,220613,226722,447341,2692,3014,5711,185278,187751,373029,8508,7829,16334,196480,198594,395077,2834,3155,5987,174170,180612,354785,7433,6942,14376,184438,190710,375146,2590,2994,5589,161751,171235,332992,6687,5848,12533,171028,180079,351110,2173,2496,4673,154952,160832,315788,6256,5630,11883,163382,168962,332339,1811,2006,3821,139568,150512,290083,5234,4879,10112,146619,157401,304018,3128,3812,6938,387690,458427,846117,17657,22910,40564,408480,485145,893617,57522,58557,116083,2647109,2724479,5371589,122048,119795,241846,2826682,2902836,5729517
SOS11,7410,6887,14291,36992,35315,72302,2536,2433,4973,46937,44635,91571,7562,7064,14626,39429,38089,77517,3217,3135,6352,50208,48286,98494,7158,6971,14131,40741,38828,79571,3280,3028,6309,51178,48833,100013,6159,5996,12154,37285,35332,72619,2915,2631,5543,46360,43960,90318,5165,5146,10312,34851,34244,69087,2881,2559,5442,42892,41949,84837,4462,4584,9053,39273,40198,79473,2995,2956,5950,46731,47740,94469,3769,3961,7729,40559,43339,83902,2908,2809,5715,47235,50111,97345,3172,3358,6530,39671,42057,81728,2835,2827,5660,45683,48243,93928,2650,2879,5534,36806,39024,75829,2556,2510,5064,42005,44413,86419,2721,3109,5829,39220,41626,80840,2706,2476,5175,44645,47205,91847,2608,3066,5671,40059,43300,83362,2596,2344,4936,45256,48710,93963,2312,2752,5071,41966,45725,87691,2640,2408,5047,46923,50889,97811,2036,2367,4398,45017,50335,95357,2512,2314,4824,49566,55010,104578,3705,4329,8028,156243,183642,339888,8777,10597,19374,168721,198569,367289,60882,62477,123361,668113,711057,1379170,45348,45016,90364,774346,818547,1592895
SOS12,577,578,1154,3126,2948,6074,237,250,489,3942,3775,7720,688,621,1306,3776,3486,7256,351,321,673,4812,4421,9236,700,694,1386,4087,3899,7986,348,332,682,5132,4919,10052,535,556,1088,3528,3301,6831,326,305,625,4390,4161,8544,394,386,774,2785,2582,5365,255,241,490,3428,3207,6636,335,354,695,2830,2828,5660,281,246,521,3446,3430,6883,284,346,632,3069,3343,6409,296,296,589,3651,3980,7632,254,305,555,3282,3499,6784,304,295,601,3844,4096,7937,260,270,530,3439,3708,7147,323,311,631,4022,4289,8307,267,325,594,3995,4280,8282,338,289,626,4607,4895,9503,315,358,678,4325,4615,8939,366,317,682,5009,5285,10292,290,288,583,4945,5147,10095,360,323,681,5598,5765,11359,282,287,568,5539,5687,11226,400,343,746,6223,6319,12540,497,477,968,16231,15996,32229,1177,1080,2257,17904,17558,35456,5675,5842,11518,64969,65317,130280,5361,4941,10294,76002,76095,152099
SOS13,1299,1171,2472,11896,11285,23180,1000,931,1934,14197,13386,27582,1545,1333,2876,15064,13766,28831,1395,1248,2643,18002,16345,34348,1674,1570,3247,17800,16429,34225,1548,1507,3054,21030,19505,40531,1390,1332,2721,16650,14891,31545,1459,1239,2702,19500,17467,36968,1050,899,1953,12233,10520,22759,1175,928,2104,14463,12349,26815,876,755,1631,10728,10271,20998,1013,870,1885,12612,11897,24512,750,667,1420,11381,11828,23210,1047,1006,2050,13182,13503,26685,739,699,1437,12848,13464,26307,1150,1162,2316,14730,15329,30059,649,661,1306,13991,14569,28554,1305,1264,2566,15938,16497,32434,720,773,1494,17237,17912,35149,1436,1518,2951,19393,20204,39592,786,793,1580,19428,19674,39104,1709,1481,3187,21920,21948,43867,710,685,1397,21157,21042,42197,1891,1678,3565,23757,23402,47164,640,594,1230,22255,21028,43280,1839,1545,3381,24734,23157,47895,1043,893,1934,58140,50751,108899,4674,4025,8703,63854,55673,119529,13868,12824,26690,260813,247432,508249,22640,20410,43045,297322,280662,577987
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,4,3,0,3,0,0,0,9,0,6,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,4,0,3,0,0,4,34,5,30,0,0,0,31,4,32
SOS20,1846,1751,3598,142194,134652,276849,5342,5128,10469,149384,141533,290910,1748,1700,3449,149684,141921,291609,6070,5752,11821,157506,149377,306878,1714,1678,3396,143357,135616,278968,5662,5281,10946,150735,142571,293305,1637,1578,3218,134991,128549,263539,5226,4844,10067,141859,134967,276823,1832,1838,3674,162422,155345,317768,7605,6541,14144,171861,163724,335583,1772,1646,3425,186150,182906,369059,9858,8929,18789,197785,193482,391263,1363,1320,2676,188834,199514,388353,8836,8685,17523,199033,209514,408552,1081,1050,2132,186187,192830,379022,8131,7946,16083,195405,201828,397232,917,933,1858,161237,164110,325344,6838,6178,13018,168997,171219,340216,918,946,1866,149729,157800,307526,6139,5649,11780,156782,164393,321174,910,858,1769,142678,152815,295496,5616,5030,10653,149213,158704,307914,626,738,1360,129357,137133,266490,4961,4381,9339,134943,142251,277190,533,516,1047,115375,126278,241654,4062,3855,7917,119967,130648,250614,904,1068,1972,322146,393665,715811,13300,16609,29905,336352,411340,747688,17815,17617,35435,2314350,2403121,4717476,97645,94803,192452,2429817,2515545,4945361
SOS21,1323,1331,2653,27827,26710,54536,1493,1383,2879,30647,29419,60070,1440,1345,2785,29760,27916,57676,1915,1815,3724,33115,31069,64185,1373,1275,2652,28918,27397,56317,1874,1785,3659,32166,30454,62625,1078,1012,2095,25900,24081,49977,1512,1467,2977,28486,26559,55050,866,880,1742,23718,22537,46253,1426,1315,2739,26008,24722,50735,772,830,1601,27110,28153,55265,1695,1714,3416,29575,30701,60278,688,797,1484,28763,31152,59915,1679,1685,3370,31130,33636,64766,551,605,1152,28070,30451,58525,1729,1799,3532,30352,32855,63209,447,539,991,25705,27636,53349,1588,1535,3123,27740,29713,57455,462,541,1002,26504,28592,55093,1580,1501,3085,28549,30630,59177,476,559,1033,26800,29501,56301,1518,1404,2928,28792,31470,60259,428,487,911,26955,30125,57072,1481,1327,2813,28865,31937,60801,330,430,762,27679,31031,58712,1387,1287,2677,29403,32743,62141,583,744,1326,90709,107833,198534,5067,6140,11205,96356,114717,211072,10815,11369,22179,444418,473112,917534,25950,26161,52114,481190,510640,991828
SOS22,96,96,190,2181,2161,4346,151,107,264,2427,2373,4798,97,93,190,2624,2492,5116,183,196,383,2905,2778,5690,95,92,188,2831,2628,5460,229,206,440,3158,2928,6088,77,61,140,2298,2284,4576,207,202,409,2575,2554,5131,45,54,103,2043,1900,3936,216,200,413,2303,2150,4456,48,42,87,2118,2115,4230,191,163,345,2353,2315,4670,37,53,93,2280,2442,4724,162,172,331,2479,2673,5152,43,41,84,2325,2549,4872,185,186,374,2549,2779,5327,37,46,86,2405,2502,4908,194,201,392,2639,2754,5390,44,31,74,2641,2841,5487,214,218,426,2902,3083,5980,42,66,109,3020,3145,6162,255,203,457,3312,3417,6732,40,50,89,3317,3496,6812,261,256,516,3612,3800,7415,52,36,86,3770,3824,7597,242,244,480,4065,4103,8171,73,69,140,10615,10447,21064,754,696,1452,11440,11221,22662,824,841,1668,44472,44835,89309,3430,3249,6679,48730,48929,97656
SOS23,283,269,563,8979,8624,17605,631,633,1260,9899,9526,19421,324,313,642,11484,10608,22086,983,879,1864,12794,11797,24590,385,371,751,13357,12466,25828,1134,1063,2200,14881,13907,28781,268,309,577,12437,11379,23815,1021,970,1990,13728,12664,26388,242,197,439,9452,8023,17475,759,632,1388,10456,8853,19304,222,141,358,8268,7883,16156,676,624,1303,9161,8651,17813,220,140,363,9056,8982,18038,711,690,1400,9987,9813,19798,223,147,369,10117,10387,20504,827,825,1654,11164,11361,22527,169,156,320,11084,11054,22136,889,884,1775,12143,12091,24238,174,149,322,13044,13334,26372,1041,1017,2065,14257,14496,28757,192,196,389,15306,15518,30824,1198,1115,2316,16700,16828,33526,206,158,355,16245,16302,32545,1234,1142,2370,17680,17595,35276,159,150,311,17098,16071,33169,1256,1110,2361,18511,17330,35837,268,197,464,43892,37759,81651,3367,2855,6217,47526,40804,88334,3325,2897,6222,199822,188382,388199,15736,14434,30167,218878,205705,424590
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,0,9,4,0,4,0,0,0,0,0,0,3,4,7,3,5,10,0,0,0,12,4,15,16,12,26,25,15,44,0,0,0,17,5,23,33,8,39,49,10,60,0,0,0,26,0,25,55,6,61,79,6,85,5,0,5,24,0,26,64,12,72,91,13,105,0,0,0,21,3,23,54,3,55,77,8,80,0,0,0,27,5,29,62,10,76,84,16,101,0,0,0,18,0,21,33,3,41,50,3,61,0,0,0,7,0,7,13,0,13,16,0,16,3,3,7,146,19,164,336,49,387,493,72,565
