SOS_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SOS10,19,34,536,4453,20311,17285,19166,13587,3261,3292,4020,5334,1720,353,1721,95086,528,444,614,1070,4354,1381,1485,1033,251,253,239,233,78,20,314,12317,39,169,455,1291,2004,1715,3225,1774,522,523,517,481,369,152,227,13465,42,169,743,3300,6438,8209,11158,4218,1349,1190,1233,1475,857,297,565,41247,24,96,502,1223,5211,6366,7774,4158,744,699,713,885,366,147,493,29395,0,3,42,195,2289,2876,2418,2145,583,609,672,770,267,47,297,13209,3,10,105,583,2583,3369,8066,6089,1833,1248,1148,1350,455,119,829,27796,3916,12097,35501,24530,21926,19362,35306,21688,4284,4048,4153,4473,2109,767,4929,199094,82,179,997,1929,2367,3466,6143,4587,1174,1229,1380,1761,1199,496,594,27577,17,41,200,12893,26883,16723,12887,10191,2576,2547,2395,2716,1368,390,3470,95292,3956,9814,24343,41197,44811,48878,55193,39583,15076,14482,14404,15674,5667,1460,8344,342875,15534,54823,130260,159870,264241,295651,443698,288243,79953,84002,89909,98836,37623,10618,49576,2102838
SOS11,6,10,53,244,1240,939,1774,2424,533,519,687,807,278,103,289,9896,125,72,94,94,347,74,97,60,11,11,16,7,6,3,37,1049,14,30,77,139,104,73,146,86,19,28,20,19,19,5,23,796,15,59,241,559,608,823,1833,665,131,133,172,236,132,79,79,5768,7,27,56,56,157,163,349,408,100,86,125,115,40,12,35,1738,0,0,5,6,32,59,127,173,52,80,154,227,42,0,37,997,0,4,9,47,198,264,884,630,182,169,157,152,85,26,161,2969,2002,6125,14484,8240,5239,3286,5481,2620,402,366,387,461,287,95,2117,51587,35,66,314,602,506,592,990,648,115,119,147,161,126,46,133,4601,6,0,11,124,199,154,357,396,120,177,199,207,90,23,136,2195,787,1962,3160,3203,2628,2228,4486,3278,881,810,1019,1619,601,348,973,27988,4926,14581,24869,20018,18637,14864,29296,21624,5508,5961,7020,8757,3353,1291,6777,187484
SOS12,0,0,10,12,111,68,61,86,23,22,25,32,19,9,34,518,8,9,10,7,32,4,11,7,0,0,0,0,0,0,0,86,3,3,10,17,6,8,10,9,0,7,0,0,0,0,3,64,0,11,28,51,82,72,153,46,27,9,3,7,8,0,3,509,0,5,0,8,14,5,12,5,0,5,0,4,0,0,7,59,0,0,0,0,3,6,9,13,5,5,6,30,3,0,4,93,0,0,5,4,16,16,51,43,6,0,3,12,9,0,10,168,165,643,1618,914,629,424,534,274,21,50,26,25,14,5,221,5554,0,12,36,87,71,47,117,69,15,8,11,9,21,4,11,527,0,0,0,14,10,3,0,8,8,6,4,7,0,0,5,74,67,189,385,394,282,179,259,153,33,36,52,65,14,13,101,2212,411,1401,2788,2251,2028,1375,1892,1110,233,240,253,326,133,38,600,15090
SOS13,0,0,15,66,261,185,254,259,58,60,46,112,27,17,80,1434,11,26,39,36,143,28,30,13,0,3,0,0,0,0,16,350,3,17,35,49,46,55,53,16,3,7,7,3,5,3,19,320,8,22,100,215,276,367,656,210,39,37,63,62,35,16,41,2132,5,10,25,44,57,29,34,23,6,5,3,8,4,3,8,249,0,0,0,4,32,55,35,21,3,12,22,49,6,0,13,259,0,0,13,29,49,84,167,142,26,19,29,44,26,12,46,690,531,1899,5048,2969,2246,1519,2090,735,99,79,88,121,80,26,779,18316,11,31,180,278,283,284,470,218,55,53,40,37,67,12,60,2082,0,4,4,60,87,57,43,50,17,7,7,11,11,0,93,436,317,990,1688,1751,1285,886,1084,581,136,124,160,240,136,50,495,9919,1475,5477,10405,8691,8353,6242,7978,3751,757,741,813,1131,561,211,2867,59455
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS20,13,31,168,1980,9485,7153,14379,10238,2580,2582,3112,4192,1336,308,906,58457,773,945,1159,1180,4960,1633,948,552,126,117,97,99,32,16,294,12937,30,98,284,957,1928,1915,5693,2792,684,711,656,612,361,131,177,17019,26,128,496,2234,4333,4264,8079,3113,782,882,798,946,418,177,265,26944,63,322,1625,2850,7681,8790,18803,10884,2339,2638,3135,3584,1354,260,854,65189,0,4,13,101,1162,1706,2023,1893,451,502,623,547,194,52,155,9417,5,6,60,332,1567,1683,5190,3712,1250,1050,1139,1263,423,97,450,18218,3494,12988,32019,21018,17881,11786,26998,15552,2622,2798,2699,2857,1189,523,3794,158206,58,169,605,1493,1716,2473,4695,3587,811,972,995,1184,695,317,462,20226,5,20,144,9569,25776,15810,14063,10324,2428,2390,2284,2782,1374,327,3089,90387,3308,11483,21977,30620,37246,42441,57112,36088,10866,10301,10906,12420,4422,1271,6584,297042,14238,70057,130133,116367,181265,184717,394812,268019,67602,71836,78240,89178,32730,9637,36543,1745383
SOS21,0,5,28,137,847,666,1886,1891,532,423,466,647,230,85,194,8031,71,53,78,79,305,72,95,30,0,12,6,4,0,4,30,844,3,10,24,80,65,61,194,103,23,19,13,14,19,4,22,665,0,28,68,246,280,381,945,384,77,75,92,115,38,27,41,2804,8,34,92,82,151,165,644,605,132,134,115,107,41,29,44,2383,0,0,0,11,18,42,104,195,73,70,160,245,55,4,30,998,0,6,3,24,88,173,585,465,110,84,140,123,47,8,74,1928,1258,4649,9836,5023,3370,1681,3805,1783,249,234,249,225,115,51,1335,33871,16,23,137,291,207,251,546,393,64,82,68,69,67,21,48,2285,0,3,3,109,282,286,500,426,87,172,199,244,71,21,198,2610,492,1791,2471,2213,2103,2205,5247,3154,693,618,817,1050,385,220,753,24210,3273,13413,17839,12025,12017,10409,28559,19572,4680,4616,5173,5945,2129,787,4769,145201
SOS22,0,0,0,8,55,38,84,98,17,15,20,39,11,6,24,426,8,3,8,5,27,12,5,4,0,0,0,0,0,0,0,69,0,0,0,8,6,3,9,3,0,3,0,0,0,0,0,38,0,3,21,33,48,27,80,28,0,4,0,3,3,0,4,254,0,3,10,9,12,10,13,0,3,7,0,8,5,0,0,89,0,0,0,0,0,4,8,3,0,0,5,25,7,0,0,59,0,0,0,5,5,15,49,42,12,5,8,7,7,0,4,168,130,542,1227,615,438,228,404,181,29,29,29,28,17,0,177,4072,0,0,15,33,44,42,54,59,9,5,9,9,4,0,7,286,0,0,0,4,12,3,15,16,0,0,4,0,3,0,0,62,34,135,216,215,162,127,188,108,28,26,35,60,19,23,55,1430,309,1246,1985,1353,1299,854,1416,843,175,176,206,304,119,48,408,10731
SOS23,0,4,11,36,161,100,174,339,115,79,98,164,56,53,75,1467,17,27,32,26,95,27,24,8,5,0,4,0,0,0,12,287,0,8,17,31,13,12,53,23,18,0,3,5,0,6,14,205,0,12,36,137,118,183,343,100,33,31,16,41,25,13,38,1128,0,14,49,48,41,35,52,27,3,6,8,10,5,0,18,308,0,0,0,5,3,17,30,47,9,19,39,35,7,0,6,220,0,0,4,4,24,42,145,195,46,36,28,49,31,9,70,675,398,1801,3980,2296,1693,926,1617,631,102,59,66,102,43,15,676,14429,10,16,78,186,136,142,223,104,22,25,30,32,20,7,36,1064,0,0,0,41,70,53,56,25,11,10,9,20,9,5,144,458,178,675,1135,955,724,530,706,379,84,91,100,211,63,74,476,6385,1131,5456,7701,5641,5106,3675,5906,3156,734,677,736,1084,428,239,2689,44350
SOS27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,8,6,13,4,0,0,0,0,0,0,0,41
