SOS_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SOS10,223644,65493,69546,74449,82365,29522,7523,26811,1480614,985,210,270,63,89,154,137,55,35,10270,12272,1060574,303503,288243,79953,84002,89909,98836,37623,10618,49576,2102838
SOS11,13851,4060,4617,5650,7085,2408,885,1595,72188,189,13,14,5,3,11,15,7,4,1186,1452,106046,21153,21624,5508,5961,7020,8757,3353,1291,6777,187484
SOS12,428,127,128,153,249,79,22,147,3321,26,0,0,0,0,4,0,0,0,10,41,10869,1283,1110,233,240,253,326,133,38,600,15090
SOS13,1709,409,407,496,700,290,102,534,16740,55,6,11,0,0,4,0,7,4,673,749,43444,5174,3751,757,741,813,1131,561,211,2867,59455
SOS17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS20,211560,56094,59679,65707,75500,27110,7181,21757,1229809,759,184,294,66,102,87,128,37,27,3812,5495,803449,288146,268019,67602,71836,78240,89178,32730,9637,36543,1745383
SOS21,13751,3625,3682,4266,5033,1647,595,1673,68549,164,34,16,9,10,4,5,6,6,521,764,75647,21887,19572,4680,4616,5173,5945,2129,787,4769,145201
SOS22,350,101,106,121,212,77,31,87,2554,13,5,0,0,0,0,0,0,0,12,25,7463,992,843,175,176,206,304,119,48,408,10731
SOS23,1484,448,434,482,758,272,152,453,12162,48,3,6,4,0,5,6,4,0,872,937,30580,4030,3156,734,677,736,1084,428,239,2689,44350
SOS27,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,12,4,0,0,0,0,0,0,0,41
SOS30,87679,21607,22763,26560,33611,12930,3361,8476,456118,474,157,162,30,30,46,71,30,18,2447,3471,447227,183197,146303,31680,32189,36678,44573,18705,6200,22779,969531
SOS31,8509,2035,2254,2775,4481,1817,788,1147,43614,109,29,13,0,0,15,21,8,5,466,665,71948,20389,16458,3292,3463,3982,6079,2690,1157,4613,134062
SOS32,566,126,135,166,220,109,51,142,3542,20,0,0,4,0,0,5,0,11,59,98,11972,1959,1341,275,274,293,400,206,89,712,17516
SOS33,1492,354,351,438,878,412,235,432,11737,50,5,4,0,0,0,12,0,0,362,443,36977,6832,4135,722,716,787,1325,651,333,2475,54966
SOS37,0,6,8,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,0,4,6,8,4,12,3,0,4,48
SOS40,39837,10996,11612,13689,16784,6870,1225,3727,214548,224,40,34,16,9,12,25,23,0,517,896,170111,57576,50468,12889,13484,15920,19266,8289,1720,7674,357402
SOS41,2687,666,805,803,1022,461,157,390,13395,62,6,4,3,0,0,3,3,6,187,273,30202,5360,4528,949,1062,1069,1305,630,237,1745,47100
SOS42,182,62,52,73,123,71,18,28,1029,18,0,0,0,0,0,0,0,0,7,33,4021,442,346,89,88,99,151,75,28,227,5565
SOS43,524,139,146,156,268,118,37,174,4238,17,0,0,0,0,0,0,0,0,130,149,12056,1686,1110,240,241,267,377,179,59,821,17035
