SOS_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS10,833,1260,5987,9256,13661,24501,39172,36892,21155,152718,247,1219,6173,6673,8805,12776,12691,10565,6765,65917,13662,21070,54413,44510,33421,29896,29133,28558,23528,278195,135314,376325,881833,841575,725360,635414,486971,283019,122298,4488111
SOS11,666,575,2001,2670,3832,8208,15552,14167,9390,57066,86,168,704,727,841,960,1037,839,503,5871,5783,6646,15303,13512,12512,12469,13632,13402,9007,102265,42644,84693,191712,180246,185684,202284,195269,121995,49850,1254379
SOS12,68,48,149,197,386,952,1718,1313,664,5501,13,12,34,28,54,63,79,89,27,399,625,535,1244,1344,1443,1710,1849,1228,558,10546,3889,6628,14500,16235,19786,23890,21910,10492,3050,120392
SOS13,164,89,474,670,1250,3050,5433,4040,1735,16896,21,33,123,141,176,261,331,316,166,1560,2632,2492,5309,5997,6914,7800,6719,3878,1286,43022,16786,26784,51173,62463,83421,95032,77283,33966,8236,455143
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
SOS20,1335,1835,6977,10088,12703,19924,37497,47517,27771,165654,312,1457,6362,7341,8509,10376,10199,9642,6008,60207,10747,16867,44527,34856,27169,22947,22455,21614,16398,217577,105227,334792,799056,736753,628456,527229,402482,239222,105211,3878431
SOS21,521,509,1820,2071,2534,4512,9427,12069,7837,41308,62,205,742,834,970,926,769,710,391,5594,3063,3113,7913,7520,7095,7235,8165,8023,5574,57704,22236,50601,124960,120590,119348,122869,114787,67822,28356,771580
SOS22,44,27,117,139,229,475,939,1089,612,3677,7,9,27,29,34,37,50,40,15,242,400,425,762,843,960,1165,1146,793,498,7000,2209,4448,9818,10715,12704,15577,13716,6618,2320,78131
SOS23,209,119,465,579,935,1880,3687,3991,1553,13413,35,41,120,116,143,160,195,240,137,1185,1884,1482,3176,3899,4866,5507,4909,2852,863,29439,10672,19279,37594,46738,62261,71090,57818,24678,5813,335943
SOS27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,38,98,129,108,13,0,0,389,0,4,52,140,182,158,16,0,0,565
