SOS_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
SOS10,19403,15299,12600,13715,12588,17122,17703,10105,3301,121839,8630,14949,16683,16722,18628,26491,42126,27729,8405,180360,6128,14891,18596,17799,18539,24220,40604,35480,20231,196475,5643,21140,30160,26795,24660,24876,26982,17139,8315,185709,3533,21131,35469,30720,27351,24361,18799,10031,3327,174735,1951,21346,43483,35114,32442,26427,14927,6846,2502,185029,899,19279,53624,40681,35658,28658,13261,4493,1493,198044,264,11890,46965,33711,28121,20760,7871,2360,831,152767,122,4973,40654,31998,26296,17802,6230,2131,800,131006,60,1853,28182,26361,21546,13646,4308,1296,463,97720,52,1281,39223,51943,39834,22048,5712,1653,576,162325,24,197,5775,12091,9920,4887,1542,541,251,35219,60,267,5880,19831,20375,9446,3074,1430,603,60966,8316,11173,28089,22883,17633,14988,14700,15717,17965,151472,201,465,1145,757,786,1610,1336,369,109,6771,156131,183893,447460,426071,371567,327972,257931,153408,75615,2400041,153007,37304,52591,48557,41966,59203,49190,21073,8187,471086,55001,13567,8551,10002,9866,14745,15802,7255,2461,137250,35246,29432,20452,19713,19553,27749,30559,18178,6035,206913,15508,28040,29365,26504,30143,44083,75898,55871,17598,323010
SOS11,5887,3197,3435,3145,3321,5861,7201,3866,1264,37174,2687,3354,4824,4402,5480,9527,19738,13257,3626,66889,2186,3440,5941,5424,6200,10236,19424,17003,9644,79500,2319,5386,9812,8403,8451,10668,13478,8683,3903,71093,1505,6247,11477,9812,9132,9430,8302,4732,1660,62295,878,6100,12804,10808,10796,10106,5769,2691,995,60949,368,4176,12306,10724,11100,10109,4572,1537,503,55391,129,2307,8474,7396,7639,6021,2262,678,236,35147,38,916,6573,6269,6301,4799,1661,857,369,27780,22,348,4052,4614,4974,3559,990,279,98,18933,10,243,3963,7058,7612,4775,1210,322,115,25321,4,27,447,1009,1086,808,278,117,49,3832,40,80,507,1290,1673,1190,675,397,156,6011,3484,3129,6993,6263,5834,6004,6721,7596,6760,52788,23,79,239,118,101,154,93,57,8,880,43990,42029,98089,92777,96012,106051,101718,65891,31125,677675,30465,4268,6975,6325,7041,14229,10607,4350,1909,86174,19048,2079,2040,2157,2412,4578,5455,2402,872,41028,10698,6135,5893,5100,5664,9516,12321,6872,2169,64362,4691,6069,8216,7360,9507,16293,35821,26757,7713,122434
SOS12,523,239,351,302,357,722,795,331,67,3691,241,244,409,401,590,1144,2223,1140,217,6612,201,310,491,514,716,1108,1923,1274,575,7114,199,405,768,735,927,1142,1237,598,225,6241,112,481,859,844,963,1060,837,360,87,5614,65,437,852,914,1026,1063,578,201,64,5206,24,306,834,910,1062,1085,422,102,32,4770,10,149,567,600,773,617,254,48,16,3031,3,53,482,484,615,517,197,64,13,2430,0,18,262,444,494,416,106,22,0,1760,6,19,311,672,861,534,116,23,0,2547,0,0,32,112,116,90,45,15,4,403,8,11,43,163,244,170,89,26,0,748,409,284,640,700,713,804,882,600,352,5380,0,8,42,12,3,10,6,0,3,97,4162,3220,7450,8388,10191,12089,10724,5100,1744,63070,3067,381,563,637,782,1856,1260,360,123,9029,1691,158,190,195,272,599,625,221,51,4003,921,463,531,497,584,1197,1432,633,133,6385,416,468,690,650,1023,2064,4254,2502,493,12560
SOS13,1979,915,1118,1230,1551,2651,2579,1092,248,13348,863,1003,1331,1617,2129,3761,6050,2976,550,20269,773,974,1596,1770,2327,3546,5064,3079,1131,20260,795,1415,2435,2636,3186,3997,3628,1632,460,20191,622,1686,2716,2901,3580,3771,2729,1110,224,19336,317,1692,2853,3142,4110,3919,2182,728,156,19094,156,1243,2875,3155,4278,4086,1949,512,90,18351,38,668,1953,2299,2999,2642,1169,249,50,12070,12,263,1647,2078,2798,2250,918,242,76,10284,3,93,1032,1609,2282,1741,613,155,20,7553,8,55,1106,2743,3882,2602,778,181,37,11395,5,13,126,488,727,555,204,73,8,2205,13,23,200,790,1462,1098,529,189,35,4337,1749,1181,2405,2946,3572,3873,3206,1939,759,21632,10,57,121,72,42,37,29,13,3,393,17477,12412,25523,31893,42190,46604,35858,15588,4275,231818,12883,1513,2334,2707,3888,7307,5349,2005,574,38566,7291,781,777,884,1200,2361,2520,923,231,16968,3465,1721,1804,1881,2542,4522,4883,2198,496,23511,1565,1744,2208,2489,3637,6720,11868,6635,1384,38258
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,18055,17667,13479,13744,12209,14625,15166,8750,3121,116829,6810,16448,16949,15722,16383,21699,34815,24593,7625,161029,3947,14823,17833,16678,17579,20641,35714,32106,19107,178435,3350,18489,28122,24716,23103,21643,23902,15443,7274,166034,1890,16361,31930,28535,25280,21584,16641,8830,3239,154299,1156,17401,41844,33479,30198,23011,12882,5564,2258,167791,527,15426,50701,36804,32236,24467,10516,3478,1193,175354,140,8038,44387,30332,24643,17396,6331,1879,662,133820,82,3138,37457,29052,23634,15338,4879,1716,697,115992,33,1067,22678,22580,17778,10886,3152,902,364,79452,38,762,28062,39633,30775,16428,3956,1216,485,121353,25,164,3736,8664,7424,3669,1065,397,185,25333,54,231,3171,12730,14116,6476,2254,1045,481,40578,6923,9369,23323,18558,15044,12223,12232,12297,12707,122685,188,365,828,526,651,1352,1130,336,82,5466,135158,164092,403827,373576,323749,274248,216134,131591,65161,2087531,131724,34456,47734,44075,36474,49232,39475,16560,6897,406631,57925,16164,9536,10306,9692,12762,13231,6130,2213,137965,32595,33118,21520,19447,18470,23378,26074,15598,5593,195796,12053,30138,29656,24457,26213,35232,61690,48626,15921,283983
SOS21,3675,2163,2575,2457,2302,3613,4221,2072,712,23799,1343,2151,3291,3139,3486,5791,11508,7247,1902,39862,1054,2128,3772,3797,4197,6293,11815,9704,5571,48319,979,3089,6193,5720,5675,6529,7990,4812,2291,43286,622,3358,7234,6458,6348,5930,5027,2548,858,38385,367,3505,8048,7184,7037,6150,3327,1434,551,37598,155,2464,8129,6939,6983,5852,2411,788,289,34005,36,1211,5739,5085,4799,3735,1212,370,122,22311,12,478,4668,4328,4151,3024,917,411,175,18170,6,167,2340,2885,2854,1963,539,146,70,10975,3,122,2285,3987,4178,2621,565,190,67,14019,5,15,269,628,660,467,155,51,16,2271,9,36,279,836,1028,714,337,214,96,3546,2001,1705,4226,4052,3719,3539,4253,4422,4116,32035,7,51,111,82,73,82,82,27,18,527,26567,24768,64442,62651,62168,64762,60446,36651,17744,420211,20513,3087,5810,5275,5061,9444,7099,2585,1049,59923,12607,1492,1537,1632,1654,2750,3168,1356,441,26644,6682,3976,4074,3657,3672,5748,7296,3825,1243,40175,2340,3789,5394,4873,5748,9454,20610,14702,4009,70913
SOS22,269,162,230,221,261,511,509,190,44,2391,115,149,242,311,370,758,1310,661,164,4071,121,187,301,352,436,736,1262,889,457,4744,114,275,528,515,630,773,758,339,150,4079,88,336,578,580,644,689,538,204,49,3705,50,316,653,579,672,716,318,136,40,3476,20,194,558,573,656,630,268,63,13,2976,4,102,418,365,494,448,143,37,8,2014,4,27,343,338,399,348,101,39,17,1603,0,9,149,225,275,204,66,15,0,943,0,4,160,354,445,308,69,26,5,1368,0,0,16,58,72,56,20,10,3,235,0,0,30,134,167,110,56,26,4,544,313,243,382,448,510,591,523,428,348,3790,0,7,26,5,9,12,5,7,0,67,2552,2159,5007,5534,6510,7915,6568,3275,1392,40918,1786,242,393,452,530,1209,772,278,128,5778,1109,101,164,191,172,377,368,111,34,2637,481,290,341,329,419,865,904,390,92,4119,194,272,411,486,608,1324,2498,1439,340,7581
SOS23,1475,790,867,1071,1168,2020,1940,783,183,10302,542,752,957,1169,1672,2641,4585,2088,368,14775,471,743,1112,1375,1839,2711,3772,2255,818,15089,433,1042,1733,2028,2618,3189,2788,1154,324,15310,321,1123,1923,2276,2788,2964,2190,806,144,14536,190,1196,2171,2389,3112,3024,1658,518,103,14372,72,856,2182,2338,3312,3085,1424,339,77,13687,23,392,1576,1693,2364,2142,768,226,39,9224,9,180,1244,1504,2096,1805,637,186,44,7714,6,43,636,1112,1465,1192,384,102,22,4966,5,30,690,1629,2285,1678,585,119,32,7047,4,13,87,352,529,355,138,44,13,1527,3,12,139,551,932,765,373,142,33,2947,1321,800,1587,1992,2574,2838,2421,1441,537,15519,0,25,51,14,13,26,19,3,4,160,12667,8871,18518,23459,31342,34950,26705,11143,2983,170635,9363,1186,1730,2047,2922,5294,3858,1241,307,27956,6099,606,599,730,957,1746,1760,672,161,13339,2606,1392,1325,1503,1827,3330,3727,1620,366,17701,995,1279,1554,1782,2718,4602,8805,4695,886,27312
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,7,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,8,13,16,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,17,14,18,24,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
