SOS_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS10,12786,27895,31132,27111,29228,39319,66084,54583,28786,316923,14684,40955,49489,38916,36630,40111,47384,30157,12340,310664,8980,43554,61116,46765,41908,40853,34725,19623,6103,303636,4973,45169,85358,61974,55980,50278,30504,13830,4411,352497,2344,40447,111580,80962,69361,60012,30947,10956,2791,409404,737,24496,96627,70372,56873,44842,19744,6084,1617,321390,343,11507,84338,69086,55416,40661,15805,5112,1508,283769,167,4827,59998,59391,47162,32432,10852,3226,915,218966,144,4107,95262,131756,97218,58180,16253,4436,1195,408555,67,620,16666,36134,28177,15319,4564,1430,459,103425,113,697,20104,66018,68829,36896,11230,3942,1285,209116,17677,24774,60249,49140,37955,31677,28231,27647,26748,304101,402,940,2446,1740,1629,2557,2394,710,195,13003,322182,378324,885325,844154,727882,638913,490170,284115,122624,4693696
SOS11,4738,5920,9134,8304,10331,17162,33322,27216,13774,129903,5806,9116,13767,11765,12372,16994,24223,15312,5712,115071,3676,11796,17469,14007,13511,15399,16048,9516,2917,104345,2171,13013,24199,18677,18754,19060,12541,5738,1786,115940,1017,9408,26736,21728,21631,21132,11855,4134,973,118619,331,4991,18933,16186,15766,14009,6386,1937,469,79007,113,2321,15205,14415,13871,11609,4516,1863,655,64562,55,1090,10259,11510,11608,8730,2726,768,224,46968,29,1005,12922,20057,20239,13560,3459,892,250,72412,7,118,1909,3577,3785,2763,841,293,86,13380,87,204,1897,4817,5968,4509,1971,878,305,20638,7372,7305,16270,14362,13364,12834,13258,13127,10078,107971,52,211,656,365,233,270,188,110,24,2115,90375,85056,192475,180712,186050,202663,195537,122166,49901,1304929
SOS12,437,519,781,777,1185,1985,3568,2245,854,12359,506,728,1065,1018,1359,1873,2359,1156,362,10419,308,920,1276,1214,1484,1789,1712,779,176,9671,181,986,1678,1542,1825,2100,1274,484,108,10185,76,725,1901,1818,2108,2393,1227,341,60,10638,28,374,1393,1433,1677,1550,725,164,33,7373,15,160,1131,1213,1408,1267,526,174,42,5939,4,68,740,1077,1203,1010,293,70,10,4482,9,57,965,1823,2177,1517,400,80,9,7032,3,3,145,387,388,311,119,28,5,1388,10,21,142,539,778,628,269,71,4,2470,884,593,1329,1435,1533,1759,1848,1186,583,11153,5,22,94,31,25,21,19,8,5,230,8550,6655,14603,16279,19828,23923,21927,10503,3061,125324
SOS13,1849,1677,2449,2673,3792,6508,10329,5814,1798,36892,2344,2569,3461,3736,4936,6902,7369,3393,814,35517,1762,3490,4260,4365,5605,6645,5742,2521,479,34864,1120,3982,5530,5486,7277,8104,5114,1816,333,38764,526,3155,6527,6410,8625,9116,5076,1496,222,41152,154,1702,4655,5121,6552,6258,3112,764,120,28434,74,872,4016,4865,6271,5550,2521,688,149,25005,16,359,2650,3838,5069,4241,1700,440,58,18374,21,298,3477,7230,9533,6877,2250,547,83,30328,3,42,568,1587,2158,1662,654,210,39,6932,24,58,719,2677,4658,3872,1806,544,92,14454,3855,2847,5771,6543,7713,8418,7016,3985,1365,47504,20,107,287,167,100,79,62,20,10,853,36983,26926,51485,62657,83560,95131,77380,33997,8247,476377
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5,4,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,18,8,3,0,0,38
SOS20,8383,27653,29943,24970,26886,32560,56944,48371,27009,282733,8715,35824,46261,35625,33557,34136,41310,26862,10963,273240,4982,35085,56940,43341,38054,34880,30631,17602,5884,267403,3280,38446,85460,60590,52748,44011,26598,11564,3920,326620,1595,32542,107399,75595,63302,51317,24485,8468,2357,367064,447,17117,91215,64496,50852,38227,15636,4734,1327,284056,242,7619,77995,64078,50175,35023,12310,4072,1334,252857,101,3018,50287,52436,40321,26489,8193,2342,695,183882,104,2394,71919,106684,79195,46521,12173,3194,957,323157,58,445,11527,27383,22188,12396,3364,1001,344,78697,119,705,11696,44392,48978,26197,8107,2732,981,143911,14484,20863,50727,39563,31982,25444,22737,21577,18894,246270,390,784,1768,1254,1435,2168,1945,603,151,10508,277207,336373,801583,738707,630521,529979,404915,240031,105452,4064770
SOS21,2514,3745,5763,5523,6625,9888,19860,15419,7989,77325,2820,5580,8515,7705,7929,9749,14189,8614,3368,68474,1608,6849,10911,9187,9097,9444,9764,5307,1558,63733,989,7687,15643,12453,12102,11720,7313,3087,990,71980,482,5738,18215,14578,14002,13012,6390,1980,530,74926,117,2748,13373,11627,10575,8916,3484,988,266,52100,48,1269,11145,10530,9479,7434,2517,858,320,43605,18,524,6230,7632,7260,5240,1558,363,121,28947,25,407,7483,12273,12015,8186,1893,462,142,42892,8,56,1069,2318,2397,1715,496,137,40,8230,38,108,1069,3072,3873,2832,1091,468,185,12734,4234,3668,8823,8323,7947,7418,8110,7708,6118,62355,20,89,264,186,141,165,137,50,24,1076,55070,50820,125313,120850,119585,123109,114966,67913,28404,806023
SOS22,252,330,468,503,695,1295,2482,1566,658,8253,279,502,734,679,894,1210,1473,679,234,6683,201,656,912,808,964,1194,1147,486,106,6471,111,713,1257,1019,1208,1413,793,308,73,6898,59,465,1362,1235,1390,1485,709,193,27,6926,11,220,1014,961,1151,1061,423,119,16,4982,11,90,812,872,945,880,291,79,28,4012,0,41,449,612,708,579,198,46,4,2634,5,19,521,1070,1189,917,256,65,11,4043,0,6,75,197,241,170,70,23,7,787,10,3,89,399,522,403,181,66,21,1700,627,493,821,895,1076,1203,1150,778,534,7580,3,16,63,15,17,16,9,5,0,146,5137,4473,9882,10736,12736,15597,13730,6625,2320,81236
SOS23,1193,1329,1703,1984,2975,4671,7646,4323,1330,27147,1431,1982,2423,2793,3812,5290,5757,2530,606,26633,903,2422,2923,3322,4299,5256,4730,1930,342,26131,572,2832,4197,4223,5630,6233,4015,1338,234,29273,289,2228,5095,5017,6837,7132,3724,983,157,31464,86,1133,3703,4002,5236,5109,2184,612,88,22159,38,550,3054,3777,4928,4479,1756,512,95,19183,20,192,1792,2906,3539,3093,1118,292,49,12996,16,150,2264,4678,6172,4814,1663,399,76,20226,6,28,355,1118,1576,1186,448,133,26,4879,14,45,521,1832,2984,2648,1231,419,95,9778,2758,1945,4379,5040,5878,6234,5404,2994,989,35625,14,44,118,45,42,40,32,16,4,354,26402,19341,37732,46805,62328,71155,57867,24700,5817,352148
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,4,4,3,3,0,0,0,13,0,0,5,11,3,4,0,0,0,26,0,0,3,19,21,23,0,0,0,67,0,0,3,0,10,0,0,0,0,17,0,0,0,13,14,8,0,0,0,47,0,9,38,96,128,106,13,0,0,387,0,0,0,0,0,0,0,0,0,0,0,4,52,140,182,158,16,0,0,565
