SOS_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
SOS10,394,408,906,1489,2226,3396,4884,5564,3880,23145,350,344,581,1181,3217,7604,11530,10219,4657,39684,7640,41554,48898,39874,38239,32403,20379,11906,7934,248819,80,134,327,731,1661,2920,4708,5817,4286,20661,14397,17424,27210,30909,35615,42040,36919,23166,15528,243213,427320,240264,317532,295646,228809,164021,94814,37504,10921,1816839,37476,24874,32214,28881,24595,20945,15969,11935,10240,207136,509554,339354,446312,425318,370790,326362,256602,153035,75503,2902836,813,2615,8881,19566,44518,85212,113222,89885,42775,407477,62354,54284,62629,59791,51303,44945,37465,21830,8160,402764,928,1259,3254,7345,15814,29215,40721,31993,12553,143073,54,77,116,174,541,1601,5272,14822,18920,41570,1415,3302,7431,18245,34584,61333,73703,48911,16372,265283,1506,1502,2422,5271,14348,34867,57224,53314,28738,199188,996,884,1697,2926,4609,7512,11251,11662,6980,48529,850,724,1215,2349,5994,14182,21968,19842,8536,75646,16608,63499,76827,66069,64673,55345,34746,19030,10925,407727,223,285,616,1403,3437,7154,11735,12945,7723,45517,37184,32402,44109,52713,62608,75258,66025,39797,23181,433272,861230,511141,647837,598689,458729,325032,180103,71267,19320,3673347
SOS11,101,164,313,469,856,1433,2603,3026,2055,11018,198,147,255,619,1936,4667,7166,5844,2269,23089,4079,16337,18644,16687,16715,15987,10462,5446,3553,107908,44,62,126,300,760,1416,2291,2685,2012,9689,5204,5244,7821,9171,10964,13866,12746,7908,5366,78300,108622,51132,57264,51366,48398,44535,32783,14805,4283,413193,14718,8556,8595,8199,7901,7795,6837,5471,3625,71705,141749,85907,97851,92656,95908,105899,101618,65831,31111,818547,325,1059,3499,7878,17984,39442,57754,44725,19908,192580,25377,18284,20726,19972,18919,20746,20629,11956,4149,160758,263,366,940,2010,4781,10887,18913,14925,5643,58737,17,21,55,73,203,648,2338,6309,7555,17231,559,1212,2383,4623,10030,18900,27193,19187,6052,90134,538,572,940,1722,4806,13294,25149,24294,12833,84139,297,335,574,879,1610,2990,5411,5972,3396,21466,429,318,524,1184,3394,8730,14050,11414,4177,44210,8989,25529,28993,27157,27932,27038,18618,9267,4953,178466,90,107,241,547,1433,3146,5535,6060,3519,20680,13583,9868,12427,14848,18621,24625,23191,13890,8002,139045,216196,110236,118432,104663,97714,86545,62548,27924,7482,831735
SOS12,9,15,23,25,72,136,215,224,138,852,9,7,21,55,187,482,705,431,132,2033,328,1138,1305,1329,1623,1593,1005,332,131,8773,4,5,13,22,74,139,203,218,94,767,418,390,539,760,1079,1435,1198,534,234,6582,10096,4591,4447,4755,5329,5339,3631,1156,275,39614,1442,848,710,842,924,1005,913,467,240,7384,13116,7363,7412,8382,10180,12078,10718,5096,1738,76095,29,92,285,667,1841,4647,6152,3686,1165,18574,2208,1481,1483,1710,1893,2261,2176,1030,265,14507,27,40,62,203,460,1255,2003,1272,324,5654,4,4,4,11,15,61,193,399,343,1025,52,91,167,360,892,1918,2720,1650,398,8239,56,46,82,135,471,1420,2696,2014,773,7694,24,33,46,68,158,301,494,482,237,1840,18,21,51,103,320,946,1499,921,294,4163,716,1815,2034,2181,2649,2846,1888,633,195,14947,7,9,23,39,131,325,544,510,187,1778,1073,740,887,1201,1825,2747,2364,1045,375,12271,20465,9901,9168,9677,10839,10609,7357,2492,534,81037
SOS13,34,43,74,121,272,397,591,510,224,2270,49,32,52,164,503,1292,1781,1041,290,5201,924,3659,3593,4055,4891,4861,2611,832,308,25725,9,11,32,72,215,413,552,502,228,2032,1375,1423,1700,2529,3718,4978,3733,1595,583,21640,39007,19983,15858,19207,23851,22330,13523,4412,807,158977,5294,3180,2738,3470,4253,4403,3394,1644,493,28866,49234,29820,25400,31819,42148,46562,35829,15570,4270,280662,105,307,837,2347,6596,15283,19228,10528,3016,58257,7001,4958,4473,5637,6962,7810,6486,2595,609,46532,105,92,221,665,2046,4649,6836,3955,931,19498,11,0,7,12,57,173,562,1154,838,2808,178,324,479,947,2868,6026,8041,4563,954,24390,169,176,212,430,1684,5145,8629,6128,2024,24588,111,104,129,221,524,928,1491,1236,479,5217,124,79,114,312,946,2736,4098,2471,648,11530,2138,5718,5561,6649,8339,8708,5189,1723,484,44509,22,19,62,143,410,1002,1598,1348,510,5125,3523,2767,2831,4126,6587,9318,7720,3200,1010,41095,79547,44280,33025,38841,48499,46206,28804,9511,1637,330346
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,5,0,0,0,28
SOS20,346,387,830,1283,1939,2884,4048,4592,3447,19759,329,272,550,1044,2802,5749,9016,8192,3970,31933,7461,41533,55451,42495,38356,31277,19795,11997,8890,257259,96,156,307,697,1597,2573,4211,5169,4326,19126,13044,17012,28007,29397,33160,35715,31006,20921,13974,222233,363838,206371,273750,250526,193132,133883,77184,31128,9282,1539098,30567,20919,27501,23870,20866,16706,12775,9034,6445,168683,433478,298690,402991,373049,323095,272896,215000,131252,65082,2515545,586,2429,8451,17356,38541,71005,93930,77168,38651,348099,53037,51333,68244,62106,51350,42223,35652,21442,8356,393753,824,1108,2969,6322,13793,24729,35233,27829,11737,124529,61,69,123,156,403,1133,4090,12074,16437,34548,1300,2915,6984,16693,30228,49096,59214,41119,15312,222852,1544,1285,2324,4489,12188,28390,46487,44548,25845,167105,939,794,1586,2537,3964,6262,9058,9682,6116,40942,733,614,1160,2062,5113,10925,17112,15839,7324,60892,15760,62313,86321,70222,63905,51999,32708,18904,12284,414403,297,300,599,1349,3324,6241,10352,11541,7627,41634,33293,31048,44606,49607,57079,63452,54217,34994,20874,389171,731935,440905,566014,508958,386944,265113,146796,59017,16540,3122226
SOS21,78,89,201,300,490,810,1340,1561,1058,5924,111,87,170,392,1130,2622,4102,3085,1306,13009,2518,9264,12054,10854,10749,9895,6734,3166,2175,67408,34,43,91,189,505,908,1456,1580,1084,5890,3288,3411,5327,6045,7186,8739,8034,4800,3550,50380,71067,31399,38105,35535,31722,27544,19268,7980,2387,265002,8746,4618,5118,5099,4843,4451,4163,3139,2235,42413,90952,51283,64334,62567,62103,64683,60370,36620,17728,510640,174,595,2344,5016,11136,22356,32385,24333,10889,109238,15149,11248,14341,13933,12557,12571,11873,6882,2354,100913,183,206,549,1345,2977,6668,10891,8562,3117,34502,10,36,34,39,110,390,1287,3196,3821,8930,316,705,1567,3205,6435,11478,16360,11049,3630,54740,396,313,574,1054,3092,8087,14922,13855,7177,49475,209,194,357,549,926,1660,2805,3070,1764,11521,263,174,332,693,1938,4788,7781,6176,2389,24544,5317,14478,18419,17390,17617,16322,11579,5455,3030,109606,77,95,155,358,964,1959,3429,3563,1920,12523,8483,6420,8395,9786,12049,15031,14164,8279,5099,87708,142297,68456,78872,71975,64096,54181,37032,15007,4191,536111
SOS22,7,9,12,25,42,84,121,107,46,449,5,6,3,28,100,307,403,273,84,1221,222,758,886,978,1061,1155,661,229,151,6108,3,0,15,27,36,94,129,121,80,503,301,265,369,488,763,984,731,356,209,4459,6351,2877,3009,3097,3303,3455,2245,781,193,25311,769,569,409,527,583,675,513,315,201,4563,8075,4703,4983,5529,6501,7906,6558,3271,1392,48929,23,69,188,469,1261,2830,3810,2287,869,11801,1336,893,1044,1219,1297,1529,1425,631,176,9548,23,16,44,111,303,769,1254,782,244,3534,4,0,7,6,9,31,93,228,288,665,30,62,94,215,540,1230,1720,924,260,5087,20,22,39,94,292,981,1725,1231,588,4995,16,11,14,46,82,168,306,232,105,980,23,14,18,73,196,601,925,599,176,2622,458,1182,1386,1558,1770,1997,1308,435,206,10306,13,0,13,39,87,231,347,292,147,1171,716,515,579,765,1286,1793,1440,688,317,8092,12648,6184,6261,6396,6787,6983,4583,1612,348,51816
SOS23,25,42,48,77,179,316,409,339,147,1588,31,24,55,125,370,929,1320,695,183,3733,737,2724,2937,3288,3958,3774,2035,610,216,20282,8,17,41,69,186,319,459,389,142,1620,1035,1106,1414,1950,2948,3742,2881,1158,441,16682,28016,14283,11202,13857,17593,16775,10013,2986,622,115340,3612,2235,1772,2293,2912,3110,2397,1173,348,19852,35224,21513,18465,23449,31328,34925,26686,11135,2986,205705,72,196,633,1718,4995,11406,14049,7634,1966,42667,4862,3862,3598,4602,5447,5911,4969,2087,393,35727,67,103,187,487,1506,3386,5071,2932,635,14380,8,9,14,11,39,110,338,668,480,1661,139,255,371,775,2110,4508,6067,3292,707,18217,133,141,152,331,1243,3801,6703,4429,1351,18286,72,76,90,142,356,691,1056,778,284,3541,72,48,111,250,688,1911,2915,1718,399,8114,1541,4270,4480,5203,6704,6644,4000,1228,333,34409,14,29,62,119,369,764,1282,1054,309,3999,2477,2146,2212,3161,5107,7103,5774,2347,772,31106,56922,31486,23633,28474,35948,34775,21681,6810,1265,240986
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,0,0,0,18,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,0,0,4,0,6,0,0,0,15,0,0,0,5,4,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,9,0,3,10,34,38,31,7,0,0,123
