SOS_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS10,1048825,699164,882873,842414,726261,636361,487779,283404,122435,5729517
SOS11,290079,175156,191821,180345,185811,202385,195352,122058,49878,1592895
SOS12,27008,15180,14511,16244,19795,23898,21909,10498,3050,152099
SOS13,102463,63781,51196,62494,83466,95058,77313,33977,8238,577987
SOS17,0,0,0,4,18,8,3,0,0,32
SOS20,891097,612411,799816,737455,629087,527811,402966,239429,105296,4945361
SOS21,186880,105783,125046,120662,119438,122943,114832,67864,28378,991828
SOS22,16573,9584,9820,10716,12716,15584,13721,6622,2320,97656
SOS23,72793,45691,37612,46759,62285,71112,57831,24688,5814,424590
SOS27,0,9,52,140,182,158,16,0,0,565
SOS30,678820,469273,525498,504823,468803,396753,320885,182152,68675,3615673
SOS31,182363,106691,117540,113431,116765,123073,113604,63758,22098,959325
SOS32,26100,13780,14563,15692,18948,24061,22869,10444,2310,148766
SOS33,78835,47639,45278,54695,70455,78639,64062,26853,5159,471627
SOS37,6,24,87,111,79,34,14,0,0,354
SOS40,211678,152538,177179,166703,154004,146810,122359,72376,33254,1236891
SOS41,58104,35422,38388,37298,41431,44468,42908,26815,10623,335457
SOS42,8160,4666,5035,5163,6277,8441,8139,4153,1601,51642
SOS43,24969,15064,14123,17090,22217,25707,20110,8245,1710,149237
SOS47,0,0,0,16,10,0,0,0,0,34
SOS50,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
SOS51,79692,42053,52349,53805,51916,49969,40660,20677,7433,398565
SOS52,11526,6249,7910,7789,8361,9967,8821,3999,1111,65723
SOS53,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
SOS57,3,137,518,957,896,533,176,32,0,3250
SOS60,32330,23017,34119,25445,23082,22522,19880,11745,4848,196998
SOS61,37365,24905,29027,24674,26362,28025,25894,16055,6182,218497
SOS62,4841,2660,3154,3303,4018,5168,4774,2432,697,31039
SOS63,17991,10353,10379,12363,15378,18400,14309,5634,1154,105965
SOS67,5,21,62,80,90,75,33,3,0,366
SOS70,25800,15488,25522,20971,16938,14722,10630,3766,808,134643
SOS71,11288,6601,9646,7941,6496,6016,3606,1051,242,52888
SOS72,6082,4048,4561,3621,3326,3199,2145,471,59,27506
SOS73,7420,5078,6425,6001,6547,7058,5743,1378,145,45785
SOS77,0,37,58,105,120,106,42,10,0,482
SOS80,82383,60775,77435,69014,55886,44609,34756,18995,7190,451046
SOS82,132,78,54,94,99,69,55,33,6,611
SOS83,94,140,133,61,71,74,58,9,7,649
SOS87,0,0,0,0,0,0,0,0,0,0
SOS91,276,121,261,240,258,227,175,36,4,1601
SOS92,429,277,293,321,349,540,374,187,48,2822
SOS93,117,87,186,130,162,121,120,69,10,999
SOS97,0,0,0,0,0,0,0,0,0,0
