SOS_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
SOS10,19300,137845,8708,206,166058,18740,162422,12797,476,194436,34488,371167,30907,1303,437868,42292,349691,25112,984,418077,45790,291324,18355,844,356315,36566,258716,14714,946,310942,30718,189169,11290,1057,232234,15714,105048,9606,337,130709,2597,37486,6843,81,47015,246206,1902875,138334,6238,2293651,22675,125532,7722,201,156131,25073,147978,10379,465,183893,42165,377010,27130,1145,447460,55762,347685,21867,757,426071,55671,299312,15809,786,371567,41350,271889,13125,1610,327972,35920,208755,11921,1336,257931,17156,123576,12307,369,153408,2988,58812,13708,109,75615,298761,1960542,133971,6771,2400041,41979,263373,16427,402,322182,43814,310399,23178,940,378324,76651,748183,58042,2446,885325,98055,697376,46973,1740,844154,101462,590638,34159,1629,727882,77916,530609,27836,2557,638913,66635,397928,23208,2394,490170,32867,228621,21916,710,284115,5586,96298,20555,195,122624,544967,3863420,272301,13003,4693696
SOS11,4965,37565,3830,27,46380,3743,35162,3984,130,43022,8210,76840,8918,420,94391,11581,68349,7757,250,87937,13017,69947,6936,137,90032,14393,75995,6097,119,96608,18218,70044,5474,92,93830,9981,41913,4333,48,56269,1645,14673,2449,9,18780,85748,490499,49775,1241,627259,5929,34568,3464,23,43990,4538,34389,3020,79,42029,10633,80474,6748,239,98089,16137,70510,6007,118,92777,16089,74471,5353,101,96012,18230,82446,5229,154,106051,23311,72933,5378,93,101718,12515,47608,5709,57,65891,2135,24377,4596,8,31125,109515,521766,45510,880,677675,10895,72134,7290,52,90375,8279,69552,7005,211,85056,18842,157314,15666,656,192475,27721,138861,13767,365,180712,29107,144415,12288,233,186050,32620,158439,11326,270,202663,41531,142976,10848,188,195537,22491,89524,10044,110,122166,3779,39050,7049,24,49901,195264,1012263,95289,2115,1304929
SOS12,532,3391,462,3,4391,336,2814,277,9,3440,737,5700,662,53,7150,1265,5915,686,17,7882,1585,7267,759,21,9639,2022,8969,825,7,11827,2243,8150,796,9,11201,991,3959,450,7,5407,134,999,185,4,1314,9846,47169,5106,135,62252,579,3175,407,0,4162,353,2581,276,8,3220,944,5845,630,42,7450,1825,5915,646,12,8388,1987,7555,645,3,10191,2428,8943,707,10,12089,2551,7455,710,6,10724,1027,3584,485,0,5100,161,1308,274,3,1744,11845,46357,4771,97,63070,1110,6570,862,5,8550,683,5397,553,22,6655,1676,11547,1292,94,14603,3091,11827,1331,31,16279,3572,14822,1400,25,19828,4450,17911,1529,21,23923,4795,15604,1510,19,21927,2018,7544,936,8,10503,295,2299,461,5,3061,21691,93525,9874,230,125324
SOS13,2739,14702,2055,5,19501,1593,11319,1555,49,14512,3044,19592,3158,163,25966,5668,21674,3331,92,30763,8097,29472,3742,55,41370,9598,34819,4076,36,48531,8918,29229,3336,39,41523,3336,13354,1714,9,18412,375,3114,475,4,3969,43361,177287,23441,466,244555,3024,12769,1675,10,17477,1723,9548,1082,57,12412,3737,19395,2271,121,25523,7936,21094,2789,72,31893,9827,29081,3239,42,42190,10567,32581,3413,37,46604,9149,23943,2738,29,35858,3097,10976,1494,13,15588,379,3337,556,3,4275,49450,162728,19259,393,231818,5763,27476,3732,20,36983,3315,20866,2633,107,26926,6778,38988,5433,287,51485,13604,42774,6119,167,62657,17923,58560,6978,100,83560,20165,67401,7486,79,95131,18069,53174,6075,62,77380,6435,24335,3209,20,33997,753,6449,1032,10,8247,92811,340014,42695,853,476377
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,16,0,8,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,16,0,0,18,0,8,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,36,0,3,38
SOS20,14027,120868,6962,200,142052,18499,142778,10580,421,172279,33126,337166,26534,936,397759,37989,306314,20094,733,365134,41384,249737,14869,777,306770,30962,212929,11023,823,255732,27413,152323,8235,814,188778,14553,86774,6848,268,108445,2584,33395,4228,74,40289,220532,1642293,109375,5038,1977238,17911,110661,6392,188,135158,25385,129760,8582,365,164092,41213,339024,22756,828,403827,50758,304705,17584,526,373576,48810,261199,13085,651,323749,35748,226884,10264,1352,274248,32930,172765,9309,1130,216134,16332,106198,8721,336,131591,2855,54263,7967,82,65161,271938,1705464,104663,5466,2087531,31938,231533,13351,390,277207,43889,272538,19158,784,336373,74334,676195,49293,1768,801583,88746,611019,37681,1254,738707,90199,510939,27953,1435,630521,66707,439817,21285,2168,529979,60340,325083,17542,1945,404915,30884,192973,15568,603,240031,5439,87658,12195,151,105452,492473,3347761,214031,10508,4064770
SOS21,3002,23357,2132,17,28506,2355,21860,1791,38,26048,5500,50801,4405,158,60864,7892,46175,4025,101,58197,9008,44653,3678,69,57411,9130,45848,3288,81,58342,11294,40106,3064,56,54520,6048,22714,2482,20,31265,1054,8161,1441,10,10660,55276,303677,26308,549,385811,3513,21136,1915,7,26567,2851,20307,1569,51,24768,6633,53612,4094,111,64442,10565,48185,3828,82,62651,10649,48161,3290,73,62168,10916,50774,2996,82,64762,13703,43422,3245,82,60446,7202,26173,3249,27,36651,1268,13823,2631,18,17744,67288,325591,26808,527,420211,6515,44490,4046,20,55070,5202,42170,3362,89,50820,12134,104409,8506,264,125313,18453,94358,7850,186,120850,19655,92814,6970,141,119585,20045,96619,6279,165,123109,24993,83530,6307,137,114966,13250,48884,5736,50,67913,2322,21982,4072,24,28404,122563,629267,53119,1076,806023
SOS22,322,1954,305,4,2579,259,1809,233,11,2315,599,3837,401,34,4872,966,3804,421,15,5203,1288,4422,497,13,6226,1623,5515,542,0,7677,1797,4830,534,3,7163,821,2237,295,3,3354,133,662,133,0,930,7799,29073,3365,79,40320,391,1858,299,0,2552,288,1645,224,7,2159,744,3860,380,26,5007,1298,3788,439,5,5534,1550,4502,455,9,6510,1785,5597,524,12,7915,1847,4293,424,5,6568,870,2077,326,7,3275,124,1028,237,0,1392,8891,28643,3313,67,40918,718,3810,604,3,5137,547,3454,459,16,4473,1342,7696,780,63,9882,2261,7597,866,15,10736,2842,8920,954,17,12736,3403,11113,1067,16,15597,3643,9122,955,9,13730,1690,4316,624,5,6625,252,1694,374,0,2320,16689,57725,6674,146,81236
SOS23,2011,10292,1427,7,13739,1318,8127,1011,24,10476,2286,14239,2624,61,19211,4352,16099,2855,40,23343,6492,21541,2925,30,30987,7613,25699,2877,16,36209,7355,21306,2490,17,31162,2817,9421,1313,12,13561,276,2177,381,0,2832,34513,128900,17898,198,181510,2246,9116,1297,0,12667,1443,6707,698,25,8871,2852,14133,1482,51,18518,5855,15726,1874,14,23459,7660,21404,2266,13,31342,8098,24439,2386,26,34950,6908,17820,1956,19,26705,2349,7661,1131,3,11143,289,2294,400,4,2983,37687,119289,13501,160,170635,4259,19401,2730,14,26402,2761,14837,1706,44,19341,5140,28367,4103,118,37732,10206,31825,4728,45,46805,14147,42946,5187,42,62328,15706,50136,5266,40,71155,14261,39125,4448,32,57867,5158,17080,2445,16,24700,567,4473,781,4,5817,72200,248193,31399,354,352148
SOS27,0,0,0,0,0,0,4,9,0,4,0,12,19,0,30,9,39,84,0,131,8,42,121,0,163,6,34,96,0,141,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,25,133,335,0,493,0,0,0,0,0,0,0,0,0,0,0,7,16,0,17,0,3,8,0,14,0,7,13,0,18,0,6,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,0,72,0,0,0,0,0,0,4,9,0,4,0,17,38,0,52,3,40,96,0,140,8,44,129,0,182,6,41,106,0,158,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,24,158,385,0,565
