SOS_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
SOS10,143213,518,87,7,5,8,17,12078,155928,159420,6521,2284,445,102,8,38,14605,183430,156632,23107,13022,3973,1041,249,117,16152,214302,108837,49288,41092,13270,3928,998,495,14097,232008,57830,46597,73446,25842,7506,2211,1258,12032,226722,35903,32979,74275,31212,9683,2949,1922,9669,198594,31195,29226,72324,33396,10600,3250,2120,8590,190710,27969,27700,67437,33034,10806,3373,2161,7588,180079,24634,25692,62734,32212,10806,3400,2205,7273,168962,21259,23938,56361,31704,11439,3580,2318,6806,157401,16501,19759,48428,28840,10940,3375,2346,6701,136888,12428,13540,44088,26848,10312,3196,2269,7031,119710,7968,7986,30653,20724,8756,2959,2240,6926,88208,4877,4943,19317,15277,7571,3014,2812,7016,64833,5347,5915,17953,15037,8679,4081,4607,13880,75503,814022,317719,623515,311828,112172,36655,26929,150437,2393279
SOS11,38864,456,61,11,4,0,9,4553,43960,31832,4048,1776,405,60,10,15,3798,41949,25476,8345,6579,2516,731,200,80,3802,47740,15138,9884,12984,5934,1859,547,353,3420,50111,8696,7237,15771,8619,3066,946,677,3231,48243,6262,5734,14997,8933,3536,1193,899,2858,44413,6180,5822,15962,9997,4037,1302,989,2919,47205,6706,5644,16701,10480,4112,1333,899,2828,48710,6834,5580,17502,11341,4512,1329,883,2913,50889,6941,5446,18836,13147,5358,1490,805,2984,55010,5876,4750,17775,13069,5269,1369,761,3047,51914,4892,4105,17440,12300,5182,1506,848,3430,49706,3393,2690,11897,9603,4602,1515,975,3480,38148,2090,1517,6735,6860,4243,1680,1328,3232,27688,2242,1931,6366,6597,4766,2249,2122,4836,31111,171423,73185,181379,119812,51356,16670,11637,51335,676798
SOS12,3630,33,5,0,0,0,4,489,4161,2432,290,116,19,5,0,5,335,3207,1756,573,510,205,49,12,9,319,3430,1131,699,1040,526,181,54,17,333,3980,640,567,1356,798,259,81,52,344,4096,556,473,1498,903,323,108,81,344,4289,606,562,1674,1058,423,144,103,328,4895,732,570,1768,1202,409,146,95,370,5285,788,641,1896,1273,513,163,113,377,5765,748,635,2068,1496,655,184,115,420,6319,665,514,1972,1439,573,190,71,425,5845,433,405,1625,1205,568,157,60,419,4869,237,212,1001,800,422,120,88,310,3192,133,87,415,459,322,157,98,244,1908,107,84,321,353,297,148,147,296,1738,14589,6336,17257,11731,4999,1665,1046,5351,62977
SOS13,15299,80,4,6,0,0,3,2081,17467,9941,740,285,47,10,0,5,1323,12349,6594,1864,1561,570,131,22,8,1146,11897,3835,2192,3509,1905,587,153,67,1255,13503,2299,1811,4899,3239,1205,315,183,1379,15329,1970,1541,5435,3978,1512,380,255,1418,16497,2299,1873,6783,4797,1899,538,301,1709,20204,2722,2125,7368,5076,2095,576,319,1666,21948,2913,2207,7587,5576,2272,624,362,1858,23402,2741,1997,7287,5738,2577,718,353,1747,23157,2092,1656,6175,4941,2273,649,312,1555,19651,1416,1227,5144,4180,1954,580,287,1390,16178,764,639,2830,2630,1379,442,300,999,9981,376,320,1265,1377,924,347,312,667,5590,235,241,831,956,702,346,380,582,4270,55499,20522,60964,45021,19514,5698,3440,20762,231426
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOS20,123957,362,35,5,0,4,15,10581,134967,144756,4483,1538,266,42,16,32,12594,163724,146489,19004,9764,2904,720,185,92,14317,193482,102901,45090,35705,9985,2607,750,373,12109,209514,54100,41802,66972,20786,5457,1566,1012,10138,201828,33222,28705,66078,25126,6829,2084,1471,7712,171219,28635,25758,63116,27628,7922,2432,1838,7069,164393,25779,23438,61850,28527,8413,2399,1757,6547,158704,21350,20340,54239,27917,8697,2340,1632,5733,142251,17765,17882,48631,27649,9274,2490,1670,5285,130648,13549,14816,42001,24783,8788,2469,1585,5110,113099,9807,10474,38605,24317,8885,2592,1692,5525,101903,6037,6185,26437,18763,7910,2574,1929,5099,74932,3838,3962,16854,14078,7269,2752,2536,5031,56318,4360,5054,16449,14338,8360,3828,4270,8423,65082,736552,267353,548281,267069,91167,28463,21907,121275,2082063
SOS21,23734,183,20,0,4,0,11,2605,26559,19817,1916,752,152,21,3,13,2058,24722,17604,5249,3822,1276,347,79,30,2300,30701,10542,7354,8607,3551,983,325,158,2104,33636,6156,5125,11328,5514,1769,514,329,2116,32855,4454,4058,10415,5848,2055,606,498,1788,29713,4394,3809,10631,6455,2267,769,556,1756,30630,4302,3639,11055,6842,2568,791,554,1726,31470,4193,3213,11139,7478,2846,831,523,1720,31937,4027,3053,11143,8012,3339,888,519,1769,32743,3183,2652,10998,8092,3300,917,444,1857,31435,2468,2092,9844,7556,3290,978,563,2136,28931,1532,1247,6247,5638,2887,1041,711,1981,21277,946,725,3247,3793,2510,1176,963,1979,15339,980,1005,3243,3707,2876,1459,1519,2948,17728,108330,45316,112483,73905,31061,10366,7392,30835,419682
SOS22,2204,3,0,0,0,0,0,342,2554,1702,121,53,7,0,0,0,269,2150,1378,369,260,85,22,6,0,192,2315,867,511,680,304,78,17,7,196,2673,501,391,943,522,152,41,20,207,2779,397,318,987,549,204,32,25,232,2754,493,385,971,667,224,72,45,245,3083,519,364,1144,751,294,64,41,237,3417,580,376,1254,830,322,106,51,291,3800,517,400,1364,981,382,106,46,307,4103,429,302,1216,844,352,108,65,251,3554,295,216,963,781,353,112,62,226,3005,144,131,563,477,307,99,65,202,1994,91,52,255,301,217,116,69,170,1275,81,78,219,285,238,109,139,249,1392,10190,4035,10872,7385,3139,978,640,3611,40848
SOS23,11058,41,3,0,0,0,4,1555,12664,7392,415,133,25,3,0,0,879,8853,5210,1288,950,344,66,5,6,780,8651,3009,1834,2506,1232,339,54,34,808,9813,1911,1438,3712,2378,722,181,92,919,11361,1619,1237,4177,2724,959,269,132,970,12091,2038,1471,4942,3281,1181,300,179,1105,14496,2273,1658,5673,3962,1436,354,232,1245,16828,2341,1550,5902,4151,1621,459,256,1318,17595,2108,1403,5552,4376,1845,479,260,1294,17330,1558,1163,4707,3824,1638,454,259,1206,14806,1018,827,3709,3144,1492,453,214,1020,11878,503,408,2049,1823,1016,363,263,772,7200,227,207,836,1023,641,289,259,454,3939,140,138,571,624,558,244,299,399,2986,42407,15088,45416,32913,13512,3924,2495,14728,170485
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,12,15,6,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,6,6,3,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,3,8,0,0,3,0,0,0,0,10,16,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,0,0,0,50,72
