SOS_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
SOS10,536256,1083259,11495,67229,69492,325109,15149,71800,389272,1507150,485411,1971282,39990,174359,64544,228235,132010,439145,236542,841735,721949,2813018,3272,15811,15390,53874,7087,26363,77772,206913,103519,302960,10900,36508,25604,58878,95166,214937,131670,310324,235194,613284,26003,55439,1519396,4564999
SOS11,182059,363979,2780,15642,14138,65850,5444,25328,85264,334737,107622,441552,5856,24432,9678,31804,28389,89925,43926,146160,151543,587716,1162,5426,5390,19059,3569,13182,33338,92024,43460,129694,2306,7311,5921,12679,27937,60447,36162,80432,79619,210122,6194,13017,419420,1174833
SOS12,18748,37436,310,1765,1402,6504,622,2869,7826,31273,10158,42412,628,2602,1029,3390,3342,10487,4989,16484,15152,58893,80,394,435,1567,296,1117,2440,6800,3252,9879,199,613,476,1024,2300,4968,2968,6603,6226,16481,487,1028,40613,113839
SOS13,72516,145113,1562,8744,7100,33313,2552,11961,30532,124974,41742,178988,3621,15215,5240,17240,15332,49093,24191,81553,65939,260539,251,1217,1069,3769,632,2300,5881,16191,7829,23483,522,1674,1245,2678,7095,15439,8860,19788,16692,43270,1380,2908,156531,451824
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,466486,939376,8683,51140,60396,280631,10106,47414,342459,1316445,421641,1695633,34077,147692,58531,207280,104376,343991,196984,698964,618623,2394595,2567,12464,14239,48726,5027,18332,65704,170527,87530,250057,10223,33768,24348,55719,78057,174374,112628,263862,200167,513912,23858,50621,1309134,3898506
SOS21,111063,221949,1915,10916,9875,46415,2812,13017,59615,234408,74207,304756,4715,19989,7061,23696,18508,59136,30280,102825,104491,407583,732,3387,3481,12253,1764,6362,18785,51097,24764,73096,1736,5564,3904,8510,16520,35863,22167,49932,46930,123033,3674,7708,266154,760273
SOS22,12123,24139,156,872,969,4496,255,1184,5131,20254,6516,26804,398,1632,669,2215,1838,5792,2904,9645,9416,36447,29,141,232,797,118,425,1316,3553,1703,4916,105,317,286,613,1394,2941,1782,3874,3484,8787,301,619,25325,69992
SOS23,55871,111596,1075,6034,5346,25104,1415,6499,23231,94104,31067,131743,2855,11976,4391,14715,11472,36617,18726,63307,49784,195049,150,687,729,2490,388,1392,3820,10212,5087,14786,422,1330,971,2122,4981,10810,6378,14260,11459,29040,1045,2185,118159,337869
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,369714,740883,6806,39757,40868,189408,10396,48490,232074,894482,290148,1172141,18303,77474,35807,122577,65166,208609,119272,408659,409421,1580800,2457,11991,12238,41782,5896,21654,66794,176210,87388,251640,6253,20064,16670,37037,54849,120179,77771,177275,165158,428913,16803,35228,961097,2785824
SOS31,105940,210124,1773,10008,9143,42407,3642,16978,52031,203833,66587,273220,3290,13477,5868,18708,15736,49074,24897,81262,91481,354481,689,3266,3266,11656,2265,8551,20311,56837,26524,80309,1190,3810,3124,6759,14526,31496,18834,42066,45360,122370,3688,7785,246466,694766
SOS32,17717,35119,250,1420,1250,5844,563,2751,7029,28005,9099,38021,436,1789,771,2434,2572,7939,3779,12158,12876,50178,111,546,374,1375,367,1476,2749,7946,3605,11344,122,401,328,707,2125,4676,2577,5781,6184,17123,576,1242,37345,103668
SOS33,57703,114615,1038,5746,5357,24369,1846,8520,23991,95845,32232,134485,2271,9198,3927,12542,11124,34724,17314,56463,49545,190951,165,780,903,3236,558,2116,5027,13845,6653,19977,337,1087,955,2090,5368,11659,6668,14837,13328,34814,1162,2444,121738,342828
SOS37,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SOS40,128448,257149,2154,12539,13695,62924,2817,12824,76290,291495,94961,379782,7616,32344,13188,45748,25942,83720,46746,161808,141701,541590,709,3367,3974,13486,1852,6487,20767,53364,27308,76696,2505,8039,6227,13838,22315,48668,31047,70545,58358,147244,6124,12829,334633,958810
SOS41,41818,82931,601,3323,3305,15165,988,4448,17851,69377,22747,92314,1405,5765,2419,7894,6132,19199,9952,32859,32700,125167,229,1036,1139,3901,639,2255,6526,17422,8529,24616,521,1606,1344,2915,5297,11292,7166,15810,15689,40425,1179,2456,91384,250983
SOS42,7005,13808,84,482,445,2013,160,734,2536,10027,3225,13270,189,760,317,991,885,2744,1389,4494,4614,17763,28,129,121,428,76,293,764,2083,989,2930,68,204,142,303,655,1383,865,1894,1855,4824,173,393,13648,36782
SOS43,19355,38318,345,1861,1909,8624,473,2185,8043,32432,10769,45100,887,3593,1350,4334,3717,11649,5954,19569,16722,64665,40,177,246,842,120,420,1284,3505,1692,4952,143,464,308,627,1538,3284,1986,4378,3680,9326,350,750,40106,113062
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,205986,406124,4059,23000,24368,111084,6066,27279,141617,539082,176105,700451,12819,53432,21891,75151,41043,129545,75755,258127,251858,958581,1182,5498,5958,20304,2867,10304,32190,84093,42203,120196,3744,11842,8472,19148,29167,62997,41381,93981,83590,214177,8990,18897,550426,1597778
SOS51,40142,78450,730,3988,3803,17078,1483,6690,24401,94474,30411,122234,1351,5359,2265,6884,5900,18055,9520,30294,39936,152524,233,1066,1236,4189,842,3049,7252,19795,9557,28105,469,1450,1146,2405,4896,10407,6510,14263,16070,42369,1270,2676,97412,276023
SOS52,6485,12759,95,539,443,2021,272,1345,2992,11823,3808,15729,144,584,229,679,854,2641,1232,3900,5035,19627,54,275,153,579,183,765,1165,3406,1552,5025,59,183,147,303,886,1984,1091,2469,2645,7497,291,672,14467,40560
SOS53,19878,38997,358,1942,1746,7452,628,2768,8340,33197,11078,45362,870,3400,1268,3853,3628,11095,5767,18348,16840,63710,36,199,245,809,168,636,1399,3800,1847,5447,100,315,268,562,1517,3245,1881,4120,3732,9569,375,799,40824,113080
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,21554,43147,294,1632,1852,8440,472,2138,11282,42354,13904,54570,863,3544,1661,5503,3398,10803,5928,19853,19832,74418,136,591,730,2403,342,1212,3883,9980,5088,14189,344,1049,1004,2178,3302,7148,4649,10376,9737,24568,904,1896,52028,144026
SOS61,26091,51982,383,2160,1998,9225,678,3083,11363,43525,14424,58000,852,3510,1475,4742,3947,12354,6274,20610,20694,78608,152,686,864,2958,448,1586,4966,13047,6432,18281,372,1137,969,2067,3897,8341,5235,11542,11666,29826,885,1838,59334,162249
SOS62,4371,8614,35,205,288,1319,130,551,1571,6012,2025,8092,120,486,218,669,636,1940,971,3099,2992,11186,13,62,87,296,48,153,484,1313,630,1826,35,108,86,188,441,934,569,1231,1203,3058,91,190,8655,23042
SOS63,14994,29777,253,1396,1175,5425,414,1922,5942,23223,7777,31968,563,2283,903,2869,2680,8413,4145,13572,11923,45533,40,185,249,842,124,471,1245,3246,1665,4746,117,340,280,595,1317,2829,1720,3767,3379,8513,249,519,30550,84338
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,10978,21493,228,1300,1227,5634,401,1834,8580,32282,10440,41047,414,1716,870,2764,1756,5563,3033,10044,13475,51096,67,335,333,1183,220,816,2364,6248,2987,8589,155,481,393,854,1500,3291,2053,4631,5035,13222,533,1137,30033,86944
SOS71,3494,7070,138,968,395,1953,368,2174,3135,12418,4044,17512,96,405,217,669,623,2149,936,3226,4981,20739,42,234,140,527,244,1194,1143,3353,1567,5307,42,162,115,245,657,1651,814,2063,2383,7366,263,675,11116,35855
SOS72,1463,3132,71,459,137,727,344,2052,1482,6212,2026,9455,33,165,45,144,331,1278,407,1583,2436,11043,31,188,63,274,191,999,698,2152,976,3611,14,49,37,82,457,1285,499,1410,1480,5025,188,494,5568,19697
SOS73,3006,6014,74,477,284,1323,256,1467,1996,7989,2611,11256,109,427,149,470,613,2025,868,2928,3477,14179,20,112,53,186,102,533,515,1536,687,2368,32,95,48,101,406,1009,485,1202,1177,3576,128,303,7792,24072
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,46948,94193,660,3663,5259,23827,935,4232,32670,124857,39527,156579,2367,9949,4802,16502,7424,23909,14601,50359,54131,206934,224,1037,1284,4073,405,1407,6520,16068,8434,22586,715,2240,1888,4120,5575,12131,8183,18491,16611,41083,1768,3720,119459,345921
