SOS_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
SOS10,643871,49933,18228,6484,726,297,2413,721949
SOS11,122199,17754,8198,1501,328,137,1436,151543
SOS12,12384,1670,717,164,27,11,180,15152
SOS13,56049,5933,2502,731,120,48,560,65939
SOS17,0,0,0,0,0,0,0,0
SOS20,564133,32769,14620,4897,462,217,1529,618623
SOS21,89485,8404,4893,872,152,65,627,104491
SOS22,8138,712,420,59,15,0,74,9416
SOS23,43739,3361,1886,405,69,21,315,49784
SOS27,0,0,0,0,0,0,0,0
SOS30,344828,41385,16752,3646,661,262,1895,409421
SOS31,71693,12017,5543,1092,230,113,788,91481
SOS32,10299,1433,690,234,39,17,170,12876
SOS33,42003,4394,2032,546,103,42,426,49545
SOS37,0,0,0,0,0,0,0,0
SOS40,125185,9574,4864,1238,180,53,607,141701
SOS41,27552,2708,1776,302,56,26,277,32700
SOS42,3881,342,258,64,13,3,55,4614
SOS43,14650,1051,678,158,21,13,145,16722
SOS47,0,0,0,0,0,0,0,0
SOS50,207275,32266,8649,2003,399,123,1136,251858
SOS51,30442,6463,2117,425,115,42,334,39936
SOS52,3760,734,283,115,23,19,111,5035
SOS53,13452,2321,636,208,42,9,168,16840
SOS57,0,0,0,0,0,0,0,0
SOS60,16829,1705,973,169,29,9,128,19832
SOS61,16966,2061,1326,154,32,15,143,20694
SOS62,2494,269,178,18,9,3,24,2992
SOS63,10159,924,630,94,17,6,93,11923
SOS67,0,0,0,0,0,0,0,0
SOS70,10700,1854,564,219,33,11,85,13475
SOS71,3821,525,238,225,48,37,87,4981
SOS72,1800,171,97,208,37,36,85,2436
SOS73,2669,427,158,137,21,20,54,3477
SOS77,0,0,0,0,0,0,0,0
SOS80,48471,3365,1639,403,41,22,191,54131
SOS82,88,3,3,0,0,0,0,92
SOS83,42,5,4,0,0,0,0,45
SOS87,0,0,0,0,0,0,0,0
SOS91,133,11,4,0,0,0,0,149
SOS92,178,17,8,3,0,0,0,212
SOS93,46,0,5,0,0,0,0,54
SOS97,0,0,0,0,0,0,0,0
