SOS_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SOS10,18336,23699,42038,5463,7016,12486,6223,16944,23158,7158,35203,42363,20776,73718,94495,23105,45960,69068,65143,33769,98915,60299,42327,102627,75930,48381,124311,90484,40721,131203,71425,36156,107585,76165,30648,106813,175792,58023,233814,139199,9050,148249,124982,17430,142414,88704,4677,93386,326424,32593,359016,75146,11602,86752,14674,19085,33761,1465455,587009,2052463
SOS11,3896,6303,10201,1843,2663,4503,1861,6989,8850,2332,14558,16889,8191,41097,49292,9347,26343,35685,33096,15855,48949,27651,19169,46812,31770,18468,50238,36263,12659,48924,24772,9973,34746,26029,7562,33588,52755,11618,64376,37186,1930,39115,27977,2639,30612,16650,721,17371,36692,4864,41558,25964,2432,28398,6025,11067,17095,410301,216901,627199
SOS12,440,615,1061,214,253,472,186,618,804,243,1246,1483,834,3680,4511,901,1979,2883,3365,1277,4642,2603,1552,4155,3036,1500,4538,3419,979,4398,2302,753,3059,2385,651,3038,4706,1006,5706,3420,144,3563,2626,245,2871,1590,57,1646,3779,616,4395,2809,204,3018,674,1083,1756,39544,18454,58000
SOS13,2064,2030,4096,938,788,1729,740,1758,2498,808,3336,4149,2786,7891,10680,2593,4341,6933,8877,3429,12307,7558,4386,11942,9512,4341,13848,11254,2915,14167,7668,2242,9916,8881,1766,10646,17396,2690,20083,13163,438,13599,10694,760,11457,7326,196,7520,22877,2164,25038,12279,639,12921,2395,2458,4848,149805,48562,198371
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,16427,22722,39149,5595,6914,12509,6382,15605,21986,6594,30388,36982,18963,69057,88020,21008,44767,65774,59863,34036,93899,57757,43138,100900,72237,49134,121364,86348,42120,128463,68133,38020,106149,71833,30494,102323,162028,52993,215022,128373,8478,136855,108920,14479,123405,73530,4079,77615,230647,23817,254469,66366,10803,77163,13920,17542,31466,1274911,558595,1833510
SOS21,2690,3986,6678,1187,1555,2743,1161,4158,5323,1540,8938,10481,5254,24351,29607,6023,15081,21103,19595,9603,29196,17358,11526,28886,19695,11094,30791,22406,7883,30288,16077,6305,22384,17034,4469,21504,35148,6470,41616,25028,995,26026,18072,1536,19609,10592,381,10970,22633,2849,25481,15690,1221,16914,4120,6714,10832,261301,129131,390428
SOS22,274,489,761,132,203,336,140,463,602,145,1024,1172,560,2795,3358,543,1342,1889,2152,957,3112,1751,1197,2950,1872,1172,3046,2227,735,2959,1607,621,2232,1593,398,1990,3210,652,3858,2194,115,2308,1531,157,1686,824,68,893,1951,538,2486,1733,126,1860,487,733,1219,24928,13797,38723
SOS23,1448,1479,2930,669,607,1268,567,1363,1932,575,2498,3072,2180,6137,8317,1962,3436,5399,6704,2711,9412,6183,3479,9659,7700,3465,11165,8967,2376,11345,6214,1846,8059,7334,1435,8771,14441,1969,16414,10694,286,10980,8219,568,8791,5203,131,5335,14871,1394,16267,8862,400,9263,2204,1917,4121,114997,37493,152487
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
