SOS_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SOS10,22420,3854,5246,73,29,31620,5796,1015,1237,15,4,8064,4996,937,1193,19,5,7147,8279,1465,2129,27,4,11905,11548,1973,3121,40,11,16695,34837,6106,10325,93,32,51398,44123,8549,14599,109,58,67433,85330,15000,28625,202,127,129291,65974,10123,18804,115,127,95144,74710,11990,16812,118,105,103733,81929,14839,12547,144,100,109554,31378,4920,6941,73,48,43360,471326,80769,121580,1026,649,675350
SOS11,7393,458,178,31,25,8085,3895,277,111,20,5,4307,3741,313,93,9,3,4157,7650,462,164,42,5,8326,11209,621,241,30,14,12115,31597,1567,612,81,30,33890,33156,1457,410,61,30,35111,35417,1113,370,49,41,36994,15203,372,139,22,16,15753,10831,275,124,17,14,11255,5943,151,73,24,18,6204,9414,467,146,45,17,10092,175445,7531,2669,430,218,186291
SOS12,977,11,8,7,3,1013,631,6,4,8,4,650,588,6,5,4,0,603,1084,13,7,8,3,1110,1293,13,0,6,3,1313,3221,48,10,14,0,3296,2983,32,10,7,6,3043,3437,42,17,8,9,3507,1714,5,10,9,3,1745,1446,15,7,0,8,1477,868,0,16,3,3,896,1157,12,7,4,0,1178,19393,208,100,71,46,19821
SOS13,4531,23,16,27,26,4628,1414,5,3,11,4,1441,1309,6,4,11,3,1333,2340,9,8,26,10,2395,3036,14,5,23,22,3094,8046,34,14,45,26,8164,8123,51,7,34,15,8237,11260,49,13,38,28,11384,6471,34,9,19,16,6543,6983,22,3,13,13,7032,6904,29,17,17,25,6990,4750,28,6,23,11,4818,65169,297,113,294,191,66064
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,25458,4149,2270,37,18,31928,8234,1310,668,7,3,10224,7087,1136,666,4,4,8898,12359,2029,1224,21,11,15640,16993,2877,2111,21,9,22014,54791,9586,8748,106,48,73283,73322,12701,11582,106,74,97784,117918,18096,13715,146,81,149949,59883,10041,5635,68,44,75663,54322,10281,4517,67,45,69234,49309,9591,3214,57,38,62209,34435,5324,2835,48,27,42673,514114,87121,57184,696,382,659503
SOS21,5506,238,51,17,16,5827,3353,150,36,6,3,3548,3204,130,30,3,3,3376,6867,309,67,16,7,7266,9954,411,113,11,4,10497,26550,900,212,23,11,27704,26392,627,137,23,22,27204,25035,379,73,17,39,25547,8447,116,13,15,5,8594,5824,89,15,3,9,5942,3484,52,5,9,9,3561,7894,233,55,15,0,8202,132517,3633,813,165,133,137262
SOS22,678,12,10,5,0,705,648,5,0,7,0,659,631,8,3,5,0,641,1051,11,3,5,0,1071,1292,8,11,7,0,1316,2804,20,11,13,0,2847,2341,21,17,9,0,2383,1903,15,7,5,3,1937,710,3,5,0,0,719,555,4,9,6,0,567,339,3,4,6,0,352,815,4,8,0,0,828,13751,115,78,56,13,14024
SOS23,3493,13,3,13,18,3531,1498,0,0,6,0,1510,1481,0,0,12,0,1492,2594,7,4,11,7,2615,3391,12,3,22,8,3429,8657,24,3,18,10,8712,8398,16,6,14,9,8443,9422,34,3,23,10,9500,4511,10,3,12,9,4540,4179,7,0,6,6,4203,3831,13,0,4,7,3858,3931,8,0,12,7,3957,55377,145,29,154,87,55794
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
