SOS_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SOS10,2287414,2393279,4680692,906458,646558,1553013,310539,482129,792672,156542,159323,315856,78814,63867,142685,1452357,1351875,2804230,709864,914869,1624732,5.4,4.7,5.1,63.5,56.5,59.9,60,53.8,56.9,209817,212037,421854,36477,63331,99808,453313,540643,993964,194452,255705,450154,385095,201565,586657,15901,29043,44948,35579,57188,92775,436580,287795,724377,2217088,2290778,4507872,431314,439246,870558,1410736,1473817,2884546,1091988,1118760,2210751
SOS11,626017,676798,1302817,238601,149112,387710,80953,159968,240929,22224,27900,50122,19322,15400,34722,361108,352381,713482,223496,281415,504914,5.4,4.4,4.9,57.7,52.1,54.8,54.6,49.8,52.1,19467,23352,42817,7669,16498,24173,55962,90289,146251,41800,69098,110899,172394,99456,271852,6639,12647,19286,9909,18329,28237,188942,130430,319372,595171,634182,1229351,112432,121970,234404,378926,400802,779727,289093,317993,607094
SOS12,62113,62977,125089,22239,13049,35292,8100,15607,23704,2572,2750,5320,1727,1304,3028,34637,32706,67347,22630,25740,48370,5,4,4.5,55.8,51.9,53.8,53,49.9,51.4,1817,2191,4007,769,1625,2400,5298,8604,13907,4050,6747,10796,18214,9198,27411,558,1296,1853,1033,1680,2713,19804,12169,31983,60221,60278,120494,9037,9463,18503,41460,41116,82576,24470,25469,49943
SOS13,244092,231426,475521,102178,56376,158559,31991,61475,93468,10998,11747,22743,5170,4040,9209,150340,133644,283980,74052,80079,154129,3.4,3,3.2,61.6,57.7,59.7,59.5,56,57.8,7291,8960,16251,2601,6303,8907,23010,36885,59901,16602,26244,42845,69356,30935,100295,2301,4539,6838,4114,6845,10961,75769,42324,118091,238351,225778,464130,29806,29916,59720,174715,163317,338037,81524,81370,162898
SOS17,31,4,32,26,0,27,0,0,0,0,0,0,0,0,0,33,3,35,0,0,0,0,0,0,96.9,66.7,94.3,96.9,66.7,94.3,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,0,0,0,0,0,0,11,0,11,29,3,33,6,0,6,20,0,19,12,3,17
SOS20,1972196,2082063,4054265,908209,566210,1474420,299457,528506,827966,68031,89092,157120,73535,64742,138276,1349233,1248554,2597785,525416,736498,1261909,5.5,5.2,5.3,68.4,60,64.1,64.7,56.9,60.7,175195,183211,358408,41485,80303,121787,388550,466112,854670,178709,221916,400625,327778,174869,502649,13577,20341,33925,24197,36471,60674,365554,231686,597240,1925466,2005813,3931280,363732,374176,737900,1216813,1285061,2501872,947753,976729,1924482
SOS21,385264,419682,804949,161443,89543,250995,48882,107779,156654,14061,18665,32727,11453,9552,21004,235841,225539,461380,125582,168999,294586,4.9,4.2,4.6,61.2,53.7,57.3,58.2,51.5,54.7,11221,14533,25752,5743,13819,19564,35053,56857,91914,29453,46365,75815,103791,57669,161461,3630,6417,10046,4987,7341,12328,112408,71430,183840,381407,405035,786441,63279,68625,131903,239844,253397,493242,179140,195466,374603
SOS22,40237,40848,81088,15104,7926,23031,5470,10982,16449,1760,2099,3869,942,746,1689,23289,21747,45032,13831,16060,29888,4,3.4,3.7,57.9,53.2,55.5,55.5,51.4,53.5,1133,1472,2602,640,1394,2039,3549,5966,9513,2819,4639,7455,11449,5445,16893,321,637,961,522,685,1200,12287,6765,19054,38856,38941,77795,5513,5785,11294,26844,26560,53402,15511,16109,31615
SOS23,181314,170485,351794,79785,39488,119274,23572,50236,73806,7634,8915,16549,3477,2791,6267,114464,101432,215895,53197,56468,109660,3,2.8,2.9,63.1,59.5,61.4,61.2,57.9,59.6,4592,6332,10924,2457,6223,8679,15907,26438,42342,13180,20080,33258,51097,21381,72482,1434,2689,4123,2301,3133,5434,54835,27201,82037,177669,168894,346567,19211,19374,38585,131694,123694,255389,56891,56691,113583
SOS27,493,72,565,131,22,147,7,0,7,11,0,13,4,0,4,151,22,174,7,0,9,1.3,0,1.2,30.5,29.2,30.4,30.1,29.2,30,3,0,3,3,0,3,16,3,19,21,3,32,68,6,73,8,0,8,8,0,8,80,6,86,135,20,154,25,4,28,91,11,105,60,12,71
