SOS_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
SOS10,109895,83469,56045,31200,11608,3571,419913,18022,58979,57016,47770,35100,19629,6597,1500,244617,10000,27924,21016,13578,7755,4023,1813,641,86749,9288,19640,17692,14271,8711,5189,2149,552,77497,482,387,264,293,391,359,286,303,2767,1546,4905,5762,4947,3252,2122,928,411,23873,18873,31461,26773,19922,17169,16652,17065,16309,164227,116119,375665,355145,275229,204142,132523,64068,30970,1553864,8098,23306,21024,18108,14951,10268,4815,1164,101734,12844,40653,55280,26036,12685,4432,778,63,152768,15128,72418,71176,64737,67584,48729,27022,8687,375479,13837,36096,31095,27550,20376,12801,6893,2204,150865,2337,7128,6921,6375,5021,2790,1260,353,32181,19217,72946,56409,46182,39946,26754,12601,4451,278501,8752,42779,39300,36686,33750,31101,13641,3869,209884,40860,177215,191942,143698,97917,57876,22391,6149,738042,26093,89058,83589,71992,53909,33333,12399,2923,373303,16383,45420,34879,21905,12865,6957,2940,925,142273,13776,31760,29891,22647,14005,8202,3687,876,124852,1019,848,542,510,637,611,449,433,5055,2930,9180,10707,9463,6779,4376,2081,814,46333,41564,67443,57564,43311,36440,32167,30392,24811,333694,222836,716252,690330,539196
SOS11,16080,16065,14983,10625,4309,1224,83134,4590,12491,12795,12547,11802,7224,2201,392,64033,1071,3046,2987,2358,1975,1501,659,205,13799,3673,7377,5931,4681,3313,2296,939,252,28465,179,140,61,48,74,54,54,29,634,253,682,777,875,700,505,248,78,4100,6890,7812,7152,6843,7024,8025,8823,6610,59182,29150,74694,71496,67364,65260,51716,27095,11893,398660,630,2472,2584,2496,2372,2364,1145,262,14324,862,2897,2990,1953,1765,1197,298,31,11997,5576,18929,16938,17506,20271,18619,10615,2888,111343,3782,9101,7983,7329,7820,6403,3246,984,46642,1493,3891,3973,3929,3416,2459,1287,346,20796,4832,17090,14700,13892,15638,12267,5706,1883,86013,2539,11298,12109,11709,12233,13211,5798,1576,70481,6363,22275,24009,23702,22253,17146,7351,1934,125032,5900,16952,17575,17488,16099,11156,3829,804,89804,1854,4851,4684,3721,3082,2501,1044,303,22043,5087,11104,9446,7542,5421,3785,1659,417,44456,314,271,136,88,117,97,75,38,1154,581,1514,1758,1906,1699,1356,651,223,9690,15276,18226,16532,15630,15086,15814,15457,10084,122113,55096,140882,135432,128898
SOS12,1418,1648,1745,1083,321,54,7701,329,947,1159,1268,1302,810,173,22,6008,113,280,303,294,272,168,73,9,1505,300,536,515,519,365,238,74,10,2555,9,4,0,9,4,3,0,5,36,31,43,75,94,88,61,21,3,425,715,706,770,806,915,995,737,367,6015,2487,5620,6588,7315,7814,5771,2101,626,38313,53,175,244,289,341,305,103,19,1526,55,151,182,178,196,132,23,0,922,495,1530,1663,2095,2482,2359,929,191,11743,390,830,901,977,1092,909,289,67,5459,159,402,498,518,503,331,128,15,2554,340,1090,1236,1414,1800,1332,409,98,7716,203,882,1099,1280,1501,1540,453,89,7037,471,1445,2016,2408,2584,1719,564,81,11285,416,1272,1583,1760,1803,1236,347,39,8461,177,432,466,449,417,292,135,17,2391,403,787,781,798,589,405,152,20,3942,16,8,5,11,8,13,0,5,74,53,120,152,198,218,160,58,14,982,1514,1469,1608,1758,1990,2135,1438,623,12524,4742,10597,12441,14134
SOS13,5822,7494,6683,3765,1049,170,30010,1245,2932,3655,4657,4531,2630,570,78,20294,436,1026,1159,1179,1089,687,225,58,5867,961,1734,1683,1910,1353,754,213,24,8635,39,12,6,22,23,12,5,0,132,78,184,306,418,387,245,78,15,1714,2921,2517,3174,3810,4124,3489,2097,747,22876,9665,19790,25592,31196,31012,20951,7257,1607,147074,257,740,979,1474,1511,1451,490,79,6975,234,461,694,798,816,462,84,0,3541,2269,5697,6727,9168,10642,8016,3209,595,46328,1644,2993,3434,4157,4191,2783,1089,185,20481,1281,2729,3354,4083,3974,2428,869,141,18862,1304,3743,4455,5668,7060,5098,1794,316,29434,640,2712,4173,4899,5485,5414,1636,249,25211,1864,5100,8096,10754,10011,6310,1924,280,44329,1661,3908,4890,6413,6346,4353,1124,169,28866,691,1528,1664,1680,1605,1159,370,82,8783,1292,2339,2463,2844,2169,1244,412,61,12813,67,30,22,42,38,31,8,8,245,197,386,602,885,851,625,221,45,3808,6624,6044,7123,8354,9090,7778,4457,1391,50860,20027,38407,48669,61212
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOS20,83442,60533,36246,17884,6276,2282,298080,15196,54227,52031,44576,32050,18098,5789,1243,223209,9085,25241,17992,10624,5810,3094,1393,501,73738,8268,20253,17364,12646,7882,4836,2099,570,73921,439,316,228,191,179,231,113,55,1749,1784,5492,6509,5307,3255,2050,845,315,25570,15438,26015,21399,16237,13133,13074,13356,11471,130134,100636,341961,314040,235395,164235,105090,50779,23310,1335438,11028,24475,21154,17134,12602,8254,3689,891,99223,9249,40027,49343,22139,10687,3919,566,53,135986,15706,67967,63301,55830,51827,37150,20825,6889,319497,12377,39106,29022,22979,15980,9427,5225,1648,135762,2711,7704,7272,5906,4201,2165,957,282,31198,18821,75729,56520,42842,33902,22915,10684,3994,265403,7705,40415,37584,34786,32161,28121,13242,3351,197367,30196,136073,148669,108486,67864,37179,13985,4260,546710,23026,80443,74591,63779,46418,28818,10146,2289,329514,15850,43751,31602,18272,10030,5495,2416,776,128186,12203,33640,30155,19758,12550,7100,3190,865,119452,903,762,512,355,335,371,201,78,3509,3117,10263,12164,9920,6488,4118,1843,637,48563,33637,56044,45508,35255,27858,24852,23634,17479,264267,196511,656400,607391,457447
SOS21,10185,8473,6369,3686,1294,396,40656,2748,8865,8918,8824,7884,4867,1235,190,43527,720,1977,1867,1264,942,657,256,110,7794,2054,5342,4150,2945,2059,1388,609,127,18674,68,90,47,34,45,36,17,5,337,150,553,731,629,466,333,131,60,3057,3724,4745,4545,4094,3991,4845,5130,3961,35037,16538,50207,48938,41845,36596,28359,14382,6466,243331,601,1749,2011,1756,1366,1256,498,97,9343,530,2208,2708,1376,975,610,123,8,8534,3331,11423,11012,11263,11719,10389,5298,1473,65906,2584,8078,6164,4769,4289,3179,1549,476,31091,911,2586,2866,2500,1968,1249,599,180,12861,2987,12044,9952,8618,9014,7035,3117,994,53765,1711,8194,8413,7264,7239,8097,3905,799,45623,2919,12962,15943,13536,10807,7261,2620,649,66694,3803,11888,11765,11619,10269,6837,2027,351,58552,1373,3421,3078,2110,1512,1170,452,159,13280,2851,7699,6465,4685,3301,2198,994,211,28403,130,171,91,76,68,62,24,8,629,342,1200,1636,1427,1162,840,388,151,7145,7944,9928,9517,8873,8546,9244,9091,6082,69226,32016,93558,91618,79877
SOS22,859,839,752,401,122,15,3733,216,647,737,866,1005,614,135,17,4244,77,179,226,190,181,123,38,11,1029,189,442,361,272,247,152,56,6,1740,3,3,0,0,4,5,0,0,21,15,56,52,84,66,51,18,3,350,527,396,516,537,643,606,468,348,4033,1608,3930,4438,4554,4872,3412,1441,554,24805,47,140,190,226,173,183,57,13,1023,26,106,159,138,126,78,16,3,650,281,1008,1044,1234,1540,1274,582,113,7077,223,687,679,622,643,436,170,50,3502,144,360,429,421,377,184,82,19,2012,224,797,822,880,1192,788,311,78,5093,141,686,814,812,908,1003,411,67,4851,214,887,1295,1294,1208,792,237,39,5963,310,874,979,1132,1291,922,228,40,5786,145,305,362,291,307,215,68,17,1705,249,614,568,450,425,253,93,17,2658,12,13,4,3,5,5,3,0,44,22,96,119,180,162,119,54,13,770,1102,896,1015,1169,1347,1364,933,534,8363,3141,7462,8478,8876
SOS23,3793,4242,3540,1716,428,62,16613,818,2256,2816,3601,3751,2083,451,43,15812,248,633,808,739,692,410,109,25,3666,591,1398,1375,1409,1000,564,184,40,6561,17,19,9,11,9,4,4,4,78,62,146,295,379,323,213,51,12,1490,2138,1642,2148,2708,2939,2596,1540,519,16217,6550,14679,19079,22226,21755,14479,4975,1071,104812,217,579,867,1112,1064,900,296,41,5073,144,325,577,630,545,312,51,3,2582,1603,4031,5066,6662,7633,5652,2169,344,33147,1064,2509,2734,3097,2812,1766,666,108,14756,1091,2408,3130,3516,3265,1628,478,89,15605,1059,3229,3686,4566,5448,3637,1203,244,23065,482,2133,2913,3437,4040,4452,1462,167,19087,929,3253,5345,6370,5743,3451,980,116,26187,1158,2881,3542,4606,4909,3260,801,86,21243,455,989,1202,1128,1010,749,215,35,5798,769,1797,1872,2026,1604,881,300,50,9307,22,33,34,20,18,12,13,0,151,134,310,583,783,727,521,161,35,3251,4539,3686,4665,5835,6440,5781,3329,1001,35279,13660,28171,36214,43793
SOS27,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,20,14,19,18,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,37,26,0,0,0,96,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,4,38,98,129,111,13,0,0,389,7,48,136,178
