SOS_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
SOS10,11063,53641,224302,250885,204350,132472,27352,2259,136,906458,30698,47817,67816,50917,43114,42298,22755,4717,407,310539,11902,19117,29335,23289,20246,19132,6589,923,98,130630,934,3145,8262,6042,3881,2569,776,237,63,25912,54602,123717,329719,331131,271593,196470,57467,8146,701,1373536,2533,7129,13351,10377,9336,7588,1194,57,3,51579,6993,6372,5031,2362,2116,2922,1266,164,15,27237,9529,13494,18380,12742,11455,10508,2460,230,18,78814,64127,137212,348098,343876,283044,206977,59926,8372,724,1452357,94516,45549,61213,51249,55957,89256,160313,112450,39365,709864,7209,11201,27246,21974,16469,13768,10940,9547,6844,125192,165849,193960,436562,417097,355471,309996,231178,130366,46929,2287414,5109,47434,185686,162501,146333,84929,13846,682,34,646558,37706,53782,91679,107712,92219,72665,23447,2753,173,482129,14226,19407,35986,28010,19738,17396,5321,600,58,140743,848,2378,5872,3997,2743,1870,599,206,72,18575,57887,123002,319226,302220,261034,176851,43211,4237,335,1288012,1444,4027,8173,6646,5622,3583,352,21,7,29889,6857,5563,6510,5634,4486,3998,867,56,12,33983,8296,9590,14682,12277,10115,7584,1218,78,21,63867
SOS11,7666,19252,55298,53905,52332,40637,8639,809,60,238601,12375,8780,13033,10754,11071,14139,8845,1797,151,80953,1524,1319,2745,2463,2614,3248,1262,188,36,15403,518,836,1727,1259,1058,900,327,147,54,6820,22077,30189,72800,68387,67072,58925,19074,2942,304,341779,1340,1980,2889,2171,2206,1999,295,10,3,12896,1911,985,936,574,661,888,414,43,13,6430,3250,2969,3828,2747,2866,2891,712,52,15,19322,25329,33158,76626,71130,69941,61820,19786,2992,322,361108,18031,6609,10741,10678,14223,29224,68884,49045,16066,223496,2996,3130,6600,5883,5737,5442,5063,4187,2379,41418,46360,42892,93964,87688,89902,96489,93730,56225,18767,626017,3393,13117,33505,32163,37239,25475,3994,205,13,149112,16852,13394,29033,31586,29424,29183,9452,997,52,159968,2075,2070,6598,3858,3029,3618,1200,138,18,22602,504,627,1285,921,791,700,278,145,48,5297,22823,29203,70425,68523,70491,58981,14919,1492,128,336983,726,1015,1419,1169,1264,907,95,5,0,6593,1974,1091,1486,1323,1225,1383,287,26,10,8799,2695,2111,2906,2492,2488,2285,382,31,6,15400
SOS12,704,1535,4103,4826,5394,4551,1000,108,12,22239,1075,733,980,961,1321,1781,1040,187,16,8100,171,130,226,254,330,484,182,27,0,1806,63,68,133,151,143,135,62,10,5,770,2010,2466,5441,6187,7196,6951,2287,339,32,32915,105,155,207,155,219,263,43,6,0,1149,122,75,67,55,56,133,59,3,0,577,230,231,273,211,274,400,97,7,0,1727,2242,2698,5713,6397,7472,7346,2383,347,32,34637,1806,464,756,831,1406,3649,8028,4589,1103,22630,338,265,625,640,738,818,778,460,181,4849,4390,3428,7099,7866,9614,11817,11194,5401,1310,62113,286,907,2204,2773,3735,2651,452,35,4,13049,1474,1075,2337,2951,3240,3380,1034,113,7,15607,214,193,502,380,355,446,139,12,0,2230,44,43,117,85,99,74,32,8,9,513,2019,2219,5161,6190,7424,6552,1659,166,16,31405,58,80,116,88,114,118,8,0,0,578,160,50,102,115,114,148,27,0,0,723,222,131,215,198,225,273,37,0,0,1304
SOS13,4027,7097,14914,19046,25021,22172,8059,1677,174,102178,4362,2451,3074,3252,4957,7183,5028,1469,212,31991,759,706,900,1004,1442,1639,755,160,26,7382,337,326,518,571,660,632,296,221,54,3614,9482,10574,19397,23872,32081,31627,14139,3532,469,145170,266,412,620,534,674,752,118,5,0,3376,459,186,199,171,206,389,161,14,0,1789,725,596,819,707,876,1137,276,21,0,5170,10209,11171,20220,24574,32960,32769,14414,3553,472,150340,7854,2088,3388,3545,5112,11948,23910,13187,3021,74052,1438,1206,2185,2551,3242,3784,3161,1662,471,19703,19500,14463,25797,30672,41314,48497,41486,18403,3967,244092,1407,3948,8064,10638,16588,11940,3180,575,43,56376,5848,3839,7548,11159,13247,13555,5257,919,107,61475,987,791,1942,1459,1454,1699,582,109,13,9037,294,217,411,408,506,430,256,157,30,2711,8536,8798,17969,23668,31794,27627,9273,1754,185,129601,176,233,319,249,368,336,31,0,0,1709,559,234,319,326,368,434,85,7,0,2332,733,465,634,575,732,769,115,7,0,4040
SOS17,0,0,0,4,11,7,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,9922,55228,236822,248373,200147,129477,26129,2004,111,908209,34618,53453,66717,44071,36879,37017,21895,4476,328,299457,4928,6496,9704,7497,6459,6711,2749,480,63,45090,816,2854,7552,5261,3359,2117,691,223,66,22939,50288,118031,320797,305199,246846,175315,51464,7176,576,1275696,1939,6453,11953,8780,7984,5996,918,51,10,44081,10217,6756,4581,2198,1914,2580,1057,135,16,29454,12154,13212,16534,10973,9897,8579,1972,181,29,73535,62439,131240,337333,316176,256740,183895,53436,7361,602,1349233,73861,31592,36443,30738,35812,60869,126583,94067,35448,525416,5557,9025,23044,17488,13443,10146,7945,6749,4158,97553,141859,171861,396822,364402,305992,254908,187964,108178,40212,1972196,3010,38720,172766,139895,127826,72640,10847,495,24,566210,45469,66172,101501,115799,98941,74935,23169,2400,113,528506,6630,8819,21933,15974,8213,7948,2757,351,40,72661,743,2222,5092,3470,2508,1585,531,198,80,16425,55861,115928,301302,275128,237488,157104,37301,3444,253,1183812,1146,3706,7793,5581,4713,2922,285,14,3,26162,10311,6318,6538,6035,4791,3731,772,68,8,38584,11455,10024,14334,11617,9506,6657,1056,79,13,64742
SOS21,4072,12304,38508,37902,35715,26928,5513,465,39,161443,7675,5320,7581,6760,6531,8336,5542,1057,76,48882,1018,768,1537,1452,1505,2018,829,129,23,9272,320,502,1233,1007,793,574,241,84,25,4788,13080,18892,48863,47115,44540,37869,12124,1739,159,224391,635,1167,1741,1277,1306,1123,180,9,0,7434,1357,579,576,393,341,522,215,24,9,4022,1992,1749,2316,1669,1643,1645,397,34,9,11453,15073,20641,51179,48784,46186,39512,12523,1772,169,235841,11835,3730,5679,5700,7765,15707,39011,27081,9085,125582,1585,1636,3856,3608,3387,3046,2928,2392,1395,23834,28486,26008,60709,58097,57343,58262,54465,31244,10646,385264,1373,7404,21698,19705,22355,14683,2215,105,13,89543,10233,8682,19170,22747,20982,19553,5883,503,27,107779,1410,1280,4484,2687,1875,2457,759,90,12,15045,324,445,827,642,626,443,191,90,32,3615,13340,17812,46179,45783,45828,37135,9046,783,81,215991,318,568,912,753,743,558,55,0,6,3911,1411,608,983,902,776,790,150,23,3,5642,1724,1179,1899,1652,1515,1347,204,20,8,9552
SOS22,411,1037,2864,3263,3652,3054,729,87,4,15104,589,515,761,642,803,1264,780,115,8,5470,113,100,161,184,193,308,139,18,3,1219,39,48,120,95,99,81,39,15,0,541,1152,1705,3913,4179,4745,4708,1687,235,19,22344,29,60,120,93,134,161,29,0,0,633,64,33,46,18,45,71,29,0,0,313,97,95,164,114,179,232,55,0,0,942,1251,1801,4080,4293,4925,4941,1743,239,22,23289,1129,270,374,508,809,2215,4906,2837,778,13831,199,231,381,390,482,519,511,271,134,3121,2575,2303,4839,5186,6214,7681,7160,3353,930,40237,148,584,1527,1576,2193,1619,264,13,0,7926,920,806,1640,2137,2284,2429,691,64,0,10982,145,128,416,277,244,334,114,10,0,1671,52,48,70,67,81,64,30,12,4,431,1272,1570,3654,4056,4807,4441,1094,100,5,21009,30,34,67,44,79,75,11,0,0,339,77,33,61,69,65,86,20,3,0,410,102,67,125,108,148,159,23,3,0,746
SOS23,2555,5467,11685,15173,19539,17760,6143,1333,135,79785,3339,1767,1942,2240,3400,5372,4194,1147,169,23572,492,328,470,560,847,1232,534,111,26,4592,249,245,433,430,595,535,336,186,41,3038,6636,7808,14528,18399,24372,24895,11201,2774,371,110990,166,281,391,307,456,512,79,0,4,2189,409,150,120,76,141,260,113,13,0,1285,578,434,510,378,600,771,197,19,4,3477,7213,8234,15044,18783,24965,25664,11397,2786,374,114464,5541,1429,2655,2741,3694,7981,17475,9558,2118,53197,973,790,1447,1786,2292,2545,2272,1203,345,13649,13728,10456,19148,23309,30959,36189,31145,13546,2832,181314,772,2715,6036,7263,11396,8660,2244,374,26,39488,4481,3205,5947,9165,11080,11372,4220,705,60,50236,754,453,1422,951,1083,1361,477,76,18,6597,250,185,327,327,447,369,253,127,31,2317,6262,6559,13736,17711,24007,21760,7198,1286,132,98636,90,155,216,162,251,218,17,6,0,1113,466,151,171,189,277,349,61,8,0,1683,554,308,387,355,524,572,80,11,0,2791
SOS27,0,4,13,35,42,35,5,0,0,131,0,0,0,5,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,11,39,44,43,5,0,0,148,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,39,49,43,5,0,0,151,0,0,0,0,0,5,0,0,0,7,0,9,19,84,121,96,13,0,0,335,0,4,30,131,163,141,16,0,0,493,0,0,8,5,7,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
