SOS_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
SOS10,173,433,1090,950,966,867,366,138,19,5000,54,293,1930,2598,2017,1399,250,39,4,8593,2046,5928,18564,21807,23402,20189,4684,515,36,97176,144,705,3356,4751,4372,2994,643,56,4,17031,9243,20743,49944,40841,32601,21682,5136,484,35,180692,715,2704,9641,12961,12187,9143,2387,354,32,50122,11009,18899,26636,21395,15900,11795,3576,558,42,109820,16968,13744,17753,12177,7923,5895,1612,232,21,76319,1457,6026,19869,22999,23077,20211,5214,450,9,99322,446,1988,8674,11496,8333,4251,853,110,19,36179,301,5456,23122,30049,20535,9546,2286,392,63,91752,401,1705,5761,6548,5311,3718,1552,392,71,25455,963,10132,41566,44761,29628,18455,7580,1366,96,154543,947,3971,10239,9722,8473,6667,2174,291,12,42511,671,4715,18429,20948,19644,14062,3377,268,12,82113,2457,5754,14934,14332,12782,10709,3981,466,21,65444,1160,6901,23057,20501,17595,14748,5678,881,47,90568,1418,2539,5096,4289,3223,2242,805,128,18,19752,1826,4187,10278,9940,9400,7695,2375,377,16,46102,2201,6884,19776,18055,14231,10198,2944,647,128,75061
SOS11,440,1035,2551,2302,2085,2204,1237,440,62,12367,168,909,4007,4127,3489,2233,271,22,4,15233,1287,2707,6958,6436,6234,5245,1188,154,12,30216,83,335,1370,1691,1757,1647,243,14,0,7136,3880,7002,14085,11050,9485,7873,2169,211,9,55752,380,722,1986,2108,2254,2015,524,96,3,10089,4556,3754,5825,4630,4180,3792,1415,235,19,28410,6699,3292,4613,3244,2673,2457,919,121,11,24027,344,863,2975,3520,4596,5090,2044,293,21,19742,140,230,617,661,635,524,168,39,3,3018,33,215,775,1022,1087,848,305,63,10,4354,93,198,631,734,794,736,415,99,17,3715,246,731,2912,3181,3007,2453,1482,253,13,14277,338,855,2121,2093,2322,2244,735,82,0,10790,363,1357,5230,6208,6977,5551,1164,69,9,26919,269,923,3034,3487,3822,3466,1258,110,4,16379,349,1429,5314,5169,5078,4844,1543,153,6,23893,453,396,777,702,726,686,270,69,0,4093,930,1598,3328,2760,2720,2389,841,146,15,14728,1044,1622,3703,3260,3140,2643,885,269,76,16639
SOS12,70,124,350,346,358,434,222,84,8,1993,6,51,217,301,270,186,31,3,0,1073,125,185,401,480,633,540,125,13,0,2514,6,25,118,182,188,178,33,5,0,741,400,638,1293,1217,1220,1047,279,13,0,6102,28,55,152,175,220,199,60,5,0,896,388,264,363,350,367,377,142,22,3,2272,538,255,308,266,297,295,123,18,0,2099,28,84,237,312,514,645,226,34,0,2088,8,10,42,54,74,61,19,10,0,270,11,33,64,104,113,104,24,8,0,449,7,22,30,75,73,102,27,6,6,347,16,67,214,285,313,314,181,38,0,1420,30,56,161,199,261,234,81,6,0,1033,33,86,380,555,731,638,135,8,0,2577,24,68,211,276,374,369,132,15,0,1474,26,96,269,336,425,493,159,26,0,1826,45,37,87,90,97,107,50,9,0,519,93,170,261,260,322,291,93,3,0,1489,114,137,288,318,362,346,135,22,7,1727
SOS13,986,1416,3719,4425,5827,7343,5641,2159,360,31864,82,240,944,1473,1456,944,167,12,0,5323,547,747,1373,1589,2307,2040,666,103,8,9381,47,102,317,509,717,647,102,10,0,2443,1963,2663,4263,4574,5199,4391,1285,102,6,24438,249,246,495,730,966,953,311,75,8,4032,1448,866,958,887,1316,1332,519,92,3,7420,1707,622,587,497,631,688,310,60,6,5109,174,297,749,1136,1948,2095,800,103,5,7305,45,60,118,166,246,231,69,11,0,952,16,94,192,355,519,406,160,38,0,1783,62,95,177,305,438,381,214,61,3,1732,98,339,675,1065,1543,1522,853,134,6,6230,111,222,476,521,740,791,245,26,0,3134,458,763,1121,1634,2530,2077,468,30,0,9073,145,247,566,863,1269,1381,536,55,3,5058,111,234,635,842,1374,1540,652,96,3,5487,182,191,232,279,343,355,159,29,5,1790,517,588,844,916,1209,1093,377,51,3,5602,519,559,960,1113,1490,1412,612,294,54,7003
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,263,679,1794,1717,1701,1306,578,216,11,8270,29,149,824,1017,969,695,168,20,5,3879,2011,6934,23103,26823,28491,22618,5205,540,43,115774,134,758,3978,5271,3953,2751,539,44,8,17429,6962,21695,55087,43547,34094,21787,5128,528,35,188857,728,2820,8831,11181,11604,8555,2238,305,35,46296,11470,18826,25591,19715,15357,10662,3506,486,29,105641,16809,14344,18194,11432,6926,5002,1364,171,14,74261,966,6146,21330,21752,18098,15617,4333,351,10,88610,447,1799,6513,8474,5876,3108,650,87,5,26962,184,3421,15800,20166,13311,6409,1639,282,52,61249,211,1224,4815,5090,3992,2779,1139,287,32,19558,602,7308,36292,38471,25683,15413,6097,1148,60,131071,852,3819,10478,8793,7889,6116,2033,287,14,40284,594,3954,16084,17279,15151,11277,3029,362,24,67757,1897,4952,15759,15244,12359,10092,3492,370,17,64176,859,5423,21058,18784,15789,12463,4569,615,42,79606,2256,3239,6157,4662,3415,2149,823,145,5,22857,1124,3970,10239,9232,8782,6920,2213,374,27,42878,1893,6568,18869,16558,13412,9595,2722,566,118,70304
SOS21,351,748,2179,1748,1735,1567,840,314,51,9548,10,90,348,442,443,353,71,10,0,1765,780,1890,5221,5432,5726,4777,1069,86,4,24991,35,185,1056,1222,1313,1263,202,10,0,5289,2480,5255,12065,9036,7290,5432,1313,101,5,42979,218,456,1337,1671,1815,1560,414,49,3,7521,2977,2439,3624,3079,2865,2424,876,129,8,18431,3810,1800,2124,1645,1239,1025,437,57,4,12132,182,661,2967,3612,3744,3955,1325,140,6,16592,73,186,520,561,480,352,95,19,0,2283,23,158,657,1059,961,589,203,36,8,3692,36,124,422,487,482,418,224,55,4,2249,111,477,1988,2490,2062,1606,946,165,4,9848,165,443,1220,1377,1345,1204,434,75,6,6273,186,649,3091,3490,3620,3019,735,57,4,14849,219,479,2024,2309,2060,1921,707,59,0,9778,145,689,2752,2743,2692,2580,837,106,3,12541,302,283,577,579,579,438,194,36,0,2974,455,938,2124,1772,1741,1607,589,88,4,9328,515,943,2556,2370,2346,1783,616,149,41,11317
SOS22,59,133,303,308,334,370,216,61,8,1791,5,15,58,53,51,51,18,5,0,251,75,144,373,436,498,461,127,6,0,2113,3,19,70,133,143,136,24,0,0,519,218,437,916,913,836,751,169,12,0,4252,31,34,99,122,164,161,71,7,0,698,212,164,222,233,242,250,100,17,0,1441,299,223,327,177,181,196,77,14,0,1489,38,116,240,228,343,421,150,16,0,1553,5,8,28,27,43,45,18,0,0,180,0,12,45,92,91,58,28,4,0,330,4,24,34,47,52,52,23,5,0,239,13,44,139,193,239,230,141,16,0,1012,20,45,120,117,148,150,66,5,0,667,0,25,189,293,417,372,84,5,0,1395,16,39,175,227,227,247,106,6,0,1046,17,31,138,155,223,254,90,8,0,917,25,37,60,76,81,86,36,6,0,408,48,71,189,159,181,202,64,8,0,911,62,98,188,191,252,223,79,33,8,1132
SOS23,800,1213,2960,3524,4513,5690,4410,1731,274,25109,23,55,191,389,341,276,73,3,0,1352,430,619,1263,1684,2524,2400,709,111,6,9745,18,57,273,427,596,597,131,11,0,2110,1344,2097,3461,3897,4428,3511,963,92,5,19805,150,179,378,600,823,863,278,49,0,3319,1173,706,618,696,956,948,381,57,12,5550,1255,426,368,302,436,482,229,36,5,3538,88,205,583,948,1547,1892,654,62,6,5984,22,43,93,141,208,158,44,7,0,736,8,50,131,259,359,279,121,32,5,1244,24,58,107,149,244,236,117,25,0,960,60,198,484,837,1153,1094,627,97,7,4556,86,167,291,416,554,609,203,30,0,2357,189,438,877,1114,1528,1375,369,28,0,5911,97,152,409,654,857,900,391,34,0,3490,63,170,438,581,871,1143,482,45,5,3796,128,122,233,245,329,362,156,21,0,1598,303,406,663,704,923,928,344,42,0,4314,370,447,709,838,1176,1130,546,257,47,5521
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,7,0,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,24,15,26,5,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,9
