SOS_CODE_2021,Ag_Frs_Fsh_Mgr,Ag_Frs_Fsh_Pfn,Ag_Frs_Fsh_Tch_trwk,Ag_Frs_Fsh_Co_Pswk,Ag_Frs_Fsh_Cl_Adwk,Ag_Frs_Fsh_Sal,Ag_Frs_Fsh_MchOp,Ag_Frs_Fsh_Lab,Ag_Frs_Fsh_Inad_ns,Ag_Frs_Fsh_To,Min_Mgr,Min_Pfn,Min_Tch_trwk,Min_Co_Pswk,Min_Cl_Adwk,Min_Sal,Min_MchOp,Min_Lab,Min_Inad_ns,Min_To,Manf_Mgr,Manf_Pfn,Manf_Tch_trwk,Manf_Co_Pswk,Manf_Cl_Adwk,Manf_Sal,Manf_MchOp,Manf_Lab,Manf_Inad_ns,Manf_To,ElecGWWSvc_Mgr,ElecGWWSvc_Pfn,ElecGWWSvc_Tch_trwk,ElecGWWSvc_Co_Pswk,ElecGWWSvc_Cl_Adwk,ElecGWWSvc_Sal,ElecGWWSvc_MchOp,ElecGWWSvc_Lab,ElecGWWSvc_Inad_ns,ElecGWWSvc_To,Con_Mgr,Con_Pfn,Con_Tch_trwk,Con_Co_Pswk,Con_Cl_Adwk,Con_Sal,Con_MchOp,Con_Lab,Con_Inad_ns,Con_To,WhlTr_Mgr,WhlTr_Pfn,WhlTr_Tch_trwk,WhlTr_Co_Pswk,WhlTr_Cl_Adwk,WhlTr_Sal,WhlTr_MchOp,WhlTr_Lab,WhlTr_Inad_ns,WhlTr_To,ReTr_Mgr,ReTr_Pfn,ReTr_Tch_trwk,ReTr_Co_Pswk,ReTr_Cl_Adwk,ReTr_Sal,ReTr_MchOp,ReTr_Lab,ReTr_Inad_ns,ReTr_To,Acc_Fdsvc_Mgr,Acc_Fdsvc_Pfn,Acc_Fdsvc_Tch_trwk,Acc_Fdsvc_Co_Pswk,Acc_Fdsvc_Cl_Adwk,Acc_Fdsvc_Sal,Acc_Fdsvc_MchOp,Acc_Fdsvc_Lab,Acc_Fdsvc_Inad_ns,Acc_Fdsvc_To,TrPo_wh_Mgr,TrPo_wh_Pfn,TrPo_wh_Tch_trwk,TrPo_wh_Co_Pswk,TrPo_wh_Cl_Adwk,TrPo_wh_Sal,TrPo_wh_MchOp,TrPo_wh_Lab,TrPo_wh_Inad_ns,TrPo_wh_To,InMe_Telco_Mgr,InMe_Telco_Pfn,InMe_Telco_Tch_trwk,InMe_Telco_Co_Pswk,InMe_Telco_Cl_Adwk,InMe_Telco_Sal,InMe_Telco_MchOp,InMe_Telco_Lab,InMe_Telco_Inad_ns,InMe_Telco_To,FinIn_Mgr,FinIn_Pfn,FinIn_Tch_trwk,FinIn_Co_Pswk,FinIn_Cl_Adwk,FinIn_Sal,FinIn_MchOp,FinIn_Lab,FinIn_Inad_ns,FinIn_To,REst_Mgr,REst_Pfn,REst_Tch_trwk,REst_Co_Pswk,REst_Cl_Adwk,REst_Sal,REst_MchOp,REst_Lab,REst_Inad_ns,REst_To,PSc_Tech_Mgr,PSc_Tech_Pfn,PSc_Tech_Tch_trwk,PSc_Tech_Co_Pswk,PSc_Tech_Cl_Adwk,PSc_Tech_Sal,PSc_Tech_MchOp,PSc_Tech_Lab,PSc_Tech_Inad_ns,PSc_Tech_To,AdmSu_Mgr,AdmSu_Pfn,AdmSu_Tch_trwk,AdmSu_Co_Pswk,AdmSu_Cl_Adwk,AdmSu_Sal,AdmSu_MchOp,AdmSu_Lab,AdmSu_Inad_ns,AdmSu_To,PubAd_Sf_Mgr,PubAd_Sf_Pfn,PubAd_Sf_Tch_trwk,PubAd_Sf_Co_Pswk,PubAd_Sf_Cl_Adwk,PubAd_Sf_Sal,PubAd_Sf_MchOp,PubAd_Sf_Lab,PubAd_Sf_Inad_ns,PubAd_Sf_To,EdTr_Mgr,EdTr_Pfn,EdTr_Tch_trwk,EdTr_Co_Pswk,EdTr_Cl_Adwk,EdTr_Sal,EdTr_MchOp,EdTr_Lab,EdTr_Inad_ns,EdTr_To,Hlth_SAss_Mgr,Hlth_SAss_Pfn,Hlth_SAss_Tch_trwk,Hlth_SAss_Co_Pswk,Hlth_SAss_Cl_Adwk,Hlth_SAss_Sal,Hlth_SAss_MchOp,Hlth_SAss_Lab,Hlth_SAss_Inad_ns,Hlth_SAss_To,ArtRec_Mgr,ArtRec_Pfn,ArtRec_Tch_trwk,ArtRec_Co_Pswk,ArtRec_Cl_Adwk,ArtRec_Sal,ArtRec_MchOp,ArtRec_Lab,ArtRec_Inad_ns,ArtRec_To,OthS_Mgr,OthS_Pfn,OthS_Tch_trwk,OthS_Co_Pswk,OthS_Cl_Adwk,OthS_Sal,OthS_MchOp,OthS_Lab,OthS_Inad_ns,OthS_To,Inad_ns_Mgr,Inad_ns_Pfn,Inad_ns_Tch_trwk,Inad_ns_Co_Pswk,Inad_ns_Cl_Adwk,Inad_ns_Sal,Inad_ns_MchOp,Inad_ns_Lab,Inad_ns_Inad_ns,Inad_ns_To
SOS10,2354,691,907,42,759,309,581,2480,115,8236,1567,1862,2461,31,789,57,2981,276,103,10119,27506,19318,29965,1514,15364,7337,19358,21029,1736,143139,4150,5427,3746,91,3221,560,3577,1613,346,22723,34378,15842,95737,437,22699,3065,11545,28873,2822,215401,21458,17191,5176,191,13862,9924,10145,3146,906,81998,40773,18558,12052,1822,15122,112966,14517,18879,1693,236392,28484,3658,22065,38537,5855,20861,4347,27804,1126,152741,14286,10428,5305,2798,27313,5402,56329,7497,1919,131285,11668,30020,6617,254,6488,3346,679,594,655,60320,35031,75703,1724,621,54895,5014,119,229,3305,176638,8345,8221,1297,368,8407,20050,842,1183,783,49503,43680,169432,18434,688,37546,4651,859,1567,2516,279363,12063,14582,5583,5605,10141,1912,3598,31010,806,85311,23231,38947,9936,31767,36829,907,2632,5540,3116,152916,20824,139068,4635,35986,23354,588,677,2930,1294,229364,23539,157894,12120,111598,51112,2130,2618,11645,2634,375283,7664,10371,3332,8477,4168,1514,274,2003,554,38358,9348,10915,32222,13834,9859,1612,1262,5810,708,85563,19102,21716,12339,4746,15623,7375,12035,10757,23191,126888
SOS11,5462,832,1727,74,1040,395,1407,5858,235,17036,1114,1604,5062,81,785,46,7922,704,165,17476,5545,2481,10553,538,3438,2092,5260,10899,528,41335,1048,1146,2630,44,1215,192,1656,810,113,8856,7107,1561,31996,126,5321,792,6041,9933,675,63572,2502,1242,1970,43,1942,3001,2085,1008,147,13934,10360,1993,4510,636,3256,38944,2470,7097,300,69568,9424,399,7595,15101,2382,6449,1399,12818,333,55890,2318,835,1327,383,5111,860,12910,1201,254,25188,854,1871,868,36,699,715,77,143,73,5336,1583,3335,159,100,5476,385,26,60,206,11332,952,594,357,104,1566,4231,215,381,121,8508,2861,14662,3860,143,6946,362,201,482,217,29729,1516,2019,2357,1552,2187,283,1182,12114,222,23434,6186,9478,4286,11149,11164,261,2166,3051,953,48688,4913,35186,1431,13531,5871,133,194,1397,298,62955,5569,39264,3527,45028,13686,518,679,4916,738,113923,1257,1760,1035,1891,730,306,134,910,107,8125,1780,1960,13145,4402,2515,470,383,2303,155,27106,2515,2083,3942,1598,2567,1622,2667,3671,6093,26758
SOS12,897,73,299,6,134,40,243,918,39,2645,82,67,340,0,50,5,603,47,9,1212,508,230,974,39,317,202,459,698,48,3478,90,101,292,10,128,17,181,68,12,899,866,166,3362,22,653,58,813,1040,82,7055,265,123,197,11,194,246,171,67,16,1286,942,184,453,67,307,3130,162,505,36,5779,1045,30,600,1445,280,486,88,1183,38,5191,329,110,138,41,572,106,1355,106,25,2783,84,165,95,0,66,52,5,7,0,476,182,367,13,6,469,34,3,10,20,1104,122,56,32,4,140,344,26,28,10,758,341,1431,417,12,665,44,13,38,36,3000,165,181,246,141,207,26,92,1097,17,2180,588,864,348,1035,984,26,324,348,90,4617,504,3360,137,1346,621,13,9,159,43,6195,505,3181,306,3669,1059,42,58,402,70,9292,137,244,127,192,75,17,34,119,12,950,187,160,1403,302,247,52,36,186,24,2589,305,255,389,158,264,168,259,353,673,2827
SOS13,31419,733,1911,90,1823,353,1696,8050,468,46540,610,483,1768,12,320,11,2719,234,77,6227,2756,957,3874,171,1461,632,1389,2165,163,13563,484,315,938,10,449,36,595,223,51,3091,4668,632,12177,43,3475,248,3635,4142,324,29343,1446,599,750,17,927,1323,617,400,62,6128,3429,768,1490,204,1077,10213,601,1700,86,19571,2787,129,1349,3694,629,1466,321,2971,93,13437,1425,397,506,122,1985,318,4868,351,105,10077,327,674,290,18,231,171,29,38,23,1806,850,1413,51,35,1573,116,12,20,126,4209,532,328,154,33,664,1755,98,137,73,3775,1814,6874,1605,57,2979,152,66,139,138,13814,731,576,921,410,733,78,352,3049,54,6903,2642,3343,1219,3952,3548,85,794,881,370,16842,2071,12485,641,4634,2468,33,83,697,119,23242,1930,11672,939,10270,4014,128,154,1010,201,30314,543,931,529,670,323,104,76,540,46,3761,879,515,5377,1064,1234,143,106,575,70,9970,1865,986,1636,518,1348,650,942,1313,2912,12164
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,3993,1041,1395,91,1048,485,972,4174,204,13395,933,1349,742,30,387,30,1125,229,78,4903,31504,21133,33943,2129,16260,8876,22798,30312,2172,169127,5005,6865,2821,55,4763,1141,3141,1377,542,25699,30087,13198,107712,422,20249,3059,11417,30822,3216,220178,17836,12482,4717,258,12415,10110,10301,3743,816,72671,39367,18120,11607,1972,15092,116469,12118,17410,1698,233850,24951,2292,23589,42827,4326,20834,2554,31024,1038,153431,12502,9406,4184,2347,22919,4493,52337,4970,1767,114938,8174,19693,5275,293,5549,3163,499,542,570,43761,19254,47751,1236,755,40371,3405,187,232,2029,115216,6183,5521,1173,410,6662,15985,891,1036,677,38535,34666,142102,17085,784,31844,3329,798,1491,2259,234355,9667,12072,7153,5013,10010,1467,3219,30033,958,79604,19449,36109,6241,31700,31318,545,1105,5609,2456,134530,18289,132680,5179,38948,18689,491,362,2148,1328,218105,19822,148306,11188,102990,45462,1915,2139,10212,2379,344420,8281,11086,3314,12272,4075,1778,289,2130,794,44011,8917,9414,32204,14517,8684,1651,1134,5914,792,83233,15675,17137,12338,4637,13228,6392,12148,11739,22245,115540
SOS21,4192,585,1292,52,737,259,1125,5007,203,13455,202,213,519,12,116,9,775,137,33,2030,4889,2159,8180,521,2909,1793,4680,8585,478,34183,887,871,1614,29,1120,117,1313,676,140,6763,5109,1148,24975,108,4022,564,4499,7684,621,48728,1867,954,1057,27,1580,2241,1732,948,105,10513,6550,1406,2956,363,2192,24352,2099,4408,220,44543,5005,210,3733,7234,939,4259,539,7266,172,29358,2086,927,1148,455,4308,868,10524,1008,284,21609,597,1319,707,36,633,411,63,102,50,3915,1259,2777,119,64,4099,296,23,42,158,8841,605,352,262,72,1040,2285,173,195,75,5064,2067,9545,2707,111,4456,272,71,228,196,19652,981,1317,1717,945,1293,161,533,6221,116,13287,3455,5656,1887,9028,6210,98,663,1614,470,29088,2759,21918,923,8810,3257,66,115,724,218,38795,3571,24117,2346,26096,8728,311,363,3432,465,69423,1091,1248,743,1436,515,283,54,626,92,6078,1194,1160,8345,2611,1599,277,262,1605,125,17176,1726,1338,2596,883,1745,973,2009,2429,4186,17890
SOS22,962,91,250,9,112,32,202,742,27,2426,38,16,70,0,10,0,127,11,5,286,463,191,804,50,216,144,336,692,21,2916,96,65,173,0,87,4,141,56,11,639,588,90,2410,11,381,45,526,721,55,4826,191,95,108,6,114,230,141,84,13,975,635,102,268,40,168,2053,117,324,25,3738,733,15,441,1004,132,330,84,796,31,3569,252,69,88,170,362,164,1008,95,23,2248,68,113,47,8,40,27,3,10,3,316,147,249,12,4,328,22,5,3,21,784,62,40,46,8,88,222,9,21,3,499,264,986,239,13,458,25,8,30,23,2044,99,105,275,101,96,27,44,582,17,1340,359,504,161,747,528,4,127,180,45,2654,301,2213,77,871,351,6,15,73,15,3920,357,2021,173,2142,754,27,28,368,38,5913,113,241,110,177,57,29,32,83,7,839,101,101,834,174,159,36,29,127,15,1588,207,123,276,91,161,98,196,218,448,1820
SOS23,25662,575,1485,77,1191,278,1253,6445,340,37295,204,150,430,6,103,6,584,96,22,1597,2780,1026,3717,211,1276,784,1497,2636,168,14095,456,304,681,9,402,39,581,248,51,2762,3278,492,10580,51,2416,186,2653,3348,261,23264,1201,451,532,17,702,1145,558,365,39,5002,2482,484,1095,147,793,7898,463,1312,80,14756,1994,77,913,2616,358,1230,114,2288,71,9662,1174,360,476,150,1472,313,3698,335,85,8068,277,499,233,11,204,106,17,27,13,1396,540,1075,34,12,1208,85,10,17,95,3081,282,183,127,27,348,845,62,78,42,1997,1215,4726,1311,28,2124,115,49,108,83,9755,528,376,960,279,467,54,127,1993,45,4826,1763,2333,710,3356,2188,25,479,541,190,11579,1281,8631,530,3255,1323,39,59,319,78,15506,1486,9557,763,8129,3182,101,104,1142,153,24621,531,736,639,664,237,86,38,514,52,3482,698,431,4093,787,783,98,99,475,64,7538,1566,652,1263,363,967,432,681,1005,2413,9343
SOS27,0,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,10,0,0,40,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,19,13,21,0,0,18,22,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,15
