SOS_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SOS10,389450,769857,285656,259406,363408,209577,148992,184879,50324,2661549
SOS11,74852,124303,102338,96537,77909,62064,49070,79749,11938,678763
SOS12,8139,11328,10177,8529,7441,5096,4926,7383,1300,64316
SOS13,63209,44827,38120,26010,31260,18008,19138,28638,5560,274771
SOS17,0,0,0,0,0,0,27,0,0,35
SOS20,334563,667765,293090,262456,313352,205616,139532,195135,48002,2459511
SOS21,50091,79208,67824,58891,51505,39895,31593,52953,8412,440377
SOS22,6039,7436,6854,5631,4613,3527,3170,5231,843,43347
SOS23,49404,33108,30567,20187,21747,13850,13136,23287,4333,209629
SOS27,11,33,36,22,4,0,29,33,5,170
SOS30,219153,423737,224684,221466,233662,157322,102328,158695,32063,1773114
SOS31,39514,63209,66706,52687,46339,36175,38347,52886,8091,403966
SOS32,6553,8397,9032,7223,6399,4496,5836,7802,1378,57114
SOS33,42024,29879,32795,19909,23851,13741,19646,27227,4704,213770
SOS37,5,33,9,3,3,0,21,37,0,99
SOS40,70217,142156,74978,79397,79155,51005,32489,55680,10293,595366
SOS41,17186,24310,21688,20071,16021,13700,10822,19444,2611,145857
SOS42,3044,2974,3344,2703,2256,1649,1811,3224,426,21432
SOS43,18622,10563,10210,6830,7313,4533,5309,9569,1489,74441
SOS47,0,3,3,0,0,0,4,9,0,22
SOS50,118609,240888,143197,122436,126522,81117,66162,86429,16577,1001946
SOS51,18867,29361,33960,21764,19982,14715,18504,21912,3366,182442
SOS52,3252,3574,4248,2889,2461,1455,3286,3432,592,25180
SOS53,20193,13557,18371,7209,8771,4373,13098,11183,1679,98440
SOS57,96,324,627,58,45,6,172,344,23,1697
SOS60,11492,23943,11700,13591,12252,8036,4018,8453,1661,95146
SOS61,10031,16495,13680,13931,10858,9361,7228,11974,1717,95263
SOS62,1714,2278,2119,1616,1447,1047,1057,1832,287,13402
SOS63,9137,8319,7870,5451,5218,3379,3799,6179,1039,50394
SOS67,14,78,74,21,9,0,18,58,0,277
SOS70,8952,15965,9202,10468,9567,4831,3383,5147,1277,68792
SOS71,2600,5553,2737,3808,2633,1254,874,1592,631,21677
SOS72,1055,1859,894,1472,743,382,418,788,184,7785
SOS73,2839,3060,3113,1943,2171,836,1470,2178,377,17978
SOS77,12,85,63,17,0,0,8,86,4,282
SOS80,44105,77875,23832,27095,36004,15213,6000,12372,5249,247742
SOS82,62,104,37,31,46,18,14,18,10,332
SOS83,142,60,50,37,33,15,0,29,5,378
SOS87,0,0,0,0,0,0,0,0,0,0
SOS91,103,127,137,146,87,13,71,84,14,777
SOS92,334,223,224,208,156,115,56,145,15,1470
SOS93,63,51,59,48,50,20,18,41,9,361
SOS97,0,0,0,0,0,0,0,0,0,0
