SOS_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SOS10,1782,5516,14323,18802,6643,37032,4825,21841,1728,112486,11921,48489,34078,43691,31164,35944,13357,23177,4903,246715,76148,231598,76085,62912,77360,42137,31636,37601,13457,648946,119111,213770,61743,48121,84658,33739,30285,29583,12339,633355,104190,146219,51459,45219,81502,30335,31881,32576,9255,532628,59579,91157,38193,32833,62445,22939,29281,31016,5883,373322,14316,28879,8917,7257,17555,6444,7185,8235,1900,100682,2173,3972,819,540,1972,927,527,803,652,12375,229,266,49,26,111,86,16,45,216,1040,389450,769857,285656,259406,363408,209577,148992,184879,50324,2661549
SOS11,714,727,7041,8013,1628,14414,1427,10148,793,44900,2601,5682,12781,12845,4960,7863,3199,8435,1013,59386,12491,30365,26990,21166,14094,10390,9488,15797,2449,143226,18351,30612,20422,17752,15863,8590,9701,13211,2418,136912,19631,27263,17413,18244,18705,9207,10803,14000,2304,137562,15020,21572,13835,15035,17203,8594,10888,13986,1786,117909,4872,7258,3487,3255,4871,2669,3183,3723,675,33997,1059,782,352,221,547,311,372,425,366,4431,123,45,25,9,37,34,16,21,139,438,74852,124303,102338,96537,77909,62064,49070,79749,11938,678763
SOS12,59,51,679,735,155,1172,121,946,103,4033,199,371,1128,1023,370,565,261,680,85,4686,1006,2088,2177,1455,1067,670,746,1181,218,10599,1863,2702,2005,1452,1492,628,889,1113,232,12374,2289,2745,2012,1812,2016,864,1161,1433,286,14623,1903,2453,1696,1684,1743,890,1304,1595,231,13500,659,818,445,352,522,271,401,384,94,3944,151,103,37,11,62,33,43,43,28,511,18,4,0,0,5,5,0,0,12,48,8139,11328,10177,8529,7441,5096,4926,7383,1300,64316
SOS13,519,326,3599,3117,709,4478,691,4168,415,18019,1250,1817,4554,3446,1678,2000,1238,3007,379,19368,5609,7035,7149,3813,3955,2016,2629,4467,686,37367,10613,9676,6854,4095,5911,2184,3337,3935,920,47543,15725,11821,7606,5675,8572,3263,4832,5217,1172,63876,15933,10020,6453,4799,7686,3012,4744,5587,1020,59257,9801,3654,1725,999,2414,912,1516,1826,562,23407,3281,456,172,61,315,128,157,380,337,5288,469,25,23,6,14,8,4,45,60,652,63209,44827,38120,26010,31260,18008,19138,28638,5560,274771
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,18,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,35
SOS20,1482,2880,10071,19330,5065,39836,3182,22631,1662,106147,10249,36890,34462,41895,26950,40141,12666,25817,4880,233954,64082,208435,83665,65603,71557,40022,32803,42856,13083,622096,101052,188642,65363,50719,71476,29939,29617,31956,11568,580332,90740,126272,53084,45466,69439,28163,29071,33283,8818,484334,52015,77337,36940,31970,53125,20821,25582,29161,5469,332427,12874,23986,8614,6952,14285,5855,6186,8262,1748,88762,1915,3130,839,495,1381,785,409,1102,578,10628,164,196,48,22,71,63,12,65,194,825,334563,667765,293090,262456,313352,205616,139532,195135,48002,2459511
SOS21,412,271,3936,4076,879,9469,634,6222,512,26418,1754,3372,8303,6750,3254,5158,2042,5423,662,36704,8114,20713,18326,13101,9570,6394,6137,10823,1860,95042,12707,20995,14154,11425,11061,5417,6357,9097,1686,92897,13411,16680,11631,11798,12309,6212,7098,9571,1668,90375,9838,12632,9017,9511,11100,5526,7173,8948,1254,75007,3132,4093,2238,2090,3048,1533,1997,2548,493,21171,639,443,203,135,268,175,148,308,205,2523,84,22,17,3,13,6,6,10,83,243,50091,79208,67824,58891,51505,39895,31593,52953,8412,440377
SOS22,49,26,354,496,75,678,74,618,61,2425,154,241,736,681,227,414,252,514,58,3275,797,1424,1515,1096,675,525,520,886,136,7569,1320,1771,1423,884,960,478,475,774,146,8232,1574,1787,1322,1150,1188,622,752,988,176,9552,1446,1575,1198,1083,1116,593,833,1136,169,9154,562,555,292,232,337,205,255,290,63,2788,125,53,25,13,31,17,18,30,26,337,12,3,0,0,0,4,0,5,3,24,6039,7436,6854,5631,4613,3527,3170,5231,843,43347
SOS23,429,136,2286,2103,370,3599,386,3269,324,12902,1114,1183,3510,2377,1085,1631,798,2361,299,14363,4449,5340,5506,3185,2622,1451,1654,3496,570,28270,8220,7294,5661,3082,4119,1602,2195,3269,671,36115,11897,8540,6570,4414,6065,2428,3283,4315,860,48377,12462,7606,5490,4090,5503,2352,3616,4680,836,46652,7804,2710,1413,890,1747,677,1094,1599,462,18397,2683,275,124,52,216,95,99,261,250,4056,350,8,9,0,17,0,3,33,68,501,49404,33108,30567,20187,21747,13850,13136,23287,4333,209629
SOS27,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,4,4,0,0,3,4,0,16,3,11,9,8,0,0,5,8,0,44,9,10,11,3,4,0,8,6,4,56,0,8,7,3,0,0,12,11,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,36,22,4,0,29,33,5,170
