SOSR_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SOSR101,36,2500,896,475,2412,1,2119,2.7
SOSR102,41,2000,761,395,2062,0.8,1601,2.5
SOSR111,38,1729,752,340,1895,0.8,1478,2.5
SOSR112,40,1604,735,323,1826,0.7,1403,2.4
SOSR113,44,1517,662,325,1625,0.7,1273,2.3
SOSR114,43,1519,691,300,1699,0.7,1294,2.3
SOSR115,46,1550,677,300,1661,0.7,1295,2.3
SOSR121,45,1690,694,320,1762,0.8,1428,2.5
SOSR122,48,1400,664,250,1615,0.8,1245,2.3
SOSR131,46,1900,754,300,1996,0.8,1700,2.7
SOSR179,52,0,1687,0,0,0,1499,0
SOSR201,37,2000,843,391,2255,0.9,1903,2.6
SOSR203,37,1517,753,310,1936,0.8,1474,2.4
SOSR211,33,1560,736,320,1768,0.8,1492,2.7
SOSR212,39,1517,776,300,1991,0.8,1559,2.5
SOSR213,41,1458,707,285,1778,0.7,1350,2.4
SOSR214,47,1400,652,280,1598,0.7,1211,2.2
SOSR215,45,1465,690,270,1755,0.7,1318,2.3
SOSR221,47,1300,676,260,1704,0.7,1291,2.3
SOSR222,45,1296,710,245,1663,0.7,1316,2.3
SOSR231,46,1603,753,250,1978,0.8,1656,2.6
SOSR279,48,2167,2543,0,0,0,2250,0
SOSR301,36,1888,856,380,2214,0.8,1881,2.6
SOSR302,41,1950,779,450,1987,0.8,1652,2.5
SOSR303,37,1517,803,320,1967,0.8,1565,2.4
SOSR311,41,1475,692,300,1723,0.8,1352,2.4
SOSR312,45,1500,615,280,1504,0.7,1213,2.3
SOSR313,37,1517,760,310,1847,0.8,1509,2.5
SOSR314,39,1582,748,290,1890,0.8,1514,2.5
SOSR315,43,1517,674,270,1643,0.8,1337,2.5
SOSR321,46,1473,625,240,1571,0.8,1283,2.5
SOSR322,50,1300,611,180,1391,0.8,1180,2.3
SOSR331,46,1700,712,275,1839,0.8,1527,2.7
SOSR379,40,400,1359,0,2750,1,2250,1.5
SOSR401,39,1551,753,320,1972,0.8,1524,2.4
SOSR412,40,1300,723,250,1828,0.7,1363,2.3
SOSR413,45,1300,646,235,1561,0.7,1202,2.3
SOSR414,48,1300,642,280,1497,0.7,1179,2.3
SOSR415,46,1300,675,235,1637,0.7,1255,2.3
SOSR421,48,1200,656,200,1599,0.7,1224,2.3
SOSR422,51,997,563,180,1336,0.7,1061,2.2
SOSR431,46,1400,754,205,1841,0.8,1486,2.5
SOSR479,42,0,1828,0,0,0,0,0
SOSR501,37,1900,846,350,2262,0.8,1858,2.6
SOSR511,39,1625,767,320,2003,0.7,1598,2.5
SOSR512,40,1560,792,300,2032,0.7,1565,2.4
SOSR513,36,1840,1167,300,2711,0.8,2241,2.6
SOSR514,41,1517,736,300,1807,0.7,1424,2.4
SOSR515,41,1500,783,240,1958,0.8,1503,2.4
SOSR521,44,1300,690,200,1640,0.8,1308,2.3
SOSR522,43,1200,605,150,1314,0.8,1215,2.4
SOSR531,44,1950,985,250,2042,0.8,1695,2.6
SOSR579,45,1733,2700,0,1375,0.7,1833,1.7
SOSR603,38,1517,780,350,1923,0.8,1532,2.4
SOSR611,39,1300,702,280,1704,0.8,1320,2.3
SOSR612,41,1148,627,245,1486,0.8,1140,2.2
SOSR613,48,1200,592,250,1432,0.7,1067,2.2
SOSR614,43,1257,632,268,1525,0.8,1178,2.3
SOSR615,45,1300,625,260,1501,0.8,1165,2.3
SOSR621,48,1300,664,250,1601,0.8,1239,2.3
SOSR622,51,1083,588,250,1445,0.8,1118,2.2
SOSR631,46,1343,696,250,1736,0.8,1427,2.5
SOSR679,47,0,1643,0,0,0,0,0
SOSR703,35,2000,1097,390,2459,0.9,2153,2.6
SOSR712,35,1777,1095,370,2476,0.9,2069,2.6
SOSR714,35,1500,982,340,2175,0.9,1809,2.6
SOSR715,29,1087,331,100,898,1.4,1677,3.9
SOSR721,32,2318,416,85,968,1.4,1557,3.5
SOSR722,33,1519,354,90,784,1.4,1292,3.7
SOSR731,41,2167,852,250,2121,1.1,1829,3
SOSR779,48,0,2208,0,0,0.7,1649,2.3
SOSR802,35,2080,1200,450,2871,0.8,2369,2.5
SOSR822,40,2441,1301,380,3524,0.8,3183,3
SOSR831,29,1800,1117,350,2697,1,2338,3
SOSR879,52,0,1625,0,0,0,0,0
SOSR915,40,1300,1320,150,2656,1,2077,2.5
SOSR921,51,1300,763,240,1631,0.7,1192,2
SOSR922,37,1528,996,250,1837,1.1,2399,3.6
SOSR931,43,1185,738,138,1447,0.8,1178,2.5
SOSR979,0,0,0,0,0,0,0,0
