SOSR_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
SOSR101,52547,26143,26923,53068,26421,27458,53879,26929,27685,54608,26152,26556,52703,131766,135048,266811,25191,26430,51624,23712,25262,48972,22917,24026,46941,22586,24367,46951,21557,23447,45002,115969,123527,239495,20655,22718,43366,19963,22184,42141,19201,21106,40304,18384,20415,38792,17259,19454,36706,95447,105869,201322,17174,19052,36228,17056,18668,35727,15994,17751,33745,16301,17682,33989,16198,17750,33953,82734,90906,173642,13734,15348,29079,12531,14203,26734,12075,13322,25402,10375,11831,22211,9944,11242,21187,58664,65946,124608,39241,48423,87667,22738,31784,54519,10201,17978,28184,2406,5816,8224,227,824,1048,6223,6705,12928,2321728,2370429,4692155
SOSR102,12441,6121,6363,12481,6464,6893,13353,6384,7085,13467,6563,7225,13781,31614,33916,65536,6492,6953,13449,6142,6917,13061,6081,6700,12782,6043,6784,12827,5891,6518,12415,30650,33876,64521,5700,6361,12064,5476,6260,11731,5488,6168,11658,5465,6222,11688,5174,6008,11176,27300,31016,58320,5236,5791,11026,4963,5806,10763,5016,5542,10554,5138,5664,10808,5345,6002,11344,25692,28807,54496,4384,4909,9287,4271,4763,9036,3981,4556,8541,3408,4103,7517,3314,3931,7244,19361,22260,41620,13103,16405,29504,7208,11023,18233,3376,6044,9418,711,1793,2505,61,246,303,532,567,1099,511714,539686,1051395
SOSR111,2135,953,1103,2060,1052,1183,2243,1107,1225,2329,1140,1252,2391,5262,5902,11161,1110,1211,2322,1084,1276,2361,1072,1229,2298,1081,1169,2250,962,1141,2098,5306,6029,11337,1058,1131,2191,928,1091,2017,966,1107,2069,967,1161,2131,977,1036,2013,4893,5520,10416,920,1039,1960,913,1004,1914,836,1034,1869,913,985,1899,936,1054,1987,4525,5108,9637,741,892,1628,711,886,1600,676,800,1472,578,691,1270,558,606,1166,3259,3873,7133,2092,2789,4884,1148,1717,2865,484,926,1407,106,292,401,8,46,54,118,104,222,93461,100805,194269
SOSR112,5728,2941,3157,6100,2986,3255,6240,3078,3312,6388,3123,3398,6522,14952,16034,30980,3096,3478,6576,2994,3451,6444,3142,3450,6590,2916,3395,6307,2933,3341,6274,15076,17119,32196,2881,3132,6015,2938,3199,6137,2800,3192,5991,2809,3164,5966,2750,3160,5911,14179,15845,30024,2734,3082,5817,2614,3004,5615,2666,2981,5647,2578,3011,5586,2807,3277,6091,13398,15354,28757,2265,2483,4752,2190,2591,4783,2074,2584,4662,1894,2196,4083,1806,2162,3976,10228,12025,22247,6927,8939,15868,4040,5975,10012,1762,3251,5015,340,954,1289,23,143,169,543,350,889,256476,271792,528266
SOSR113,2730,1362,1446,2809,1459,1547,3007,1571,1694,3263,1531,1619,3152,7239,7720,14954,1558,1736,3296,1579,1697,3274,1481,1695,3176,1543,1707,3250,1519,1623,3135,7674,8454,16124,1582,1696,3283,1441,1662,3106,1413,1517,2931,1534,1614,3146,1500,1661,3161,7481,8147,15621,1417,1536,2954,1413,1501,2916,1457,1480,2937,1395,1468,2854,1537,1668,3203,7214,7646,14859,1167,1302,2470,1176,1320,2496,1111,1103,2215,919,1121,2040,922,1065,1990,5287,5917,11205,3482,4256,7738,1846,2851,4698,827,1566,2390,158,472,632,13,52,71,181,128,314,114887,120460,235348
SOSR114,2910,1418,1544,2964,1630,1616,3244,1662,1804,3471,1684,1888,3576,7811,8361,16170,1677,1873,3548,1716,1821,3533,1658,1828,3483,1631,1832,3463,1627,1813,3435,8304,9158,17463,1609,1755,3369,1572,1763,3335,1631,1708,3338,1611,1733,3342,1632,1756,3386,8054,8719,16775,1633,1705,3336,1533,1713,3238,1600,1731,3331,1561,1714,3280,1684,1759,3446,8008,8627,16634,1355,1485,2837,1320,1396,2714,1215,1364,2582,1072,1262,2331,1053,1221,2279,6017,6726,12746,4100,5112,9209,2301,3310,5608,949,1677,2624,227,545,763,22,57,76,203,144,349,128038,136091,264128
SOSR115,4403,2260,2394,4659,2377,2604,4982,2456,2702,5162,2498,2839,5341,11660,12882,24550,2680,2912,5595,2583,2775,5359,2734,2895,5632,2555,2831,5383,2653,2837,5490,13207,14253,27455,2662,2774,5433,2611,2765,5379,2560,2742,5295,2774,2784,5557,2605,2623,5224,13207,13680,26887,2575,2710,5287,2572,2590,5160,2446,2647,5095,2549,2387,4935,2627,2633,5261,12773,12964,25739,2113,2149,4260,2005,2032,4039,1819,1977,3788,1686,1760,3444,1537,1700,3238,9160,9614,18769,5675,6591,12259,3042,4114,7158,1188,2381,3567,268,683,952,23,96,123,293,214,507,182822,190341,373167
SOSR121,1241,629,742,1375,735,763,1498,765,754,1515,838,791,1631,3574,3677,7250,734,832,1561,727,746,1471,782,853,1640,754,747,1500,741,787,1529,3731,3971,7702,818,759,1577,744,812,1559,752,767,1512,723,736,1459,782,679,1459,3812,3768,7574,683,701,1382,714,667,1384,631,553,1189,652,587,1245,659,653,1313,3339,3168,6505,549,509,1060,494,465,960,439,446,885,363,363,722,342,351,694,2184,2138,4317,1282,1257,2543,593,711,1302,235,362,595,46,93,135,5,13,16,75,48,121,49359,50171,99534
SOSR122,770,365,369,737,425,404,827,420,452,878,454,446,908,2026,2085,4112,511,504,1021,522,478,1004,464,451,915,511,446,957,485,456,941,2487,2349,4836,436,444,882,436,430,866,431,404,839,459,431,895,373,373,744,2136,2082,4223,453,338,794,383,340,724,378,369,747,316,323,642,375,333,704,1912,1694,3606,317,251,568,246,234,474,270,239,511,212,175,384,204,161,366,1249,1054,2300,684,650,1332,302,344,650,106,171,274,24,37,61,0,3,5,74,54,123,26784,26017,52811
SOSR131,8673,4486,4489,8970,4890,4669,9558,4929,4998,9926,5131,4904,10034,23757,23402,47164,5181,4893,10078,5068,4713,9781,4901,4692,9593,4818,4529,9345,4764,4331,9093,24734,23157,47895,4670,4174,8844,4607,4143,8750,4358,3925,8283,4479,3828,8307,4102,3575,7672,22207,19651,41859,4160,3602,7762,3989,3422,7412,3795,3025,6822,3669,3039,6711,3655,3084,6746,19278,16178,35452,2936,2346,5283,2705,2263,4964,2460,2093,4552,1981,1720,3703,1909,1564,3469,11991,9981,21973,6415,5590,12002,2850,2614,5464,945,1278,2224,162,344,500,7,39,45,490,411,907,297813,281081,578892
