SOSR_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOSR101,165,20,28,34,134258,134508,4664,258,177,64,155673,160833,114231,4448,5767,227,246955,371633,230816,10468,17458,505,94899,354148,193898,12566,27330,1388,56377,291570,166220,10803,31513,3292,35902,247729,125921,7226,21916,6900,16229,178179,69716,2964,8966,10220,6037,97904,20988,584,1884,10538,1593,35578,3075,173,327,142,2047,5767,929696,49518,115363,33306,749964,1877842,256,26,24,30,125738,126078,10597,693,429,57,139387,151162,153969,7495,9123,393,208329,379308,236555,14482,25266,1579,80638,358518,192261,15924,41177,4775,48710,302842,157765,12280,45427,13839,29260,258573,112353,7164,33099,29679,14480,196780,49747,2215,14210,42802,5404,114371,9919,415,3654,39990,2424,56401,2977,151,438,929,1754,6247,926400,60843,172830,134090,656125,1950279,426,52,52,62,259991,260587,15259,957,597,123,295055,311994,268200,11944,14889,623,455288,750942,467371,24948,42721,2088,175532,712667,386162,28490,68507,6169,105089,594413,323985,23078,76943,17131,65168,506304,238280,14388,55010,36575,30709,374958,119462,5181,23173,53024,11442,212276,30904,1000,5534,50527,4013,91978,6051,330,762,1070,3803,12016,1856097,110362,288193,167391,1406083,3828123
SOSR102,22,3,5,10,31303,31344,496,26,13,22,32574,33128,17277,885,859,38,45868,64933,35859,2511,3733,144,20698,62944,36359,3581,7843,408,15708,63902,36777,3076,10205,1089,11119,62271,34769,2260,8753,2531,4675,52997,21812,953,3922,4232,1541,32466,6174,167,684,3937,395,11358,219,22,36,25,177,471,189758,13492,36056,12437,164060,415802,25,5,5,8,29803,29852,973,67,30,12,31184,32267,23251,1650,1461,96,40538,67003,38569,3589,5599,386,18662,66799,37905,4366,11225,1163,13284,67947,37451,3813,14624,3650,8245,67789,32818,2295,12613,8538,3563,59820,16973,709,5625,14087,1271,38662,3271,115,1377,13847,499,19106,216,15,57,69,166,522,191459,16628,52611,41852,147212,449765,48,15,6,18,61106,61192,1469,92,37,36,63755,65391,40532,2541,2317,135,86409,131936,74429,6097,9327,523,39359,129740,74263,7950,19071,1568,28995,131842,74230,6892,24829,4745,19366,130060,67589,4557,21367,11067,8234,112821,38778,1662,9550,18318,2814,71128,9442,283,2064,17782,888,30464,437,34,90,93,340,992,381221,30126,88661,54284,311277,865569
SOSR111,12,3,0,0,5805,5823,110,11,3,0,5500,5622,3740,236,223,6,8369,12575,6459,558,759,24,3957,11760,6181,713,1450,72,2750,11158,6242,583,1771,194,1784,10567,6221,422,1506,466,801,9418,3738,140,599,622,249,5354,1006,25,116,555,43,1745,38,4,12,5,54,106,33748,2693,6435,1946,29306,74135,0,0,0,5,5770,5780,230,24,9,3,5469,5735,4978,415,347,37,7655,13427,6881,847,1146,96,3693,12664,6494,860,2129,263,2452,12191,6397,755,2705,691,1375,11927,5800,452,2228,1542,612,10631,2898,131,937,2489,214,6664,527,6,168,2198,80,2988,26,0,12,18,46,98,34228,3484,9685,7344,27357,82104,17,5,8,4,11576,11602,346,36,9,3,10966,11362,8719,655,570,41,16022,26005,13341,1404,1908,120,7649,24423,12674,1570,3573,336,5197,23346,12637,1335,4479,881,3158,22498,12017,873,3737,2008,1416,20052,6633,267,1538,3117,454,12016,1534,32,285,2751,122,4732,61,8,20,21,98,206,67978,6181,16127,9288,56664,156240
SOSR112,23,3,0,6,16088,16123,429,29,18,13,15155,15639,10101,605,460,25,22802,34000,16049,1340,1660,67,10879,29998,15881,1693,3776,194,8153,29699,16957,1650,5089,570,5755,30023,17634,1272,4551,1378,2738,27579,11710,521,1983,2036,911,17160,3433,96,374,2009,245,6165,237,12,27,12,203,499,92449,7234,17951,6304,82942,206881,23,9,7,3,15382,15421,696,76,14,17,14661,15465,12526,1028,796,65,20311,34721,16517,1910,2579,209,9821,31037,16128,2247,5472,654,7137,31639,17526,2051,7246,1809,4523,33148,16689,1305,6504,4488,2206,31199,9174,401,2758,7729,892,20961,1852,63,684,7339,368,10322,124,17,21,50,98,318,91259,9106,26081,22363,75404,224227,44,13,4,10,31473,31541,1126,102,30,28,29820,31103,22624,1633,1256,96,43114,68721,32574,3246,4241,274,20699,61035,32006,3939,9246,849,15291,61336,34483,3700,12337,2378,10276,63176,34321,2580,11059,5862,4947,58778,20884,924,4743,9763,1805,38116,5291,165,1064,9346,616,16486,359,28,54,60,306,810,183710,16345,44029,28674,158347,431111
SOSR113,6,8,4,6,6827,6843,144,8,7,9,5871,6035,3315,257,216,16,9662,13469,5969,612,764,25,5299,12667,6576,854,1862,104,4052,13455,8141,809,2596,297,3062,14909,9274,750,2539,710,1415,14687,5809,261,1100,1146,457,8769,1558,52,182,948,113,2850,48,3,15,3,95,168,40847,3622,9285,3257,36848,93857,3,0,0,0,6062,6067,248,22,4,8,5389,5670,4247,433,337,30,8921,13967,6507,870,1178,74,4722,13349,6978,1010,2538,303,3407,14237,8524,974,3480,948,2244,16171,8756,635,3177,2292,933,15800,4450,175,1354,3848,342,10173,877,38,311,3592,120,4943,30,5,15,8,65,120,40627,4172,12387,11107,32211,100499,13,11,4,3,12885,12915,392,31,6,9,11262,11708,7561,697,552,43,18583,27437,12477,1482,1946,99,10018,26015,13558,1867,4400,413,7463,27695,16666,1788,6078,1243,5304,31080,18031,1381,5714,3004,2349,30482,10260,440,2452,4991,799,18942,2437,89,489,4543,235,7795,77,10,31,10,158,287,81473,7793,21671,14367,69055,194354
SOSR114,9,3,0,3,7251,7270,144,14,6,6,6520,6686,4470,263,202,11,9834,14775,7742,590,786,17,4930,14059,7743,867,1846,96,3993,14552,8986,913,2832,318,3067,16114,10272,750,2741,834,1474,16064,6844,281,1203,1240,540,10112,1909,36,202,1189,157,3490,93,0,10,7,78,191,48216,3717,9816,3719,37834,103310,5,3,4,10,7013,7030,260,26,8,8,6534,6835,5657,467,334,20,9167,15643,8087,915,1256,107,4708,15076,8012,1058,2617,323,3422,15427,9436,1060,3666,1056,2299,17520,9891,676,3210,2603,963,17340,5409,199,1386,4430,415,11841,966,37,305,4083,203,5588,47,4,17,23,47,138,47758,4437,12809,12664,34769,112433,14,8,7,16,14259,14300,403,42,16,11,13051,13517,10128,725,533,32,19001,30421,15833,1503,2037,129,9632,29134,15750,1929,4464,420,7415,29977,18422,1973,6495,1370,5363,33634,20160,1424,5948,3434,2438,33407,12250,479,2595,5676,962,21953,2873,70,503,5273,354,9076,138,10,23,30,126,326,95977,8154,22623,16385,72602,215749
SOSR115,13,0,6,7,10276,10297,217,15,7,5,8660,8905,5500,303,243,10,13094,19154,10194,807,1107,50,7049,19205,11032,1307,2561,172,5964,21037,14021,1381,4148,505,4818,24867,16608,1287,4388,1304,2397,25978,9775,476,1838,1923,816,14829,2488,89,290,1469,184,4523,110,6,25,10,128,276,69957,5666,14615,5456,53373,149068,7,6,0,0,9648,9659,375,33,6,3,7839,8252,7098,599,474,51,11874,20091,10920,1230,1614,142,6634,20532,11688,1606,3700,419,5005,22416,15072,1471,5376,1548,3667,27136,15546,949,4781,3669,1696,26648,7594,311,1892,5889,519,16202,1227,49,381,5428,197,7276,64,3,17,19,107,209,69587,6253,18233,17162,47177,158413,17,8,6,10,19924,19960,592,44,13,8,16494,17151,12605,901,718,58,24966,39239,21114,2030,2717,194,13682,39737,22718,2918,6259,594,10964,43456,29094,2857,9529,2049,8482,52004,32157,2235,9171,4974,4091,52628,17372,786,3729,7812,1333,31035,3718,133,671,6892,381,11794,176,9,39,23,239,487,139548,11921,32851,22617,100552,307478
SOSR121,5,0,0,0,2954,2958,33,3,0,0,2178,2223,1339,78,79,3,3100,4589,2879,214,320,10,1755,5172,3566,296,674,57,1573,6170,4329,391,1195,139,1249,7305,4757,337,1151,334,564,7149,2327,115,423,425,176,3465,480,11,54,282,47,876,29,0,5,0,30,64,19743,1448,3904,1245,13634,39978,0,0,0,3,2862,2869,95,6,4,0,1959,2059,1788,122,109,7,2843,4872,3253,260,404,22,1668,5604,3936,378,940,108,1297,6661,4622,366,1404,375,877,7646,4287,250,1165,882,349,6938,1680,64,394,1155,99,3394,237,8,57,849,28,1179,10,0,4,0,25,48,19912,1456,4485,3411,12007,41268,7,0,3,4,5819,5829,132,6,9,0,4138,4279,3127,195,188,9,5941,9460,6130,475,724,35,3418,10782,7502,678,1610,169,2867,12827,8953,753,2606,514,2128,14956,9040,593,2319,1218,917,14085,4005,181,816,1576,279,6863,719,19,114,1136,80,2060,37,0,5,5,58,108,39654,2898,8389,4660,25641,81247
SOSR122,0,0,0,0,1427,1424,21,0,0,3,1175,1208,636,39,37,0,1799,2513,1405,138,152,12,991,2693,1767,192,440,27,1027,3449,2438,270,774,87,934,4513,2408,234,749,230,426,4048,1182,88,280,269,125,1935,215,20,42,138,26,435,30,0,10,0,34,68,10099,983,2472,758,7964,22275,0,0,0,0,1291,1289,42,6,0,0,1098,1146,832,63,70,12,1568,2536,1530,120,211,20,894,2774,1945,210,518,74,780,3521,2505,237,808,233,647,4429,2178,135,680,520,269,3781,802,34,190,621,54,1703,100,0,42,401,9,560,12,0,3,3,29,51,9944,819,2510,1888,6642,21804,0,0,0,0,2714,2717,65,11,0,6,2275,2353,1463,99,107,14,3367,5049,2934,261,361,32,1888,5469,3708,405,948,95,1808,6971,4946,511,1581,326,1583,8944,4583,368,1436,750,697,7825,1978,122,467,888,177,3634,320,21,83,534,34,992,41,4,8,3,63,121,20044,1805,4983,2640,14605,44076
SOSR131,21,0,4,8,19461,19500,284,15,9,9,14149,14463,7679,397,350,14,17360,25797,18220,1104,1531,81,9736,30672,26569,1769,4110,227,8636,41314,31282,2073,6952,758,7429,48497,28109,1827,6309,1711,3533,41486,12904,574,2072,2034,820,18403,2260,84,270,1180,176,3967,176,11,24,8,241,466,127507,7859,21634,6027,81533,244555,20,0,0,0,17450,17467,509,18,10,5,11810,12349,10082,557,521,40,14195,25400,20861,1168,1881,168,7748,31819,28688,1707,4557,647,6546,42148,31888,1749,6469,1798,4661,46562,24427,1017,4796,3861,1724,35829,8707,251,1511,4659,448,15570,974,31,204,2959,106,4270,127,8,24,22,212,393,126278,6519,19965,14166,64896,231818,44,3,4,8,36912,36968,795,37,19,7,25955,26815,17761,957,864,55,31556,51196,39081,2275,3411,247,17483,62494,55257,3474,8671,877,15183,83466,63167,3825,13423,2561,12083,95058,52534,2846,11109,5574,5253,77313,21603,826,3584,6691,1269,33977,3237,117,475,4132,274,8238,300,24,44,26,459,853,253785,14380,41597,20187,146427,476377
