SOSR_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR101,1262975,1251501,2514473,2515,2615,5132,108504,107623,216125,585,683,1273,66242,76218,142460,119159,137011,256170,6787,7927,14722,192188,221161,413344,8105,8996,17099,8828,9504,18331,5653,6477,12131,33900,37809,71711,19532,17751,37289,12554,11689,24251,37901,37442,75339,33652,27357,61007,23340,19898,43234,5820,5997,11824,23980,19119,43092,7551,7587,15139,164331,146839,311172,23905,26299,50202,6109,8794,14902,5371,6486,11857,27629,31359,58984,9375,9596,18967,7439,7437,14875,12693,12311,25000,4819,5997,10819,12485,13261,25745,7548,9977,17522,7507,8175,15684,9163,10006,19162,11207,14630,25834,13913,16202,30119,19076,25590,44666,3806,4483,8292,48005,60904,108903,28480,31941,60425,18614,17839,36451,7917,14512,22432,10737,10804,21533,51623,60561,112180,100175,101004,201175,923731,988386,1912121,128802,123823,252626,6223,6705,12928,2321728,2370429,4692155
SOSR102,438736,460069,898801,606,631,1238,2705,2577,5283,373,377,752,1275,1385,2661,3218,3760,6980,147,197,345,4639,5345,9981,763,865,1631,833,969,1798,1178,1439,2617,1765,2003,3771,578,496,1072,360,302,655,1074,1007,2077,1182,993,2169,1259,1033,2294,334,324,657,1088,651,1741,223,211,433,6093,5013,11104,2763,3152,5913,584,785,1366,128,161,291,882,1023,1907,4222,4182,8402,1349,1289,2639,496,471,968,564,783,1350,1326,1456,2784,521,763,1282,313,264,583,1284,1371,2655,630,1186,1814,502,603,1105,879,1742,2618,292,460,751,2295,3986,6284,2527,2978,5505,466,412,875,692,1621,2311,817,792,1608,1260,1545,2806,7175,7650,14824,48319,53586,101906,24130,25458,49587,532,567,1099,511714,539686,1051395
SOSR111,81747,88300,170052,165,155,327,221,202,425,150,160,308,151,171,322,306,425,734,14,22,40,473,626,1094,43,46,89,91,131,222,152,201,351,129,114,246,92,72,172,75,68,144,208,187,399,501,459,961,790,690,1477,72,66,135,136,95,228,41,40,81,1911,1679,3591,165,172,339,80,99,174,15,17,32,91,87,178,19,20,37,244,252,498,31,33,66,53,73,127,48,47,91,40,69,101,55,39,102,27,29,63,117,230,344,33,72,103,193,368,559,55,81,136,406,742,1147,219,235,453,52,58,115,90,227,312,13,10,30,138,175,308,1842,1993,3832,6845,7558,14408,4744,4842,9592,118,104,222,93461,100805,194269
SOSR112,216503,233760,450260,284,295,576,677,587,1269,426,507,928,475,547,1026,1136,1277,2412,46,56,106,1658,1883,3540,105,147,253,357,398,752,458,549,1009,326,320,643,352,332,684,748,681,1434,558,474,1036,1409,1309,2720,1417,1212,2632,264,264,531,486,380,867,81,75,152,5328,4726,10055,929,1083,2013,151,251,401,63,71,135,267,297,564,56,54,105,735,767,1499,182,159,335,127,161,288,147,178,334,124,197,321,272,248,519,85,107,192,509,681,1185,115,185,300,663,957,1619,247,267,518,1534,2094,3626,628,728,1358,275,243,521,329,600,930,122,110,232,542,635,1176,4319,4289,8607,20141,21252,41396,19288,16433,35726,543,350,889,256476,271792,528266
SOSR113,100969,106594,207560,125,136,257,158,124,283,230,262,486,170,176,353,261,320,582,12,23,39,444,524,967,92,108,202,179,235,416,214,282,491,223,207,432,57,43,99,32,25,59,101,86,186,190,150,342,206,177,386,27,19,48,72,44,119,17,18,36,709,569,1275,357,337,688,99,156,251,17,31,50,50,43,98,39,50,87,146,160,303,29,28,54,52,73,130,149,176,328,55,73,139,24,24,47,34,37,69,139,260,396,54,65,116,192,363,558,61,87,142,438,770,1205,400,421,819,44,34,75,130,332,460,32,25,59,139,192,336,1040,1162,2201,5443,6344,11789,8292,7388,15684,181,128,314,114887,120460,235348
SOSR114,111517,119497,231010,181,168,341,249,227,476,170,262,426,178,224,400,479,482,959,28,19,48,687,727,1410,48,69,119,150,165,314,220,307,522,148,129,282,64,59,121,39,37,77,161,147,307,232,228,460,934,849,1781,92,92,188,111,86,198,37,31,66,1675,1533,3204,345,355,693,93,108,201,34,39,70,74,89,166,79,67,145,295,283,572,47,48,90,69,81,151,140,137,276,39,69,110,92,34,126,65,63,127,238,333,569,61,81,145,232,354,590,89,117,208,622,883,1505,242,299,544,84,58,142,137,302,441,32,33,70,110,144,251,1375,1415,2797,7351,7853,15206,8964,8599,17568,203,144,349,128038,136091,264128
SOSR115,161696,169326,331025,168,142,310,229,190,419,266,311,575,274,243,512,435,510,949,35,32,69,743,782,1526,122,153,273,296,326,623,408,560,969,233,245,483,37,28,65,69,65,138,103,110,211,188,154,339,284,273,555,47,55,110,86,60,140,23,21,46,842,763,1603,459,420,876,101,184,282,30,37,68,73,74,151,55,42,98,161,178,339,27,25,53,81,115,195,114,141,255,73,117,189,28,12,45,69,66,138,103,202,304,72,79,150,153,328,481,121,119,245,452,722,1176,488,511,996,56,56,115,111,313,424,46,39,84,163,194,361,1738,1862,3597,7417,8323,15739,13418,12479,25895,293,214,507,182822,190341,373167
SOSR121,44633,45318,89952,41,43,84,55,48,102,68,84,153,31,33,63,46,88,135,5,7,8,83,124,204,17,17,43,85,88,172,93,117,211,63,50,116,0,7,8,10,7,11,23,21,42,16,16,31,76,74,149,14,5,18,17,16,31,3,10,12,159,153,310,129,105,236,33,44,75,3,0,8,21,21,36,18,8,23,16,22,38,10,11,17,23,26,50,37,44,79,32,38,72,6,4,4,13,13,27,23,58,73,16,18,33,27,61,91,19,30,52,86,169,256,132,123,260,10,9,18,24,64,87,10,11,20,28,36,59,360,406,764,1591,1807,3401,3064,2999,6063,75,48,121,49359,50171,99534
SOSR122,23354,22723,46070,24,26,53,24,26,50,47,49,96,17,19,33,66,91,161,0,0,0,85,113,198,14,18,33,32,38,72,55,74,131,48,41,82,0,0,7,0,0,0,13,13,27,9,6,16,15,15,32,4,3,4,4,0,4,0,0,3,52,35,92,57,64,117,14,26,39,0,0,0,4,11,14,3,4,14,12,15,23,3,4,3,5,14,15,11,11,25,9,6,13,19,15,34,8,13,18,17,33,52,6,10,16,9,37,49,11,21,31,40,97,144,53,59,112,11,4,9,20,44,65,0,0,0,6,13,14,222,234,451,836,1011,1852,2526,2236,4758,74,54,123,26784,26017,52811
SOSR131,258513,245307,503819,326,343,669,1492,1273,2769,220,257,474,533,569,1099,723,869,1593,41,48,91,1297,1488,2782,350,344,690,391,421,813,789,884,1667,471,438,911,41,40,86,38,28,63,191,187,379,36,36,64,487,427,914,49,39,85,111,96,211,37,33,72,987,883,1876,1475,1416,2889,148,183,327,78,76,156,96,113,211,103,109,209,50,44,94,111,81,190,150,193,352,138,157,296,141,181,318,93,56,149,231,216,445,90,206,299,96,111,201,125,268,395,104,134,238,415,720,1133,615,700,1313,62,55,112,183,374,562,107,99,211,182,226,408,2927,3076,6000,13458,14184,27640,25349,21174,46525,490,411,907,297813,281081,578892
