SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR101,50413,45702,96124,134405,125523,259924,36847,36475,73319,24327,24008,48340,195937,186322,382258,83808,79241,163044,38873,39032,77910,30901,30217,61117,153855,148721,302572,8832,8696,17532,11408,16505,27913,15863,7941,23809,21043,32932,53982,240,223,459,57396,66295,123691,67634,77528,145160,24165,27890,52054,9009,10047,19056,21176,31399,52575,342,333,674,122322,147190,269521,180083,213889,393975,11414,10979,22386,13994,18801,32791,288,256,546,25690,30033,55718,124592,118144,242736,6223,6705,12928,736800,749519,1486323
SOSR102,12410,11220,23638,31517,28723,60239,7512,7271,14782,4152,3903,8058,43233,39965,83198,21655,20854,42512,6742,6818,13561,4519,4594,9113,32962,32309,65273,1469,1796,3265,1313,2158,3467,5292,3088,8370,4593,7501,12101,60,58,121,12734,14593,27322,9087,12398,21481,3742,4941,8683,1571,2277,3848,4199,8004,12202,36,46,86,18636,27671,46309,31419,42312,73733,907,1001,1908,1654,2700,4353,34,35,67,2600,3733,6325,24637,26317,50955,532,567,1099,147799,156424,304222
SOSR111,2332,2262,4595,5401,5178,10583,2059,2079,4141,1081,1036,2113,8545,8305,16855,3708,3716,7425,1475,1522,2996,1007,1054,2061,6188,6310,12501,326,409,733,320,484,802,974,678,1652,989,1685,2674,11,16,25,2613,3270,5881,767,1468,2239,398,715,1113,198,338,535,741,1432,2171,3,3,6,2111,3957,6066,4729,7236,11961,229,208,434,334,578,911,15,11,27,578,793,1373,4841,5047,9884,118,104,222,27338,30054,57386
SOSR112,5930,5395,11331,14152,13338,27490,4632,4724,9353,2671,2606,5281,21478,20692,42171,9504,8927,18436,4231,4479,8713,2781,2916,5691,16532,16344,32879,743,864,1608,634,1201,1833,2336,1694,4024,2346,4387,6735,33,29,60,6084,8176,14260,2361,4069,6432,1318,2008,3328,519,934,1450,2047,3844,5892,8,24,30,6258,10878,17136,12355,19085,31439,547,550,1093,751,1239,1991,26,20,43,1318,1805,3127,19709,16912,36618,543,350,889,77863,80584,158448
SOSR113,2446,2222,4668,6853,6499,13351,1578,1520,3097,772,718,1491,9214,8748,17966,4969,4807,9776,1201,1234,2435,679,720,1396,6853,6769,13626,274,330,603,236,460,694,1044,687,1727,958,1842,2797,15,12,28,2521,3333,5855,513,897,1404,309,689,995,150,284,435,605,1415,2023,11,8,18,1588,3290,4877,4114,6625,10740,168,153,321,316,572,889,16,12,27,503,736,1238,8567,7862,16427,181,128,314,31879,33093,64972
SOSR114,2904,2729,5631,7421,7081,14503,2440,2377,4808,815,888,1699,10697,10349,21048,4832,4566,9401,1985,2209,4190,799,803,1605,7632,7580,15211,290,345,631,228,456,683,1109,886,1993,993,2013,3008,24,11,40,2640,3712,6356,709,1590,2301,284,724,1009,183,403,587,706,1537,2244,8,16,22,1896,4266,6163,4551,7984,12533,181,210,393,321,599,919,11,20,32,515,824,1340,9336,9052,18385,203,144,349,35835,38657,74492
SOSR115,3977,3673,7653,10891,10173,21056,2490,2550,5046,1306,1339,2645,14709,14083,28800,7288,6877,14166,1861,2021,3880,1456,1560,3022,10614,10470,21084,468,443,909,293,628,923,1627,1080,2708,1368,2575,3945,19,23,40,3778,4747,8525,787,1561,2353,376,911,1286,238,470,710,930,2250,3177,9,17,25,2341,5210,7550,6126,9962,16088,279,258,539,381,844,1222,17,13,28,674,1114,1787,13904,13080,26980,293,214,507,50294,52602,102901
SOSR121,1074,1017,2086,3013,2846,5857,768,714,1481,466,438,905,4252,4000,8249,2022,1958,3979,651,731,1382,552,540,1096,3233,3235,6469,82,124,200,74,139,219,463,272,739,371,714,1083,8,8,20,1001,1262,2258,291,461,753,93,254,342,62,125,186,259,675,929,0,5,6,699,1517,2220,1700,2780,4482,85,71,149,129,218,353,5,6,17,222,303,523,3180,3138,6322,75,48,121,13729,14519,28247
SOSR122,462,414,874,1583,1392,2975,254,271,526,198,211,405,2036,1871,3908,926,949,1875,301,301,603,232,208,434,1464,1456,2917,37,54,91,33,67,104,216,110,325,181,336,520,5,4,9,477,572,1048,109,227,343,45,90,136,47,64,111,105,297,395,4,4,6,300,680,985,774,1259,2036,41,32,75,47,107,155,0,0,0,90,139,226,2640,2352,4990,74,54,123,7540,7537,15081
SOSR131,5392,5051,10446,15036,13590,28622,5543,5221,10763,3531,3260,6793,24132,22087,46213,10062,9676,19740,5261,5152,10409,4550,4667,9221,19888,19510,39406,601,751,1352,300,666,962,3094,1564,4660,1697,3370,5070,50,38,91,5746,6392,12133,2257,3679,5938,535,1180,1714,511,883,1391,1148,3312,4458,28,24,51,4473,9083,13554,10232,15485,25720,413,430,844,560,1120,1682,23,23,46,996,1575,2573,26038,21864,47906,490,411,907,87183,85979,173164
