SOSR_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR101,546,1009,5048,8006,11734,20110,31011,28741,15746,121949,201,1119,5851,6248,8294,12121,11874,9716,6096,61526,10993,17910,47721,38561,27934,24327,22547,20960,17432,228385,107652,311022,749959,711891,593569,505427,374228,211942,91853,3657536
SOSR102,292,253,939,1249,1919,4393,8163,8150,5413,30772,45,97,319,419,513,654,823,855,666,4387,2668,3156,6700,5956,5494,5575,6583,7599,6096,49811,27667,65312,131875,129692,131792,129983,112740,71077,30444,830570
SOSR111,82,85,316,446,468,910,1472,1407,908,6102,8,30,164,164,199,196,141,84,45,1021,537,561,1434,1267,1077,1095,1120,1253,887,9234,5311,11330,25980,24404,23335,22475,20037,12008,4725,149600
SOSR112,238,231,734,929,1347,2563,4616,4197,2872,17728,31,73,323,324,335,344,379,276,186,2271,2157,2635,5780,4796,4242,3694,3965,4083,2993,34342,14797,31033,68677,61006,61286,63143,58755,38093,16480,413264
SOSR113,117,95,320,415,611,1391,2529,2199,1492,9164,11,16,68,68,82,134,128,115,68,678,859,993,2396,2077,1887,1887,2182,2120,1479,15877,6268,11694,27422,26004,27674,31058,30472,18932,7791,187310
SOSR114,92,53,283,395,621,1409,2794,2652,1793,10083,8,22,69,82,115,150,170,161,82,860,886,1026,2457,2220,2098,2299,2434,2352,1545,17319,6792,13503,30409,29110,29960,33620,33396,21942,9071,207808
SOSR115,137,110,348,482,789,1942,4137,3710,2323,13988,28,29,84,95,116,142,226,210,117,1036,1338,1434,3232,3155,3208,3495,3929,3590,2102,25494,9471,17141,39228,39714,43435,51989,52611,31023,11789,296397
SOSR121,49,24,89,108,219,535,1017,802,416,3259,5,5,13,18,31,42,41,50,17,221,331,318,692,757,729,880,1043,743,395,5879,2571,4272,9456,10772,12824,14951,14081,6863,2060,77855
SOSR122,24,17,55,89,166,419,701,513,249,2241,6,0,22,13,22,24,36,38,16,178,292,216,554,586,714,834,810,489,167,4670,1319,2355,5047,5464,6970,8941,7827,3634,992,42541
SOSR131,164,89,474,670,1250,3050,5433,4040,1735,16896,21,33,123,141,176,261,331,316,166,1560,2632,2492,5309,5997,6914,7800,6719,3878,1286,43022,16786,26784,51173,62463,83421,95032,77283,33966,8236,455143
