SOSR_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
SOSR101,69867,18142,15750,10255,10420,15755,17179,7946,2801,168124,19167,5726,2263,1724,2061,3578,4949,2471,830,42776,12351,11514,6225,4859,5601,8511,10009,6288,2235,67584,5379,10515,10185,8015,9075,13666,25409,20569,6846,109652,4919,10566,10357,7513,8256,11289,18251,13221,5971,90343,6714,16252,16367,10195,9595,11727,14314,8954,2932,97048,4178,18058,21703,13687,12006,13077,11536,6944,2027,103217,2367,19031,35010,22516,19140,18777,11582,5234,1451,135114,1148,17514,48603,33518,26987,24422,13349,4935,1034,171515,371,10566,41769,30292,23004,18821,9266,2996,665,137739,180,5567,36849,30692,23227,17939,7715,2388,552,125119,89,2529,26942,27096,20197,14643,5427,1648,384,98960,76,2449,48589,67579,46081,28858,8856,2416,549,205471,36,389,9720,21190,15436,8710,2621,790,186,59078,42,376,13012,42156,43567,24285,7244,2184,591,133460,7608,11642,28272,22848,16922,13675,10483,8915,6530,126889,195,427,1216,916,774,873,981,305,76,5767,134699,161261,372848,355068,292344,248601,179164,98211,35656,1877842,61211,15301,31670,33297,26245,33716,24984,10332,4331,241087,22790,5929,5023,6816,6089,7992,7631,3332,1089,66689
SOSR102,12312,2258,1813,1320,1650,2989,2876,1216,387,26828,5832,964,391,300,493,992,1219,596,205,10981,3488,2618,1632,1140,1368,2119,2855,1784,499,17492,1502,2579,2497,1769,2436,3929,8361,7574,2345,32996,1739,2442,2174,1798,2432,3813,7234,5884,2580,30101,2324,3561,2964,1926,2382,3507,6092,4065,1089,27908,1262,4367,3939,2359,2556,3419,4391,2646,748,25685,651,4798,6863,4342,4402,5077,4000,1751,457,32353,297,3648,9352,6763,6714,6925,4347,1534,267,39839,99,2041,7893,6371,5754,5262,2602,734,124,30879,32,969,6830,6395,5888,4916,1863,591,152,27646,13,450,4874,5932,5418,4143,1115,281,65,22284,14,378,7444,12230,11295,7277,1684,368,69,40759,6,39,1172,2854,2825,1717,410,95,18,9134,16,58,1209,4026,4896,3161,913,328,90,14695,1752,1957,3894,3407,3400,3019,3046,3021,2252,25744,11,45,89,68,65,76,75,36,5,471,31358,33168,65018,63009,63970,62338,53069,32500,11359,415802,9613,1597,3355,3686,3647,6740,4153,1578,670,35054,7211,944,872,1163,1228,2187,2008,859,335,16803
SOSR111,2091,306,286,261,267,472,438,192,62,4379,1159,146,70,75,80,160,208,115,33,2048,687,395,339,253,288,361,518,267,91,3204,253,364,489,381,460,658,1598,1357,378,5948,302,335,438,377,480,683,1377,931,362,5286,449,564,560,409,442,651,1124,646,174,5022,261,791,780,495,528,594,800,484,117,4853,148,914,1575,1043,971,1005,735,285,90,6773,62,727,2003,1543,1328,1261,748,240,29,7939,21,375,1561,1323,1015,979,431,110,27,5838,6,178,1269,1154,1019,806,313,99,30,4874,0,83,830,1024,949,697,182,50,6,3820,0,82,1231,1890,1736,1068,256,50,9,6325,0,11,172,354,369,230,75,15,5,1231,0,14,186,479,538,364,124,35,24,1758,384,338,794,691,667,575,502,487,299,4740,5,11,36,20,13,10,11,8,0,106,5830,5631,12611,11775,11170,10584,9428,5358,1744,74135,1772,243,639,620,593,1125,610,258,158,6004,1512,169,181,214,212,344,324,144,62,3165
SOSR112,5767,922,824,656,780,1259,1305,573,188,12274,3050,399,197,171,242,423,659,305,98,5542,1788,1133,878,654,723,1060,1410,920,295,8865,685,1013,1212,1027,1273,1967,4366,3906,1279,16726,851,921,1190,989,1287,2036,4000,3003,1344,15621,1171,1305,1461,1175,1264,1858,3185,2007,589,14017,719,1996,2165,1462,1401,1789,2222,1533,421,13708,427,2505,4363,2811,2659,2835,2060,937,284,18891,200,1826,5422,3896,3584,3557,2267,876,172,21796,57,907,3813,3004,2696,2562,1285,429,93,14842,20,485,2927,2664,2491,2205,931,350,105,12175,4,237,2160,2315,2118,1669,566,188,44,9309,5,249,2800,4165,4175,2912,791,212,46,15352,4,19,436,780,881,645,184,66,19,3028,18,51,439,1139,1462,1175,442,173,59,4945,1358,1673,3722,3083,2663,2084,1900,1691,1124,19292,12,49,162,120,63,49,32,12,3,499,16133,15690,34160,30114,29761,30070,27612,17168,6169,206881,4830,726,1637,1420,1459,2860,1853,763,338,15886,3591,406,516,504,513,924,995,395,185,8025
SOSR113,2479,299,337,271,354,732,725,301,85,5586,1232,128,74,96,116,239,343,163,45,2436,748,505,418,355,412,618,826,429,114,4427,299,413,550,504,698,1176,2527,2108,639,8921,420,368,515,489,735,1195,2197,1630,670,8220,489,555,645,533,635,1013,1656,1030,269,6818,284,767,958,649,670,955,1227,715,192,6426,160,868,1493,1059,1119,1258,1067,478,102,7615,70,657,1850,1469,1486,1529,1147,426,62,8691,25,341,1245,1077,1111,1109,597,200,31,5741,12,205,1148,1087,1030,1012,468,165,46,5169,5,114,841,915,966,758,266,78,22,3962,0,132,1433,1908,1869,1413,325,85,27,7202,0,21,281,411,416,345,91,30,4,1598,3,17,232,583,697,515,213,88,19,2367,609,639,1457,1268,1134,1042,1014,839,514,8508,0,25,64,19,15,16,14,11,0,168,6844,6059,13527,12695,13475,14920,14699,8781,2850,93857,1849,254,672,695,714,1489,952,376,153,7155,1515,135,216,253,252,472,501,219,72,3644
SOSR114,2582,356,353,277,384,776,771,345,163,6020,1310,134,78,77,132,243,383,176,73,2601,689,399,357,293,375,615,936,595,174,4419,336,410,518,427,663,1164,2868,2506,777,9659,421,354,436,443,648,1211,2409,1845,757,8526,581,573,562,533,628,1143,1865,1168,349,7400,371,806,895,692,739,1054,1270,839,214,6869,215,1160,1740,1319,1297,1564,1149,562,145,9145,94,906,2248,1792,1783,1886,1170,437,93,10399,27,463,1670,1431,1347,1284,682,234,32,7165,18,229,1434,1308,1246,1091,454,164,44,5990,7,137,1045,1106,1047,810,271,79,19,4526,3,110,1553,2137,2005,1284,333,103,26,7556,0,16,253,386,401,294,94,23,3,1468,7,16,256,584,638,492,197,79,28,2293,603,632,1374,1261,1230,1210,1219,957,593,9073,5,13,60,33,23,20,20,10,7,191,7272,6704,14836,14091,14575,16137,16084,10126,3493,103310,2247,303,784,719,735,1556,1080,482,226,8134,1665,164,267,264,275,504,531,237,91,3990
SOSR115,3722,478,459,434,620,1275,1249,497,196,8930,1732,187,87,115,169,418,640,269,85,3708,895,503,470,402,535,1013,1437,794,228,6271,429,513,627,625,932,1795,4728,3625,1015,14295,559,500,610,579,978,1802,3916,2800,999,12746,808,728,729,718,956,1655,2918,1779,426,10711,539,1186,1195,904,1031,1579,2225,1213,312,10191,333,1462,2231,1626,1909,2303,1765,779,163,12570,223,1125,2909,2298,2351,2793,1956,627,109,14393,72,604,2171,1953,1957,2054,1127,281,58,10277,21,308,1859,1936,1776,1701,683,239,62,8580,14,175,1337,1537,1553,1242,445,94,28,6419,8,186,1947,2900,2839,2097,535,115,20,10653,0,21,316,636,628,447,129,43,6,2219,15,29,282,745,967,766,320,109,19,3257,939,895,1925,1804,1835,1926,1902,1562,789,13570,3,38,100,57,18,33,17,16,3,276,10306,8937,19245,19259,21056,24898,25999,14844,4522,149068,3131,383,985,964,1129,2697,1623,570,327,11807,2291,211,352,391,418,852,863,367,130,5869
SOSR121,1101,147,122,130,173,395,385,107,50,2603,553,52,28,29,52,124,200,72,13,1120,285,136,104,119,144,279,389,180,44,1671,116,149,170,154,244,537,1292,883,192,3739,167,141,179,156,278,542,1006,613,177,3256,206,207,171,172,254,441,739,371,86,2651,132,286,278,226,325,453,605,296,54,2649,79,376,520,433,507,655,468,186,34,3247,30,268,710,590,688,825,517,167,18,3823,10,148,578,565,609,613,311,83,9,2936,14,62,450,519,536,501,227,71,22,2392,3,31,317,441,501,394,114,35,8,1839,0,26,428,801,910,647,181,36,7,3038,0,0,81,188,183,151,47,16,7,669,3,3,57,235,339,275,116,25,0,1060,277,188,390,417,424,467,553,338,162,3204,3,3,24,6,15,4,4,3,0,64,2961,2222,4614,5179,6185,7311,7155,3468,879,39978,961,100,239,304,339,806,459,124,34,3356,669,61,101,103,123,251,215,67,14,1612
SOSR122,538,77,78,63,97,243,188,72,20,1372,215,13,13,13,18,85,104,39,8,516,122,78,75,76,86,198,259,112,14,1024,58,76,114,90,190,378,736,479,85,2209,76,61,110,110,195,338,643,354,103,1990,94,115,122,112,182,288,378,191,45,1524,63,161,140,143,193,279,269,124,37,1403,36,178,306,201,287,385,229,98,13,1724,20,150,350,317,355,482,287,71,11,2043,3,82,240,263,297,321,155,35,8,1402,0,43,196,213,256,243,103,44,13,1120,0,20,165,191,209,200,72,20,4,882,0,14,224,356,405,328,100,24,3,1449,0,0,34,89,95,68,28,4,0,315,0,8,42,142,193,184,70,23,0,658,202,122,305,321,403,483,421,252,71,2568,3,6,33,12,8,0,7,6,0,68,1425,1211,2541,2704,3455,4514,4047,1936,433,22275,468,54,126,138,181,407,228,65,21,1694,253,30,46,47,76,141,104,44,12,751
SOSR131,6860,818,878,947,1427,2753,2484,1037,270,17479,3178,346,217,236,383,851,1164,468,117,6957,1488,804,690,654,991,1869,2304,1107,255,10158,709,745,878,876,1513,2959,5817,3663,834,17985,1073,709,850,896,1470,2962,5269,2738,667,16634,1549,1151,1024,1099,1747,2902,3737,1768,351,15322,1140,1802,1546,1470,2026,2877,3019,1411,249,15533,804,2288,2679,2347,3172,4187,2933,1088,180,19674,373,1917,3652,3254,4348,5021,3125,981,129,22801,116,1031,2704,2820,3551,3618,1946,512,68,16370,66,606,2370,2786,3477,3300,1598,444,72,14721,17,274,1614,2231,2784,2494,1087,283,40,10821,18,247,2372,4486,5654,4274,1473,373,42,18937,0,27,444,1097,1433,1104,444,132,29,4727,17,39,522,1886,3205,2777,1276,360,59,10119,2104,1662,3359,3598,4142,4547,3811,2042,604,25874,5,49,163,92,55,36,39,9,4,466,19501,14512,25966,30763,41370,48531,41523,18412,3969,244555,6028,691,1459,1764,2461,4549,2864,968,305,21093,4110,442,555,648,816,1518,1360,452,113,10013
