SOSR_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
SOSR101,305,327,692,1171,1676,2482,3376,3638,2568,16239,259,250,446,842,2174,4798,7391,6699,3186,26055,5164,29585,35791,28554,27070,22535,13879,8426,5747,176740,58,99,225,549,1197,2077,3328,4085,3039,14656,11068,13347,21484,24436,27949,32624,28564,17949,11840,189261,355868,201878,277401,256312,192346,134481,75823,29244,8447,1531811,30255,19924,27478,24396,20095,16597,12274,8910,7928,167855,419687,277241,379308,358518,302842,258573,196780,114371,56401,2363716,625,1938,6738,14683,32812,61590,80220,63476,30638,292727,47169,41946,48951,46233,38925,32950,26578,15163,5834,303752,736,988,2617,5847,12379,22126,29785,23008,9207,106699,42,59,99,133,430,1181,3854,10889,14132,30810,1084,2515,5966,15492,28365,49819,57754,36989,12415,210412,1192,1177,1942,4275,11280,26772,42848,38846,21086,149418,785,695,1346,2344,3569,5680,8087,8016,4821,35334,647,539,917,1728,4096,9254,14428,13103,5843,50546,11319,45066,56434,47613,46093,38599,23762,13318,7914,290124,161,212,436,1092,2536,5275,8466,9209,5577,32964,28568,24930,35078,42120,49538,58862,51235,30754,17769,338849,717199,428093,562936,518348,384799,266544,143934,55841,15102,3092807
SOSR102,89,82,213,325,546,915,1506,1926,1306,6908,87,92,135,339,1039,2801,4136,3523,1468,13630,2470,11969,13111,11327,11170,9868,6498,3476,2190,72075,25,30,100,179,467,840,1378,1738,1245,6005,3332,4077,5724,6480,7668,9413,8361,5214,3691,53955,71455,38384,40123,39329,36462,29538,18994,8259,2474,285021,7223,4949,4739,4484,4500,4352,3700,3028,2308,39279,89870,62116,67003,66799,67947,67789,59820,38662,19106,539116,183,672,2144,4882,11709,23620,33001,26403,12133,114751,15183,12334,13684,13557,12377,11993,10891,6668,2328,99012,197,268,634,1491,3432,7083,10931,8984,3344,36376,14,21,15,43,111,426,1416,3935,4786,10758,327,788,1469,2752,6217,11506,15942,11923,3949,54873,314,324,479,993,3064,8087,14382,14472,7653,49769,210,197,360,583,1044,1828,3166,3644,2160,13190,201,191,297,624,1903,4925,7542,6737,2689,25096,5291,18433,20390,18453,18578,16755,10987,5712,3007,117599,61,71,178,310,907,1874,3266,3745,2139,12553,8614,7474,9030,10593,13073,16396,14790,9047,5411,94428,144030,83044,84902,80336,73931,58493,36168,15422,4216,580543
SOSR111,19,18,39,70,108,131,254,328,192,1162,27,21,36,91,238,520,754,641,240,2561,617,2417,2959,2456,2278,2003,1225,613,336,14910,9,12,30,33,98,154,253,293,239,1116,764,763,1201,1278,1480,1685,1424,815,517,9932,14511,6797,7634,6961,6068,4917,3346,1385,364,51987,1653,955,999,988,836,793,609,534,336,7706,18702,11518,13427,12664,12191,11927,10631,6664,2988,100703,40,141,496,1132,2380,4528,6201,4534,1989,21436,3315,2390,3059,2807,2488,2308,2185,1177,401,20132,46,38,127,282,646,1210,1979,1515,582,6424,0,3,14,17,31,103,255,615,653,1685,83,151,370,652,1372,2129,2884,1995,595,10233,68,75,129,229,651,1573,2779,2618,1352,9472,45,44,65,118,192,290,519,626,332,2236,48,48,66,159,412,952,1518,1175,420,4805,1306,3687,4539,4050,3782,3288,2111,1013,451,24221,15,13,36,68,184,330,596,644,376,2267,1974,1384,1882,2062,2499,2852,2536,1394,730,17318,28670,14595,15854,14208,12125,9557,6274,2593,636,104513
SOSR112,46,68,102,138,316,486,828,954,662,3587,60,49,92,207,662,1474,2229,1874,751,7403,1404,6187,6838,5730,5650,5188,3305,1838,1314,37451,17,19,39,112,262,467,717,895,667,3199,1816,2020,2901,3242,3728,4540,4052,2699,1854,26853,36207,17922,20269,17118,15798,13579,9942,4709,1432,136977,4939,3139,2930,2650,2566,2330,2041,1680,1171,23452,47531,30882,34721,31037,31639,33148,31199,20961,10322,271442,96,386,1188,2554,5754,12058,17469,13991,6435,59934,8807,6770,7494,6982,6471,6846,6473,3822,1387,55055,97,150,341,692,1598,3483,5830,4800,1853,18852,12,10,21,17,72,204,775,2148,2656,5916,179,423,898,1687,3467,6195,8214,5863,1913,28838,206,213,359,588,1573,4221,7539,7478,4176,26354,111,140,215,278,569,973,1726,1855,1098,6964,150,103,184,422,1147,2709,4223,3541,1365,13844,3083,9694,10768,9339,9432,8718,5802,3030,1796,61661,40,44,79,206,483,1012,1723,1969,1144,6699,4783,3753,4631,5247,6325,7925,7257,4614,2746,47287,71967,38490,41882,35051,31794,26617,18641,8625,2501,275574
SOSR113,9,25,53,76,148,242,433,482,348,1817,35,22,40,92,335,734,1084,888,365,3591,622,2299,2654,2562,2730,2556,1686,822,544,16471,5,6,17,49,133,224,402,411,306,1559,706,701,1145,1347,1625,2133,2002,1241,858,11753,15167,6907,8078,7260,6959,6811,5083,2278,671,59212,2169,1210,1305,1175,1193,1134,1053,816,604,10661,19950,11737,13967,13349,14237,16171,15800,10173,4943,120331,66,140,530,1251,2824,6263,8994,6928,3059,30047,3600,2577,2867,2848,2856,3121,3194,1839,629,23522,31,43,121,283,717,1594,2828,2243,879,8740,3,3,6,11,30,100,388,1014,1168,2726,80,184,325,693,1561,3011,4383,3077,1026,14341,83,87,136,258,751,2088,3895,3701,2071,13072,40,43,89,124,279,492,908,947,583,3505,78,51,72,192,583,1427,2166,1738,661,6957,1384,3703,4212,4119,4521,4353,3025,1418,766,27503,3,13,38,87,234,505,906,948,553,3289,1922,1384,1789,2192,2790,3869,3664,2197,1292,21093,30189,15232,16710,14835,14276,13189,9738,4336,1169,119683
SOSR114,4,22,58,82,121,226,431,501,353,1802,30,20,35,103,287,808,1283,1006,402,3979,644,2423,2757,2600,2435,2466,1716,932,601,16558,8,12,14,41,106,214,371,462,364,1601,856,767,1136,1432,1677,2139,2103,1280,910,12297,18191,8487,9259,8459,7998,7465,5660,2753,812,69092,2532,1383,1481,1384,1305,1401,1196,1027,662,12362,23649,13865,15643,15076,15427,17520,17340,11841,5588,135946,56,178,545,1297,2834,6431,9800,7941,3573,32656,4018,2871,3228,3089,2924,3445,3536,2118,747,25973,40,54,141,335,716,1790,3201,2660,1046,9989,0,0,9,21,25,108,353,1060,1297,2864,98,206,371,703,1576,3059,4647,3353,1079,15097,86,89,140,297,762,2055,4329,4312,2261,14321,39,55,93,167,239,462,898,1022,598,3570,69,58,69,172,519,1479,2452,2074,740,7639,1448,3710,4206,4140,4175,4227,3033,1593,839,27363,21,16,33,84,207,494,919,1043,647,3464,2223,1416,1777,2308,2837,3878,3743,2280,1391,21855,36268,17961,19156,17155,16096,14591,10758,5132,1404,138519
SOSR115,32,30,59,107,167,356,650,758,494,2643,44,31,59,123,402,1128,1814,1436,510,5550,792,3016,3437,3343,3620,3772,2533,1244,759,22524,4,6,24,63,161,355,546,626,435,2223,1057,993,1440,1871,2454,3371,3164,1869,1230,17458,24550,11019,12015,11567,11575,11766,8753,3675,1002,95918,3425,1857,1878,1999,2004,2137,1940,1418,860,17525,31923,17905,20091,20532,22416,27136,26648,16202,7276,190127,69,218,745,1644,4202,10165,15295,11331,4846,48507,5639,3670,4084,4246,4184,5022,5236,2999,987,36076,54,78,207,425,1101,2808,5074,3714,1278,14740,0,7,12,14,51,137,570,1472,1782,4032,125,245,411,887,2057,4502,7067,4895,1430,21618,98,110,182,347,1069,3359,6603,6186,2966,20918,69,56,120,189,334,767,1353,1522,784,5191,83,60,129,237,731,2156,3693,2884,987,10970,1769,4738,5265,5513,6024,6449,4647,2220,1104,37721,11,16,52,104,325,803,1385,1459,807,4964,2679,1926,2345,3040,4172,6100,5990,3397,1840,31489,49099,23958,24829,23409,23417,22591,17137,7232,1763,193441
SOSR121,0,13,14,14,42,82,142,154,88,551,4,5,13,35,104,290,469,288,94,1300,231,766,910,900,1056,1012,646,215,74,5811,4,0,6,16,47,77,127,155,66,494,290,245,360,512,713,891,766,346,146,4278,6880,3096,2934,3223,3545,3482,2403,772,186,26529,908,527,413,510,522,556,513,302,174,4422,8901,4927,4872,5604,6661,7646,6938,3394,1179,50123,19,62,194,442,1199,2870,3941,2428,759,11918,1577,1006,972,1153,1232,1424,1397,693,180,9635,21,28,43,134,310,796,1323,852,204,3708,4,3,3,6,13,35,116,254,224,651,33,60,101,220,567,1171,1701,1089,276,5219,44,27,51,87,267,853,1712,1309,496,4843,15,24,31,43,106,185,333,323,148,1187,12,10,39,63,174,552,960,602,202,2610,530,1233,1385,1472,1725,1784,1222,421,123,9890,7,10,9,30,86,198,336,336,114,1119,744,477,594,812,1196,1706,1543,677,245,7985,13881,6670,6031,6533,7159,6821,4844,1643,364,53947
SOSR122,3,4,10,5,25,54,72,70,49,299,0,0,7,19,87,194,240,145,41,734,99,372,398,424,570,575,362,119,50,2957,0,0,11,4,30,57,71,64,30,273,128,142,177,243,362,545,426,187,91,2299,3214,1493,1514,1535,1785,1853,1224,384,82,13081,537,316,302,333,399,452,401,160,66,2969,4221,2435,2536,2774,3521,4429,3781,1703,560,25970,12,31,94,222,645,1777,2212,1257,404,6651,633,473,511,554,655,848,775,332,91,4878,8,9,19,73,150,461,681,417,123,1942,0,0,0,4,8,19,73,151,118,379,20,25,66,138,330,745,1016,557,119,3019,15,17,29,47,201,569,985,705,278,2851,12,10,14,23,51,124,168,160,86,648,9,12,11,39,147,382,540,317,92,1549,192,583,650,712,917,1068,665,211,73,5062,0,0,13,13,49,129,211,174,79,653,331,266,294,392,634,1046,825,376,132,4282,6584,3236,3130,3152,3674,3785,2514,844,167,27089
SOSR131,34,43,74,121,272,397,591,510,224,2270,49,32,52,164,503,1292,1781,1041,290,5201,924,3659,3593,4055,4891,4861,2611,832,308,25725,9,11,32,72,215,413,552,502,228,2032,1375,1423,1700,2529,3718,4978,3733,1595,583,21640,39007,19983,15858,19207,23851,22330,13523,4412,807,158977,5294,3180,2738,3470,4253,4403,3394,1644,493,28866,49234,29820,25400,31819,42148,46562,35829,15570,4270,280662,105,307,837,2347,6596,15283,19228,10528,3016,58257,7001,4958,4473,5637,6962,7810,6486,2595,609,46532,105,92,221,665,2046,4649,6836,3955,931,19498,11,0,7,12,57,173,562,1154,838,2808,178,324,479,947,2868,6026,8041,4563,954,24390,169,176,212,430,1684,5145,8629,6128,2024,24588,111,104,129,221,524,928,1491,1236,479,5217,124,79,114,312,946,2736,4098,2471,648,11530,2138,5718,5561,6649,8339,8708,5189,1723,484,44509,22,19,62,143,410,1002,1598,1348,510,5125,3523,2767,2831,4126,6587,9318,7720,3200,1010,41095,79547,44280,33025,38841,48499,46206,28804,9511,1637,330346
