SOSR_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SOSR101,5579,121485,7441,195,134699,7749,141575,11514,427,161261,19010,324007,28614,1216,372848,30198,300747,23212,916,355068,35479,239878,16209,774,292344,33516,201363,12845,873,248601,19091,149774,9318,981,179164,9671,80728,7505,305,98211,3141,27224,5212,76,35656,163440,1586779,121870,5767,1877842,6078,113419,6584,184,126263,9004,133057,9099,435,151598,27050,327384,24877,1062,380373,44656,293912,19952,688,359208,55155,233720,13964,718,303563,50893,196446,11235,1500,260078,28055,159022,9695,1223,197997,11590,93315,9464,341,114711,2410,43612,10377,91,56496,234905,1593894,115233,6247,1950279,11659,234908,14020,376,260960,16752,274632,20610,870,312861,46063,651392,53485,2279,753220,74857,594656,43155,1612,714279,90636,473600,30171,1492,595903,84412,397812,24077,2373,508680,47148,308803,19012,2206,377161,21266,174041,16970,639,212920,5555,70836,15585,171,92147,398344,3180667,237096,12016,3828123
SOSR102,1332,28240,1771,11,31358,1682,29552,1892,45,33168,4110,56992,3827,89,65018,6397,53180,3370,68,63009,8933,51867,3103,65,63970,10297,49220,2755,76,62338,6887,43477,2628,75,53069,3718,26212,2538,36,32500,1084,8444,1829,5,11359,44432,347191,23704,471,415802,1575,26644,1635,18,29865,2168,28372,1723,28,32295,6553,56875,3577,80,67084,10813,52771,3219,68,66866,14704,50518,2728,64,68009,16476,48721,2594,104,67897,10115,46779,2928,108,59933,4214,30953,3498,34,38695,842,14646,3618,13,19119,67449,356275,25517,522,449765,2907,54884,3405,30,61221,3851,57926,3614,74,65468,10661,113869,7406,166,132100,17204,105952,6586,129,129877,23631,102376,5830,134,131981,26775,97938,5343,182,130240,17008,90257,5555,189,113009,7933,57160,6036,68,71194,1922,23094,5446,21,30484,111884,703472,49229,992,865569
SOSR111,268,5160,398,5,5830,276,5014,335,11,5631,804,10986,790,36,12611,1282,9787,696,20,11775,1525,9020,609,13,11170,1686,8366,517,10,10584,1253,7729,432,11,9428,613,4339,406,8,5358,182,1324,240,0,1744,7882,61721,4426,106,74135,308,5139,331,5,5786,443,4975,319,7,5737,1463,11199,772,21,13452,2229,9757,676,12,12674,2686,9007,503,8,12199,2821,8594,517,24,11953,1844,8295,488,11,10644,762,5307,595,5,6667,141,2361,479,8,2995,12687,64639,4681,98,82104,572,10302,728,11,11615,722,9983,655,13,11369,2262,22182,1557,60,26063,3508,19547,1373,30,24456,4210,18027,1114,19,23369,4504,16964,1029,31,22528,3096,16032,925,20,20073,1371,9642,998,11,12026,326,3686,719,5,4735,20568,126356,9101,206,156240
SOSR112,776,13977,1365,12,16133,765,13202,1676,49,15690,2214,28050,3734,162,34160,2987,23970,3036,120,30114,3972,23164,2565,63,29761,4517,23575,1933,49,30070,3332,22617,1631,32,27612,1994,13752,1414,12,17168,613,4662,891,3,6169,21178,166970,18241,499,206881,854,13246,1316,13,15430,1156,13107,1198,23,15484,3782,28520,2423,68,34789,5336,23672,2037,48,31086,6938,22923,1773,43,31675,7678,23904,1573,55,33211,5168,24347,1683,36,31243,2326,16748,1882,27,20991,480,8186,1651,0,10326,33708,174658,15545,318,224227,1630,27225,2686,22,31564,1921,26311,2873,71,31179,5990,56575,6158,231,68949,8323,47644,5070,167,61202,10911,46083,4337,97,61437,12198,47480,3502,108,63281,8503,46960,3322,68,58849,4318,30499,3294,43,38158,1094,12852,2542,7,16495,54886,341629,33786,810,431111
SOSR113,319,5899,625,0,6844,338,5100,600,25,6059,888,11131,1447,64,13527,1395,10024,1254,19,12695,1853,10540,1068,15,13475,2302,11645,970,16,14920,1772,12062,853,14,14699,999,7072,701,11,8781,254,2231,359,0,2850,10130,75693,7870,168,93857,350,5228,492,5,6076,406,4830,444,15,5688,1515,11340,1111,39,14011,2415,10005,930,17,13369,3041,10331,865,12,14248,3759,11616,803,10,16187,2494,12442,868,8,15806,1133,8117,927,9,10177,223,3920,800,0,4943,15332,77823,7227,120,100499,671,11131,1115,5,12921,745,9924,1041,43,11747,2406,22473,2559,106,27538,3807,20025,2181,44,26065,4894,20871,1926,25,27726,6058,23255,1767,27,31109,4269,24500,1720,27,30508,2132,15184,1626,14,18958,484,6153,1164,0,7795,25458,153513,15098,287,194354
SOSR114,332,6312,629,5,7272,368,5695,627,13,6704,948,12467,1359,60,14836,1434,11346,1271,33,14091,1910,11474,1166,23,14575,2339,12690,1084,20,16137,1790,13220,1057,20,16084,1107,8187,824,10,10126,348,2709,432,7,3493,10569,84100,8447,191,103310,384,6050,591,3,7034,516,5820,499,7,6841,1725,12716,1205,32,15678,2571,11428,1077,16,15089,3216,11289,926,18,15443,3958,12539,1024,34,17551,2765,13582,998,22,17362,1267,9467,1107,6,11850,266,4526,795,0,5588,16669,87404,8221,138,112433,723,12362,1218,10,14304,876,11517,1129,27,13543,2670,25186,2562,90,30512,4008,22774,2350,52,29182,5130,22756,2090,45,30018,6302,25224,2107,48,33682,4556,26800,2051,37,33452,2371,17656,1932,21,21974,613,7238,1229,8,9082,27239,171506,16668,326,215749
SOSR115,441,8875,977,3,10306,488,7521,896,38,8937,1311,15980,1859,100,19245,1952,15485,1768,57,19259,2753,16558,1724,18,21056,3608,19466,1787,33,24898,3058,21225,1696,17,25999,1578,11941,1303,16,14844,393,3529,596,3,4522,15591,120584,12610,276,149068,576,8221,865,9,9663,623,6971,656,25,8274,2192,16342,1552,72,20161,3476,15539,1515,26,20558,4776,16161,1480,27,22442,6154,19468,1515,24,27161,4297,20703,1645,14,26657,1850,12744,1607,9,16217,326,5836,1114,0,7276,24271,121976,11958,209,158413,1019,17096,1840,8,19970,1109,14491,1555,60,17214,3505,32321,3417,174,39410,5429,31018,3283,81,39818,7530,32721,3205,47,43504,9762,38938,3303,60,52059,7359,41926,3341,29,52658,3429,24686,2914,23,31054,717,9363,1719,4,11799,39864,242567,24566,487,307478
SOSR121,138,2543,280,3,2961,110,1941,170,3,2222,294,3906,397,24,4614,545,4230,393,6,5179,813,4956,403,15,6185,1084,5795,430,4,7311,834,5831,476,4,7155,376,2820,272,3,3468,109,622,146,0,879,4297,32654,2970,64,39978,150,2457,260,0,2865,160,1734,165,9,2067,534,3970,366,8,4887,976,4252,377,7,5614,1450,4869,338,4,6661,1743,5499,406,3,7656,1152,5377,397,4,6937,395,2666,331,0,3395,72,906,208,0,1181,6632,31736,2858,48,41268,286,4998,540,4,5835,269,3679,339,13,4297,827,7871,764,28,9493,1519,8483,775,15,10791,2255,9829,742,18,12847,2826,11295,831,11,14965,1989,11214,882,10,14091,764,5492,602,9,6863,179,1528,350,0,2060,10924,64387,5826,108,81247
SOSR122,75,1152,199,3,1425,78,1006,127,6,1211,193,2021,295,33,2541,284,2098,312,12,2704,446,2621,379,8,3455,662,3413,441,0,4514,452,3225,369,7,4047,214,1509,212,6,1936,40,341,55,0,433,2447,17378,2381,68,22275,93,1036,164,4,1289,97,942,113,6,1149,286,1981,270,30,2569,428,2065,280,0,2780,729,2479,316,0,3521,1040,3053,341,9,4443,602,2837,345,0,3784,192,1317,191,0,1704,22,458,75,5,556,3482,16170,2105,51,21804,165,2185,366,3,2720,170,1946,232,5,2363,482,4001,561,62,5110,713,4165,590,14,5483,1167,5099,697,10,6977,1698,6471,781,12,8956,1051,6064,715,6,7832,404,2823,409,0,3638,62,798,134,5,998,5926,33545,4482,121,44076
SOSR131,863,16526,2111,5,19501,758,12124,1583,49,14512,1750,20817,3232,163,25966,3075,24148,3450,92,30763,5439,32047,3832,55,41370,7118,37217,4163,36,48531,4611,33435,3442,39,41523,1858,14729,1815,9,18412,389,3087,490,4,3969,25856,194132,24104,466,244555,1021,14726,1723,10,17477,936,10301,1115,57,12412,2814,20271,2316,121,25523,5250,23708,2864,72,31893,8823,30003,3323,42,42190,10790,32292,3480,37,46604,5965,27063,2804,29,35858,1936,12030,1607,13,15588,278,3379,610,3,4275,37823,173777,19835,393,231818,1885,31252,3831,20,36983,1696,22426,2694,107,26926,4568,41090,5547,287,51485,8323,47855,6317,167,62657,14263,62050,7146,100,83560,17909,69512,7638,79,95131,10577,60499,6239,62,77380,3796,26760,3426,20,33997,668,6470,1102,10,8247,63676,367903,43941,853,476377
