SOSR_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SOSR101,32629,34413,831,67867,415498,22938,2373,508680,6208,41459,516,48185,308621,18150,2206,377161,1055,8276,94,9427,186619,16232,639,212920,146,454,11,605,76140,15230,171,92147,816064,131170,10047,957274,2631843,226989,12016,3828123
SOSR102,5240,17071,210,22523,102389,5149,182,130240,961,15960,96,17008,90473,5337,189,113009,221,2724,16,2957,62421,5749,68,71194,31,150,0,186,24973,5303,21,30484,171714,52986,5030,229721,587670,47185,992,865569
SOSR111,837,3358,49,4244,17264,987,31,22528,140,3042,11,3197,15966,888,20,20073,35,522,3,560,10506,952,11,12026,7,39,3,44,3965,715,5,4735,32295,11044,1498,44840,102453,8739,206,156240
SOSR112,2491,8243,132,10866,48890,3419,108,63281,505,7291,39,7841,47776,3163,68,58849,99,1506,9,1617,33362,3139,43,38158,26,105,0,133,13874,2476,7,16495,78517,28063,3524,110100,287546,32647,810,431111
SOSR113,1028,3912,48,4991,24395,1699,27,31109,224,3399,23,3640,25208,1636,27,30508,59,663,0,726,16686,1533,14,18958,13,36,0,46,6634,1115,0,7795,32764,12541,1567,46871,132671,14529,287,194354
SOSR114,1071,4013,51,5134,26435,2057,48,33682,206,3637,16,3865,27582,1963,37,33452,65,742,5,810,19364,1785,21,21974,9,46,0,54,7839,1180,8,9082,38300,13247,1648,53194,146264,15967,326,215749
SOSR115,1743,6043,85,7873,40925,3204,60,52059,376,5120,39,5545,43877,3204,29,52658,74,934,3,1011,27240,2782,23,31054,10,62,0,68,10085,1641,4,11799,52912,18574,2346,73829,209490,23674,487,307478
SOSR121,561,1740,21,2321,11845,794,11,14965,116,1508,9,1625,11619,836,10,14091,8,234,3,242,6046,567,9,6863,3,14,0,16,1714,328,0,2060,14873,5231,638,20745,54819,5566,108,81247
SOSR122,282,991,16,1286,6895,767,12,8956,51,684,0,746,6375,707,6,7832,16,120,0,137,3124,380,0,3638,0,9,0,7,853,128,5,998,6994,2751,308,10054,29497,4405,121,44076
SOSR131,3766,11637,169,15577,72002,7477,79,95131,739,9261,59,10059,61191,6063,62,77380,154,1564,18,1731,29006,3240,20,33997,21,100,0,117,7073,1044,10,8247,85250,32477,3226,120955,311965,42602,853,476377
SOSR179,0,0,0,0,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,22,0,3,38
SOSR201,29397,49619,926,79936,384919,19570,2111,486538,5853,64310,493,70653,278862,15964,1886,367372,1176,13200,118,14489,188458,14034,589,217571,167,640,8,814,83435,10888,145,95291,781412,188683,16408,986504,2555662,197839,10153,3750163
