SOSR_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR101,..,7328,10693,3468,2084,1643,812,263,120,26408,..,17664,31300,7650,5000,5476,3883,1442,424,72820,..,7224,27495,23046,22318,33809,41553,35003,18771,209216,3487,4988,5754,3131,2386,2778,2549,1403,840,27328,262,383,623,384,483,1219,1014,272,65,4709,402247,262539,358537,342014,291414,250309,189224,104568,39859,2240711,..,11088,235055,432312,361537,303605,224096,109459,24248,1701399,..,26945,140622,73059,47669,29930,13258,3870,515,335870,..,2762,16747,38105,53344,36424,17065,11459,7598,183513,819280,..,..,..,..,..,..,..,..,819280,..,259949,..,..,..,..,..,..,..,259949,..,136498,116686,33859,20992,10219,1898,84,0,320238,..,24388,24942,9487,9855,18370,19981,13649,7947,128613,..,15430,26031,9500,6204,4699,2177,643,198,64892,..,39330,76117,21129,13140,12721,8739,3185,784,175128,..,14388,57060,51390,49285,63420,65472,49571,25417,376004,7184,9253,11591,6911,5495,5316,4312,2175,1133,53364,519,744,1227,868,930,1814,1781,496,113,8494,826980,540776,706080,676619,568448,486521,358784,194583,67950,4426736
SOSR102,..,1830,1380,417,413,363,150,63,20,4635,..,5295,4302,1028,1361,1908,1430,572,157,16061,..,1448,4166,3489,5528,11537,15312,13550,7696,62726,1299,2048,1509,829,783,927,784,396,224,8803,35,40,50,44,51,92,83,21,0,412,86075,58587,63748,63842,65315,65146,56892,35100,13568,508279,..,1354,37450,70516,70874,70529,63866,35426,7400,357418,..,10293,33694,18660,14833,10559,5256,1793,253,95334,..,1168,6316,11786,14737,8348,3974,3115,2232,51682,175298,..,..,..,..,..,..,..,..,175298,..,45242,..,..,..,..,..,..,..,45242,..,36206,17863,6373,4835,3124,638,27,0,69061,..,4467,3153,1332,1768,3508,3781,2622,1484,22119,..,3608,3624,1297,1136,930,430,155,47,11226,..,10300,10707,2782,3189,4120,3002,1249,295,35651,..,2922,9221,8851,12884,21495,24474,19683,10414,109939,2676,3727,3096,1980,1816,1800,1408,667,325,17495,79,71,108,94,89,142,136,41,5,770,178052,119351,125236,123669,126165,124548,106966,64779,22448,991220
SOSR111,..,339,246,100,79,54,19,11,0,840,..,636,557,213,257,345,244,85,11,2361,..,383,873,711,1135,2279,2799,2444,1253,11876,319,455,309,174,183,201,172,88,40,1943,3,5,15,5,5,23,7,0,5,72,17843,10846,12688,11992,11693,11352,10038,5988,2106,94547,..,315,8090,12548,12033,11874,11248,5995,1195,63303,..,2487,6480,3522,2683,1840,891,293,31,18234,..,359,1726,2610,2691,1347,647,465,294,10146,35565,..,..,..,..,..,..,..,..,35565,..,7501,..,..,..,..,..,..,..,7501,..,6484,2723,971,715,403,95,0,0,11388,..,944,633,301,340,635,625,361,190,4030,..,706,651,289,227,138,70,28,5,2107,..,1243,1425,527,593,717,548,183,27,5254,..,752,2035,1812,2539,3997,4433,3381,1653,20610,671,850,707,443,402,357,306,135,64,3930,13,12,35,8,12,30,14,9,5,135,36243,21651,24498,23049,22237,21329,18877,10843,3460,182200
SOSR112,..,811,698,221,171,140,78,21,10,2157,..,1846,1787,564,731,956,739,317,66,7001,..,1186,2577,1885,3357,6564,8468,7786,4156,35978,792,1341,847,448,506,624,479,273,137,5453,25,16,39,26,27,47,31,16,3,226,44480,27449,32131,28948,29735,31258,29178,18715,6949,248847,..,950,19899,29476,29109,31550,31579,18711,4052,165331,..,6574,15426,8272,6929,5122,2820,889,152,46182,..,1123,4554,6385,6870,3738,1894,1293,940,26802,89194,..,..,..,..,..,..,..,..,89194,..,18547,..,..,..,..,..,..,..,18547,..,15772,6727,2746,2043,1251,283,10,0,28840,..,2534,1637,628,998,1667,1746,1033,539,10786,..,1765,1829,729,556,397,219,66,15,5569,..,3587,4432,1494,1618,2047,1604,671,125,15579,..,2175,5589,4680,7212,11797,13526,10876,5577,61431,1659,2513,1887,1170,1125,1124,861,417,200,10963,47,43,95,78,53,73,48,27,5,466,90895,55575,62085,55657,56518,58766,54583,33999,11616,479697
SOSR113,..,364,300,110,94,81,35,19,4,1015,..,551,824,317,347,522,383,155,36,3136,..,332,883,739,1404,3054,3994,3666,1925,16000,404,546,374,245,234,342,265,123,63,2596,7,11,20,5,0,9,4,3,0,55,18670,10890,12812,12383,13247,15113,14730,9133,3352,110329,..,353,6689,11290,12217,15089,16542,9299,1874,73354,..,2623,6774,4075,3372,2596,1561,500,63,21573,..,431,2148,2963,3284,1741,927,715,501,12707,37457,..,..,..,..,..,..,..,..,37457,..,7344,..,..,..,..,..,..,..,7344,..,7216,2996,1352,1082,722,148,0,0,13517,..,1071,551,268,502,796,842,531,323,4876,..,739,752,348,307,199,115,35,10,2505,..,1060,1835,762,796,1035,839,317,70,6703,..,751,2032,2012,3305,5890,6770,5435,2621,28812,810,1020,824,598,532,600,483,219,97,5182,13,21,31,11,6,11,14,7,0,115,38275,22624,24624,23671,25402,28678,28248,17071,5562,214148
SOSR114,..,391,267,97,77,62,37,14,3,950,..,665,555,208,298,516,383,178,40,2844,..,496,930,776,1456,3313,4334,4319,2358,17980,344,637,373,198,233,339,271,119,74,2593,8,14,24,10,7,25,17,3,0,101,21998,12467,14410,13994,14376,16116,15975,10587,3929,123865,..,364,9084,14252,14210,16333,18009,10871,2288,85405,..,3125,7570,4364,3725,2952,1651,635,85,24105,..,467,2090,3046,3285,1684,926,690,551,12734,44280,..,..,..,..,..,..,..,..,44280,..,8237,..,..,..,..,..,..,..,8237,..,7546,3070,1297,1118,768,161,0,0,13957,..,1142,661,333,425,799,885,567,326,5137,..,764,690,280,249,204,100,36,4,2340,..,1292,1368,536,701,1033,830,353,72,6184,..,1011,2184,1959,3234,6213,7355,6258,3192,31407,736,1140,878,561,533,646,521,223,99,5339,10,18,39,18,21,32,31,9,8,188,45025,25106,27636,26648,27506,30652,30476,19635,6626,239315
SOSR115,..,496,357,157,136,108,74,32,26,1387,..,559,811,270,505,841,685,271,107,4050,..,493,1050,857,1939,4517,6114,5509,2779,23252,543,910,555,337,404,595,419,210,91,4064,7,22,31,17,16,17,4,10,0,119,29608,16353,18433,18936,20734,24996,24491,14453,4925,172938,..,514,11305,19004,20377,25843,28823,15380,2887,124132,..,3598,9677,6414,5691,5083,3018,922,118,34523,..,569,2665,4010,4478,2473,1320,983,740,17234,59832,..,..,..,..,..,..,..,..,59832,..,11709,..,..,..,..,..,..,..,11709,..,10720,4368,1887,1567,1047,237,13,0,19836,..,1401,792,392,612,1149,1333,860,500,7033,..,977,905,451,402,323,187,91,38,3374,..,1186,1845,719,1051,1598,1477,579,182,8641,..,1001,2505,2382,4501,8722,10772,8453,3826,42162,1064,1694,1186,780,882,1070,804,351,140,7978,19,43,72,32,29,39,11,12,0,257,60912,33408,35328,36064,39591,47340,47985,27651,8431,336708
SOSR121,..,154,103,23,47,34,33,6,0,404,..,104,137,74,138,224,168,65,17,921,..,71,200,189,446,1049,1336,971,457,4712,158,259,165,77,108,126,115,61,21,1089,0,6,4,4,4,0,3,0,0,19,8300,4570,4506,5187,6239,7107,6406,3106,921,46350,..,105,2856,5607,6920,8086,8159,3596,561,35890,..,755,2296,1767,1701,1546,855,260,20,9200,..,129,598,915,1086,612,327,267,183,4115,16714,..,..,..,..,..,..,..,..,16714,..,3673,..,..,..,..,..,..,..,3673,..,3211,1328,534,447,265,49,0,0,5844,..,352,172,104,128,310,376,275,139,1862,..,298,249,84,113,102,74,30,0,958,..,197,334,153,288,460,384,131,27,1986,..,185,491,504,1048,2157,2458,1603,688,9128,333,467,348,226,214,241,231,108,34,2211,6,9,13,8,5,8,3,0,0,50,17052,9379,8691,9910,11950,13795,12920,6275,1656,91640
SOSR122,..,55,32,14,19,20,11,5,0,155,..,48,52,31,70,117,115,20,7,466,..,44,122,109,257,681,795,532,223,2763,81,103,87,35,60,68,73,41,22,564,0,3,3,0,0,3,0,0,0,13,3663,2069,2146,2351,3028,3845,3291,1526,434,22354,..,68,1276,2378,3045,4060,3827,1721,267,16645,..,423,1115,821,910,946,508,135,17,4874,..,60,292,452,568,338,197,125,76,2109,7487,..,..,..,..,..,..,..,..,7487,..,1532,..,..,..,..,..,..,..,1532,..,1495,696,292,225,116,19,0,0,2844,..,201,84,57,83,212,205,139,62,1040,..,106,103,50,60,43,32,7,3,407,..,92,135,102,167,292,247,55,5,1098,..,109,292,291,661,1477,1579,954,337,5694,158,190,172,94,127,135,150,62,32,1121,0,4,13,0,0,4,0,5,0,27,7645,4279,4172,4542,5853,7628,6780,3194,790,44880
SOSR131,..,984,739,310,325,351,225,78,22,3034,..,419,612,333,652,1139,802,255,58,4271,..,380,671,744,1656,3887,4458,3141,1170,16105,1009,1793,1062,592,630,839,769,409,222,7324,18,22,45,31,10,31,19,11,3,194,45312,26989,22803,28867,38463,42403,32646,14199,3657,255342,..,660,15392,34663,49637,56060,46658,19210,2780,225060,..,3401,10462,8472,9746,9072,4794,1084,129,47151,..,352,1969,3336,4306,2961,1658,1301,805,16688,92190,..,..,..,..,..,..,..,..,92190,..,23844,..,..,..,..,..,..,..,23844,..,19892,9032,3407,2372,1376,209,9,0,36302,..,1516,809,516,899,1755,2300,1755,1028,10582,..,1735,1593,762,853,885,584,206,51,6660,..,853,1344,793,1404,2337,1860,633,121,9348,..,970,2028,2429,4890,9847,10430,5962,1966,38521,2020,3314,2060,1322,1322,1531,1447,717,288,14032,38,39,107,59,47,51,35,15,11,394,94247,56577,44794,55764,75462,85877,69988,30896,7179,520780
