SOSR_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
SOSR101,546276,38021,13363,5568,544,223,1707,605701
SOSR102,97590,11912,4870,921,179,71,707,116245
SOSR111,16790,2576,1096,162,49,15,161,20844
SOSR112,40776,5830,2686,500,98,52,460,50405
SOSR113,16391,2629,1244,250,47,24,198,20791
SOSR114,20177,2844,1326,255,53,19,237,24915
SOSR115,28062,3874,1846,341,74,31,375,34597
SOSR121,8602,1139,471,114,18,10,105,10462
SOSR122,3786,526,241,52,14,0,74,4686
SOSR131,56049,5933,2502,731,120,48,560,65939
SOSR179,0,0,0,0,0,0,0,0
SOSR201,529066,29684,12983,4596,418,188,1369,578308
SOSR203,35070,3080,1636,298,47,28,163,40318
SOSR211,11492,1031,680,184,18,12,86,13499
SOSR212,25356,2289,1223,205,33,14,149,29278
SOSR213,21930,2211,1316,200,43,20,152,25875
SOSR214,11317,1072,615,95,20,3,96,13217
SOSR215,19388,1798,1056,183,33,9,145,22618
SOSR221,5369,469,262,33,3,0,46,6185
SOSR222,2772,245,156,24,7,0,20,3234
SOSR231,43739,3361,1886,405,69,21,315,49784
SOSR279,0,0,0,0,0,0,0,0
SOSR301,229824,25380,10683,2492,422,169,1171,270139
SOSR302,80691,10523,3909,662,144,48,426,96409
SOSR303,34306,5485,2157,496,98,37,293,42877
SOSR311,18758,3532,1465,268,76,30,185,24320
SOSR312,6885,1223,542,95,24,13,74,8847
SOSR313,12870,2332,1085,164,31,16,141,16650
SOSR314,13984,2034,943,192,47,15,133,17343
SOSR315,19199,2900,1504,369,57,37,257,24323
SOSR321,7500,1052,485,157,34,6,102,9338
SOSR322,2794,379,207,80,6,5,64,3543
SOSR331,42003,4394,2032,546,103,42,426,49545
SOSR379,0,0,0,0,0,0,0,0
SOSR401,125185,9574,4864,1238,180,53,607,141701
SOSR412,8490,884,615,86,16,5,82,10181
SOSR413,7059,672,440,81,23,15,90,8380
SOSR414,2510,262,142,16,0,3,14,2949
SOSR415,9496,888,575,111,15,5,91,11188
SOSR421,2564,202,170,35,3,0,28,3007
SOSR422,1316,145,85,32,7,0,25,1606
SOSR431,14650,1051,678,158,21,13,145,16722
SOSR479,0,0,0,0,0,0,0,0
SOSR501,207275,32266,8649,2003,399,123,1136,251858
SOSR511,6289,1377,433,79,29,7,52,8268
SOSR512,9258,1987,618,124,30,13,106,12137
SOSR513,5925,1136,431,79,29,10,58,7661
SOSR514,2173,491,139,31,9,0,27,2868
SOSR515,6789,1465,497,124,20,5,92,8995
SOSR521,2407,522,176,48,13,9,62,3238
SOSR522,1352,209,106,65,7,3,45,1800
SOSR531,13452,2321,636,208,42,9,168,16840
SOSR579,0,0,0,0,0,0,0,0
SOSR603,16829,1705,973,169,29,9,128,19832
SOSR611,6610,670,437,57,9,6,51,7838
SOSR612,3202,490,299,29,7,4,37,4060
SOSR613,943,116,64,8,0,0,13,1151
SOSR614,1222,170,106,15,5,0,13,1533
SOSR615,4991,615,421,41,3,3,35,6114
SOSR621,1783,177,136,16,3,3,20,2133
SOSR622,712,93,41,0,4,0,9,855
SOSR631,10159,924,630,94,17,6,93,11923
SOSR679,0,0,0,0,0,0,0,0
SOSR703,10700,1854,564,219,33,11,85,13475
SOSR712,2028,315,120,57,12,9,34,2579
SOSR714,349,82,43,23,9,0,19,524
SOSR715,1438,129,80,147,25,25,36,1883
SOSR721,950,79,53,108,20,18,36,1264
SOSR722,850,90,42,105,15,16,51,1176
SOSR731,2669,427,158,137,21,20,54,3477
SOSR779,0,0,0,0,0,0,0,0
SOSR802,48471,3365,1639,403,41,22,191,54131
SOSR822,88,3,3,0,0,0,0,92
SOSR831,42,5,4,0,0,0,0,45
SOSR879,0,0,0,0,0,0,0,0
SOSR915,133,11,4,0,0,0,0,149
SOSR921,101,17,8,3,0,0,0,127
SOSR922,76,4,0,0,0,0,0,83
SOSR931,46,0,5,0,0,0,0,54
SOSR979,0,0,0,0,0,0,0,0
