SOSR_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SOSR101,195222,661444,523092,156346,85194,1621297,86950,1708243
SOSR102,28376,150367,149248,47348,26547,401881,19421,421301
SOSR111,4621,27460,28189,8991,4646,73911,3741,77660
SOSR112,13862,80910,72416,22823,11454,201469,12170,213636
SOSR113,6392,37832,32985,10225,5132,92567,6265,98827
SOSR114,6378,41125,37835,11370,5781,102486,7667,110153
SOSR115,6919,55490,54736,17592,9732,144468,10418,154891
SOSR121,1171,12154,14828,5466,3516,37135,2606,39741
SOSR122,824,6938,7380,2669,1667,19484,1959,21442
SOSR131,2959,41455,75429,39942,34572,194364,18011,212373
SOSR179,0,0,0,0,0,0,0,0
SOSR201,149950,631095,607348,177265,93066,1658722,81118,1739836
SOSR203,9630,57438,57303,16974,8759,150109,7574,157684
SOSR211,1873,13678,15681,4976,2526,38735,2852,41587
SOSR212,5113,35122,39755,12719,6533,99238,5897,105140
SOSR213,5803,35998,37354,11932,6290,97377,5505,102882
SOSR214,3433,23432,21911,6895,3694,59364,3684,63048
SOSR215,3863,31114,34403,12171,6691,88243,5888,94135
SOSR221,743,8119,9726,3765,2198,24554,1772,26316
SOSR222,459,4500,4974,2084,1237,13258,1107,14366
SOSR231,1894,28072,57488,32598,29444,149494,13144,162638
SOSR279,0,0,0,0,0,0,0,0
SOSR301,56152,305112,310375,98772,52420,822824,38948,861772
SOSR302,16089,124855,129755,40979,21584,333260,19853,353110
SOSR303,10595,62305,60964,18683,8846,161398,10880,172279
SOSR311,6530,38241,34691,11716,5853,97034,6449,103483
SOSR312,2902,16244,13941,4474,2177,39734,2375,42107
SOSR313,3430,22688,22832,7483,3829,60267,4208,64477
SOSR314,3085,21405,22935,8397,4583,60400,5100,65498
SOSR315,5612,35610,34484,12271,6819,94799,7997,102799
SOSR321,1972,12938,13617,5191,3141,36853,3185,40035
SOSR322,1292,7563,6315,2116,1111,18395,1834,20226
SOSR331,2932,37872,59845,30647,25085,156386,15841,172232
SOSR379,4,0,0,0,0,7,4,5
SOSR401,39518,184409,175800,54266,27997,481987,17914,499902
SOSR412,3051,14425,14008,4843,2727,39057,1987,41046
SOSR413,2721,14368,12922,4324,2278,36616,2211,38830
SOSR414,604,5062,4938,1640,907,13155,569,13723
SOSR415,2455,17118,17733,6245,3504,47059,2938,49995
SOSR421,595,4333,4804,1995,1133,12862,913,13767
SOSR422,445,2987,2974,1141,608,8150,789,8936
SOSR431,1005,11478,19938,10912,9602,52940,4012,56953
SOSR479,0,0,0,0,0,0,0,0
SOSR501,38709,267754,299337,95728,50456,751985,32892,784879
SOSR511,1258,9771,11208,3875,1859,27969,1511,29481
SOSR512,2272,16213,17104,6047,3188,44825,3620,48447
SOSR513,1245,8584,9331,3266,1650,24084,3444,27524
SOSR514,474,3763,4242,1365,652,10501,854,11356
SOSR515,1951,13477,12879,4548,2459,35303,4270,39577
SOSR521,1106,5343,4976,1931,1146,14504,2037,16534
SOSR522,1021,3285,2634,977,534,8449,1210,9655
SOSR531,1618,13824,19454,10991,10501,56381,5911,62293
SOSR579,11,0,0,0,0,13,0,13
SOSR603,6236,29770,26380,9033,5060,76476,3131,79611
SOSR611,2483,12567,11112,3875,2042,32079,1586,33667
SOSR612,1544,7543,6268,2120,1110,18585,909,19493
SOSR613,330,2072,1897,640,375,5307,274,5573
SOSR614,468,2451,2354,923,547,6752,403,7154
SOSR615,1356,9940,9564,3542,2016,26419,1451,27870
SOSR621,311,3087,3492,1336,755,8975,578,9549
SOSR622,107,1235,1448,630,411,3824,249,4077
SOSR631,598,8854,15469,8335,6571,39835,2597,42432
SOSR679,0,0,0,0,0,0,0,0
SOSR703,2872,15864,16535,5169,2389,42827,4236,47064
SOSR712,824,3612,3008,1066,522,9033,847,9878
SOSR714,172,841,672,213,97,1993,398,2392
SOSR715,1480,1311,751,175,90,3799,464,4265
SOSR721,1046,1419,626,184,126,3408,450,3855
SOSR722,1092,1404,509,172,101,3287,423,3713
SOSR731,1186,4605,3423,1584,1383,12178,2021,14198
SOSR779,7,0,0,0,0,7,3,7
SOSR802,9538,66319,64805,18287,9235,168183,6401,174586
SOSR822,0,37,86,43,28,198,13,212
SOSR831,0,33,51,25,38,152,25,176
SOSR879,0,0,0,0,0,0,0,0
SOSR915,37,183,131,64,24,438,59,497
SOSR921,25,296,263,87,54,735,100,839
SOSR922,16,48,53,23,27,167,48,215
SOSR931,10,67,83,33,13,211,50,256
SOSR979,0,0,0,0,0,0,0,0
