SOSR_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SOSR101,886617,2795520,71820,168339,154614,417248,226434,585590,92495,182892,161516,325567,195104,406240,125875,261476,8242,21265,583229,1197432,407,595,506,731,176,226,6865,14816,7950,16370,4014,8307,1708243,4603224,143964,..,1852206,4603224
SOSR102,306699,822976,31316,54451,28084,58154,59397,112606,22618,37313,10017,16979,11272,19791,5277,9361,1352,2865,50540,86303,1222,1897,1494,2211,196,209,891,1775,3803,6095,862,1526,421301,1029504,33408,..,454708,1029504
SOSR111,61361,162278,8416,14031,2482,4662,10896,18689,3311,5460,493,841,358,565,120,186,137,264,4411,7316,338,488,300,430,64,64,96,169,799,1150,183,343,77660,189780,5329,..,82988,189780
SOSR112,171366,435710,19391,31676,4922,8903,24314,40571,11378,18272,1767,2774,1566,2508,261,461,356,754,15328,24767,585,920,727,959,119,150,439,893,1866,2925,763,1281,213636,505257,19937,..,233578,505257
SOSR113,77169,191164,7663,12745,5451,10536,13115,23282,4507,6863,642,1039,825,1343,18,27,175,354,6167,9633,680,971,1000,1474,84,97,250,502,2020,3048,356,583,98827,227703,16067,..,114897,227703
SOSR114,89331,221518,9547,15236,2855,5495,12405,20729,4626,7146,654,1162,169,256,3,4,206,425,5661,9004,965,1690,845,1324,72,87,332,704,2206,3798,550,956,110153,256005,12213,..,122366,256005
SOSR115,135240,328579,7827,12519,2604,5090,10430,17616,4239,6812,313,531,25,43,0,15,356,705,4939,8100,1247,2245,1471,2304,96,147,644,1379,3457,6071,827,1443,154891,361807,25905,..,180795,361807
SOSR121,36568,92682,823,1439,446,896,1270,2338,491,808,125,207,17,27,0,4,81,164,711,1201,430,743,435,672,21,24,123,271,1009,1708,186,414,39741,98340,7244,..,46989,98340
SOSR122,19941,47168,264,419,67,148,329,571,272,548,48,143,16,27,0,0,20,43,355,767,335,530,200,310,45,77,66,126,650,1039,162,281,21442,49823,4499,..,25936,49823
SOSR131,204759,551633,1041,2495,302,756,1344,3250,334,593,9,26,7,12,23,52,417,944,781,1626,1353,2266,1313,2184,673,1136,427,1080,3768,6665,1717,3522,212373,566693,30951,..,243326,566693
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
