SOSR_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SOSR101,308998,51898,78037,1161,319,440416,354230,69919,114673,820,564,540201,121755,54577,271981,3445,1395,453150,17756,16882,22979,13,112,57741,2640,3971,8516,42,95,15259,29542,9789,32380,882,446,73034,6083,2017,4833,352,260,13540,975,451,1446,30,18,2928,178738,87692,342130,4767,2321,615655,9697,5153,11739,190,149,26926,34951,11768,36656,1008,658,85041,886617,226434,583229,7950,4014,1708243
SOSR102,112078,15717,9313,1638,165,138914,117097,10853,6907,207,84,135152,40330,15317,19487,668,215,76018,7285,5654,4321,11,24,17293,964,1287,1161,12,22,3447,12341,3179,3253,181,101,19052,1908,586,465,369,70,3395,328,142,148,29,5,659,63159,26171,28836,1272,431,119867,3143,2915,1625,79,43,7809,11216,3739,3858,611,139,19559,306699,59397,50540,3803,862,421301
SOSR111,19826,2002,720,371,45,22965,23285,1240,370,22,17,24927,9732,4460,1951,52,35,16228,1658,636,302,6,3,2598,535,366,192,0,3,1091,2481,650,306,24,13,3474,580,97,44,143,29,891,79,46,27,5,0,153,15059,6261,2813,226,81,24436,855,582,118,12,15,1580,2338,814,393,159,38,3746,61361,10896,4411,799,183,77660
SOSR112,61159,5288,2195,674,132,69457,57409,2179,949,61,58,60661,27267,8750,7109,223,106,43453,4393,1479,971,0,13,6861,1355,1242,736,15,8,3362,8063,1305,956,85,51,10467,1290,294,281,363,77,2306,221,148,92,7,4,468,42597,13224,10149,690,271,66921,2036,1593,639,40,75,4380,8168,2030,1397,404,224,12216,171366,24314,15328,1866,763,213636
SOSR113,30278,3375,1223,755,81,35705,23658,1693,464,70,22,25910,10348,4041,2256,87,26,16764,2061,831,412,0,6,3306,697,521,305,5,9,1539,3945,844,490,77,32,5387,915,150,121,457,78,1716,118,79,19,4,0,229,18093,6471,3610,625,148,28944,1063,521,291,43,35,1948,4081,1060,577,527,64,6319,77169,13115,6167,2020,356,98827
SOSR114,34391,2827,1029,952,153,39356,28687,1350,499,93,57,30682,11722,4240,2316,141,51,18463,2115,422,224,0,4,2766,733,492,182,0,15,1425,4356,838,473,74,53,5793,950,195,78,324,86,1640,130,83,37,4,7,260,20000,6271,3321,546,206,30344,1097,623,211,69,43,2045,5150,1333,600,553,94,7722,89331,12405,5661,2206,550,110153
SOSR115,55679,2635,771,1722,266,61076,42403,1068,382,188,66,44110,15215,3138,1920,219,53,20539,1756,349,194,19,7,2327,781,390,156,5,7,1338,7299,687,512,129,56,8684,1365,258,219,443,111,2404,196,48,36,10,3,293,26609,4865,3042,816,245,35580,2286,874,141,95,67,3452,8260,988,597,633,187,10664,135240,10430,4939,3457,827,154891
SOSR121,15359,288,108,583,64,16410,13129,173,67,45,30,13445,2671,368,201,25,10,3273,201,54,26,0,3,284,143,63,39,4,4,239,1853,109,89,46,16,2113,333,32,27,139,23,549,57,10,4,3,5,74,5250,632,385,215,59,6541,526,47,68,26,17,690,2295,137,82,137,16,2662,36568,1270,711,1009,186,39741
SOSR122,8571,52,73,289,45,9037,6266,41,29,28,19,6382,1227,74,71,5,4,1388,165,20,8,0,0,189,164,35,25,0,4,230,1224,17,49,20,16,1325,280,23,25,96,19,440,28,0,4,4,0,39,3089,166,183,130,41,3611,353,19,14,17,16,415,1668,42,50,190,48,1995,19941,329,355,650,162,21442
SOSR131,90171,452,201,1654,673,93157,65169,297,113,294,191,66064,9121,193,106,47,77,9541,153,9,9,7,11,184,365,17,8,0,4,401,11179,81,126,223,160,11773,3103,36,23,396,226,3784,195,3,0,16,6,220,24111,341,275,698,483,25902,8382,69,106,245,205,9002,16924,178,87,884,170,18249,204759,1344,781,3768,1717,212373
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,387301,69772,38569,1177,310,497137,466811,84571,56706,666,324,609074,167599,88357,138843,1672,567,397043,11337,9681,12298,10,30,33356,1927,2099,3611,20,38,7699,38570,15305,16916,585,214,71590,6005,1785,1819,995,125,10725,1188,543,609,28,22,2385,226620,117773,174094,3310,998,522793,13209,8742,6268,155,83,28455,45708,14695,20213,1401,355,82376,1139648,295563,295856,6708,2068,1739836
SOSR203,43858,3524,650,199,48,48281,47301,2547,477,40,58,50420,24677,6727,1992,58,61,33516,3248,1740,262,0,5,5253,646,606,124,5,11,1397,6121,1171,298,34,46,7664,542,161,51,177,23,954,168,82,11,0,0,265,35403,10492,2734,271,147,49054,1527,620,51,60,12,2270,5640,1491,339,161,25,7657,133735,18672,4254,729,296,157684
SOSR211,8728,667,40,3,4,9444,15796,589,47,0,14,16446,7455,1343,176,9,11,8996,783,334,57,0,0,1172,106,73,6,0,0,181,1442,186,25,3,0,1660,338,66,0,4,0,417,61,21,0,0,0,78,10189,2022,268,18,11,12505,265,50,8,0,4,328,2309,447,35,59,6,2856,37289,3768,399,87,43,41587
SOSR212,30204,2113,774,387,39,33516,34798,1085,410,31,28,36346,12488,3387,1547,45,24,17489,1930,743,410,3,0,3092,328,200,183,20,0,725,4016,623,296,31,24,4985,500,112,112,178,21,926,135,45,37,6,4,227,19394,5115,2581,281,74,27447,1198,363,166,108,13,1843,4353,882,441,280,30,5990,89947,9556,4368,1078,186,105140
SOSR213,32992,2158,502,449,25,36121,32902,902,169,27,27,34035,12057,2903,1217,40,16,16234,1877,963,253,4,0,3101,351,239,105,0,0,691,3830,583,163,24,17,4611,455,142,37,138,9,787,115,63,18,0,0,194,18684,4894,1796,205,45,25623,943,348,81,47,3,1422,4237,970,297,157,16,5678,89760,9269,2848,888,117,102882
SOSR214,23403,1618,128,292,45,25484,17604,540,60,33,24,18266,6678,1673,229,39,15,8635,1093,582,82,0,0,1758,164,185,62,0,0,416,2459,349,55,36,9,2913,261,74,24,142,14,510,74,46,8,3,0,128,10733,2906,461,220,46,14370,765,291,28,24,7,1113,2992,514,85,199,29,3817,55492,5865,764,771,157,63048
