SOSR_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR101,1442,8006,54226,311208,341825,111103,24543,34266,886617,685,5070,24359,30530,6106,960,221,3881,71820,597,8046,30985,74194,28255,4064,744,7731,154614,1289,13123,55337,104721,34354,5021,960,11611,226434,2406,19071,47934,14069,1583,338,199,6900,92495,2669,23343,103960,20899,962,114,118,9450,161516,4016,41139,109588,27074,1006,147,85,12049,195104,3429,35082,63318,15352,611,47,52,7982,125875,141,1128,3217,1554,922,447,181,664,8242,12659,119753,328016,78944,5089,1098,634,37041,583229,338,1781,2927,1457,294,84,46,1019,7950,253,829,1123,554,364,149,55,677,4014,15982,143498,441628,496888,381927,117460,26243,84614,1708243
SOSR102,528,4022,32707,130022,100986,22764,4521,11155,306699,134,2539,14639,11171,733,90,36,1975,31316,88,2038,8718,13746,1565,187,69,1680,28084,219,4581,23355,24919,2294,274,101,3649,59397,355,5083,10639,3992,447,82,49,1972,22618,95,1319,6073,1543,59,14,8,903,10017,127,1668,6449,2232,91,8,13,685,11272,47,913,2691,1291,71,7,6,264,5277,25,269,505,268,123,55,16,95,1352,649,9251,26355,9323,786,158,91,3915,50540,294,1101,1272,347,95,35,5,653,3803,81,222,184,140,53,14,22,139,862,1776,19181,83872,164756,104216,23246,4734,19522,421301
SOSR111,90,459,4786,26084,23561,3485,592,2308,61361,16,746,4808,1996,203,14,10,622,8416,0,340,822,949,141,29,10,198,2482,23,1090,5627,2947,341,41,20,818,10896,37,626,1755,542,35,6,4,318,3311,11,69,300,55,5,0,0,48,493,0,70,176,74,10,0,0,24,358,5,0,75,38,0,0,0,0,120,4,31,47,23,18,5,3,5,137,59,803,2351,733,58,5,5,397,4411,82,230,228,73,17,4,3,161,799,12,42,25,39,23,10,0,37,183,268,2620,13018,29883,23992,3538,619,3715,77660
SOSR112,279,1868,15878,75195,58130,10052,1907,8064,171366,80,1887,10032,5301,444,30,19,1601,19391,17,656,1787,1785,229,28,11,400,4922,102,2540,11820,7091,676,64,27,2000,24314,142,2379,6204,1340,144,17,27,1132,11378,7,218,1167,211,9,4,8,156,1767,14,188,916,349,11,0,0,80,1566,0,18,117,107,0,0,0,18,261,0,80,110,77,51,13,3,19,356,165,2884,8509,2079,217,33,32,1404,15328,188,562,478,149,47,13,19,418,1866,40,133,151,122,60,10,19,229,763,774,7983,36838,84635,59126,10174,2007,12104,213636
SOSR113,145,880,8029,35282,23840,4171,810,4011,77169,38,728,3630,2405,182,18,8,648,7663,9,398,1676,2526,400,32,4,403,5451,53,1127,5315,4931,584,54,12,1057,13115,44,894,2223,738,72,17,13,501,4507,8,56,364,164,5,4,0,37,642,8,95,416,232,15,0,5,52,825,0,0,12,3,0,0,0,0,18,11,41,50,40,22,9,0,13,175,70,1093,3065,1182,116,24,19,598,6167,160,542,535,188,45,10,0,543,2020,25,96,92,42,22,7,3,70,356,446,3735,17028,41623,24606,4272,851,6270,98827
SOSR114,205,1097,9462,40477,27610,4525,862,5087,89331,55,837,4998,2286,219,20,12,1120,9547,3,216,881,1316,188,24,8,221,2855,62,1055,5877,3596,399,44,19,1341,12405,68,771,2413,752,65,18,11,535,4626,0,53,386,157,8,3,0,50,654,0,4,101,55,0,0,0,11,169,0,0,0,0,0,0,0,0,3,5,50,63,29,31,11,8,13,206,76,875,2953,996,101,27,16,607,5661,300,663,374,197,66,17,13,573,2206,51,132,110,99,39,12,23,90,550,688,3824,18779,45367,28226,4624,937,7711,110153
SOSR115,330,2112,16138,58962,41092,7100,1416,8089,135240,55,832,3817,2085,208,20,10,799,7827,22,150,882,1166,177,25,8,162,2604,72,987,4702,3258,386,47,18,961,10430,74,789,2019,660,124,22,12,543,4239,5,49,167,62,4,6,0,28,313,0,0,16,3,0,0,0,4,25,0,3,0,0,0,0,0,0,0,13,99,96,60,43,16,7,25,356,99,939,2296,789,170,31,27,598,4939,419,975,868,323,150,33,18,668,3457,68,171,178,112,46,19,31,194,827,995,5179,24185,63436,41857,7230,1508,10515,154891
SOSR121,126,647,4068,14611,11629,2621,625,2231,36568,0,117,330,231,40,0,6,93,823,0,17,153,192,38,5,0,36,446,4,133,484,422,82,11,8,129,1270,12,101,227,70,15,0,0,64,491,0,11,76,21,0,0,0,7,125,0,0,3,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,13,28,13,12,9,0,8,81,13,125,337,119,26,11,0,82,711,116,314,301,89,33,5,8,142,1009,18,46,35,32,24,8,4,14,186,276,1267,5227,15272,11802,2662,642,2598,39741
SOSR122,109,624,2951,8313,4996,1015,290,1653,19941,0,66,98,48,10,5,0,40,264,0,3,31,19,4,0,0,8,67,0,69,131,66,13,3,0,42,329,7,69,96,38,16,3,0,38,272,0,16,12,9,3,0,0,0,48,0,10,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,12,5,3,0,0,3,20,7,96,123,50,20,4,0,44,355,87,177,103,63,16,3,3,194,650,10,29,30,27,17,0,4,48,162,218,994,3334,8519,5064,1029,298,1983,21442
SOSR131,1794,6852,20435,63569,66713,20777,7845,16786,204759,5,69,148,331,231,76,36,146,1041,0,21,54,62,88,21,13,42,302,8,85,201,389,321,103,45,189,1344,13,85,83,49,25,3,10,48,334,0,0,0,0,3,0,0,5,9,0,0,0,4,0,0,0,0,7,0,5,5,5,0,5,0,4,23,10,91,120,66,61,24,17,29,417,19,179,213,125,99,33,31,89,781,496,1068,630,357,203,61,43,906,3768,158,362,322,348,222,87,67,163,1717,2466,8538,21798,64788,67552,21054,8039,18127,212373
