SOSR_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
SOSR101,3020,9349,7753,7609,6885,5053,2630,646,42945,9526,27372,38258,17430,7838,2542,407,33,103418,10292,49559,49701,45771,46900,32822,17815,5545,258400,8927,23057,19947,18349,13353,8272,4521,1472,97899,953,3258,3208,3154,2727,1494,716,223,15738,3419,15789,11842,9417,7712,5247,2915,1053,57389,870,6585,5575,5522,5792,5615,2654,748,33358,15650,70294,74441,53021,35921,22162,8781,2155,282424,6725,26233,22703,20417,15767,11312,4779,1189,109134,5295,15503,12101,7157,4334,2430,914,243,47966,3491,10040,10125,6555,4067,2167,1058,224,37724,467,416,246,195,227,211,143,107,2014,1128,3719,4226,3721,2914,1831,898,335,18776,18899,31456,26637,19329,15596,11990,9740,6204,139855,88667,292637,286756,217647,170029,113158,57969,20189,1247051,4215,11252,10788,8161,6134,3552,1445,380,45922,2360,10210,13489,6317,3329,1129,210,11,37045,1521,10023,8911,5239,4993,2701,1704,854,35948,1734,5638,4379,2888,1653,746,270,72,17375,714,2078,1857,1417,997,552,214,50,7873,11989,43477,32521,25856,21893,14658,6778,2515,159689,5979,27838,24897,23128,19944,17335,7796,2271,129194,19638,89365
SOSR102,400,1332,1181,1166,993,1025,527,96,6723,825,2473,2898,1685,1025,475,86,14,9470,3057,11856,11708,12860,14909,12646,7140,2090,76258,2949,6786,6187,5909,5066,3653,2061,653,33269,391,1214,1239,1341,954,582,280,71,6082,707,3129,2955,2606,2257,1519,642,188,13997,299,1948,2050,1889,2181,2560,1012,280,12228,1871,6147,7608,7204,5944,4507,1995,423,35703,1350,3848,3871,3804,3041,2390,1022,231,19555,1082,2000,1763,1163,783,507,209,48,7554,1000,2077,2074,1819,1232,846,485,95,9621,76,52,27,21,18,42,21,21,273,254,555,722,788,616,422,256,70,3689,3790,4524,4150,4061,3679,3522,3586,2295,29603,18056,47950,48431,46323,42693,34705,19320,6566,264039,465,1369,1298,1180,935,633,223,40,6147,128,588,639,606,491,284,75,4,2827,256,978,862,862,789,553,368,204,4873,227,617,591,401,305,135,42,8,2320,272,569,615,459,343,157,48,12,2482,3108,10551,9093,8303,8079,5327,2268,693,47424,1597,6411,6781,6146,5839,5590,2174,570,35104,3707,11403
SOSR111,44,150,150,141,130,163,60,16,858,115,406,366,170,142,74,21,0,1292,712,2653,2355,2246,2371,1922,1036,245,13548,447,1039,817,726,775,597,311,110,4832,68,257,290,287,230,183,95,32,1441,125,527,524,498,338,240,105,28,2373,44,315,348,344,344,461,206,33,2107,271,1053,1286,1183,947,716,283,76,5807,190,619,635,625,406,383,136,31,3023,118,217,213,132,91,75,25,3,882,170,538,492,370,233,143,83,21,2049,19,16,12,0,6,5,0,0,60,43,114,136,135,107,80,52,9,676,746,938,876,785,682,589,572,338,5525,3093,8843,8505,7653,6811,5633,2972,951,44460,46,173,191,173,132,89,25,10,848,10,108,98,68,89,56,3,6,436,43,170,158,119,112,64,41,23,728,34,85,89,50,35,18,8,0,317,59,145,144,129,74,27,6,0,580,597,1972,1668,1429,1450,1095,463,126,8806,312,1211,1292,1092,1003,877,404,105,6295,695,2300
SOSR112,120,429,435,480,469,494,276,79,2776,320,938,950,548,395,260,43,7,3452,1556,5565,4809,4931,5549,4944,3051,844,31241,1216,2739,2365,2090,2221,1834,972,318,13760,259,863,903,970,825,602,378,104,4902,308,1570,1399,1117,1088,841,390,137,6858,121,764,891,1011,1107,1301,576,172,5947,682,2886,2873,2815,2546,2138,1056,273,15265,543,1763,1736,1833,1643,1395,638,188,9731,270,676,624,504,427,367,150,37,3045,537,1424,1223,932,616,475,231,62,5485,52,62,31,19,21,18,7,8,208,116,309,349,335,334,256,128,49,1881,3133,4103,3471,3031,2424,2168,1981,1158,21469,9228,24075,22061,20610,19669,17078,9869,3440,126028,158,584,528,442,364,289,143,29,2527,38,269,218,192,231,143,41,4,1136,111,365,341,292,299,209,159,90,1864,63,184,194,160,125,72,35,5,838,250,480,402,347,268,147,62,16,1974,1654,5327,4130,3626,4121,3258,1542,594,24253,752,3076,3161,3077,2864,2838,1411,449,17633,1618,5496
SOSR113,28,144,146,173,163,222,120,29,1027,95,253,283,188,153,105,35,4,1115,795,2751,2518,2699,3249,3059,1645,421,17133,449,1110,1047,1031,1170,954,540,139,6446,103,287,309,322,291,228,119,22,1681,100,427,440,441,517,353,154,50,2482,48,276,319,358,443,697,273,73,2493,254,893,1055,1005,1073,1040,469,108,5895,158,587,586,650,598,561,221,54,3427,114,253,218,211,140,127,48,12,1139,228,560,546,453,336,242,133,10,2501,23,15,6,3,4,3,4,0,64,53,124,143,169,138,126,61,27,850,1307,1637,1470,1358,1263,1231,1041,548,9864,3751,9318,9095,9057,9547,8952,4870,1498,56089,40,169,172,144,139,109,45,18,834,17,59,61,90,98,79,33,0,423,58,211,165,145,148,104,67,48,943,22,101,53,66,48,35,9,7,341,67,145,146,133,108,53,26,0,672,436,1704,1544,1580,1811,1430,713,210,9430,254,1167,1201,1141,1273,1308,572,151,7065,685,2225
SOSR114,21,148,177,187,188,214,128,16,1082,106,324,382,205,167,109,29,3,1316,912,2877,2529,2732,3189,2938,1766,463,17400,597,1540,1275,1133,1272,1060,515,165,7556,169,478,502,538,509,411,241,76,2921,104,445,477,439,446,314,159,56,2433,71,343,405,430,492,716,296,76,2838,280,1010,1251,1081,1053,1030,496,112,6305,180,668,771,744,616,568,240,69,3867,108,260,231,186,148,139,56,21,1146,195,525,539,478,378,245,102,34,2499,22,25,3,0,8,7,0,3,77,60,128,139,145,162,141,57,22,858,1292,1571,1498,1453,1419,1484,1192,608,10513,4106,10342,10160,9766,10049,9373,5286,1712,60797,56,194,235,186,155,138,55,10,1021,14,84,115,105,108,84,30,5,529,65,171,165,134,134,126,81,58,923,34,92,88,78,59,43,14,5,405,156,301,234,159,129,68,23,8,1069,642,1924,1658,1678,1912,1648,816,267,10538,384,1566,1569,1423,1439,1472,690,180,8731,733,2386
SOSR115,63,220,246,280,334,396,211,33,1779,134,379,412,284,230,177,47,3,1675,1235,3919,3723,3982,5007,5068,2657,636,26225,879,2082,1916,1844,2024,1734,816,237,11527,202,615,731,714,718,599,301,81,3966,145,563,546,633,730,576,235,46,3479,66,468,576,686,840,1190,431,92,4360,344,1124,1476,1558,1645,1602,735,133,8627,239,825,1048,1086,1027,1023,397,75,5726,174,396,410,328,304,283,106,22,2025,282,683,724,633,544,388,175,38,3458,28,16,24,3,5,14,6,8,109,69,153,216,243,257,249,105,38,1330,1905,2161,2071,2164,2270,2312,1849,825,15561,5762,13615,14121,14446,15941,15617,8071,2279,89847,65,260,309,295,290,248,79,29,1576,22,86,110,102,153,114,37,3,638,92,243,188,230,214,188,119,68,1338,40,137,145,140,81,64,23,0,635,157,313,317,332,264,139,50,14,1580,722,2639,2317,2450,3230,2511,1134,365,15364,499,2097,2334,2146,2422,2360,939,243,13027,805,2901
SOSR121,14,46,74,96,118,135,45,7,533,38,81,112,77,82,54,13,0,447,285,956,1069,1310,1518,1497,600,130,7372,246,523,574,641,697,543,184,44,3458,48,171,212,242,227,163,75,9,1148,32,143,167,195,216,174,54,16,995,17,108,162,207,282,398,132,23,1328,79,233,410,511,529,450,160,15,2393,59,223,287,314,312,284,116,11,1611,52,95,114,87,82,80,40,14,560,59,155,178,178,152,111,50,11,900,0,3,5,8,3,10,0,0,27,14,49,57,49,84,59,21,3,340,471,443,479,518,539,664,419,181,3707,1424,3236,3911,4438,4835,4622,1899,457,24818,26,64,91,92,131,59,22,4,492,6,14,19,34,50,24,7,0,160,23,51,56,90,75,65,15,12,379,15,38,43,28,35,15,3,0,187,42,83,112,92,73,26,15,0,453,197,620,686,827,960,723,206,50,4273,117,479,617,697,728,672,195,45,3543,250,742
SOSR122,10,24,36,42,49,67,28,4,255,17,53,43,45,38,33,7,0,229,172,488,505,641,838,763,304,52,3769,118,250,256,284,337,333,91,21,1703,40,76,114,130,143,102,35,5,642,15,57,81,80,112,67,28,8,457,6,54,67,81,145,161,40,8,563,31,136,185,247,308,187,81,7,1190,22,107,136,177,193,146,61,4,847,12,56,49,64,65,47,28,0,322,44,91,84,105,72,63,24,3,485,5,3,0,0,0,5,0,0,12,8,26,27,49,53,39,16,3,218,330,320,353,439,535,472,284,80,2808,833,1743,1935,2382,2886,2482,1036,189,13487,5,39,41,53,50,46,3,6,244,5,11,11,12,33,16,0,0,85,12,35,34,52,51,33,13,3,224,3,22,27,18,21,15,5,0,113,28,67,62,62,60,31,3,0,314,89,271,303,306,517,367,117,25,2004,60,245,252,298,344,305,84,15,1598,102,325
SOSR131,121,327,401,652,766,920,336,57,3582,210,366,519,531,488,281,41,0,2439,2139,5381,6392,8674,10168,7693,3069,541,44059,1556,2781,3181,3858,3970,2650,1059,185,19244,715,1588,2192,2839,2888,1970,736,126,13050,164,542,699,1070,1305,1149,424,75,5430,83,396,659,918,1258,1617,475,72,5480,521,1416,2272,3262,3325,2544,870,112,14319,413,978,1236,1754,1816,1731,557,88,8579,255,502,506,501,514,473,148,16,2915,333,601,777,928,813,488,198,35,4175,28,19,10,17,16,16,4,3,117,117,200,292,467,461,374,150,28,2097,3705,3524,3952,4542,4968,4286,2363,643,27985,10361,18614,23083,30016,32775,26206,10421,1990,153464,135,417,578,819,747,526,152,24,3393,24,90,173,268,324,184,39,0,1101,131,316,337,489,474,325,142,53,2263,88,211,253,298,222,129,33,0,1238,570,1140,1158,1248,1085,458,135,21,5813,1140,3203,3757,4599,5754,3948,1366,243,24004,563,2322,3512,3985,4223,3791,1157,177,19732,1338,3688
