SOSR_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
SOSR101,96178,70425,45498,24424,8990,2851,357361,14171,49406,47348,38549,27418,15405,5255,1240,198793,8531,24691,18192,11626,6520,3237,1426,525,74750,6907,15233,13871,10904,6425,3717,1540,388,58984,402,337,231,250,336,307,252,281,2397,1341,4415,5134,4313,2760,1810,782,345,20904,15488,27509,23002,16553,13815,12553,12067,11823,132809,94995,321466,300802,225620,161709,102125,48731,23603,1279060,7233,20604,18539,15764,13018,8607,4068,1029,88866,11885,37581,51745,23743,11172,3665,617,43,140469,11821,59584,58615,51014,51885,35522,19516,6395,294349,10661,28694,24326,21239,15001,9018,4790,1545,115272,1674,5336,5064,4572,3717,2043,931,273,23616,15407,59264,44359,35271,29606,19906,9690,3570,217084,6854,34422,30475,28646,25730,22950,10450,3025,162553,35281,159662,170618,123450,81416,46584,17774,5007,639786,20895,75643,70058,58964,43188,26719,10036,2434,307926,13832,40193,30288,18781,10848,5665,2334,766,122720,10399,25271,23992,17464,10496,5885,2600,616,96712,865,751,478,442,565,521,399,386,4408,2469,8136,9362,8038,5669,3642,1679,682,39677,34391,58966,49648,35881,29409,24542,21814,18026,272672,183661,614105,587561,443266
SOSR102,13717,13045,10555,6778,2620,723,62544,3851,9577,9665,9227,7682,4226,1342,259,45820,1464,3228,2827,1959,1231,785,390,113,11997,2383,4406,3826,3367,2285,1473,609,162,18516,82,53,35,44,51,49,36,26,371,202,494,622,636,493,307,146,62,2965,3381,3956,3766,3372,3349,4102,4995,4487,31415,21119,54198,54339,49613,42435,30397,15339,7369,274808,868,2701,2486,2341,1925,1666,750,132,12871,953,3067,3535,2291,1515,758,162,16,12304,3312,12838,12568,13720,15696,13203,7505,2295,81130,3178,7404,6779,6313,5371,3784,2102,659,35591,661,1785,1857,1805,1304,744,333,83,8567,3808,13679,12050,10906,10337,6844,2907,883,61421,1898,8356,8824,8042,8017,8154,3190,851,47330,5579,17556,21324,20251,16500,11288,4618,1144,98255,5199,13419,13539,13029,10723,6618,2362,490,65375,2547,5230,4589,3123,2012,1294,603,159,19555,3379,6491,5899,5184,3516,2320,1093,259,28137,159,98,59,65,76,86,55,46,643,460,1048,1346,1424,1110,731,402,135,6654,7178,8475,7914,7435,7029,7621,8581,6783,61023,39173,102151,102767,95929
SOSR111,2426,2302,1811,1059,398,107,11105,620,1734,1752,1596,1283,732,216,36,7963,158,394,334,242,186,142,54,17,1522,507,1110,817,640,383,249,97,35,3834,31,21,3,12,9,5,0,0,85,33,93,99,91,57,59,19,7,455,664,866,791,616,658,707,866,620,5779,3810,10383,9862,8551,7278,5183,2602,1070,48748,87,319,341,313,267,255,91,24,1702,117,513,466,240,230,125,22,5,1725,760,2820,2511,2374,2488,1984,1076,267,14269,477,1122,902,780,811,621,323,110,5143,128,402,432,419,301,213,98,32,2023,722,2494,2194,1928,1789,1336,564,160,11177,355,1529,1644,1431,1350,1339,610,133,8395,968,3352,3717,3483,2756,1780,678,180,16915,811,2348,2389,2223,1686,1114,345,67,10986,274,616,550,375,278,219,81,24,2409,679,1653,1305,1008,614,390,179,52,5883,49,35,20,9,14,7,4,0,139,75,212,233,225,166,137,66,13,1126,1410,1804,1668,1401,1332,1291,1434,961,11311,6903,19223,18367,16200
SOSR112,5275,5422,4886,3509,1520,452,28188,1669,4448,4374,4239,3803,2387,822,157,21906,399,1062,995,851,695,541,252,80,4878,1243,2427,1929,1476,1017,700,298,73,9162,81,64,33,18,20,13,21,9,255,96,273,307,303,245,163,84,33,1496,2543,2650,2311,2197,2043,2356,2713,2215,19027,10685,26704,24197,22643,20988,16617,9100,4212,135143,275,1006,963,922,838,780,420,111,5309,356,1200,1172,745,623,404,75,11,4586,1667,5934,5150,5224,5849,5150,3209,938,33107,1279,2921,2563,2250,2345,1902,1009,329,14604,515,1350,1305,1312,1097,752,436,115,6877,1966,6899,5533,4742,5213,4095,1926,732,31111,875,3841,4054,4084,3976,4139,1984,627,23578,2296,8385,8142,8241,7431,5640,2579,727,43454,2216,6214,6110,6072,5441,3781,1463,341,31639,663,1733,1618,1355,1120,911,403,119,7925,1781,3843,3149,2404,1635,1173,527,137,14647,133,121,64,43,41,24,27,10,462,211,577,653,640,582,417,212,86,3380,5680,6753,5782,5230,4471,4528,4696,3368,40500,19911,50780,46256,43250
SOSR113,2305,2287,2335,1679,665,195,12379,651,1741,1831,1842,1754,1081,290,61,9248,143,501,462,298,257,205,84,28,1970,566,1146,922,745,510,358,141,40,4422,19,14,3,10,18,3,4,3,88,35,88,105,118,111,67,37,11,563,989,1238,1067,1066,1072,1287,1367,1134,9228,3990,10505,10026,9664,9681,7792,4051,1894,57608,67,316,321,322,306,327,165,49,1865,105,312,342,271,250,186,62,4,1531,852,2963,2685,2841,3396,3166,1706,467,18076,470,1213,1099,1099,1224,984,550,146,6782,171,428,456,452,399,283,136,24,2352,532,2131,1987,2027,2325,1780,870,263,11907,297,1448,1521,1503,1719,2003,845,221,9559,936,3117,3358,3296,3409,2718,1131,303,18275,810,2327,2421,2491,2356,1643,509,109,12676,259,753,683,507,398,333,133,38,3110,798,1702,1462,1199,843,597,274,46,6920,43,30,11,13,25,10,18,3,147,89,210,244,286,249,191,103,32,1408,2299,2878,2541,2423,2337,2520,2409,1688,19092,7739,19823,19119,18720
SOSR114,2638,2573,2399,1726,718,201,13369,750,2044,2008,1967,1843,1118,324,63,10120,143,421,470,329,279,194,108,34,1969,602,1201,970,738,576,412,188,51,4739,19,25,9,6,3,13,3,3,85,40,111,116,135,114,66,44,10,620,1094,1348,1232,1169,1339,1390,1583,1102,10258,4729,11860,11495,10668,10473,8491,4662,1994,64379,78,342,409,373,343,348,183,26,2098,124,403,488,307,271,186,54,3,1842,972,3049,2694,2867,3319,3061,1847,517,18324,628,1629,1356,1218,1328,1102,531,162,7959,320,776,736,699,636,478,261,81,3986,747,2362,2130,2120,2357,1962,971,318,12971,452,1915,1972,1854,1934,2188,984,255,11567,1011,3397,3886,3648,3451,2757,1210,317,19677,931,2713,2780,2713,2463,1687,562,135,13983,246,678,697,514,422,332,166,55,3118,795,1725,1510,1213,953,660,297,90,7239,41,52,8,5,8,21,6,5,160,93,237,250,284,270,205,103,32,1476,2387,2918,2726,2620,2757,2876,2775,1710,20770,8842,22197,21656,20429
SOSR115,3432,3478,3552,2650,1007,265,18093,888,2523,2817,2907,3120,1909,550,71,14792,232,669,723,638,565,417,159,48,3450,749,1503,1295,1088,826,579,216,52,6306,19,20,17,14,21,18,12,9,131,56,117,160,226,179,155,60,19,970,1595,1714,1749,1803,1911,2279,2294,1532,14885,5943,15241,15908,15842,16829,13628,6673,2720,92786,127,485,550,569,624,648,285,55,3357,159,466,528,392,390,291,82,9,2308,1324,4165,3907,4204,5221,5259,2778,703,27561,914,2218,2063,1986,2107,1798,837,235,12163,355,935,1047,1051,986,739,352,98,5556,860,3204,2863,3086,3961,3091,1368,415,18843,563,2567,2918,2829,3255,3550,1367,335,17386,1146,4030,4907,5039,5203,4247,1748,397,26716,1133,3351,3865,3989,4150,2936,946,144,20517,410,1069,1131,967,865,700,265,69,5475,1031,2185,2019,1719,1368,960,392,96,9766,47,41,35,19,30,29,19,15,243,121,276,371,465,433,410,168,54,2298,3500,3872,3824,3967,4184,4602,4143,2360,30446,11706,28847,30032,30289
SOSR121,964,1055,1132,753,227,39,5166,223,619,787,860,828,512,106,13,3959,74,185,197,211,144,98,41,3,951,195,359,370,333,232,150,55,5,1711,8,4,0,8,3,0,0,0,21,17,30,47,58,46,34,19,4,263,427,405,449,419,516,568,489,252,3523,1629,3698,4440,4811,4951,3699,1406,442,25074,37,112,171,193,249,192,67,12,1030,42,96,131,116,127,77,15,0,610,305,1008,1124,1402,1594,1562,613,138,7750,264,563,618,673,735,561,188,45,3645,93,257,319,334,293,194,86,15,1595,229,762,856,1023,1170,897,260,67,5261,131,584,781,907,1010,1068,325,64,4871,330,982,1376,1564,1661,1201,387,57,7559,289,844,1075,1169,1142,800,219,27,5565,123,282,311,299,229,175,84,14,1516,259,517,550,512,388,259,103,13,2604,9,10,5,13,6,10,0,0,48,39,79,107,118,129,91,40,11,600,898,850,933,936,1046,1223,907,437,7232,3055,6932,8356,9243
SOSR122,453,596,610,333,94,16,2544,104,324,376,415,469,292,69,7,2052,39,91,112,86,125,68,25,6,554,102,179,144,187,126,85,25,7,855,4,0,0,3,3,0,0,0,13,11,20,26,34,46,28,3,0,160,287,299,319,385,400,431,251,112,2490,857,1914,2154,2506,2861,2071,698,187,13243,15,61,76,99,97,113,32,6,501,16,57,51,61,66,48,8,0,312,185,520,539,695,886,799,314,54,3998,127,268,283,310,364,348,98,21,1816,61,140,174,185,213,135,43,3,953,107,331,380,391,635,438,146,33,2459,67,297,312,374,491,470,127,26,2159,139,462,643,845,917,518,176,23,3726,130,430,510,589,659,441,126,14,2899,56,150,158,154,190,120,50,6,873,146,274,232,286,200,149,48,6,1338,4,3,0,3,6,3,0,0,25,15,41,50,80,94,71,15,6,378,615,618,676,821,941,904,529,192,5293,1689,3662,4088,4886
SOSR131,5822,7494,6683,3765,1049,170,30010,1245,2932,3655,4657,4531,2630,570,78,20294,436,1026,1159,1179,1089,687,225,58,5867,961,1734,1683,1910,1353,754,213,24,8635,39,12,6,22,23,12,5,0,132,78,184,306,418,387,245,78,15,1714,2921,2517,3174,3810,4124,3489,2097,747,22876,9665,19790,25592,31196,31012,20951,7257,1607,147074,257,740,979,1474,1511,1451,490,79,6975,234,461,694,798,816,462,84,0,3541,2269,5697,6727,9168,10642,8016,3209,595,46328,1644,2993,3434,4157,4191,2783,1089,185,20481,1281,2729,3354,4083,3974,2428,869,141,18862,1304,3743,4455,5668,7060,5098,1794,316,29434,640,2712,4173,4899,5485,5414,1636,249,25211,1864,5100,8096,10754,10011,6310,1924,280,44329,1661,3908,4890,6413,6346,4353,1124,169,28866,691,1528,1664,1680,1605,1159,370,82,8783,1292,2339,2463,2844,2169,1244,412,61,12813,67,30,22,42,38,31,8,8,245,197,386,602,885,851,625,221,45,3808,6624,6044,7123,8354,9090,7778,4457,1391,50860,20027,38407,48669,61212
