SOSR_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR101,331741,215282,106697,43800,2526109
SOSR102,85126,65106,34662,13932,538847
SOSR111,14089,10820,5576,2026,93209
SOSR112,40656,33693,18969,7649,261173
SOSR113,19230,16746,8923,3396,113694
SOSR114,20522,17863,9949,3710,125171
SOSR115,32773,29240,14747,4997,182634
SOSR121,9790,8320,3307,903,49893
SOSR122,5752,4548,1726,373,26727
SOSR131,63787,47152,17683,3599,300541
SOSR179,12,0,0,0,15
SOSR201,306410,199655,100077,39268,2431279
SOSR203,26482,20215,10552,4223,193361
SOSR211,5717,4000,1652,407,49845
SOSR212,18980,14015,7021,2944,127312
SOSR213,17498,14295,7952,3155,116245
SOSR214,11438,10977,6112,2322,69291
SOSR215,18601,16145,7958,2806,108365
SOSR221,6041,4961,2180,704,30601
SOSR222,3660,2651,1043,302,18902
SOSR231,45272,33001,12113,2323,214545
SOSR279,147,17,0,0,530
SOSR301,154405,100299,47881,17024,1188376
SOSR302,71649,56172,29774,10326,480900
SOSR303,32831,22552,10492,3188,220162
SOSR311,18752,14641,7923,2690,117226
SOSR312,7860,6647,3617,1214,46257
SOSR313,11855,8758,3926,1114,76894
SOSR314,12155,9063,4385,1410,80866
SOSR315,22360,18236,7656,2180,126842
SOSR321,9358,7830,3205,547,47535
SOSR322,4919,4274,1581,290,22684
SOSR331,48083,34122,11979,1921,235260
SOSR379,27,12,0,0,308
SOSR401,88799,66546,32957,12394,622078
SOSR412,6734,4813,2565,960,43922
SOSR413,7030,6446,3320,1040,41081
SOSR414,2394,2568,1404,427,14643
SOSR415,8934,7777,3941,1411,52814
SOSR421,2809,2344,1058,431,14697
SOSR422,1978,1675,666,144,8856
SOSR431,14808,10521,3684,641,72044
SOSR479,5,0,0,0,28
SOSR501,142892,99255,48913,18211,1033862
SOSR511,5364,3643,1714,632,34279
SOSR512,9094,6401,3155,1236,56712
SOSR513,6123,3577,1299,253,42240
SOSR514,2031,1687,808,285,13331
SOSR515,7787,6204,2601,818,47786
SOSR521,3655,2770,1127,286,19379
SOSR522,2079,1842,681,153,10686
SOSR531,21451,13598,4235,628,112651
SOSR579,465,123,24,0,2853
SOSR603,14466,11527,5941,2194,105633
SOSR611,5680,4237,2392,838,39310
SOSR612,3212,2452,1357,497,19838
SOSR613,1008,832,474,152,5583
SOSR614,1335,967,490,131,7235
SOSR615,4851,4273,2309,739,29076
SOSR621,2133,1766,838,202,10822
SOSR622,1002,887,374,114,4628
SOSR631,11460,8111,2799,501,53447
SOSR679,70,27,4,0,303
SOSR703,10189,6484,2029,384,74718
SOSR712,2368,1468,365,77,14681
SOSR714,618,355,82,15,3865
SOSR715,879,338,63,4,5822
SOSR721,988,501,90,3,5108
SOSR722,941,754,126,12,4465
SOSR731,4667,3581,752,55,24164
SOSR779,96,35,6,0,406
SOSR802,33411,23878,11803,3939,262713
SOSR822,52,41,15,4,335
SOSR831,54,42,4,0,398
SOSR879,0,0,0,0,0
SOSR915,151,102,19,0,947
SOSR921,258,179,82,24,1021
SOSR922,98,53,27,0,539
SOSR931,71,70,43,8,649
SOSR979,0,0,0,0,0
