SOSR_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
SOSR101,7161,41762,187205,210809,165664,105878,23007,1960,117,743562,22275,38801,57113,42568,34994,33401,18231,3931,341,251650,9936,16777,26115,20638,17559,16326,5670,812,79,113918,719,2668,7201,5286,3254,2151,656,177,44,22158,40091,100020,277631,279298,221468,157757,47561,6876,582,1131287,1741,5696,11304,8991,7768,6285,1028,47,3,42871,5342,5460,4348,1963,1738,2348,1032,147,10,22396,7089,11157,15658,10952,9506,8626,2061,193,17,65264,47177,111176,293286,290253,230982,166388,49620,7070,599,1196549,81490,40099,54488,44881,46893,70044,119997,83637,29825,571359,5839,9555,23857,19015,13695,11296,8564,7195,5150,104175,134508,160833,371633,354148,291570,247729,178179,97904,35578,1872081,3466,38591,160975,139718,120113,69139,11683,584,33,544298,26487,42180,72748,84343,70963,54310,18535,2296,149,372014,11528,16415,29634,23650,16460,14199,4399,504,43,116839,614,1988,5081,3431,2233,1530,490,148,58,15583,42093,99180,268439,251149,209774,139180,35104,3536,277,1048730,991,3315,7259,5886,4827,3072,299,17,0,25677,5174,4706,5581,4752,3688,3238,694,43,5,27881,6168,8023,12838,10636,8522,6307,994,57,10,53555
SOSR102,3903,11873,37095,40075,38685,26596,4351,304,18,162900,8428,9013,10706,8346,8128,8896,4527,788,60,58892,1968,2334,3215,2652,2683,2807,917,115,17,16714,219,481,1067,752,624,417,117,58,20,3754,14512,23696,52086,51831,50121,38706,9912,1272,119,242252,793,1431,2047,1389,1566,1303,167,11,0,8711,1648,910,684,398,379,573,228,23,4,4841,2437,2343,2723,1790,1948,1880,395,36,3,13551,16951,26035,54810,53622,52067,40586,10305,1300,122,255809,13024,5444,6725,6367,9064,19214,40317,28810,9543,138505,1368,1649,3393,2956,2771,2467,2378,2352,1695,21020,31344,33128,64933,62944,63902,62271,52997,32466,11358,415334,1645,8848,24710,22781,26223,15796,2159,95,4,102261,11213,11605,18926,23375,21256,18354,4912,453,23,110123,2697,2991,6353,4363,3273,3193,922,93,16,23900,235,385,794,560,505,333,109,52,16,2998,15792,23824,50786,51075,51265,37674,8107,703,58,239277,445,715,912,759,799,516,50,4,7,4212,1684,854,933,878,794,762,173,13,3,6099,2131,1573,1845,1638,1593,1275,226,21,11,10308
SOSR111,880,2609,7828,7731,6956,4916,915,54,6,31887,1751,1349,1858,1447,1322,1451,917,135,12,10248,204,155,310,273,304,344,118,22,3,1729,63,102,211,154,104,81,25,11,5,749,2898,4215,10206,9603,8685,6791,1977,219,22,44615,195,249,405,299,292,239,38,0,0,1705,305,141,153,82,66,93,52,0,0,892,500,386,554,376,360,331,88,0,0,2600,3400,4602,10765,9982,9048,7121,2060,220,22,47211,2135,752,1104,1150,1558,2967,6964,4758,1475,22859,294,269,710,632,560,474,399,377,246,3950,5823,5622,12575,11760,11158,10567,9418,5354,1745,74028,408,1821,4760,4482,4892,2981,377,18,0,19737,2488,1990,4163,4497,3909,3433,1007,83,0,21566,293,254,904,488,353,356,110,10,3,2769,34,79,155,98,83,74,20,12,3,573,3219,4146,9986,9562,9243,6842,1518,124,13,44645,99,151,181,163,165,111,5,0,0,883,335,160,190,208,177,162,30,0,0,1259,435,310,372,374,342,276,36,0,3,2142
SOSR112,2545,6671,19792,18378,17546,13522,2909,251,23,81637,4385,3215,4640,3599,3495,4376,2842,639,49,27236,475,444,888,764,765,928,360,51,12,4696,157,292,570,375,321,245,98,43,16,2116,7561,10622,25892,23112,22121,19068,6210,987,104,115683,452,691,1022,743,691,591,99,0,0,4287,712,383,328,199,220,256,133,19,5,2260,1163,1073,1352,944,914,850,229,21,9,6551,8729,11692,27242,24057,23035,19919,6435,1009,104,122234,6338,2805,4519,4104,4875,8553,19736,14862,5227,71015,1058,1139,2246,1838,1794,1553,1409,1283,833,13142,16123,15639,34000,29998,29699,30023,27579,17160,6165,206389,1174,4827,12653,11523,12918,8879,1407,71,4,53458,5909,4794,9868,10142,9376,8937,3231,367,20,52636,659,752,2186,1195,946,1131,412,53,3,7344,157,230,419,290,230,185,82,55,14,1655,7898,10596,25127,23150,23466,19122,5139,546,44,115094,221,342,482,350,410,282,26,0,0,2111,702,426,523,451,344,419,100,8,3,2973,923,771,1003,800,747,696,124,10,3,5082
SOSR113,1029,2627,7302,7337,7353,5752,1120,100,6,32620,1802,1205,2047,1601,1742,2170,1287,237,20,12106,254,156,440,374,397,513,201,25,5,2362,85,124,276,200,172,133,51,21,5,1077,3161,4116,10059,9511,9669,8570,2659,378,40,48171,245,346,489,373,383,326,47,5,0,2200,299,148,149,88,110,137,73,3,0,1022,546,493,638,458,493,469,115,8,0,3221,3709,4604,10693,9971,10161,9037,2779,391,37,51390,2669,987,1771,1774,2398,5031,11151,7736,2472,35982,468,447,1004,925,902,845,756,647,340,6316,6843,6035,13469,12667,13455,14909,14687,8769,2850,93686,432,1648,4296,4102,4957,3438,543,30,4,19457,2311,1827,4230,4655,4432,4352,1285,124,4,23231,319,283,908,565,480,557,173,19,0,3312,74,89,231,171,128,123,38,25,3,880,3148,3847,9666,9496,9997,8475,2043,193,15,46874,135,153,237,214,200,153,6,0,0,1094,290,160,224,203,185,221,32,3,0,1327,420,319,461,419,383,371,40,4,0,2420
SOSR114,1268,3192,9024,8854,8546,6705,1482,171,12,39250,1986,1284,1908,1665,1765,2304,1452,340,45,12747,232,207,462,378,434,554,192,35,0,2507,84,127,282,205,166,185,70,32,11,1154,3571,4813,11678,11110,10907,9747,3196,573,71,55659,191,305,440,320,334,336,42,0,0,1966,246,142,119,82,95,174,65,5,0,929,441,449,558,394,426,509,101,5,5,2899,4004,5262,12240,11504,11336,10252,3299,586,74,58560,2817,866,1375,1443,2172,4869,11771,8838,3018,37164,454,558,1161,1107,1039,994,997,690,397,7393,7270,6686,14775,14059,14552,16114,16064,10112,3490,103126,570,2281,5335,5305,6050,4213,678,34,0,24469,2647,2103,4543,5036,4716,4908,1515,178,12,25649,299,339,1144,639,479,602,195,22,0,3712,85,94,186,147,137,115,43,21,14,849,3605,4818,11204,11126,11383,9830,2430,258,22,54678,124,165,240,197,193,148,29,5,0,1095,305,153,259,210,196,198,51,8,0,1378,427,320,494,404,391,348,81,9,0,2477
SOSR115,1947,4153,11356,11614,11926,9741,2213,225,23,53197,2452,1721,2585,2447,2749,3834,2345,452,30,18615,354,359,640,666,710,920,391,58,8,4106,132,189,386,328,302,254,85,40,18,1724,4887,6427,14965,15052,15688,14749,5037,781,78,77649,262,397,534,447,509,498,77,4,0,2730,341,170,189,120,169,230,99,8,0,1334,602,563,725,564,677,731,176,15,0,4058,5490,6992,15692,15613,16360,15482,5213,793,78,81705,4081,1203,1974,2210,3224,7807,19263,12846,3873,56476,723,712,1484,1381,1455,1586,1508,1195,570,10610,10297,8905,19154,19205,21037,24867,25978,14829,4523,148791,803,2536,6470,6759,8426,5969,983,50,3,31997,3496,2672,6230,7254,6993,7561,2409,255,12,36883,503,444,1454,966,767,978,307,29,3,5463,145,137,297,211,221,203,93,31,17,1345,4952,5795,14446,15190,16408,14715,3795,362,33,75695,142,194,280,241,304,212,30,0,0,1405,343,193,289,254,319,379,74,10,0,1867,488,386,569,491,622,591,99,10,4,3266
SOSR121,487,999,2727,3271,3634,2914,635,78,3,14742,776,487,623,629,866,1138,680,118,9,5323,109,88,142,162,214,292,131,16,0,1153,46,51,91,94,94,72,36,14,0,492,1417,1617,3586,4157,4807,4422,1483,214,13,21719,68,96,114,102,139,151,20,6,0,695,88,50,47,37,36,94,37,0,0,385,158,149,157,137,170,242,66,4,0,1076,1574,1761,3745,4291,4980,4666,1543,221,13,22791,1211,298,494,530,826,2245,5169,2981,728,14493,181,157,353,349,370,395,438,261,135,2629,2958,2223,4589,5172,6170,7305,7149,3465,876,39913,205,583,1471,1875,2475,1679,297,18,4,8601,1052,704,1569,2028,2233,2192,685,70,4,10528,149,128,330,257,229,268,88,12,0,1462,32,28,80,52,62,55,18,3,0,339,1435,1442,3443,4210,4999,4189,1084,106,16,20930,38,51,77,50,62,63,0,0,0,353,125,39,80,81,83,95,14,0,0,525,167,90,156,135,147,155,20,0,0,875
SOSR122,219,542,1377,1554,1765,1637,370,38,5,7500,301,247,361,327,454,638,362,75,12,2772,62,47,78,89,118,190,48,14,0,648,16,16,39,60,51,68,24,3,0,274,600,848,1853,2032,2388,2532,805,126,17,11191,38,60,89,58,84,113,20,0,0,458,37,29,22,16,25,45,17,0,0,191,74,88,115,72,107,160,37,0,0,650,670,930,1969,2108,2493,2686,843,124,17,11844,598,165,268,295,585,1400,2855,1609,369,8142,155,110,278,292,368,420,346,200,42,2218,1424,1208,2513,2693,3449,4513,4048,1935,435,22203,81,324,730,895,1261,970,159,16,0,4450,423,371,772,929,1009,1189,353,44,0,5081,65,63,178,123,121,174,54,0,0,775,19,21,34,37,35,24,17,0,0,181,583,773,1712,1978,2429,2357,575,62,0,10477,22,29,37,36,46,58,3,0,0,231,33,16,19,28,32,54,12,0,0,204,59,42,60,65,76,112,16,0,0,433
SOSR131,4027,7097,14914,19046,25021,22172,8059,1677,174,102178,4362,2451,3074,3252,4957,7183,5028,1469,212,31991,759,706,900,1004,1442,1639,755,160,26,7382,337,326,518,571,660,632,296,221,54,3614,9482,10574,19397,23872,32081,31627,14139,3532,469,145170,266,412,620,534,674,752,118,5,0,3376,459,186,199,171,206,389,161,14,0,1789,725,596,819,707,876,1137,276,21,0,5170,10209,11171,20220,24574,32960,32769,14414,3553,472,150340,7854,2088,3388,3545,5112,11948,23910,13187,3021,74052,1438,1206,2185,2551,3242,3784,3161,1662,471,19703,19500,14463,25797,30672,41314,48497,41486,18403,3967,244092,1407,3948,8064,10638,16588,11940,3180,575,43,56376,5848,3839,7548,11159,13247,13555,5257,919,107,61475,987,791,1942,1459,1454,1699,582,109,13,9037,294,217,411,408,506,430,256,157,30,2711,8536,8798,17969,23668,31794,27627,9273,1754,185,129601,176,233,319,249,368,336,31,0,0,1709,559,234,319,326,368,434,85,7,0,2332,733,465,634,575,732,769,115,7,0,4040
