SOSR_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR101,48265,107196,281280,261787,218295,145488,36104,3594,288,1102284,72635,36040,75943,79229,72121,103027,151628,101716,45831,738169,5185,7928,22085,17507,12434,10057,9044,9065,10279,103570,126078,151162,379308,358518,302842,258573,196780,114371,56401,1944031,10626,80354,348184,350530,285777,175016,34686,2545,148,1287861,48757,80982,129857,126910,105954,87711,36767,6228,497,623663,21465,33202,55748,44288,34024,30528,10066,1315,124,230754,1326,4663,12282,8723,5486,3684,1146,328,102,37737,82181,199193,546071,530444,431243,296941,82665,10406,862,2180010,2736,9006,18572,14876,12603,9356,1332,63,9,68547,10520,10169,9928,6717,5429,5582,1732,187,21,50279,13258,19173,28500,21588,18023,14938,3059,254,23,118821,95436,218371,574573,552039,449268,311876,85722,10661,892,2298836,154126,76140,130435,124109,119018,173073,271622,185350,75656,1309533,11021,17483,45934,36523,26124,21355,17612,16262,15429,207744,260587,311994,750942,712667,594413,506304,374958,212276,91978,3816113
SOSR102,17925,25396,52630,52717,52857,38955,8329,721,62,249590,10634,5372,11194,11272,12698,26472,48767,34683,15602,176694,1291,1496,3178,2815,2390,2359,2725,3264,3441,22960,29852,32267,67003,66799,67947,67789,59820,38662,19106,449243,5545,20722,61811,62854,64915,42388,6508,402,17,265156,19647,20614,29637,31719,29384,27250,9439,1244,87,169013,4666,5325,9572,7013,5952,6001,1845,212,32,40617,452,863,1856,1321,1131,748,230,108,39,6753,30304,47526,102873,102906,101384,76383,18015,1966,176,481533,1242,2146,2954,2151,2365,1821,219,16,7,12917,3332,1767,1612,1283,1179,1335,398,33,6,10943,4571,3910,4573,3431,3537,3158,620,52,10,23861,34878,51435,107443,106337,104923,79537,18634,2022,187,505395,23661,10819,17923,17636,21761,45688,89086,63493,25145,315202,2659,3143,6574,5766,5166,4832,5100,5618,5130,43980,61192,65391,131936,129740,131842,130060,112821,71128,30464,864580
SOSR111,3655,4457,10352,9936,9579,7115,1552,128,12,46794,1882,1001,2379,2121,2163,4338,8624,5979,2514,31001,248,272,689,603,446,470,459,558,461,4217,5780,5735,13427,12664,12191,11927,10631,6664,2988,82006,1284,4437,12587,12206,11853,7892,1287,73,3,51627,4237,3342,6023,5939,5235,4882,1927,214,14,31815,496,403,1217,765,660,696,230,28,6,4496,94,178,365,248,185,159,45,26,13,1318,6115,8361,20193,19169,17925,13630,3492,345,34,89264,292,399,587,458,452,349,42,0,0,2592,641,302,335,294,240,259,79,5,0,2153,934,701,924,758,698,610,125,5,3,4744,7049,9059,21121,19920,18620,14240,3611,348,34,94008,4017,1754,3486,3267,3720,7311,15587,10738,3988,53860,538,543,1401,1240,1007,945,859,931,704,8164,11602,11362,26005,24423,23346,22498,20052,12016,4732,156032
SOSR112,8823,11370,26135,23954,24214,19821,5260,554,44,120181,5522,3020,6415,5260,5814,11884,24383,18636,8690,89623,1072,1078,2173,1825,1608,1436,1561,1772,1582,14109,15421,15465,34721,31037,31639,33148,31199,20961,10322,223909,3727,11494,32444,29900,30461,22403,4316,324,29,135093,10289,8010,14509,13735,12875,13308,6073,1000,67,79871,1136,1191,3078,1964,1706,2056,776,111,19,12039,315,519,987,663,546,428,184,96,32,3769,15463,21218,51018,46267,45593,38194,11353,1534,144,230780,675,1032,1505,1096,1096,874,121,5,0,6404,1412,813,849,650,561,676,230,26,9,5232,2086,1844,2359,1745,1661,1549,345,31,8,11637,17549,23062,53370,48011,47254,39745,11698,1566,155,242415,11860,5821,10933,9367,10683,20442,44115,33493,13920,160628,2134,2220,4421,3661,3399,2988,2964,3057,2413,27252,31541,31103,68721,61035,61336,63176,58778,38116,16486,430296
SOSR113,3565,4169,10126,9911,10382,8845,2081,197,16,49297,2153,1115,2861,2625,3090,6589,12952,9121,4155,44661,352,392,976,812,763,738,763,848,774,6425,6067,5670,13967,13349,14237,16171,15800,10173,4943,100380,1464,4274,11591,11443,12313,9190,1663,132,7,52076,4117,3038,6274,6250,6174,6529,2575,360,24,35339,578,442,1347,937,879,1067,376,36,11,5675,161,216,509,375,303,255,85,44,9,1956,6314,7962,19725,19006,19666,17047,4699,575,50,95045,376,497,722,587,579,479,55,5,4,3297,586,310,374,294,300,364,111,6,0,2342,968,807,1098,875,878,839,161,12,4,5645,7279,8772,20824,19887,20544,17884,4860,587,50,100685,4817,2097,4630,4397,5485,11615,24104,16859,6630,80640,820,835,1979,1734,1663,1583,1521,1495,1113,12742,12915,11708,27437,26015,27695,31080,30482,18942,7795,194069
SOSR114,4032,5134,11699,11528,11771,10176,2515,272,32,57149,2558,1256,2843,2577,2797,6400,13902,10566,4837,47737,442,445,1103,967,864,940,932,1000,723,7408,7030,6835,15643,15076,15427,17520,17340,11841,5588,112298,1835,5476,14359,14161,14590,10914,2166,210,12,63722,4631,3388,6447,6704,6480,7208,2965,513,57,38399,530,543,1602,1019,920,1151,384,56,6,6217,168,223,469,356,303,300,112,56,20,2008,7175,9626,22878,22239,22289,19576,5628,834,99,110339,315,470,682,515,534,483,68,5,0,3069,548,298,381,289,291,370,116,15,3,2307,863,769,1060,802,822,855,182,19,7,5377,8039,10399,23936,23036,23111,20430,5807,854,102,115718,5370,2120,4218,4025,4972,11268,25676,19412,7853,84905,891,1003,2268,2075,1899,1935,1929,1691,1125,14801,14300,13517,30421,29134,29977,33634,33407,21953,9076,215422
SOSR115,5444,6181,15019,15679,17029,15304,3892,376,38,78960,3593,1485,3658,3446,4035,10434,21204,14344,6203,68400,626,587,1407,1405,1359,1390,1552,1484,1036,10845,9659,8252,20091,20532,22416,27136,26648,16202,7276,158203,2746,6697,17821,18367,20353,15710,3197,275,25,85199,5949,4397,8812,9702,9736,11398,4754,705,43,55503,865,802,2098,1636,1480,1895,694,91,12,9573,274,328,681,537,522,460,172,71,33,3069,9833,12218,29412,30236,32094,29463,8827,1144,112,153340,407,592,818,684,807,718,107,4,0,4134,686,368,481,370,489,607,173,15,3,3194,1096,953,1297,1057,1297,1323,278,19,10,7328,10933,13170,30709,31299,33388,30786,9099,1165,116,160669,7678,2682,5635,5657,7253,18241,40464,27188,10081,124877,1349,1298,2896,2787,2812,2980,3062,2674,1601,21456,19960,17151,39239,39737,43456,52004,52628,31035,11794,306994
SOSR121,1599,1531,3603,4342,5147,4343,1101,107,20,21800,1105,380,935,901,1200,2926,5443,2986,977,16851,161,148,334,359,314,379,390,304,191,2575,2869,2059,4872,5604,6661,7646,6938,3394,1179,41225,692,1580,4201,5146,6105,4592,928,89,7,23349,1826,1189,2190,2654,3100,3323,1362,192,13,15849,260,217,471,418,448,565,217,23,0,2620,74,80,173,143,151,126,56,14,5,826,2855,3062,7035,8365,9810,8608,2563,322,28,42648,107,149,187,152,206,207,25,6,0,1042,210,83,124,121,115,187,52,3,0,907,318,232,313,267,319,399,81,6,0,1949,3169,3300,7355,8635,10129,9007,2643,327,30,44592,2312,678,1430,1436,2023,5174,10619,5965,1705,31341,341,301,682,710,678,776,820,566,327,5202,5829,4279,9460,10782,12827,14956,14085,6863,2060,81135
SOSR122,640,815,1771,2044,2506,2475,592,62,0,10912,514,223,508,469,716,1638,2875,1457,482,8885,134,109,251,262,306,324,316,181,70,1955,1289,1146,2536,2774,3521,4429,3781,1703,560,21751,300,864,2107,2451,3026,2608,528,50,5,11948,725,618,1131,1252,1466,1831,714,117,10,7854,126,104,257,212,238,361,105,18,0,1424,27,33,78,91,84,88,40,8,3,454,1180,1622,3568,4009,4814,4888,1382,189,18,21669,58,87,126,92,126,176,25,0,0,686,74,41,46,45,53,100,28,0,0,390,131,128,175,142,181,272,53,0,0,1078,1310,1748,3741,4148,4995,5163,1435,189,18,22753,1115,390,774,763,1299,3037,5733,3064,855,17028,292,215,527,557,675,746,659,384,121,4174,2717,2353,5049,5469,6971,8944,7825,3634,992,43955
SOSR131,9270,9261,18604,24244,32531,28402,9391,1767,191,133644,7008,2120,4824,5075,6589,14867,23796,12271,3526,80079,1190,971,1979,2506,3029,3292,2637,1540,561,17706,17467,12349,25400,31819,42148,46562,35829,15570,4270,231426,5432,11043,22977,29693,41612,34114,11238,2247,213,158559,10214,6288,10623,14410,18201,20743,10284,2391,314,93468,1742,1496,2846,2461,2891,3341,1340,267,47,16421,637,542,927,981,1174,1058,548,379,81,6327,18019,19368,37367,47543,63876,59257,23407,5288,652,274771,436,642,937,781,1041,1086,146,5,0,5087,1020,418,519,498,570,821,246,24,5,4125,1462,1068,1457,1279,1616,1908,393,30,5,9209,19476,20433,38827,48819,65489,61163,23806,5320,656,283980,14866,4199,8214,8616,11699,26817,47711,25460,6549,154129,2630,2177,4162,5057,6277,7074,5803,3198,1030,37405,36968,26815,51196,62494,83466,95058,77313,33977,8238,475521
