SOSR_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
SOSR101,126,307,794,729,720,649,290,101,14,3735,16,82,460,665,536,476,154,34,0,2429,1401,4434,14668,17641,18458,16031,3976,444,29,77082,108,521,2555,3650,3197,2107,506,45,0,12696,6460,15264,39071,31625,24740,16088,3937,380,27,137596,555,2318,8480,11493,10520,7837,2062,310,28,43603,8208,15454,22314,18322,13011,9554,2912,471,36,90279,11837,10644,14711,10310,6549,4850,1284,183,19,60381,1221,5330,17588,20055,19293,16442,4286,335,9,84565,351,1736,7968,10587,7502,3740,749,93,14,32741,268,5086,21836,28357,18958,8650,2047,357,57,85616,332,1501,5200,5865,4590,3156,1323,328,65,22369,774,8925,37799,40452,26224,16131,6584,1211,83,138191,736,3316,8799,8197,6835,5296,1777,245,13,35208,538,3853,14987,16210,14554,10628,2766,228,12,63778,2192,4844,12127,11421,10011,8409,3202,396,19,52619,894,5375,18235,16225,13547,11196,4633,761,46,70918,1020,2103,4450,3704,2672,1859,670,105,11,16601,1327,3163,8325,8033,7531,6100,1930,306,15,36733,1719,5762,17262,15736,12010,8552,2480,525,96,64135
SOSR102,46,123,291,223,245,218,76,33,6,1260,42,218,1476,1928,1480,916,97,9,0,6162,641,1494,3900,4169,4948,4160,712,76,3,20097,43,190,804,1097,1167,889,131,10,0,4338,2776,5477,10876,9214,7855,5593,1198,100,4,43100,165,389,1158,1466,1665,1302,325,39,3,6519,2808,3444,4323,3074,2889,2244,668,85,3,19541,5132,3100,3045,1864,1369,1044,329,46,5,15941,231,697,2281,2942,3784,3768,931,119,4,14760,90,251,702,910,832,520,103,20,7,3435,34,372,1294,1693,1573,902,235,35,3,6134,65,207,559,684,722,555,225,66,10,3089,186,1205,3772,4306,3401,2328,993,156,7,16354,218,658,1444,1526,1645,1375,396,49,0,7299,131,861,3438,4733,5083,3429,615,40,0,18335,261,913,2806,2910,2773,2298,783,68,3,12818,269,1526,4818,4279,4048,3554,1044,118,7,19649,400,432,642,584,546,378,134,22,6,3146,501,1019,1949,1915,1867,1591,449,74,5,9368,484,1130,2514,2315,2218,1645,462,122,33,10923
SOSR111,23,63,184,218,162,127,62,20,5,870,12,102,525,680,524,303,31,3,0,2181,137,343,1014,946,915,769,134,8,0,4264,4,39,160,194,180,160,23,0,0,761,445,1000,1810,1450,1104,961,232,15,0,7016,29,94,344,363,363,282,73,9,0,1561,648,587,915,680,573,435,157,12,3,4012,976,480,572,394,299,239,81,6,3,3041,46,132,489,581,691,651,254,21,0,2869,24,27,87,62,79,59,18,8,0,366,5,45,150,185,154,105,28,3,0,681,12,31,105,105,110,92,46,5,0,511,50,114,514,500,406,295,150,23,0,2050,42,119,320,317,307,254,78,6,0,1451,21,138,683,749,803,500,90,6,3,2994,41,109,435,454,457,375,145,6,0,2026,71,258,788,779,753,530,186,20,0,3391,76,49,74,81,77,60,31,3,0,451,129,238,495,390,334,276,77,11,0,1946,107,242,538,486,394,322,75,22,3,2193
SOSR112,117,266,737,630,593,582,316,116,17,3369,43,213,967,929,742,456,55,4,0,3400,425,993,2684,2475,2104,1693,397,63,4,10840,32,91,419,583,590,541,75,7,0,2335,1257,2321,4488,3355,2875,2345,661,66,0,17374,134,264,672,685,788,657,156,25,0,3390,1639,1434,2286,1648,1475,1215,470,89,10,10279,2385,1223,1794,1172,792,686,272,38,4,8370,111,293,1051,1174,1471,1579,623,85,7,6384,61,100,241,264,203,182,63,10,0,1126,6,92,288,381,451,332,121,28,5,1710,27,73,228,242,273,256,137,24,8,1272,86,290,1059,1023,1000,869,546,102,3,4985,112,319,752,723,779,724,240,26,0,3669,80,430,1808,1933,2234,1835,369,23,0,8712,114,399,1151,1395,1555,1402,444,42,3,6503,130,623,2515,2287,2006,1924,631,67,0,10177,171,116,254,234,240,235,94,23,0,1365,291,538,1206,928,927,751,275,50,9,4980,346,546,1281,1048,1020,804,266,96,25,5429
SOSR113,31,68,160,154,159,153,92,33,9,854,50,275,1182,1194,1045,692,93,4,0,4530,156,308,695,626,691,596,125,15,4,3218,8,69,194,219,253,267,34,3,0,1053,501,902,1832,1484,1421,1153,322,24,0,7643,56,98,259,314,287,262,56,10,3,1336,681,508,820,677,599,551,225,24,0,4074,1081,526,826,569,446,441,143,28,0,4057,44,120,365,432,639,726,284,41,0,2642,23,30,80,69,78,68,22,5,0,372,7,21,103,122,122,123,51,8,3,551,14,28,66,108,127,136,68,27,0,571,38,76,350,438,450,340,193,39,0,1922,49,123,366,326,348,346,100,12,0,1677,35,181,743,862,953,779,175,5,0,3736,31,101,341,369,392,405,177,10,0,1831,49,192,663,673,691,730,229,25,0,3240,59,49,102,83,101,91,36,20,0,550,129,225,427,374,386,355,115,21,4,2037,139,216,496,430,477,366,118,35,11,2286
SOSR114,101,262,642,571,510,537,294,115,24,3051,9,139,520,468,411,270,32,6,0,1846,241,509,1225,1110,1115,948,234,29,0,5415,14,59,275,291,303,279,39,4,0,1270,641,1114,2545,1895,1602,1283,347,45,3,9483,75,122,310,373,382,356,113,25,0,1747,695,578,819,705,695,687,244,40,0,4458,1062,471,601,486,440,422,170,21,0,3677,57,149,476,593,737,881,356,57,5,3317,15,32,104,101,103,75,22,10,0,459,10,26,115,167,152,119,42,8,0,636,16,28,100,100,125,118,68,12,5,564,29,121,439,507,445,363,216,50,7,2173,57,132,273,315,383,355,120,15,0,1643,38,209,840,1147,1175,924,194,12,4,4541,40,143,462,538,588,508,178,21,0,2481,48,146,636,647,662,646,172,16,5,2979,54,40,122,107,119,113,31,8,0,601,171,266,554,472,449,424,169,31,0,2549,190,258,622,520,500,442,170,52,13,2773
SOSR115,174,377,830,731,662,809,477,155,22,4228,53,188,824,852,768,513,62,12,0,3271,331,555,1332,1281,1408,1239,293,36,3,6478,30,75,322,400,430,398,62,0,0,1713,1030,1662,3409,2864,2480,2128,601,53,6,14234,82,145,405,373,436,456,134,24,0,2052,896,657,992,918,838,907,314,70,4,5585,1197,591,818,626,697,671,262,26,5,4887,86,161,594,737,1062,1251,532,95,9,4532,23,45,104,159,167,137,48,10,0,694,10,28,123,175,205,164,69,11,3,775,25,46,129,180,159,134,102,23,3,802,46,132,545,721,709,588,364,44,0,3155,73,167,407,412,505,574,198,21,0,2347,193,397,1155,1522,1811,1515,329,21,0,6939,43,174,642,730,829,778,306,25,0,3538,51,210,715,788,962,1013,338,30,4,4101,96,142,223,196,194,195,81,16,0,1129,206,333,646,595,622,576,207,43,5,3221,257,355,760,781,748,713,256,65,21,3966
SOSR121,43,74,188,187,211,237,124,61,4,1127,3,32,159,218,186,124,25,3,0,755,79,115,271,315,448,345,83,10,0,1678,4,7,73,120,110,124,24,0,0,458,288,422,888,846,839,662,192,7,0,4134,16,36,103,125,159,119,40,3,0,600,294,197,236,234,258,238,104,12,0,1581,364,156,162,159,176,167,82,6,0,1284,25,65,157,201,361,430,134,25,0,1395,7,11,30,44,45,35,11,5,0,181,3,20,43,70,71,66,16,4,0,299,6,12,19,43,52,66,15,0,0,218,11,34,148,200,214,204,110,20,0,941,22,32,107,134,178,170,54,4,0,701,26,57,242,361,464,411,77,7,0,1643,15,46,143,204,257,251,98,10,0,1018,23,58,184,245,287,328,117,15,0,1252,36,25,49,66,59,64,33,8,0,332,66,120,179,183,206,190,64,5,0,1008,79,100,194,202,233,198,81,20,5,1109
SOSR122,31,54,161,157,143,196,99,25,4,860,0,23,61,86,82,61,8,0,0,317,48,64,126,170,189,199,42,4,0,834,0,17,47,60,80,54,14,0,0,277,119,217,404,372,376,380,90,7,0,1965,11,21,48,46,59,74,24,3,0,295,92,65,127,116,113,138,35,8,0,690,169,100,146,108,121,122,42,11,0,824,7,22,75,109,154,218,84,13,0,688,5,0,12,16,22,22,8,4,0,88,0,8,19,31,41,38,10,5,0,154,0,10,12,25,21,42,12,7,6,127,0,28,71,86,101,103,73,20,0,479,10,21,51,67,83,66,30,0,0,329,14,29,143,192,268,228,61,4,0,930,6,26,69,80,121,119,38,9,0,456,5,39,83,92,139,168,40,6,0,573,15,15,33,27,38,48,12,0,0,189,33,47,80,77,111,99,28,0,0,485,36,37,97,113,130,148,54,6,3,618
SOSR131,986,1416,3719,4425,5827,7343,5641,2159,360,31864,82,240,944,1473,1456,944,167,12,0,5323,547,747,1373,1589,2307,2040,666,103,8,9381,47,102,317,509,717,647,102,10,0,2443,1963,2663,4263,4574,5199,4391,1285,102,6,24438,249,246,495,730,966,953,311,75,8,4032,1448,866,958,887,1316,1332,519,92,3,7420,1707,622,587,497,631,688,310,60,6,5109,174,297,749,1136,1948,2095,800,103,5,7305,45,60,118,166,246,231,69,11,0,952,16,94,192,355,519,406,160,38,0,1783,62,95,177,305,438,381,214,61,3,1732,98,339,675,1065,1543,1522,853,134,6,6230,111,222,476,521,740,791,245,26,0,3134,458,763,1121,1634,2530,2077,468,30,0,9073,145,247,566,863,1269,1381,536,55,3,5058,111,234,635,842,1374,1540,652,96,3,5487,182,191,232,279,343,355,159,29,5,1790,517,588,844,916,1209,1093,377,51,3,5602,519,559,960,1113,1490,1412,612,294,54,7003
